	9		11	A - 36 - BATRES JAUREGUI ANTONIO Cartografia de Guatemala publicado en Anales de la SGHG No 3 tomo IV marzo de 1928 ilustrada con las 8 cartas de Rivera Maestre.						
	10									
	11									
	12									
	13									
	14									
	15									
	16									
	17									
	18									
	19									
	20									
	21									
	44									
	45									
	46									
	47									
	48									
	49									
	50									
	51									
	52									
	53									
	54									
	55									
	56									
	57									
	58									
	59									
	60									
	61									
	62									
	63									
	64									
	65									
	66									
	67									
	68									
	69									
	70									
	71									
	72									
	73									
	74									
	75									
	76									
	77									
	78									
	79									
	80									
	81									
	82									
	83									
	84									
	85									
	86									
	87									
	88									
	89									
	90									
	91									
	92									
	93									
	94									
	95									
	96									
	97									
	98									
	99									
	100									
	101									
	102									
	103									
	104									
	105									
	106									
	107									
	108									
	109									
	110									
	111									
	112									
	113									
	114									
	115									
	116									
	117									
	118									
	119									
	120									
	121									
	122									
	123									
	124									
	125									
	126									
	127									
	128									
	129									
	130									
	131									
	132									
	133									
	134									
	135									
	136									
	137									
	138									
	139									
	140									
	141									
	142									
	143									
	144									
	145									
	146									
	147									
	148									
	149									
	150									
	151									
	152									
	153									
	154									
	155									
	156									
	157									
	158									
	159									
	160									
	161									
	162									
	163									
	164									
	165									
	166									
	167									
	168									
	169									
	170									
	171									
	172									
	173									
	174									
	175									
	176									
	177									
	178									
	179									
	180									
	181									
	182									
	183									
	184									
	185									
	186									
	187									
	188									
	189									
	190									
	191									
	192									
	193									
	194									
	195									
	196									
	197									
	198									
	199									
	200									
	201									
	202									
	203									
	204									
	205									
	206									
	207									
	208									
	209									
	210									
	211									

O'Ryan asdf: Table 1
	sort	class	pp	record	notes					
	0	bibliographic	17	ANDRADE Jose Maria - Catalogue de la riche bibliothèque de Don. Leipzig. 1869. 4o.						
	1	bibliographic	17	ANTONIO Nicolas - Bibliotheca hispano nova sive hispanorum scriptorum qui ab anno MD ad MDCLXXXIV floruere notitia. Matriti. 1783. 2 vols fol.						
	2	bibliographic	17	BACKER Augustin et Alois - Bibliothèque des écrivains de la Compagnie de Jesus. Liege. 1853-61. 7 vols fol menor.						
	3	bibliographic	17	BERISTAIN DE SOUZA Jose Mariano - Biblioteca hispano americana septentrional. 2a ed. Amecameca. 1882-83. 3 vols. 4o.						
	4	bibliographic	17-18	"BERISTAIN DE SOUZA Jose Mariano - Biblioteca hispano americana septentrional. tomo IV. (Manuscrito). Comprende los Anónimos que dejo escritos el autor, las adiciones del Dr Osores, y otras añadidas posteriormente por las personas que se expresan. Actualmente lo edita D JT Medina."						
	5	bibliographic	18	BRASSEUR DE BOURBOURG M - Bibliotheque mexico-guatemalienne. Paris. 1871. 4o.						
	6	bibliographic	18	BRUNET Jacques-Charles - Manuel du libraire et de l’amateur de libes. Paris. 1860-65. 12 vols. 4o.						
	7	bibliographic	18	CIVEZZA MO Fr Marcellino da - Saggio di bibliografia geografica storica etnografica Sanfrancescana. 1879. 4o mayor.						
	8	bibliographic	18	GALLARDO Bartolome Jose - Ensayo de una biblioteca española de libros raros y curiosos formado en los apuntamientos de Don . coordinados y aumentados por D MR Zarco del Valle y D J Sancho Rayón. Madrid. 1863-89. 4 vols. fol menor.						
	9	bibliographic	18	GARI Y SIUMELL Fr Jose Antonio - Biblioteca mercenaria o sea escritores de la celeste real y militar Orden de la Merced. Barcelona. 1875. 4o.						
	10	bibliographic	18-19	GONZALEZ BARCIA Andres - Epitome de la bibliotheca oriental y occidental nautica y geografica de Don Antonio de Leon Pinelo .. añadido y enmendado nuevamente. Madrid. 1737-38. 3 vols. fol.						
	11	bibliographic	19	LECLERC Ch - Bibliotheca Americana histoire géographie voyages archéologie et linguistique. Paris. 1878. 4o.						
	12	bibliographic	19	MEDINA JT - Bibliotheca americana catalogo breve de mi colección de libros relativos a la america latina con un ensayo de bibliografía a de Chile durante el periodo colonial. Santiago de Chile. 1888. 8o.						
	13	bibliographic	19	MENENDEZ Y PELAYO D Marcelino - La ciencia española (polémicas proyectos y bibliografía). Madrid. 1887-88. 3 vols. 8o. Tomo III paginas 125-445 ‘Inventario bibliográfico de la ciencia española.’						
	14	bibliographic	19	PINART Alph L - Catalogue de livres rares et précieux manuscrits et imprimes principalement sur l’Amerique et sur le langues du monde entier. Paris. 1883. 4o.						
	15	bibliographic	19	SABIN Joseph - A dictionary of books relating to America from is discovery to the present time. New-York. 1868-1891. 19 vols. 8o. (A-S).						
	16	bibliographic	20	SALVA Y MALLEN Pedro - Catalogo de la biblioteca de Salva. Valencia. 1872. 2 vols. 4o mayor.						
	17	bibliographic	20	S ANTONIO RP Joanne a - Bibliotheca franciscana universa sive alumnorum trium ordinum SPN Francisci qui ab ordine seraphico condito usque ad presente diem Latina sive alia quavis lingua scripto liquid consignarunt encyclopaedia. Matriti. 1732-33. 3 vols. fol.						
	18	bibliographic	20	SOTUELLO Nathanaele - Bibliotheca scriptorium societatis Jesu. Romae. 1676. fol.						
	19	bibliographic	20	SQUIER EG - Monograph of authors who have written on the language of Central America and collected vocabularies or composed works in the native dialects of that country. London. 1861. 4o.						
	20	bibliographic	20	TERNAUX H - Bibliothèque américaine ou catalogue des ouvrages relatifs a l’Amérique que ont paru depuis sa découverte jusqu’ a l’an 1700. Paris. 1837. 4o.						
	21	bibliographic	20	VINAZA Conde de la - Bibliografia española de lenguas indigenas de America. Madrid. 1892. 8o mayor.						
	0	imprint - 17th cent	26	1663 - 7 - Historia de Guatemala desde los tiempos de los indios hasta la fundación de la Provincia de los franciscanos: población de aquellas tierras propagation de los indios sus ritos ceremoniosa policía y gobierno por el Padre Fray Esteban Aviles franciscano de Guatemala. Guatemala en 1663: por José Pineda Ibarra. 4o						
	1	imprint - 17th cent	30-36	"1667 - 13 - Copia de carta escrita a sv Magestad D Carlos Segundo Rey de las Españas y Nuevo Mundo por Don Sebastian Alvarez Alfonso Rosica de Caldas Señor de la Casa de Caldas Cavallero de la Orden de Santiago Governador y Capitan General de las Provincias de Goatemala y Presidente de su Real Audiencia sobre la conquista redvcion y conversion de las Provincias del Lacandon en treinta de Enero desta año de mil y seiscientos y sesenta y siete con licencia impressa en Goatemala por Ioseph de Pineda Ybarra Impressor de libros año de 1667. Fol.-5, dos fojas.-Port.-v. en bl.-Texto.-Copia de carta para el Senor Conde de Penaranda Presidente del Real y Supremo Consejo de las Indias y de la Junta y Gobierno de España. Goatemala Henero 30 de 1667.-Copia de carta a los ministros del Real y Supremo Consejo de las Indias. Goatemala Henero 30 de 1667."	artículos ó capítulos sometidos por Rosica de Caldas á la consideración de SM para la conquista del Lacandon in pp 31-36 nos 1-15					
	2	imprint - 17th cent	46	1674 - 31 - Historia de la reduction y convercion de la Provincia de Tagusgalpa con la vida virtudes y prodigios de tres mártires por Fr Fernando Espino. Impresa en Guatemala por José Pineda Ibarra. 1674.						
	3	imprint - 17th cent	49-50	16683 - 34 - Alegacion en defensa del Real Fisco sobre un navío que arribó á los puertos de Guatemala por D Gerónimo Chacon y Abarca. Impreso en Guatemala por José Pineda Ibarra. 1683. fol.						
	4	imprint - 18th cent	57-58	1702 - 40 - Dissertacion iuridica academica forense y aulica quando por renuncia o ausencia del Virrey o Presidente succeden en el govierno las Reales Audiencias de estas Indias para inteligencia de la ley municipal LVII tit XV lib II y solución de las dificultades que se le han ofrecido a la de Santiago de Guatemala en la vacante de este año de 1702. Fol.-13 fojas.-Apostillado. Suscrita en Guatemala á 3 de Junio de 1702 por el Lic D Fernando de la Riva Aguero.						
	5	imprint - 18th cent	72-75	1726 - 59 - Gazeta de Goatemala organo del superior gobierno. 1729.	publicación ‘mensual al principio’ / contenido del no 1 de Nov 1729 in pp 73-74					
	6	imprint - 18th cent	77	1736 - 66 - Diario y derrotero de lo caminado visto y observado en el tiempo de la visita general de los presidios situados en las provincias internas de la Nueva España por D Pedro Ribera Villalon. Impreso en Guatemala por Sebastian de Arébalo. 1736. Fol.						
	7	imprint - 18th cent	80	1741 - 71 - Relacion de los méritos y servicios formada por D Pedro de Rivero Villalon Presidente de la Real Audiencia de Goathemala Governador y Capitan General de su Reyno para informar a SM de los que illustran y condecoran la persona de D Thomas Hermenegildo de Arena Governador y Capitan General de la Provincia de Honduras. Fol.-Dos fojas.-Suscrita en Guatemala á 18 de Octubre de 1741.						
	8	imprint - 18th cent	82	1747 - 77 - Las luces del cielo difundidas sobre el hemisferio de Guatemala por D Antonio Paz Salgado. Guatemala. 1747. 4o.						
	9	imprint - 18th cent	98-99	1774 - 106 - Extracto o relación methodica y puntual de los autos de reconocimiento practicado en virtud de comisión del Señor Presidente e la Real Audiencia de este Reino de Guatemala. Impreso con superior permiso en la oficina de D Antonio Sanchez Cubillas en el Pueblo de Mixco en la Casa que llaman de Comunidad de Santo Domingo. Año de 1774. Fol.-Dos 86 una página. Suscrito en el establecimiento provisional de la Hermita á 23 de Junio de 1774 por D Juan Gonzalez Bustillo.						
	10	imprint - 18th cent	99-100	1777 - 107 - Don Martin de Mayorga Caballero del Orden de Alcántara Capitan de Reales Guardias Españolas Mariscal de Campo de los Reales Ejércitos de su Majestad de su Consejo Presidente de esta Real Audiencia Governador y Capitan General en las Provincias y su distrito &c.-Fol.-5 paginas. Suscrito en la Nueva Guatemala de la Asunción á 16 de Junio de 1777.						
	11	imprint - 18th cent	110	1792 - 129 - Noticia y descripción del rio Motagua por D Antonio Porta. Por D Ignacio Beteta en la Nueva Guatemala año de 1792. 4o.						
	12									
	13									
	14									
	15									
	16									
	17									
	18									
	19									
	20									
	21									
	44									
	45									
	46									
	47									
	48									
	49									
	50									
	51									
	52									
	53									
	54									
	55									
	56									
	57									
	58									
	59									
	60									
	61									
	62									
	63									
	64									
	65									
	66									
	67									
	68									
	69									
	70									
	71									
	72									
	73									
	74									
	75									
	76									
	77									
	78									
	79									
	80									
	81									
	82									
	83									
	84									
	85									
	86									
	87									
	88									
	89									
	90									
	91									
	92									
	93									
	94									
	95									
	96									
	97									
	98									
	99									
	100									
	101									
	102									
	103									
	104									
	105									
	106									
	107									
	108									
	109									
	110									
	111									
	112									
	113									
	114									
	115									
	116									
	117									
	118									
	119									
	120									
	121									
	122									
	123									
	124									
	125									
	126									
	127									
	128									
	129									
	130									
	131									
	132									
	133									
	134									
	135									
	136									
	137									
	138									
	139									
	140									
	141									
	142									
	143									
	144									
	145									
	146									
	147									
	148									
	149									
	150									
	151									
	152									
	153									
	154									
	155									
	156									
	157									
	158									
	159									
	160									
	161									
	162									
	163									
	164									
	165									
	166									
	167									
	168									
	169									
	170									
	171									
	172									
	173									
	174									
	175									
	176									
	177									
	178									
	179									
	180									
	181									
	182									
	183									
	184									
	185									
	186									
	187									
	188									
	189									
	190									
	191									
	192									
	193									
	194									
	195									
	196									
	197									
	198									
	199									
	200									
	201									
	202									
	203									
	204									
	205									
	206									
	207									
	208									
	209									
	210									
	211									

Minkel asdf: Table 1
	sort	class	pp							
	0	physical - climate	6	‘Belize hurricane horror’ Literary Digest 110:7 26 Sept 1931.						
	1	physical - climate	6	Boga D ‘Writing home about the hurricane’ Times (London) 6 Dec 1961 p9.						
	2	physical - climate	6	British Honduras Secretariat Report on Hurricane ‘Janet’ 27th-28th Sept 1955 Belize 1955 41pp.						
	3	physical - climate	6	"Brooks CEP ‘The Meteorology of Belize, British Honduras’ Quarterly Journal of the Royal Meteorological Society 44/188: 303-306 Oct 1918."						
	4	physical - climate	6	Burdon Sir John A ‘From the Outposts; Hurricane in British Honduras’ Blackwood’s Magazine 230:847-855 Dec 1931.						
	5	physical - climate	6	Cain Ernest E Cyclone ‘Hattie’ Ilfracombe England: Arthur H Stockwell Ltd 1963.						
	6	physical - climate	6	- Cyclone! Official record of a hurricane and tidal wave which destroyed the city of Belize 10 Sept 1931 London: Arthur H. Stockwell 1933 135 pp.						
	7	physical - climate	6	de Freitas GV ‘Hurricane Hattie’ Corona 14: 89-92 1962.						
	8	physical - climate	6	- ‘Life after Hattie’ Corona 14: 337-340 1962.						
	9	physical - climate	6	Freisen John D Hurricane Hattie London: Derksen Printers Ltd 1965 106pp.						
	10	physical - climate	6	Koppen W and Geiger R eds Klimakunde von Mittelamerika Berlin 1932.						
	11	physical - climate	6	Milton F ‘Storm that broke the rules’ Blackwood’s Magazine 291: 199-208 March 1962.						
	12	physical - climate	7	Pagney P ‘Un cyclone dans la mer Caribe: le cyclone Janet (Septembre 1955)’ Cahiers d’Outre-Mer 10: 65-91 1957.						
	13	physical - climate	7	Pawling John W ‘The Climate of Central America’ MA thesis Dept of Geography Clark University 1956.						
	14	physical - climate	7	Reed WW ‘Climatological Data for Central America’ Monthly Weather Review 51 1923.						
	15	physical - climate	7	Rickards C ‘British Honduras after hurricane Hattie’ New Commonwealth 40/6: 359-362 June 1962.						
	16	physical - climate	7	‘Stricken Belize: The Hurricane and the “Slump”’ Times (London) 21 Sept 1931 p.11a.						
	17	physical - climate	7	US Dept of Commerce Weather Bureau An annotated bibliography on the climate of British Honduras by Allen J Wallace and Angelo F Spano Washington: US GPO April 1962 17pp.						
	18	physical - climate	7	‘Why Belize couldn’t talk back’ Literary Digest 111/12: 25 19 Dec 1931.						
	19	cultural - history	19	Anderson AH Brief sketch of British Honduras 8th ed Belize: Govt Printing Dept 1963 97pp.						
	20	cultural - history	19	Blom Frans F The Contest of Yucatan New York: Houghton Mifflin Co 1936 238pp.						
	21	cultural - history	19	Brown Vera Lee ‘Anglo-Spanish relations in the closing years of the colonial era’ Hispanic American Historical Review 5/3: 325-483 Aug 1922.						
	22	cultural - history	19	Burdon Sir John A ed Archives of British Honduras 3 vols London: Sifton Praed and Co 1931-1934.						
	23	cultural - history	20	- ‘The Battle of St George’s Cays; A little-known but gallant episode in empire history’ United Empire NS 19: 248-257 May 1928.						
	24	cultural - history	20	- Brief sketch of British Honduras past present and future’ 2nd ed London: West India Committee 1927 53pp.						
	25	cultural - history	20	"- ‘Story of British Honduras, review of the archives of British Honduras’ Scottish Geographical Magazine 48: 279-281 Sept 1932."						
	26	cultural - history	20	Cacho CP ‘British Honduras: A case of deviation in Commonwealth Caribbean decolonisation’ New World Quarterly 3/3: 33-44 1967.						
	27	cultural - history	20	Caiger Stephen L. British Honduras past and present London: George Allen and Unwin 1951 240pp.						
	28	cultural - history	20	Calderon Quijano JA Belice 1663 (?)-1821: Historia de los establecimientos británicos del Rio Valis hasta la independencia de Hispanoamérica Seville: Victoria-Artes Gráficas 1944.						
	29	cultural - history	20	Clegern Wayne M ‘British Honduras and the pacification of Yucatan’ The Americas 18/3: 243-255 Jan 1962.						
	30	cultural - history	20	- British Honduras: Colonial dead and 1859-1900 Baton Rouge: Louisiana State University Press 1967 166pp.						
	31	cultural - history	20	"- ‘Calendar of certain volumes of British Foreign Office Records, section 15 and section 50 pertaining to British Honduras 1859-1902’ Bancroft Library University of California Berkeley nd (Microfilm)."						
	32	cultural - history	20	Cook Lt James Remarks on the Passage from the River Balise in the Bay of Honduras to Merida the capital of the province of Yucatan 1769 A facsimile with perspective by Muriel Haas New Orleans: Midameres Press 1935 17pp.						
	33	cultural - history	20	Cossio Jose Lorenzo Belice descubrimiento exploración conquista colonización y evangelización soberanía de Espana sobre este territorio Mexico 1947 107pp.						
	34	cultural - history	21	Craig Alan K ‘History of the coinage of British Honduras’ Numismatist 80/7 80/8: 835-840 981-988 July Aug 1967.						
	35	cultural - history	21	- ‘Logwood as a factor in the settlement of British Honduras’ Caribbean Studies 9/1: 53-62 April 1969.						
	36	cultural - history	21	Curry Hervert F Jr ‘British Honduras from Public Meeting to Crown Colony’ Americas 13/1: 31-42 July 1956.						
	37	cultural - history	21	Donohoe William Arlington A history of British Honduras 1st American ed New York: Colorite Offset Printing Co 1947 118pp.						
	38	cultural - history	21	Everett John Cater ‘Terra incognita: An analysis of a geographical anachronism and an historical accident or aspects of the cultural geography of British Honduras Central America’ MA thesis Simon Fraser University 1969.						
	39	cultural - history	21	Fowler Henry A narrative of a journey across the unexplored portion of British Honduras with a. short sketch of the history and resources of the colony rev ed Belize: Govt Printer 1928 58pp.						
	40	cultural - history	21	Great Britain Foreign Office Historical Section British Honduras London: HMSO 1920 57pp.						
	41	cultural - history	21	Griffith William J Empire in the wilderness foreign colonisation and development in Guatemala 1834-1844 Chapel Hill: University of North Carolina Press 1965 332pp.						
	42	cultural - history	21	- ‘Juan Galindo Central American chauvinist’ Hispanic American Historical Review 40/1: 25-52 Feb 1960.						
	43	cultural - history	21	Humphreys Robert Arthur The Diplomatic history of British Honduras 1638-1901 London: OUP 1961 196pp.						
	44	cultural - history	21	Huxley Aldous Beyond the Mexique Bay London: Chatto and Windus 1934.						
	45	cultural - history	22	Leon Narda D ‘Social and administrative developments in British Honduras 1798-1843’ B Litt thesis University of Oxford 1958.						
	46	cultural - history	22	Lucas Sir Charles P A historical geography fo the British colonies 2nd rev ed 2 vols Oxford: Clarendon Press 1905 348pp.						
	47	cultural - history	22	McLeish J ‘British activities in Yucatan and the Mosquito Shore in the eighteenth century’ MA thesis Univeristy of Londonn 1926.						
	48	cultural - history	22	Mena Brito Bernardino Historia de las desmembracinooes del estado de Yucatan efectuadas por el gobierno nacional el Peten Belice Campeche Quintana Roo Mexico 1962 62pp.						
	49	cultural - history	22	Naylor Robert A ‘The British role in Central America prior to the Clayton-Blower treaty of 1850’ Hispanic American Historical Review 40: 361-382 Aug 1960.						
	50	cultural - history	22	Oliver LH ‘Colonisation of British Honduras what i twas and what it is’ West India Committee Circular 41: 87 1928.						
	51	cultural - history	22	Peniche Manuel Historia de la relaciones de Espana y Mexico con Inglaterra sobre el establecimiento de Belice Merida Yucatan: Compañía Tipográfica Yucateca SA 1940.						
	52	cultural - history	22	Reed Nelson The Caste War of the Yucatan Stanford California: Stanford University Press 1964 308pp.						
	53	cultural - history	22	Rippy J Fred The Caribbean danger zone New York: GP Putman’s Sons 1940 296pp.						
	54	cultural - history	22	Rodriguez Manuel Eduardo Impresiones de mi visita a Belice Guatemala 1958 31pp.						
	55	cultural - history	22	Roys Ralph L The Indian background of colonia Yucatan Carnegie Institution of Washington Publication No 548 Washington: Carnegie Institution 1942 244pp.						
	56	cultural - history	23	Stephens JL and Dean C ‘Belize: A story of practical amalgamation except from Incidents of travel in Central American Chiapas and Yucatan 1839’ Journal of Negro History 30: 432-436 Oct 1945.						
	57	cultural - history	23	Stone Doris Z ‘Some Spanish entradas 1524-1695’ Middle American Research Series Middle American Papers Publication No 4 New Orleans: Tulane University Press 1932.						
	58	cultural - history	23	‘The Story of British Honduras review of archives’ Scottish Geographical Magazine 48: 279-281 Sept 1932.						
	59	cultural - history	23	van Aken Mark J ‘British policy considerations in Central America before 1850’ Hispanic American Historical Review 42/1: 54-59 Feb 1960.						
	60	cultural - history	23	Waddell David Alan G British Honduras a historical and contemporary survey London: OUP 1961 151pp.						
	61	cultural - history	23	- ‘Great British and the Bay Islands 1821-1861’ The Historical Journal 2/1: 59-77 1959.						
	62	cultural - history	23	Winzerling EO The beginnings of British Honduras 1506-1765 New York: North River Press 1946 90pp.						
	63	cultural - settlement	23	Brunton FW ‘British Honduras land settlement scheme’ Journal of the Jamaica Agricultural Society 38: 90-92 Feb 1934.						
	64	cultural - settlement	23	Bushong Allen D ‘Mennonite settlement in British Honduras’ (Abstract) Annals of the Association of American Geographers 50/1: 308 Sept 1960.						
	65	cultural - settlement	23	Cumper George E ‘The Evans report: reprot of the British Guiana and British Honduras settlement commission’ Caribbean Quarterly 1/3: 39-44 Oct-Nov 1949.						
	66	cultural - settlement	24	Evans Sir Geoffrey ‘Resettlement problems in the British Caribbean colonies’ United Empire 40/3: 105-110 May-June 1949.						
	67	cultural - settlement	24	Fitzgerald W ‘Settlement on the Caribbean mainland’ Nature 163: 512-513 2 April 1949.						
	68	cultural - settlement	24	Flores Giovanni ‘Gli italiani de Manatee’ L’Universo 38/5: 795-800 Sept-Oct 1958.						
	69	cultural - settlement	24	Grant Herbert T ‘The “Empty Quarter” of the West Indies’ Crown Colonist 4: 28-30 Jan 1934.						
	70	cultural - settlement	24	Great Britain Colonial Office Report of the British Guiana and British Honduras Settlement commission by Sir Geoffrey Evans and others London: HMSO 1948 360pp.						
	71	cultural - settlement	24	Holdridge Desmond ‘Toledo: A tropical refugee settlement in British Honduras’ Geographical Review 30/3:376-393 July 1940.						
	72	cultural - settlement	24	‘Land settlement scheme’ Journal of the British Honduras Agricultural Society 2: 91 July-Sept 1936.						
	73	cultural - settlement	24	Minkel Thomas A ‘Mennonite Colonisation in British Honduras’ The Pennsylvania Geographer 5/3: 1-5 April 1967.						
	74	cultural - settlement	24	Parsons James J ‘English speaking settlements of the western Caribbean’ Yearbook of the Assn of the Pacific Coast Geographers 16: 3-16 1954.						
	75	cultural - settlement	24	‘Report of British Guiana and British Honduras settlement commission’ Geographical Journal 112: 219-223 1948.						
	76	cultural - settlement	24	Sawatsky Harry Leonard Mennonite settlement in British Honduras Berkeley California: Dept of Geography Univeristy of California 1969.						
	77	cultural - settlement	24	Simnett WE ‘Where to settle the Jews’ Spectator 162: 20 6 Jan 1939.						
	78	cultural - anthropology	25	Allsop SRR ‘British Honduras the linguistic dilemma’ Caribbean Quarterly 2/3 2/4: 54-61 Sept-Dec 1965.						
	79	cultural - anthropology	25	Anderson AH ‘Anthropological activities in British Honduras 1956-57’ Boletin Bibliografico de Antropologia Americana 19/1 20/1: 77-78 1958.						
	80	cultural - anthropology	25	Ashcraft Norman ‘The Domestic Group in Mahogany British Honduras’ Social and Economic Studies 15: 266 1966.						
	81	cultural - anthropology	25	- 'The internal marketing system of British Honduras past and present’ A paper presented at the Session on Economic Anthropology Latin America 67th Annual Mtg of the American Anthropological Assn Seattle 22 Nov 1968.						
	82	cultural - anthropology	25	- Kinship family and the domestic group in British Honduras Waltham Massachusetts: Brandeis University 1966 54pp.						
	83	cultural - anthropology	25	Coe Michael D ‘The funerary temple among the Classic Maya’ Southwestern Journal of Anthropology 12: 387-394 Winter 1956.						
	84	cultural - anthropology	25	- ‘Social typology and tropical forest civilisation’ Comparative Studies in Society and History 4/1: 65-85 1961.						
	85	cultural - anthropology	25	Conzemius Eduard ‘Ethnographical notes on the Black Carib (Garif)’ American Anthropologist NS 30: 183-205 April-June 1928.						
	86	cultural - anthropology	25	Cosminsky Sheila Interethnic relations in Punta Gorda Waltham Mass: Brandeis Univ 1966 56pp.						
	87	cultural - anthropology	25	de Borhegyi Stephan F ‘The development of folk and complex culture in the southern Maya area’ American Antiquity 21/4: 343-356 April 1956.						
	88	cultural - anthropology	25	Gann Thomas WF Ancient cities and modern tribes explorations and adventures in Maya lands London 1926 256pp.						
	89	cultural - anthropology	26	- 'The Chachac or rain ceremony as practiced by the Maya of southern Yucatan and Brit Hon’ Proceedings of the 21st Intl Congress of Americanists 21: 409-418 1915.						
	90	cultural - anthropology	26	Jones David RW ‘The Caribbean coast of Cent Amer a case of multiple fragmentation’ Professional Geographer 22/5: 260-266 Sept 1970.						
	91	cultural - anthropology	26	Jones Grant D ‘Los canners sociopolitical aspects o the history of agriculture in the Corozal region of British Honduras’ PhD dissertation Dept of Anthropology Brandeis Univ 1969 390pp.						
	92	cultural - anthropology	26	Kaplan Myron R Carib self-identity Waltham Mass: Brandeis Univ 1966 19pp.						
	93	cultural - anthropology	26	Leon Thomas ‘Les caribes noirs du Honduras Britannique’ Les Cahiers D’Outre-Mer 8/30: 196-202 April-June 1955.						
	94	cultural - anthropology	26	Lines Jorge A ed Anthropological bibliography of aboriginal Guatemala and Brit Hon San Jose Costa Rica: Tropical Science Ctr for Associated Colleges of the Midwest 1967 309pp.						
	95	cultural - anthropology	26	Lord David ‘Planned socio-cultural change in a British Honduran fishing village’ MA thesis Dept of Anthropology Michigan State Univ 1967.						
	96	cultural - anthropology	26	Malmgreen Joanna British Honduras seminar report Waltham Mass: Brandeis Univ 1966 30pp.						
	97	cultural - anthropology	26	Matson G Albin Sutton HE Swanson Jane and Robinson AR ‘Distribution of haptoglobin transferring and haemoglobin types among Indians of Middle America: British Honduras Costa Rica and Panama’ American Journal of Physical Anthropology NS 23/2: 123-129 June 1965.						
