Meta: Table 1
	Datapoints	Excluded		
< 1790	46	1		
> 1790	89	0		
Exports				


Sum: Table 1
Yr	Population	Note
1871	"24,710"	
1872	"24,984"	
1873	"25,258"	
1874	"25,533"	
1875	"25,807"	
1876	"26,081"	
1877	"26,355"	
1878	"26,629"	
1879	"26,904"	
1880	"27,178"	
1881	"27,452"	
1882	"27,854"	
1883	"28,256"	
1884	"28,658"	
1885	"29,060"	
1886	"29,462"	
1887	"29,863"	
1888	"30,265"	
1889	"30,667"	
1890	"31,069"	
1891	"31,471"	
1892	"32,072"	
1893	"32,673"	
1894	"33,273"	
1895	"33,874"	
1896	"34,475"	
1897	"35,076"	
1898	"35,677"	
1899	"36,277"	
1900	"36,878"	
1901	"37,479"	
1902	"37,777"	
1903	"38,075"	
1904	"38,373"	
1905	"38,671"	
1906	"38,969"	
1907	"39,266"	
1908	"39,564"	
1909	"39,862"	
1910	"40,160"	
1911	"40,458"	
1912	"40,944"	
1913	"41,430"	
1914	"41,916"	
1915	"42,402"	
1916	"42,888"	
1917	"43,373"	
1918	"43,859"	
1919	"44,345"	
1920	"44,831"	
1921	"45,317"	
1922	"45,920"	
1923	"46,523"	
1924	"47,126"	
1925	"47,729"	
1926	"48,332"	
1927	"48,935"	
1928	"49,538"	
1929	"50,141"	
1930	"50,744"	
1931	"51,347"	
1932	"51,872"	
1933	"52,397"	
1934	"52,922"	
1935	"53,446"	
1936	"53,971"	
1937	"54,496"	
1938	"55,021"	
1939	"55,546"	
1940	"56,071"	
1941	"56,596"	
1942	"57,121"	
1943	"57,645"	
1944	"58,170"	
1945	"58,695"	
1946	"59,220"	
1947	"61,455"	
1948	"63,689"	
1949	"65,639"	
1950	"68,537"	
1951	"70,567"	
1952	"72,899"	
1953	"75,320"	
1954	"77,596"	
1955	"80,110"	
1956	"81,950"	
1957	"84,450"	
1958	"87,096"	
1959	"88,878"	
1960	"90,507"	
1961	"93,586"	
1962	"98,453"	
1963	"100,165"	
1964	"103,069"	
1965	"106,120"	
1966	"109,348"	
1967	"112,707"	
1968	"116,065"	
1969	"119,269"	
1970	"122,184"	
1971	"124,795"	
1972	"127,152"	
1973	"129,294"	
1974	"131,305"	
1975	"133,264"	
1976	"135,143"	
1977	"136,990"	
1978	"138,975"	
1979	"141,302"	
1980	"144,142"	
1981	"147,572"	
1982	"151,486"	
1983	"155,820"	
1984	"160,341"	
1985	"164,918"	
1986	"169,569"	
1987	"174,333"	
1988	"179,023"	
1989	"183,471"	
1990	"187,554"	
1991	"191,136"	
1992	"194,324"	
1993	"197,625"	
1994	"201,679"	
1995	"206,962"	
1996	"213,660"	
1997	"221,575"	
1998	"230,248"	
1999	"238,979"	
2000	"247,310"	
2001	"255,068"	
2002	"262,387"	
2003	"269,428"	
2004	"276,516"	
2005	"283,798"	
2006	"291,338"	
2007	"299,031"	
2008	"306,822"	
2009	"314,655"	
2010	"322,465"	
2011	"330,236"	
2012	"338,001"	
2013	"345,707"	
2014	"353,366"	
2015	"360,926"	
2016	"368,399"	
2017	"375,775"	
2018	"383,071"	
2019	"390,351"	
2020	"397,621"	


< 1790: Table 1
Yr	Log	£	Date	Event	Desc	Source	A L	A U	Cf	E L Ev	E U Ev	Cf	L Splice	U Splice	L Extra	U Extra	Formula	L Fin	U Fin
1638	0			// Pirate raids	c ? 70 crew camping	Vars				50	90		50	90				50	90
1639	0														50	90	Con	50	90
1640	0														50	90	Con	50	90
1641	0														50	90	Con	50	90
1642	0														50	90	Con	50	90
1643	0														50	90	Con	50	90
1644	0														50	90	Con	50	90
1645	0														50	90	Con	50	90
1646	0														50	90	Con	50	90
1647	0														50	90	Con	50	90
1648	0														50	90	Con	50	90
1649	0														50	90	Con	50	90
1650	0														50	90	Con	50	90
1651	0														50	90	Con	50	90
1652	0														50	90	Con	50	90
1653	0														50	90	Con	50	90
1654	0														50	90	Con	50	90
1655	0														50	90	Con	50	90
1656	0														50	90	Con	50	90
1657	0														50	90	Con	50	90
1658	0														50	90	Con	50	90
1659	0														50	90	Con	50	90
1660	0														50	90	Con	50	90
1661	0														50	90	Con	50	90
1662															50	90	Con	50	90
1663															60	108	Growth 1.2	60	108
1664															69	114	Inter	69	114
1665															77	120	Inter	77	120
1666															86	126	Inter	86	126
1667															94	132	Inter	94	132
1668															103	138	Inter	103	138
1669															111	144	Inter	111	144
1670			? ?		c ? Bay men from Belize R. settle New & Hondo Rivers after 29 May 1652 destruction of Bacalar town	Read’s Weekly Journal or British Gazetteer 375 London 1732 p 3				120	150	1226 III CSPC 7	120	150				120	150
1671															240	300	Med	240	300
1672			28 Sep		c 900 at Beef Island near Triste	940 CSPC 7				360	450		360	450				360	450
1673			"5 Mar


8 Jul"		"c 300 residing winter & summer at Yucatan for eight years past

c 500 or 600 loggers & privateers at Campeachy"	"1226 III CSPC 7


1115 CSPC 7"				200	300	1115 CSPC 7	200	300				200	300
1674															150	213	Med	150	213
1675			? Sep		c 250 settled in Campeachy	W. Dampier Voyages and descriptions v 2 part II “The Campeachy Voyages” London 1700				100	125		100	125				100	125
1676															100	133	Inter	100	133
1677															100	141	Inter	100	141
1678															100	149	Inter	100	149
1679															100	156	Inter	100	156
1680															100	164	Inter	100	164
1681			23 Nov	// Attack & expulsion at Campeachy	c 80 or 90 loggers surrendered to Spanish at Triste; many others escaped imprisonment	303 CSPC 11									100	172	Inter	100	172
1682			29 Aug		c 200 to 300 loggers at Yucatan & New Spain	668 CSPC 11				100	180		100	180				100	180
1683															106	186	Inter	106	186
1684															113	192	Inter	113	192
1685															119	198	Inter	119	198
1686	444														125	204	Inter	125	204
1687	402														131	211	Inter	131	211
1688	"1,984"														138	217	Inter	138	217
1689	"1,040"														144	223	Inter	144	223
1690	320														150	229	Inter	150	229
1691															156	236	Inter	156	236
1692															163	242	Inter	163	242
1693															169	248	Inter	169	248
1694															175	254	Inter	175	254
1695															181	261	Inter	181	261
1696															188	267	Inter	188	267
1697	623														194	273	Inter	194	273
1698	"1,067"														200	279	Inter	200	279
1699	"2,843"														206	286	Inter	206	286
1700	"6,618"														213	292	Inter	213	292
1701	"4,792"		1 Jun	// Attacks & expulsions at Campeachy & Honduras	"Spaniards have “made some Descents in the Bay of Campeachy, and on the Coast of Honduras, where they have burnt Houses, and drove away the People”"	Flying Post 944 London 1701 p 2									219	298	Inter	219	298
1702	"4,434"		15 May		England / GB (part of Grand Alliance) declares war on France & Spain										225	304	Inter	225	304
1703	"2,422"														231	311	Inter	231	311
1704	"1,209"														238	317	Inter	238	317
1705			? Sep	Belize appraised as one of principal sources of logwood for English	“River of Bully” (60 leagues from Porto Cavallo) = one of principal sources of logwood for English	CO 137/51 ff ?									244	323	Inter	244	323
1706	321														250	329	Inter	250	329
1707	829														256	336	Inter	256	336
1708	"1,290"														263	342	Inter	263	342
1709	826														269	348	Inter	269	348
1710	653														275	354	Inter	275	354
1711	470														281	361	Inter	281	361
1712			? Jul	// Attacks & expulsions at Campeachy “some Time before”	"c 7 or 8 English, 12 slaves near Triest, after Spanish routing “some Time before”"	N. Uring A history of the voyages and travels of Capt. Nathaniel Uring p 246 London 1726									288	367	Inter	288	367
1713	"2,190"		13 Jul		GB signs Peace of Utrecht with Spain										294	373	Inter	294	373
1714	"4,766"									300	360	BNL 596; A. B. 1726	300	360				300	360
1715	"5,860"		19 Sep	// Famine at Campeachy	"c 200 loggers gone from Campeachy, few remain starving, several Negroes dyed"	Boston News-Letter 596 Boston 1715 p 2				320	400		320	400				320	400
1716	"2,056"		"? Feb


10 Dec"	"


// Attack & expulsion at Campeachy"	"c 150 “Men Whites and Blacks” held by Spanish in Campeachy

c 50 loggers escape imprisonment by Spanish at Triste; Spanish hold & settle Triste & Terminos"	"Boston News-Letter 629 Boston 1716 p 2


484 X CSPC 29"									349	433	Inter	349	433
1717	"1,148"		"8 Apr



? ?"		"c 200 to 300 loggers in Campeachy before Nov 1716 Spanish expulsion hadn’t surrendered, were “are Raving about in Perry-augers”

c 400 loggers in Campeachy before Nov 1716 Spanish expulsion (= 2000 men employed in logwood trade ÷ 100 sail employed likewise, of which “upwards of 20 Sail” seized by Spanish in two attacks)"	"Boston News-Letter 677 Boston 1717 p 2



A. B. The state of the island of Jamaica London 1726 p 15-6"									378	466	Inter	378	466
1718	"1,175"		? ?	Campeachy loggers logging in Honduras	"Campeachy loggers, driven from Campeachy, “followed the same business in the bay of Honduras”"	"W. Douglas A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America 2 London 1755 p 88"									407	499	Inter	407	499
1719	740														366	449	Decay 0.9	366	449
1720	343														183	224	Decay 0.5	183	224
1721	"1,798"														353	427	Median	353	427
1722	"1,130"		? Aug		c 500 Merchants & Slaves at Barcadares on Belize R.	"J. Atkins A voyage to Guinea, Brasil and the West-Indies in His Majesty's ships, the Swallow and Weymouth London 1737 p 227"				523	630		523	630				523	630
1723	"2,274"														784	945	Growth 1.5	784	945
1724	"3,347"		15 Jul	// Attack & imprisonment of 7 or 8 sloops in Honduras	"c 7 or 8 sloops in Honduras, “gone thither to cut Logwood”, seized by Spanish man-of-war; men taken as slaves"	Parker’s London News or the Impartial Intelligencer 883 London 1724 p 5									941	"1,134"	Growth 1.2	941	"1,134"
1725	"3,221"														893	"1,077"	Decay 0.95	893	"1,077"
1726	"3,588"														938	"1,131"	Growth 1.05	938	"1,131"
1727	"3,109"														844	"1,018"	Decay 0.9	844	"1,018"
1728															760	916	Decay 0.9	760	916
1729	989														380	458	Decay 0.5	380	458
1730	"1,505"		18 Aug	// Attack & imprisonment of 30 loggers at New R.	c 30 English loggers at New River imprisoned in Spanish raid	London Journal 532 London 1729 p 5									456	550	Growth 1.2	456	550
1731	781		24 Nov	// Evacuation of Honduras	"c 30 Persons remain at Hondo, New & Belize R., “under such Hardships, that they wish for nothing more, than an Opportunity to be gone.”"	Read’s Weekly Journal or British Gazetteer 375 London 1732 p 3	29	32					29	32				29	32
1732	"1,189"		22 Jul		"c 8 or 9 Baymen left in Honduras, “hide in the Woods till they can get an Opportunity of transporting themselves to some other Place more secure.”"	Universal Spectator and Weekly Journal 198 London 1732 p 3	8	9					8	9				8	9
1733	"1,461"		3 Oct		"c 2 “Families” left in Honduras, “most"" Baymen gone to Merida & Campeche with Servants etc. on promise of employment by Spanish"	Weekly Rehearsal 106 Boston 1733 p 2				8	14		8	14				8	14
1734	"1,262"														99	112	Median	99	112
1735	"1,595"		"6 Aug


12 Oct"	// Presence of loggers in Honduras noted	"c 0 English loggers in Campeachy, c 200 in Honduras


“the Fleet was there [Belize River] … [and] had met no Disturbance from the Spaniards”"	"Aug 1735 v 44 Journals of the Board of Trade and Plantations v 7 London 1930

Boston Gazette 824 Boston 1735 p 3"	190	210	JBTP 7 1930				190	210				190	210
1736	"2,232"														254	274	Inter 1746-50	254	274
1737	"2,177"														338	356	Inter 1746-50	338	356
1738	"2,520"														451	464	Inter 1746-50	451	464
1739	"1,945"		22 Oct	// Start of War of Jenkins’ Ear	Start of War of Jenkins’ Ear										602	604	Inter 1746-50	602	604
1740	"1,997"														804	787	Inter 1746-50	804	787
1741	"1,289"														675	666	Inter	675	666
1742	"1,031"														547	544	Inter	547	544
1743	"1,299"														418	422	Inter	418	422
1744	495														290	300	Inter	290	300
1745	574		8 June		"c 170 inhabitants, 50 English + 120 slaves, in ? [Honduras]"	CO 137/48 ff ?	162	179					162	179				162	179
1746	137														216	233	Inter	216	233
1747	596														270	287	Inter	270	287
1748	"1,747"														324	341	Inter	324	341
1749	"1,234"		18 Oct	// End of War of Jenkins’ Ear	End of War of Jenkins’ Ear										378	395	Inter	378	395
1750	"4,660"														432	449	Inter	432	449
1751	"7,386"		14 Jul		"129 English Baymen = 7 small Sloops, taken from New R. by Spanish; 57 Sail at Belize R. (implied to be > 180 men)"	Boston Gazette 1643 Boston 1751 p 2				486	729		486	729				486	729
1752	"5,368"		1 May	// Evacuation of Honduras	"c 5 “Families” left in Honduras, “most of the Bay-men” from Honduras now at Mosquito Shore (at least 40), driven away by “being daily routed by the Spaniards”"	New-York Mercury 16 NYC 1752 p 2				20	35		20	35				20	35
1753	"3,912"									450	550	LEP 4234	450	550				450	550
1754	"3,214"		"? Apr


2 Oct




22 Oct"	"// Battle at Belize Town with Spanish force

// Evacuation of Honduras & settlement of Honduras by Spanish"	"210 Baymen, “principally slaves”, drive off incoming Spanish force from Belize town

""the Baymen [have] deserted the Bay of Honduras, and, to the Number of 500, [are] actually arrived on the Musqueto Shore; … there remain in the Bay only ten or eleven very old Negroes”

“The Bay of Honduras is settled by Spaniards.”"	"Antigua Weekly Register XV 759 St. John’s (Antigua & Barbuda) 1818 p 4

London Evening Post 4234 London 1754 p 3



London Evening Post 4228 London 1754 p 3"	10	11	LEP 4234				10	11				10	11
1755	"2,545"		11 Feb	// Evacuation of Spanish from Honduras	"“Spaniards have orders from Old Spain to evacuate the Bay of Honduras, and let the English remain in quiet Possession thereof.”"	Antigua Gazette 130 St. John’s (Antigua & Barbuda) 1755 p 3									225	413	Fraction 1753	225	413
1756	"4,803"														338	619	Growth 1.5	338	619
1757	"4,158"		? ?	// Presence of loggers in Honduras noted	"c 1,500 men in Honduras"	E. Burke & W Burke An account of the European settlements in America 2 London 1757 p 71									405	743	Growth 1.2	405	743
1758	"3,937"		19 Nov	// Evacuation of Honduras	“in Fear of a Rout … The greatest Part have … quit the Bay” of Honduras	Pennsylvania Gazette 1568 Philadelphia 1759 p 3									135	248	Decay 1/3	135	248
1759	"4,851"		"23 Apr


24 Oct"	"// Evacuation of Honduras


// Presence of min. 61 loggers & slaves noted at Belize R."	"“the Bay [of Honduras] is almost evacuated”


31 English Baymen + 30 Negroes “belonging to several Baymen” taken from Belize R. by Spanish “a few days ago”; saved from imprisonment by Capt. Owens"	"Pennsylvania Gazette 1589 Philadelphia 1759 p 3

Pennsylvania Gazette 1624 Philadelphia 1760 p 3"				73	79		73	79				73	79
1760	"1,853"														212	218	Inter	212	218
1761	878														350	356	Inter	350	356
1762	"1,984"		4 Jan		GB declares war on Spain										489	495	Inter	489	495
1763	"3,567"		"10 Feb

29 Dec"	"

// Presence of 20 property owners noted at New & Hondo R."	"GB enters Treaty of Paris with Spain & others

c / min 20 Baymen in New & Hondo River before evacuation order by G of Yucatan"	"

CO 5/119 Part 1 ff 96-7"									627	633	Inter	627	633
1764	"4,503"														766	772	Inter	766	772
1765	"6,058"														904	911	Inter	904	911
1766	"10,539"	"11,601"													"1,043"	"1,142"	1785	"1,043"	"1,142"
1767	"9,099"	"15,611"													991	"1,085"	Decay 0.95	991	"1,085"
1768	"9,598"	"34,633"													"1,040"	"1,139"	Growth 1.05	"1,040"	"1,139"
1769	"10,368"	"7,456"													"1,092"	"1,196"	Growth 1.05	"1,092"	"1,196"
1770	"10,590"	"85,659"	3 Oct	// Presence of “several” property owners noted at Ambergris Caye	"“about six weeks ago, a Spanish Pettiauger, … , from Baccalar, went to an Island in the Bay, called Ambergris, burnt several small Houses, and carried off a Negroe, under Pretence that the English had no Right to cut Wood there.”"	Pennsylvania Gazette 2189 Philadelphia 1770 p 3									"1,147"	"1,256"	Growth 1.05	"1,147"	"1,256"
1771	"3,466"	"34,087"													573	628	Decay 0.5	573	628
1772	"6,663"	"51,080"													860	942	Growth 1.5	860	942
1773	"2,181"	"21,378"													850	932	Inter	850	932
1774	"1,978"	"25,254"													840	921	Inter	840	921
1775	"2,754"	"43,180"													829	911	Inter	829	911
1776	"1,548"	"30,007"													819	901	Inter	819	901
1777	"1,893"	"27,744"													809	891	Inter	809	891
1778	"2,264"	"44,004"													799	850	1782	799	850
1779	"4,403"	"10,690"	"? Jun

28 Aug


15 Sep"	"// Spain enters US Independence War



// Attack & imprisonment of 95 to 100 at St. George’s Caye; & evacuation of Honduras"	"Spain enters US war against GB

c 200 Baymen + 500 slaves fit for combat in ? [Honduras]

Attack on St. George’s Caye; c 95 to 100 English Baymen imprisoned; c / min 100 escaped"	"

CO 137/75 ff ?"				8	21	WR 106; LEP 4234	8	21				8	21
1780	"4,296"	14								8	21	WR 106; LEP 4234	8	21				8	21
1781	"3,057"									8	21	WR 106; LEP 4234	8	21				8	21
1782	"1,441"		"? Jul


16 Sep"	"// Release of imprisoned Baymen

// Resettlement of Honduras"	"Imprisoned Baymen released


Baymen resettle Honduras"										799	850	Inter 1788-9	799	850
1783	"1,140"		? Sep	// End of US Independence War	GB enters Treaty of Versailles with Spain										873	938	Inter 1788-9	873	938
1784	"2,323"														954	"1,035"	Inter 1788-9	954	"1,035"
1785	"11,683"														"1,043"	"1,142"	Inter 1788-9	"1,043"	"1,142"
1786	"15,472"		1 Jul	Daily increase of population noted	“Settlers at the Bay [of Honduras] … daily increase”	"Pennsylvania Journal, or, Weekly Advertiser 2094 Philadelphia 1786 p 2"	"1,140"	"1,260"	SLMG I 29				"1,140"	"1,260"				"1,140"	"1,260"
1787	"8,795"		21 Jun	// Evacuation of Mosquito Shore completed	"Evacuation of Mosquito Shore completed

c 15 sloops and schooners at Belize R. & St. Georges; 22 or 23 at Hondo & New R.; c 1,000 people resident at “Bellize-point”; 

3408 inhabitants, of which 1200 = old Baymen, rest being relocated people from Mosquito Shore"	"

Daily Advertiser IV 902 NYC 1788 p 2



Savannah-la-Mar Gazette I 29 Savannah-la-Mar (Jamaica) 1788 p 3"	"3,348"	"3,468"	SLMG I 29				"3,348"	"3,468"				"3,348"	"3,468"
1788	"6,334"														"3,063"	"3,143"	Inter	"3,063"	"3,143"
1789															"2,778"	"2,818"	Inter	"2,778"	"2,818"
1790			22 Oct	First census	2493 inhabitants	CO 123/9 ff ?	"2,493"	"2,493"					"2,493"	"2,493"				"2,493"	"2,493"


> 1790: Table 1
Yr	Census	Source	UN	Inter	Fin	Note
1790	"2,493"	SIB		"2,493"	"2,493"	
1791				"2,606"	"2,606"	
1792				"2,719"	"2,719"	
1793				"2,831"	"2,831"	
1794				"2,944"	"2,944"	
1795				"3,057"	"3,057"	
1796				"3,170"	"3,170"	
1797				"3,282"	"3,282"	
1798				"3,395"	"3,395"	
1799				"3,508"	"3,508"	
1800				"3,621"	"3,621"	
1801				"3,733"	"3,733"	
1802				"3,846"	"3,846"	
1803				"3,959"	"3,959"	
1804				"3,914"	"3,914"	
1805				"3,869"	"3,869"	
1806	"3,824"	SIB		"3,824"	"3,824"	
1807				"3,841"	"3,841"	
1808				"3,857"	"3,857"	
1809				"3,874"	"3,874"	
1810				"3,891"	"3,891"	
1811				"3,907"	"3,907"	
1812				"3,924"	"3,924"	
1813				"3,941"	"3,941"	
1814				"3,957"	"3,957"	
1815				"3,974"	"3,974"	
1816				"3,990"	"3,990"	
1817				"4,007"	"4,007"	
1818				"4,024"	"4,024"	
1819				"4,040"	"4,040"	
1820				"4,057"	"4,057"	
1821				"4,074"	"4,074"	
1822				"4,090"	"4,090"	
1823	"4,107"	SIB		"4,107"	"4,107"	
1824				"4,622"	"4,622"	
1825				"5,138"	"5,138"	
1826	"5,653"	SIB		"5,653"	"5,653"	
1827				"5,180"	"5,180"	
1828				"4,708"	"4,708"	
1829	"4,235"	SIB		"4,235"	"4,235"	
1830				"4,336"	"4,336"	
1831				"4,436"	"4,436"	
1832	"4,537"	SIB		"4,537"	"4,537"	
1833				"3,872"	"3,872"	
1834				"3,208"	"3,208"	
1835	"2,543"	SIB		"2,543"	"2,543"	
1836				"3,492"	"3,492"	
1837				"4,440"	"4,440"	
1838				"5,389"	"5,389"	
1839				"6,338"	"6,338"	
1840				"7,286"	"7,286"	
1841	"8,235"	SIB		"8,235"	"8,235"	
1842				"8,718"	"8,718"	
1843				"9,201"	"9,201"	
1844				"9,685"	"9,685"	
1845				"10,168"	"10,168"	
1846				"10,651"	"10,651"	
1847				"11,134"	"11,134"	
1848				"11,618"	"11,618"	
1849				"12,101"	"12,101"	
1850				"12,584"	"12,584"	
1851				"13,067"	"13,067"	
1852				"13,550"	"13,550"	
1853				"14,034"	"14,034"	
1854				"14,517"	"14,517"	
1855				"15,000"	"15,000"	
1856				"16,773"	"16,773"	
1857				"18,545"	"18,545"	
1858				"20,318"	"20,318"	
1859				"22,090"	"22,090"	
1860				"23,863"	"23,863"	
1861	"25,635"	SIB		"25,635"	"25,635"	
1862				"25,543"	"25,543"	
1863				"25,450"	"25,450"	
1864				"25,358"	"25,358"	
1865				"25,265"	"25,265"	
1866				"25,173"	"25,173"	
1867				"25,080"	"25,080"	
1868				"24,988"	"24,988"	
1869				"24,895"	"24,895"	
1870				"24,803"	"24,803"	
1871	"24,710"	SIB		"24,710"	"24,710"	
1872				"24,984"	"24,984"	
1873				"25,258"	"25,258"	
1874				"25,533"	"25,533"	
1875				"25,807"	"25,807"	
1876				"26,081"	"26,081"	
1877				"26,355"	"26,355"	
1878				"26,629"	"26,629"	
1879				"26,904"	"26,904"	
1880				"27,178"	"27,178"	
1881	"27,452"	SIB		"27,452"	"27,452"	
1882				"27,854"	"27,854"	
1883				"28,256"	"28,256"	
1884				"28,658"	"28,658"	
1885				"29,060"	"29,060"	
1886				"29,462"	"29,462"	
1887				"29,863"	"29,863"	
1888				"30,265"	"30,265"	
1889				"30,667"	"30,667"	
1890				"31,069"	"31,069"	
1891	"31,471"	SIB		"31,471"	"31,471"	
1892				"32,072"	"32,072"	
1893				"32,673"	"32,673"	
1894				"33,273"	"33,273"	
1895				"33,874"	"33,874"	
1896				"34,475"	"34,475"	
1897				"35,076"	"35,076"	
1898				"35,677"	"35,677"	
1899				"36,277"	"36,277"	
1900				"36,878"	"36,878"	
1901	"37,479"	SIB		"37,479"	"37,479"	
1902				"37,777"	"37,777"	
1903				"38,075"	"38,075"	
1904				"38,373"	"38,373"	
1905				"38,671"	"38,671"	
1906				"38,969"	"38,969"	
1907				"39,266"	"39,266"	
1908				"39,564"	"39,564"	
1909				"39,862"	"39,862"	
1910				"40,160"	"40,160"	
1911	"40,458"	SIB		"40,458"	"40,458"	
1912				"40,944"	"40,944"	
1913				"41,430"	"41,430"	
1914				"41,916"	"41,916"	
1915				"42,402"	"42,402"	
1916				"42,888"	"42,888"	
1917				"43,373"	"43,373"	
1918				"43,859"	"43,859"	
1919				"44,345"	"44,345"	
1920				"44,831"	"44,831"	
1921	"45,317"	SIB		"45,317"	"45,317"	
1922				"45,920"	"45,920"	
1923				"46,523"	"46,523"	
1924				"47,126"	"47,126"	
1925				"47,729"	"47,729"	
1926				"48,332"	"48,332"	
1927				"48,935"	"48,935"	
1928				"49,538"	"49,538"	
1929				"50,141"	"50,141"	
1930				"50,744"	"50,744"	
1931	"51,347"	SIB		"51,347"	"51,347"	
1932				"51,872"	"51,872"	
1933				"52,397"	"52,397"	
1934				"52,922"	"52,922"	
1935				"53,446"	"53,446"	
1936				"53,971"	"53,971"	
1937				"54,496"	"54,496"	
1938				"55,021"	"55,021"	
1939				"55,546"	"55,546"	
1940				"56,071"	"56,071"	
1941				"56,596"	"56,596"	
1942				"57,121"	"57,121"	
1943				"57,645"	"57,645"	
1944				"58,170"	"58,170"	
1945				"58,695"	"58,695"	
1946	"59,220"	SIB		"59,220"	"59,220"	
1947				"61,455"	"61,455"	
1948				"63,689"	"63,689"	
1949			"65,354"	"65,924"	"65,639"	Median
1950			"68,915"	"68,159"	"68,537"	Median
1951			"70,741"	"70,393"	"70,567"	Median
1952			"73,171"	"72,628"	"72,899"	Median
1953			"75,778"	"74,863"	"75,320"	Median
1954			"78,094"	"77,097"	"77,596"	Median
1955			"80,888"	"79,332"	"80,110"	Median
1956			"82,333"	"81,566"	"81,950"	Median
1957			"85,098"	"83,801"	"84,450"	Median
