Cust Jamaica: Table 1
	Start	End	In	Log	p	for	Note		Start	End	Period	Value	Sum	Hon	Not Hon Not Camp	Sum	Camp	Hon	Other			
81	mich 96	lady day 97	8/10 Jam … 10 NE …	622.56	265	157.925	107	0	0	0			2400	2400	2400	2400	2040	2040	2040	2400		0	157.925	0	0	107	0	0	0	0		0/0/0	0/0/0	0/0/0	1461/15/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	705/10/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	117/10/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	204/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0					1461/15/0							705/10/0											117/10/0						204/0/0														
81	lady day 97	mich 97	10 Car NE NY Vi Mary … 8/10 Jam		358	211.675	145.670588235294	0	0	0.294117647058824			2400	2400	2400	2400	2040	2040	2040	2400		45.05	134.875	31.75	0	145.670588235294	0.294117647058824	0	0	0		0/0/0	450/10/0	0/0/0	15/0/0	0/0/0	0/0/0	1333/15/0	0/0/0	317/10/0	0/0/0	1140/19/7	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	97/4/5	2/10/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			450/10/0		15/0/0			1333/15/0		317/10/0		1140/19/7																	97/4/5	2/10/0													
1	mich 97	mich 98	18 Jam Bar WI … 17/3 Car … 17/5 NE NY … 18 VM … 16/5 Canada		"1,067"	114.30017429332	904.559953703704	0	0	47.8916666666667			4116	4140	4320	3900	4320	4320	4320	4116		3.50923226433431	110.265942028986	0.525	25	904.559953703704	22.8916666666667	0	0	0		406/5/0	51/50/0	0/0/0	1603/3/5	0/0/0	0/0/0	29/6/6	0/0/0	9/9/0	3/7/6	14082/1/4	408/13/6	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	6/13/8	0/0/0	0/0/0	0/0/0	269/11/10	0/0/0	0/0/0	0/0/0	2200/0/3	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0		406/5/0	51/50/0		1603/3/5			29/6/6		9/9/0	3/7/6	14082/1/4	408/13/6								6/13/8				269/11/10				2200/0/3														
2	mich 98	mas 98	18 Jam Bar … 17/9 Car … 17/3 NE NY … 18 VM … 		92	25.3809224467519	56.8625	0	0	9.34375			4188	4116	4320	4116	4320	4320	4320	4188		0.321155682903534	6.5597667638484	18.5	0	56.8625	9.34375	0	0	0		0/0/0	5/12/1	0/0/0	78/0/0	0/0/0	0/0/0	0/0/0	0/0/0	331/13/0	103/10/0	1023/10/6	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	34/10/0	0/0/0	1/7/0	64/13/9	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			5/12/1		78/0/0					331/13/0	103/10/0	1023/10/6													34/10/0		1/7/0	64/13/9															
3	mas 98	mas 99	12 to 14		"2,843"	691.891987179487	2151.19967948718	0	0	0			3120	3120	3120	3120	3120	3120	3120	3120		89.3875	602.504487179487	0	0	2151.19967948718	0	0	0	0		0/0/0	1162/0/9	0/0/0	4396/5/6	0/0/0	0/0/0	1347/2/6	0/0/0	0/0/0	0/0/0	18745/15/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	344/14/3	0/0/0	1744/8/11	0/0/0	0/0/0	0/0/0	9219/16/11	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1162/0/9		4396/5/6			1347/2/6				18745/15/0											344/14/3		1744/8/11				9219/16/11														
4	mas 99	mas 00	9 to 15		"6,618"	2086.83611111111	4445.84652777778	0	0	85.621875			2880	2880	2880	2880	2880	2880	2880	2880		371.774652777778	1707.03333333333	8.028125	0	4445.84652777778	85.621875	0	0	0		0/0/0	4461/5/11	0/0/0	8095/13/9	0/0/0	2076/0/0	6074/5/0	117/18/0	1/8/6	308/0/6	48988/13/0	361/10/0	108/12/0	126/9/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	3502/8/6	0/0/0	488/2/0	130/0/9	94/18/3	115/17/6	4361/10/2	7/0/3	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			4461/5/11		8095/13/9		2076/0/0	6074/5/0	117/18/0	1/8/6	308/0/6	48988/13/0	361/10/0	108/12/0	126/9/0								3502/8/6		488/2/0	130/0/9	94/18/3	115/17/6	4361/10/2	7/0/3													
5	mas 00	mas 01	10 to 14		"4,792"	2040.23854166666	2639.42256944444	0	0	111.884375			2880	2880	2880	2880	2880	2880	2880	2880		713.647222222222	1326.09131944444	0.5	0	2639.42256944444	111.884375	0	0	0		0/0/0	5899/17/6	0/0/0	7505/17/5	0/0/0	0/0/0	4741/9/0	720/0/0	0/0/0	1201/0/3	26571/12/7	0/15/0	17/14/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	2663/17/10	0/0/0	1158/9/0	0/0/0	1787/6/6	0/0/0	6/0/0	123/3/0	5101/8/10	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			5899/17/6		7505/17/5			4741/9/0	720/0/0		1201/0/3	26571/12/7	0/15/0	17/14/0							2663/17/10		1158/9/0		1787/6/6		6/0/0	123/3/0	5101/8/10														
6	mas 01	mas 02	10 to 14		"4,434"	1590.684375	2668.184375	0	0	175.610069444444			2880	2880	2880	2880	2880	2880	2880	2880		84.64375	1506.040625	0	0	2668.184375	175.610069444444	0	0	0		0/0/0	1015/14/6	0/0/0	13334/12/6	0/0/0	420/18/0	1442/6/6	420/18/0	0/0/0	713/13/4	26740/5/1	136/10/0	536/17/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	1081/14/10	0/0/0	1371/19/11	0/0/0	0/0/0	0/0/0	5277/19/2	39/2/3	573/3/10	108/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1015/14/6		13334/12/6		420/18/0	1442/6/6	420/18/0		713/13/4	26740/5/1	136/10/0	536/17/0									1081/14/10		1371/19/11				5277/19/2	39/2/3	573/3/10	108/0/0											
7	mas 02	mas 03	9 to 15 Lon … 10 to 14 Out		"2,422"	1114.18125	1181.40069444444	0	0	126.300694444444			2880	2880	2880	2880	2880	2880	2880	2880		64.6173611111111	1049.56388888889	0	0	1181.40069444444	20.5875	0	0	106		0/0/0	419/4/0	0/0/0	8454/10/1	0/0/0	0/0/0	1321/10/0	687/3/0	0/0/0	7/1/0	11113/7/10	240/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	857/0/7	356/4/2	0/0/0	2069/11/3	0/0/0	62/1/0	0/0/0	0/0/0	0/0/0	3063/8/4	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	411/10/7			419/4/0		8454/10/1			1321/10/0	687/3/0		7/1/0	11113/7/10	240/0/0							857/0/7	356/4/2		2069/11/3		62/1/0				3063/8/4							411/10/7							
8	mas 03	mas 04	9 to 15 Lon … 10 to 14 Out		"1,209"	721.892013888889	413.918055555556	0	0	73.2225694444444			2880	2880	2880	2880	2880	2880	2880	2880		42.2652777777778	679.626736111111	0	0	413.918055555556	54.5625	0	0	19		0/0/0	329/11/5	0/0/0	6092/5/1	0/0/0	0/0/0	1275/12/0	662/8/0	0/0/0	0/0/0	3689/7/7	569/8/0	85/7/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	5/8/0	177/12/3	0/0/0	125/5/4	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	1277/12/9	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	218/10/5/5			329/11/5		6092/5/1			1275/12/0	662/8/0			3689/7/7	569/8/0	85/7/0						5/8/0	177/12/3		125/5/4						1277/12/9							218/10/5/5							
9	mas 05	mas 06	10 to 14		321	212.25625	108.497569444444	0	0	0.2			2880	2880	2880	2880	2880	2880	2880	2880		4.96388888888889	207.292361111111	0	0	108.497569444444	0	0	0	0		0/0/0	0/0/0	0/0/0	1648/17/2	0/0/0	0/0/0	290/17/0	502/16/0	0/0/0	0/0/0	1200/3/9	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	59/11/4	0/0/0	45/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	101/15/8	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	2/8/0					1648/17/2			290/17/0	502/16/0			1200/3/9									59/11/4		45/0/0						101/15/8							2/8/0							
10	mas 06	mas 07	10 to 14 Lon … 9 to 15 Out		829	630.382986111111	183.125	0	0	15.9625			2880	2880	2880	2880	2880	2880	2880	2880		89.4125	540.970486111111	0	0	183.125	15.9625	0	0	0		0/0/0	1072/19/0	0/0/0	4532/13/1	0/0/0	0/0/0	244/6/3	0/0/0	0/0/0	120/0/0	1568/9/8	48/12/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	391/13/6	0/0/0	1318/16/1	4/4/0	0/0/0	0/0/0	629/0/4	22/19/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1072/19/0		4532/13/1			244/6/3			120/0/0	1568/9/8	48/12/0										391/13/6		1318/16/1	4/4/0			629/0/4	22/19/0													
11	mas 07	mas 08	10 to 14		"1,290"	939.852777777778	289.015972222222	0	0	60.6557291666667			2880	2880	2880	2880	2880	2880	2880	2880		50.1201388888889	888.5625	1.17013888888889	0	289.015972222222	60.6557291666667	0	0	0		0/0/0	491/4/3	0/0/0	5974/13/4	0/0/0	0/0/0	2834/0/1	0/0/0	11/8/0	111/7/4.5	3381/15/4	208/10/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	110/4/7	0/0/0	1499/14/0	0/0/0	354/7/7	0/0/0	2/12/10	0/0/0	86/8/6	0/0/0	408/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			491/4/3		5974/13/4			2834/0/1		11/8/0	111/7/4.5	3381/15/4	208/10/0								110/4/7		1499/14/0		354/7/7		2/12/10		86/8/6		408/0/0												
12	mas 08	mas 09	9 to 15		826	678.202430555556	105.714583333333	0	0	41.8116319444444			2880	2880	2880	2880	2880	2880	2880	2880		155.804861111111	503.477430555556	18.9201388888889	0	105.714583333333	41.0741319444444	0	0	1		0/0/0	1858/5/6	0/0/0	4720/5/2	0/0/0	0/0/0	544/14/6	0/0/0	218/5/0	0/0/0	1268/11/6	301/4/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	11/7/8	0/0/0	365/4/10	0/0/0	411/10/1	0/0/0	8/15/10	0/0/0	0/0/0	0/0/0	191/13/9.5	0/0/0	0/0/0	0/0/0	0/0/0	8/17/0			1858/5/6		4720/5/2			544/14/6		218/5/0		1268/11/6	301/4/0								11/7/8		365/4/10		411/10/1		8/15/10				191/13/9.5					8/17/0							
13	mas 90	mas 10	10 to 14		653	239.330208333333	407.210069444444	0	0	6.7875			2880	2880	2880	2880	2880	2880	2880	2880		14.09375	221.986458333333	3.25	0	407.210069444444	6.7875	0	0	0		0/0/0	0/0/0	0/0/0	2101/15/8	0/0/0	0/0/0	173/2/0	0/0/0	39/0/0	0/0/0	3050/8/0	0/0/0	81/9/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	169/2/6	0/0/0	245/17/1	0/0/0	143/2/0	0/0/0	0/0/0	0/0/0	1836/2/5	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0					2101/15/8			173/2/0		39/0/0		3050/8/0		81/9/0							169/2/6		245/17/1		143/2/0				1836/2/5														
14	mas 10	mas 11	10 to 14		470	170.642361111111	250.88125	0	0	48.8076388888889			2880	2880	2880	2880	2880	2880	2880	2880		1.3875	128.917361111111	40.3375	0	250.88125	48.8076388888889	0	0	0		0/0/0	16/13/0	0/0/0	1302/8/8	0/0/0	0/0/0	0/0/0	0/0/0	243/6/0	0/0/0	1605/16/1	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	229/9/3	0/0/0	15/2/3	0/0/0	240/15/0	0/0/0	1404/15/5	0/0/0	585/13/10	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			16/13/0		1302/8/8					243/6/0		1605/16/1											229/9/3		15/2/3		240/15/0		1404/15/5		585/13/10												
15	mas 12	mas 13	10 to 14		"2,190"	1464.69791666667	710.099652777778	0	0	15			2880	2880	2880	2880	2880	2880	2880	2880		91.1795138888889	1365.99340277778	7.525	0	710.099652777778	15	0	0	0		0/0/0	1003/2/10	0/0/0	14467/4/5	0/0/0	0/0/0	469/19/0	0/0/0	0/12/0	0/0/0	4064/17/4	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	91/0/3	0/0/0	560/8/9	0/0/0	894/6/3	0/0/0	89/14/0	180/0/0	4456/6/7	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1003/2/10		14467/4/5			469/19/0		0/12/0		4064/17/4									91/0/3		560/8/9		894/6/3		89/14/0	180/0/0	4456/6/7														
16	mas 13	mas 14	10 to 14		"4,766"	3181.30555555555	1542.39236111111	0	0	42.8004340277778			2880	2880	2880	2880	2880	2880	2880	2880		125.942708333333	2934.91284722222	120.45	0	1542.39236111111	42.8004340277778	0	0	0		0/0/0	781/1/10	0/0/0	21764/15/7	0/0/0	0/0/0	7224/16/11	884/3/6	1442/2/0	363/13/3.25	12003/12/10	120/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	730/4/5	0/0/0	857/0/2	0/0/0	4488/2/11	0/0/0	3/6/0	0/0/0	6505/1/4	0/0/0	29/18/10	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			781/1/10		21764/15/7			7224/16/11	884/3/6	1442/2/0	363/13/3.25	12003/12/10	120/0/0								730/4/5		857/0/2		4488/2/11		3/6/0		6505/1/4		29/18/10												
17	mas 14	mas 15	10 to 14		"5,860"	3524.64166666667	1780.71388888889	0	0	554.311111111111			2880	2880	2880	2880	2880	2880	2880	2880		396.590972222222	3112.03125	16.0194444444444	0	1780.71388888889	554.311111111111	0	0	0		0/0/0	2220/16/11	0/0/0	25856/11/8	0/0/0	0/0/0	4176/6/9	1772/13/5	192/4/8	2257/9/2	14903/10/1	9/2/3	27/9/0	10/14/6	877/16/0	1116/18/0	0/0/0	0/0/0	0/0/0	2538/4/11	0/0/0	2443/18/0	0/0/0	3094/17/8	0/0/0	0/0/0	2352/5/9	6465/1/3	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			2220/16/11		25856/11/8			4176/6/9	1772/13/5	192/4/8	2257/9/2	14903/10/1	9/2/3	27/9/0	10/14/6	877/16/0	1116/18/0				2538/4/11		2443/18/0		3094/17/8			2352/5/9	6465/1/3														
18	mas 15	mas 16	10 to 14		"2,056"	1397.92638888889	591.618402777778	0	0	66.0763888888889			2880	2880	2880	2880	2880	2880	2880	2880		405.08125	985.645486111111	7.19965277777778	0	591.618402777778	66.0763888888889	0	0	0		0/0/0	4033/8/0	0/0/0	7363/13/9	0/0/0	0/0/0	582/14/6	432/7/8	5/7/11	601/0/2	3886/10/11	80/3/6	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	827/11/6	0/0/0	2146/4/0	0/0/0	1189/17/0	112/18/0	81/0/0	87/19/6	3212/17/6	13/10/10	10/4/4	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			4033/8/0		7363/13/9			582/14/6	432/7/8	5/7/11	601/0/2	3886/10/11	80/3/6								827/11/6		2146/4/0		1189/17/0	112/18/0	81/0/0	87/19/6	3212/17/6	13/10/10	10/4/4												
19	mas 16	mas 17	10 to 14		"1,148"	339.073958333333	578.044444444444	156.994791666667	0	74.3354166666667			2880	2880	2880	2880	2880	2880	2880	2880		105.170138888889	224.247222222222	9.65659722222222	0	578.044444444444	74.3354166666667	156.994791666667	0	0		0/0/0	887/17/2	0/0/0	1176/7/11	0/0/0	0/0/0	339/15/4	0/0/0	39/0/0	305/19/6	5582/8/2	0/0/0	0/0/0	0/0/0	341/8/0	0/0/0	1883/18/9	0/0/0	0/0/0	374/3/8	0/0/0	533/11/0	0/0/0	633/10/4	7/14/9	76/17/7	237/9/0	1354/2/6	7/4/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			887/17/2		1176/7/11			339/15/4		39/0/0	305/19/6	5582/8/2				341/8/0		1883/18/9			374/3/8		533/11/0		633/10/4	7/14/9	76/17/7	237/9/0	1354/2/6	7/4/0													
20	mas 17	mas 18	10 to 14		"1,175"	208.572569444444	646.213541666667	250.125	0	69.9506944444444			2880	2880	2880	2880	2880	2880	2880	2880		139.550694444444	67.9263888888889	1.09548611111111	0	646.213541666667	69.9506944444444	250.125	0	0		0/0/0	1647/17/3	0/0/0	264/17/0	0/0/0	0/0/0	118/10/0	0/0/0	12/4/11	784/1/0	5692/6/6	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	3001/10/0	0/0/0	0/0/0	26/14/11	0/0/0	0/0/0	0/0/0	425/16/3	5/19/1	0/18/0	0/0/0	2062/4/9	55/7/2	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1647/17/3		264/17/0			118/10/0		12/4/11	784/1/0	5692/6/6						3001/10/0			26/14/11				425/16/3	5/19/1	0/18/0		2062/4/9	55/7/2													
21	mas 18	mas 19	10 to 14		740	127.165625	385.472916666667	41.925	0	185.06875			2880	2880	2880	2880	2880	2880	2880	2880		1.08645833333333	125.291666666667	0.7875	0	385.472916666667	185.06875	41.925	0	0		0/0/0	12/0/0	0/0/0	536/4/0	0/0/0	0/0/0	704/5/9	46/4/0	9/9/0	1862/2/9	3108/11/4	96/0/0	0/0/0	0/0/0	252/18/0	0/0/0	503/2/0	0/0/0	0/0/0	1/0/9	0/0/0	26/6/6	0/0/0	190/9/9	0/0/0	0/0/0	9/15/9	1517/2/2	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			12/0/0		536/4/0			704/5/9	46/4/0	9/9/0	1862/2/9	3108/11/4	96/0/0			252/18/0		503/2/0			1/0/9		26/6/6		190/9/9			9/15/9	1517/2/2														
22	mas 19	mas 20	10 to 14		343	138.089583333333	204.663194444444	0	0	0			2880	2880	2880	2880	2880	2880	2880	2880		7.29375	130.545833333333	0.25	0	204.663194444444	0	0	0	0		0/0/0	0/0/0	0/0/0	756/0/9	0/0/0	0/0/0	485/10/3	0/0/0	3/0/0	0/0/0	1648/1/7	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	87/10/6	0/0/0	165/1/11	0/0/0	159/18/1	0/0/0	0/0/0	0/0/0	807/17/7	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0					756/0/9			485/10/3		3/0/0		1648/1/7									87/10/6		165/1/11		159/18/1				807/17/7														
23	mas 20	mas 21	10 to 14		"1,798"	644.744444444444	1081.93298611111	0	0	71.3503472222222			2880	2880	2880	2880	2880	2880	2880	2880		0.515625	636.878819444444	7.35	0	1081.93298611111	71.3503472222222	0	0	0		0/0/0	0/0/0	0/0/0	5214/0/10	0/0/0	0/0/0	380/14/0	13/7/0	88/4/0	485/0/6	9201/9/7	335/17/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	6/3/9	0/0/0	1203/14/3	0/0/0	824/1/4	6/13/6	0/0/0	0/0/0	3781/14/4	35/6/7	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0					5214/0/10			380/14/0	13/7/0	88/4/0	485/0/6	9201/9/7	335/17/0								6/3/9		1203/14/3		824/1/4	6/13/6			3781/14/4	35/6/7													
24	mas 21	mas 22	10 to 14		"1,130"	627.282638888889	462.180902777778	0	0	40.9371527777778			2880	2880	2880	2880	2880	2880	2880	2880		29.0072916666667	598.062847222222	0.2125	0	462.180902777778	40.9371527777778	0	0	0		0/0/0	132/0/0	0/0/0	5064/14/6	0/0/0	0/0/0	1380/18/7	0/0/0	2/11/0	35/10/8	2695/10/10	0/0/0	363/9/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	216/1/9	0/0/0	659/17/7	0/0/0	71/4/5	0/0/0	0/0/0	0/0/0	2850/12/7	92/5/3	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			132/0/0		5064/14/6			1380/18/7		2/11/0	35/10/8	2695/10/10		363/9/0							216/1/9		659/17/7		71/4/5				2850/12/7	92/5/3													
25	mas 22	mas 23	10 to 14		"2,274"	964.453125	904.092361111111	0	0	405.054166666667			2880	2880	2880	2880	2880	2880	2880	2880		37.4375	927.015625	0	0	904.092361111111	405.054166666667	0	0	0		0/0/0	431/5/0	0/0/0	6931/14/0	0/0/0	0/0/0	3051/12/0	0/0/0	0/0/0	191/3/0	4560/12/0	4080/0/0	589/10/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	18/0/0	0/0/0	911/15/6	0/0/0	229/2/3	0/0/0	0/0/0	0/0/0	6288/10/2	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			431/5/0		6931/14/0			3051/12/0			191/3/0	4560/12/0	4080/0/0	589/10/0							18/0/0		911/15/6		229/2/3				6288/10/2														
26	mas 23	mas 24	10 to 14		"3,347"	1377.88611111111	1129.81215277778	147	0	692.777083333333			2880	2880	2880	2880	2880	2880	2880	2880		87.55	1290.33611111111	0	0	1129.81215277778	692.777083333333	147	0	0		0/0/0	750/12/0	0/0/0	8348/5/0	0/0/0	0/0/0	3675/11/6	312/0/0	0/0/0	400/3/0	9082/16/1	1260/0/0	1500/0/0	1068/0/0	0/0/0	3600/0/0	288/0/0	0/0/0	0/0/0	300/0/0	0/0/0	2114/10/9	0/0/0	1033/13/5	0/0/0	0/0/0	83/3/6	4474/18/10	402/0/0	0/0/0	0/0/0	0/0/0	1476/0/0	0/0/0	0/0/0			750/12/0		8348/5/0			3675/11/6	312/0/0		400/3/0	9082/16/1	1260/0/0	1500/0/0	1068/0/0		3600/0/0	288/0/0			300/0/0		2114/10/9		1033/13/5			83/3/6	4474/18/10	402/0/0				1476/0/0									
27	mas 24	mas 25	10 to 14		"3,221"	1673.89166666667	1181.040625	150	0	215.879861111111			2880	2880	2880	2880	2880	2880	2880	2880		20.25	1653.64166666667	0	0	1181.040625	215.879861111111	150	0	0		0/0/0	78/0/0	0/0/0	12568/1/11	0/0/0	0/0/0	1203/0/0	2412/0/0	0/0/0	432/0/0	7632/13/6	516/0/0	1224/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	165/0/0	0/0/0	2714/5/2	0/0/0	0/0/0	946/6/11	0/0/0	186/0/0	6539/16/3	232/11/2	0/0/0	0/0/0	0/0/0	1800/0/0	0/0/0	0/0/0			78/0/0		12568/1/11			1203/0/0	2412/0/0		432/0/0	7632/13/6	516/0/0	1224/0/0							165/0/0		2714/5/2			946/6/11		186/0/0	6539/16/3	232/11/2				1800/0/0									
28AB	mas 25	mas 26	10 to 14		"3,588"	1551.33888888889	1304.94895833333	567.528125	0	164.253125			2880	2880	2880	2880	2880	2880	2880	2880		169.814930555556	1381.52395833333	0	0	1304.94895833333	164.253125	567.528125	0	0		0/0/0	1932/0/0	0/0/0	10657/3/4	0/0/0	0/0/0	1535/2/5	3366/0/0	0/0/0	17/8/09	9714/10/3	1798/4/0	6/0/0	0/0/0	0/0/0	0/0/0	3366/0/0	0/0/0	0/0/0	105/15/7	0/0/0	1020/0/0	0/0/0	0/0/0	0/0/0	0/0/0	149/8/0	5944/17/6	0/0/0	0/0/0	0/0/0	0/0/0	3444/6/9	0/0/0	0/0/0			1932/0/0		10657/3/4			1535/2/5	3366/0/0		17/8/09	9714/10/3	1798/4/0	6/0/0				3366/0/0			105/15/7		1020/0/0					149/8/0	5944/17/6					3444/6/9									
82	mas 26	mas 27	10 to 14		"3,109"	1998.68402777778	867.294444444444	0	0	243			2880	2880	2880	2880	2880	2880	2880	2880		212.872222222222	1785.81180555556	0	0	867.294444444444	243	0	0	0		0/0/0	1411/13/0	0/0/0	17128/6/4	0/0/0	0/0/0	2004/0/0	72/0/0	0/0/0	1476/0/0	4227/15/6	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	1142/16/4	0/0/0	2115/12/6	0/0/0	3/0/0	106/16/0	0/0/0	24/0/0	6179/15/2	1416/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			1411/13/0		17128/6/4			2004/0/0	72/0/0		1476/0/0	4227/15/6									1142/16/4		2115/12/6		3/0/0	106/16/0		24/0/0	6179/15/2	1416/0/0													
29	mas 28	mas 29	10 to 14		989	635.532291666666	318.564583333333	0	0	34.953125			2880	2880	2880	2880	2880	2880	2880	2880		87.0725694444444	510.459722222222	38	0	318.564583333333	34.953125	0	0	0		0/0/0	897/12/0	0/0/0	5573/10/4	0/0/0	0/0/0	0/0/0	0/0/0	456/0/0	390/0/0	1760/0/0	2/14/11	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	147/5/5	0/0/0	552/0/0	0/0/0	0/0/0	0/0/0	0/0/0	26/13/10	2062/15/6	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			897/12/0		5573/10/4					456/0/0	390/0/0	1760/0/0	2/14/11								147/5/5		552/0/0					26/13/10	2062/15/6														
30	mas 29	mas 30	10 to 14		"1,505"	506.345486111111	456.298611111111	167	0	375.477083333333			2880	2880	2880	2880	2880	2880	2880	2880		25.975	471.7875	8.58298611111111	0	456.298611111111	375.477083333333	167	0	0		0/0/0	237/6/0	0/0/0	4666/6/0	0/0/0	0/0/0	84/0/0	0/0/0	102/19/11	204/0/0	2699/12/2	4296/0/0	0/0/0	0/0/0	0/0/0	0/0/0	2004/0/0	0/0/0	0/0/0	74/8/0	0/0/0	567/6/6	0/0/0	343/16/6	0/0/0	0/0/0	0/0/0	2775/19/6	5/14/6	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			237/6/0		4666/6/0			84/0/0		102/19/11	204/0/0	2699/12/2	4296/0/0					2004/0/0			74/8/0		567/6/6		343/16/6				2775/19/6	5/14/6													
31	mas 30	mas 31	10 to 14		781	259.30625	311.073611111111	210	0	0.35			2880	2880	2880	2880	2880	2880	2880	2880		23.7979166666667	227.008333333333	8.5	0	311.073611111111	0.35	210	0	0		0/0/0	96/0/0	0/0/0	2206/6/0	0/0/0	0/0/0	480/0/0	37/16/0	102/0/0	0/0/0	132/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	2520/0/0	0/0/0	0/0/0	189/11/6	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	3600/17/8	4/4/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0			96/0/0		2206/6/0			480/0/0	37/16/0	102/0/0		132/0/0						2520/0/0			189/11/6								3600/17/8	4/4/0													
