Log f All: Table 1
1721	"1,798.03"	4.0	Cust 3/23	0.0	1.0	CO 142/14				92.0	4.0	CO 5/1222
1722	"1,130.40"	4.0	Cust 3/24							266.0	4.0	CO 5/1222-3
1723	"2,273.60"	4.0	Cust 3/25							223.0	4.0	CO 5/1223
1724	"3,347.48"	4.0	Cust 3/26							125.0	4.0	CO 5/1223
1725	"3,220.81"	4.0	Cust 3/27							15.0	3.0	CO 5/1223
1726	"3,588.07"	4.0	Cust 3/28B									
1727	"3,108.98"	4.0	Cust 3/82	40.0	1.0	CO 142/15						
1728				"1,240.0"	2.0	CO 142/15						
1729	989.05	4.0	Cust 3/29	88.0	4.0	CO 142/15						
1730	"1,505.12"	4.0	Cust 3/30	275.0	1.0	CO 142/15						
1731	780.73	4.0	Cust 3/31									
1732	"1,189.41"	4.0	Cust 3/32									
1733	"1,461.12"	4.0	Cust 3/33									
1734	"1,261.73"	4.0	Cust 3/34									
1735	"1,594.55"	4.0	Cust 3/35									
1736	"2,231.85"	4.0	Cust 3/36									
1737	"2,176.78"	4.0	Cust 3/37									
1738	"2,520.25"	4.0	Cust 3/38									
1739	"1,945.37"	4.0	Cust 3/39									
1740	"1,997.20"	4.0	Cust 3/40									
1741	"1,289.17"	4.0	Cust 3/41									
1742	"1,030.73"	4.0	Cust 3/42	155.0	1.0	CO 142/15						
1743	"1,299.07"	4.0	Cust 3/43	356.0	3.0	CO 142/15						
1744	495.11	4.0	Cust 3/44	285.0	3.8	CO 142/15						
1745	574.38	4.0	Cust 3/45	0.0	3.0	CO 142/15						
1746	136.55	4.0	Cust 3/46	60.0	1.0	CO 142/15						
1747	596.29	4.0	Cust 3/47	79.0	2.5	CO 142/15						
1748	"1,747.10"	4.0	Cust 3/48	0.0	2.0	CO 142/15						
1749	"1,233.65"	4.0	Cust 3/49									
1750	"4,659.84"	4.0	Cust 3/50									
1751	"7,386.18"	4.0	Cust 3/51									
1752	"5,368.41"	4.0	Cust 3/52	"1,062.5"	4.0	CO 142/15	0.0	1.0	CO 5/849			
1753	"3,912.26"	4.0	Cust 3/53	300.0	3.0	CO 142/15	335.0	4.0	CO 5/849			
1754	"3,213.91"	4.0	Cust 3/54				538.0	4.0	CO 5/849			
1755	"2,545.10"	4.0	Cust 3/55				51.5	4.0	CO 5/849			
1756	"4,802.85"	4.0	Cust 3/56				650.0	3.5	CO 5/849			
1757	"4,158.47"	4.0	Cust 3/57									
1758	"3,937.04"	4.0	Cust 3/58									
1759	"4,851.48"	4.0	Cust 3/59									
1760	"1,852.77"	4.0	Cust 3/60									
1761	878.14	4.0	Cust 3/61									
1762	"1,983.67"	4.0	Cust 3/62				0.0	3.5	CO 5/850			
1763	"3,567.21"	4.0	Cust 3/63				0.0	4.0	CO 5/850			
1764	"4,502.72"	4.0	Cust 3/64				0.0	2.5	CO 5/850			
1765	"6,058.00"	4.0	Cust 3/65									
1766	"10,538.81"	4.0	Cust 3/66									
1767	"9,098.50"	4.0	Cust 3/67									
1768	"9,597.59"	4.0	Cust 3/68									
1769	"10,367.78"	4.0	Cust 3/69									
1770	"10,590.17"	4.0	Cust 3/70									
1771	"3,466.16"	4.0	Cust 3/71									
1772	"6,663.19"	4.0	Cust 3/72									
1773	"2,180.99"	4.0	Cust 3/73									
1774	"1,978.06"	4.0	Cust 3/74									
1775	"2,754.33"	4.0	Cust 3/75									
1776	"1,548.36"	4.0	Cust 3/76									
1777	"1,892.97"	4.0	Cust 3/77									
1778	"2,264.25"	4.0	Cust 3/78									
1779	"4,403.45"	4.0	Cust 3/79									
1780	"4,296.05"	4.0	Cust 3/80									
1781	"3,056.68"	4.0	Cust 17/7									
1782	"1,440.60"	4.0	Cust 17/7									
1783	"1,140.45"	4.0	Cust 17/8									
1784	"2,323.39"	4.0	Cust 17/8									
1785	"11,683.07"	4.0	Cust 17/9									
1786	"15,471.54"	4.0	Cust 17/9									
1787	"8,795.04"	4.0	Cust 17/10									
1788	"6,333.87"	4.0	Cust 17/10									
1789	"7,346.07"	4.0	Cust 17/11									
1790	"6,015.12"	4.0	Just 17/12									
1791												
1792												
1793												
1794												
1795												
1796												
1797												
1798												
1799												
1800												
1801												
1802												
1803												
1804												
1805												
1806												
1807												
1808												
1809												
1810												


t Eng: Table 1
	All f SWI	Log f SWI	Mah f SWI	Cf	All f Hon	Log f Hon	Mah f Hon	Cf	All f Mos	Log f Mos	Mah f Mos	Cf	
1700													
1701													
1702													
1703													
1704													
1705													
1706													
1707													
1708													
1709													
1710													
1711													
1712													
1713	"£	0.00"	"£	0.00"	"£	0.00"	Cust 3/15									
1714	"£	0.00"	"£	0.00"	"£	0.00"	Cust 3/16									
1715	"£	0.00"	"£	0.00"	"£	0.00"	Cust 3/17									
1716	"£	16,413.45"	"£	0.00"	"£	0.00"	Cust 3/18									
1717	"£	163,219.06"	"£	1,883.94"	"£	9.00"	Cust 3/19									
1718	"£	73,071.28"	"£	3,001.50"	"£	0.00"	Cust 3/20									
1719	"£	18,417.49"	"£	503.10"	"£	0.00"	Cust 3/21									
1720	"£	0.00"	"£	0.00"	"£	0.00"	Cust 3/22									
1721	"£	1,012.10"	"£	0.00"	"£	0.00"	Cust 3/23									
1722	"£	8,125.00"	"£	0.00"	"£	0.00"	Cust 3/24									
1723	"£	6,013.26"	"£	0.00"	"£	0.00"	Cust 3/25									
1724	"£	156,083.45"	"£	1,764.00"	"£	69.24"	Cust 3/26									
1725	"£	20,136.04"	"£	1,800.00"	"£	0.00"	Cust 3/27									
1726	"£	45,902.43"	"£	6,810.34"	"£	0.00"	Cust 3/28B									
1727	"£	42,050.53"	"£	0.00"	"£	0.60"	Cust 3/82									
1728													
1729													
1730	"£	125,956.78"	"£	2,004.00"	"£	0.00"	Cust 3/30									
1731	"£	147,958.80"	"£	2,520.00"	"£	0.52"	Cust 3/31									
1732	"£	51,543.42"	"£	406.28"	"£	3.85"	Cust 3/32									
1733	"£	11,608.89"	"£	5,541.60"	"£	0.95"	Cust 3/33									
1734	"£	25,629.12"	"£	0.00"	"£	0.00"	Cust 3/34									
1735	"£	16,989.78"	"£	1,153.72"	"£	4.00"	Cust 3/35									
1736	"£	4,037.76"	"£	0.00"	"£	0.00"	Cust 3/36									
1737	"£	1,695.56"	"£	720.00"	"£	1.90"	Cust 3/37									
1738	"£	3,432.50"	"£	0.00"	"£	0.00"	Cust 3/38									
1739	"£	62,914.55"	"£	60.00"	"£	0.72"	Cust 3/39									
1740	"£	202.44"	"£	0.00"	"£	0.00"	Cust 3/40									
1741	"£	2,519.15"	"£	0.00"	"£	0.00"	Cust 3/41									
1742													
1743	"£	0.00"	"£	0.00"	"£	0.00"	Cust 3/43									
1744													
1745													
1746													
1747													
1748													
1749													
1750													
1751	"£	0.00"	"£	0.00"	"£	0.00"	Cust 3/51									
1752													
1753													
1754													
1755													
1756													
1757													
1758													
1759													
1760													
1761													
1762													
1763													
1764	"£	9,398.56"	"£	3,714.00"	"£	0.00"	Cust 3/64									
1765	"£	11,874.28"	"£	8,220.00"	"£	123.00"	Cust 3/65									
1766					"£	11,601.13"	"£	8,098.84"	"£	2,091.20"	Cust 3/66					
1767	"£	15,216.73"	"£	13,838.78"	"£	7.00"	Cust 3/67	"£	394.68"	"£	387.30"	"£	7.38"	Cust 3/67					
1768	"£	0.00"	"£	0.00"	"£	0.00"	Cust 3/68	"£	4,000.06"	"£	3,336.00"	"£	664.06"	Cust 3/68					
1769					"£	7,456.50"	"£	7,239.98"	"£	211.85"	Cust 3/69	"£	74,037.63"	"£	59,532.00"	"£	6,275.00"	Cust 3/69	
1770	"£	79,409.53"	"£	67,320.00"	"£	0.90"	Cust 3/70	"£	6,249.83"	"£	6,082.50"	"£	167.33"	Cust 3/70	"£	1,597.60"	"£	394.23"	"£	1,200.00"	Cust 3/70	
1771					"£	34,087.48"	"£	14,232.98"	"£	18,717.00"	Cust 3/71	"£	5,275.56"	"£	2,688.00"	"£	1,858.00"	Cust 3/71	
1772					"£	51,079.69"	"£	37,052.93"	"£	13,820.92"	Cust 3/72	"£	15,580.15"	"£	2,088.00"	"£	11,641.00"	Cust 3/72	
1773					"£	21,377.69"	"£	8,727.28"	"£	9,852.00"	Cust 3/73	"£	14,563.59"	"£	1,620.00"	"£	7,361.00"	Cust 3/73	
1774					"£	25,253.98"	"£	9,091.65"	"£	14,906.64"	Cust 3/74	"£	8,694.48"	"£	888.00"	"£	3,754.00"	Cust 3/74	
1775					"£	43,180.32"	"£	17,997.64"	"£	23,944.65"	Cust 3/75	"£	7,849.93"	"£	360.00"	"£	3,520.00"	Cust 3/75	
1776					"£	30,007.45"	"£	9,280.39"	"£	20,441.50"	Cust 3/76	"£	2,468.80"	"£	0.00"	"£	0.00"	Cust 3/76	
1777					"£	27,744.38"	"£	7,510.28"	"£	19,512.00"	Cust 3/77	"£	5,282.30"	"£	0.00"	"£	2,700.00"	Cust 3/77	
1778					"£	44,003.70"	"£	10,266.19"	"£	32,220.00"	Cust 3/78	"£	6,620.98"	"£	480.00"	"£	4,050.00"	Cust 3/78	
1779					"£	10,690.08"	"£	2,920.20"	"£	6,682.00"	Cust 3/79	"£	48.61"	"£	0.00"	"£	0.00"	Cust 3/79	
1780					"£	14.05"	"£	0.00"	"£	0.00"	Cust 3/80	"£	1,527.15"	"£	540.00"	"£	192.00"	Cust 3/80	
1781													
1782													
1783													
1784													
1785													
1786													
1787													
1788													
1789													
1790													
1791													
1792													
1793													
1794													
1795													
1796													
1797													
1798													
1799													
1800													
1801													
1802													
1803													
1804													
1805													
1806													
1807													
1808													
1809					"£	59,816.62"	"£	10,063.98"	"£	48,599.69"	Cust 4/5					
1810					"£	74,979.92"	"£	12,205.43"	"£	61,878.63"	Cust 4/6					
1811					"£	95,795.02"	"£	16,079.40"	"£	78,330.22"	Cust 4/7					
1812					"£	71,670.21"	"£	11,665.87"	"£	59,537.66"	Cust 4/8					
1813													
1814													
1815													
1816													
1817													
1818													
1819													

t Scot: Table 1
	All f Hon	Log f Hon	Mah f Hon	Cf
1770				
1771	"£	5,119.15"	"£	182.00"	"£	4,936.25"	Cust 14/1B
1772	"£	31,542.50"	"£	0.00"	"£	31,542.50"	Cust 14/1B
1773	"£	5,415.50"	"£	273.00"	"£	5,142.50"	Cust 14/1B
1774	"£	29,444.28"	"£	301.00"	"£	29,129.38"	Cust 14/1B
1775	"£	0.16"	"£	0.00"	"£	0.00"	Cust 14/2
1776	"£	9,851.80"	"£	245.00"	"£	9,605.75"	Cust 14/2
1777				
1778				
1779				
1780				
1781				
1782				
1783	"£	1,240.00"	"£	140.00"	"£	1,100.00"	Cust 14/4
1784				
1785	"£	825.00"	"£	0.00"	"£	825.00"	Cust 14/5
1786				
1787	"£	3,868.97"	"£	55.21"	"£	3,813.78"	Cust 14/6
1788	"£	8,071.71"	"£	392.00"	"£	7,587.30"	Cust 14/7
1789	"£	11,974.65"	"£	510.46"	"£	11,439.61"	Cust 14/8
1790	"£	4,060.28"	"£	159.85"	"£	3,857.12"	Cust 14/9
1791	"£	15,899.26"	"£	360.50"	"£	15,382.13"	Cust 14/10
1792	"£	9,599.20"	"£	413.00"	"£	9,166.70"	Cust 14/11
1793	"£	4,763.41"	"£	145.25"	"£	4,565.00"	Cust 14/12
1794	"£	19,321.22"	"£	535.00"	"£	18,712.45"	Cust 14/12
1795				
1796	"£	2,963.15"	"£	238.00"	"£	2,725.15"	Cust 14/13A
1797				
1798				
1799				
1800	"£	6,642.18"	"£	294.24"	"£	6,341.82"	Cust 14/13A
1801	"£	232.26"	"£	0.00"	"£	232.26"	Cust 14/14
1802	"£	3,478.84"	"£	83.91"	"£	3,394.93"	Cust 14/15
1803	"£	12,668.33"	"£	582.65"	"£	12,073.69"	Cust 14/16
1804	"£	13,327.51"	"£	439.73"	"£	12,887.79"	Cust 14/17
1805	"£	11,678.64"	"£	587.48"	"£	11,091.15"	Cust 14/18
1806	"£	15,598.15"	"£	749.19"	"£	14,848.97"	Cust 14/19
1807	"£	11,859.58"	"£	435.03"	"£	11,395.25"	Cust 14/20
1808	"£	17,166.96"	"£	581.69"	"£	16,560.90"	Cust 14/21
1809				
1810	"£	17,144.81"	"£	425.18"	"£	16,677.50"	Cust 14/22
1811	"£	9,581.46"	"£	338.98"	"£	9,237.23"	Cust 14/23
1812	"£	20,547.96"	"£	951.60"	"£	19,596.36"	Cust 14/24
1813	"£	15,146.40"	"£	599.63"	"£	14,533.95"	Cust 14/25
1814	"£	13,061.37"	"£	307.15"	"£	12,752.45"	Cust 14/26
1815	"£	40,305.49"	"£	1,581.20"	"£	38,656.75"	Cust 14/27
1816	"£	21,991.35"	"£	611.77"	"£	21,375.83"	Cust 14/28
1817				
1818				
1819				
1820				
1821				
1822	"£	21,772.41"	"£	629.34"	"£	18,430.59"	Cust 14/34
1823				
1824				
1825				
1826				
1827				
1828				
1829				
1830				


t GB: Table 1
	All f FWI	Log f FWI	Mah f FWI	Cf	All f BWI	Log f BWI	Mah f BWI	Cf	All f Hon	Log f Hon	Mah f Hon	Cf				
1770																
1771																
1772	"£	147,024.37"	"£	40,568.93"	"£	25,469.92"	Cust 17/1												
1773	"£	70,203.52"	"£	10,347.28"	"£	17,213.00"	Cust 17/2												
1774					"£	507,140.23"	"£	9,979.65"	"£	18,660.64"	Cust 17/3								
1775					"£	509,546.77"	"£	18,581.45"	"£	27,480.65"	Cust 17/4								
1776					"£	470,586.97"	"£	9,364.39"	"£	20,441.50"	Cust 17/4								
1777					"£	352,319.53"	"£	7,821.46"	"£	22,221.00"	Cust 17/5								
1778					"£	461,535.17"	"£	10,746.19"	"£	36,270.00"	Cust 17/5								
1779					"£	349,527.15"	"£	2,918.20"	"£	6,607.00"	Cust 17/6								
1780					"£	262,111.95"	"£	570.00"	"£	192.00"	Cust 17/6								
1781					"£	248,897.89"	"£	35.70"	"£	0.00"	Cust 17/7								
1782					"£	562,790.33"	"£	11.87"	"£	194.00"	Cust 17/7								
1783					"£	474,456.00"	"£	52.88"	"£	650.00"	Cust 17/8								
1784					"£	388,920.07"	"£	1,200.00"	"£	12,788.75"	Cust 17/8								
1785					"£	426,730.18"	"£	6,410.37"	"£	41,136.36"	Cust 17/9								
1786					"£	381,286.61"	"£	10,815.76"	"£	44,358.89"	Cust 17/9								
1787					"£	508,524.82"	"£	16,036.61"	"£	75,609.57"	Cust 17/10								
1788									"£	279,428.08"	"£	20,348.15"	"£	189,340.40"	Cust 17/10				
1789									"£	119,548.67"	"£	25,327.16"	"£	92,623.31"	Cust 17/11				
1790									"£	100,298.98"	"£	19,280.33"	"£	78,928.40"	Cust 17/12				
1791									"£	52,900.45"	"£	8,350.19"	"£	40,923.35"	Cust 17/13				
1792									"£	64,509.11"	"£	13,492.15"	"£	45,963.51"	Cust 17/14				
1793									"£	47,192.50"	"£	5,106.14"	"£	35,375.28"	Cust 17/15				
1794									"£	42,885.23"	"£	8,064.92"	"£	33,009.85"	Cust 17/16				
1795									"£	20,366.35"	"£	4,693.98"	"£	15,217.65"	Cust 17/17				
1796									"£	26,418.33"	"£	10,529.30"	"£	15,113.70"	Cust 17/18				
1797									"£	38,276.98"	"£	11,974.13"	"£	26,163.02"	Cust 17/19				
1798									"£	6,579.39"	"£	1,927.77"	"£	4,406.83"	Cust 17/20				
1799									"£	920.03"	"£	0.00"	"£	0.00"	Cust 17/21				
1800									"£	16,777.75"	"£	1,658.40"	"£	14,805.28"	Cust 17/22				
1801									"£	17,642.39"	"£	2,804.13"	"£	13,632.60"	Cust 17/23				
1802									"£	59,848.82"	"£	9,149.00"	"£	49,883.90"	Cust 17/24				
1803									"£	91,934.19"	"£	14,886.67"	"£	75,432.56"	Cust 17/25				
1804									"£	86,115.80"	"£	11,153.98"	"£	73,284.13"	Cust 17/26				
1805									"£	83,777.10"	"£	11,427.14"	"£	71,360.34"	Cust 17/27				
1806									"£	76,244.75"	"£	10,934.17"	"£	64,881.96"	Cust 17/28				
1807									"£	60,013.10"	"£	10,429.84"	"£	49,154.70"	Cust 17/29				
1808									"£	61,045.57"	"£	8,252.05"	"£	52,334.43"	Cust 17/30				
1809																
1810																
1811																
1812																
1813																
1814									"£	92,159.83"	"£	10,639.92"	"£	69,541.25"	Cust 4/9				
1815									"£	155,826.54"	"£	20,236.73"	"£	134,899.75"	Cust 4/10				
1816									"£	118,328.79"	"£	18,122.86"	"£	93,438.18"	Cust 4/11				
1817									"£	79,263.73"	"£	26,158.38"	"£	45,065.17"	Cust 4/12				
1818									"£	97,267.68"	"£	10,340.58"	"£	80,927.70"	Cust 4/13				
1819									"£	106,419.47"	"£	14,603.76"	"£	83,635.93"	Cust 4/14				
1820									"£	136,360.48"	"£	13,594.78"	"£	108,239.96"	Cust 4/15				
1821									"£	98,282.80"	"£	13,591.84"	"£	70,592.08"	Cust 4/16				
1822									"£	162,118.73"	"£	22,379.04"	"£	114,190.32"	Cust 4/17				
1823									"£	136,881.13"	"£	14,718.80"	"£	80,714.17"	Cust 4/18				
1824									"£	196,756.70"	"£	30,190.51"	"£	137,001.63"	Cust 4/19				
1825									"£	170,472.95"	"£	32,462.01"	"£	89,564.71"	Cust 4/20				
1826									"£	205,321.59"	"£	21,538.14"	"£	140,625.91"	Cust 4/21				
1827									"£	222,885.31"	"£	19,948.98"	"£	144,407.40"	Cust 4/22				
1828									"£	181,251.53"	"£	18,400.63"	"£	108,290.50"	Cust 4/23				
1829									"£	182,061.38"	"£	17,623.11"	"£	102,718.70"	Cust 4/24				
1830									"£	221,855.06"	"£	26,008.97"	"£	100,652.10"	Cust 4/25				
1831									"£	124,676.53"	"£	13,076.80"	"£	63,761.72"	Cust 4/26				
1832									"£	232,839.81"	"£	23,177.68"	"£	106,344.65"	Cust 4/27				
1833									"£	230,748.83"	"£	14,574.08"	"£	77,543.94"	Cust 4/28				
1834									"£	263,432.34"	"£	22,791.16"	"£	121,072.65"	Cust 4/29				
1835									"£	373,595.02"	"£	14,940.30"	"£	120,020.68"	Cust 4/30				
1836									"£	566,650.11"	"£	12,145.12"	"£	177,443.37"	Cust 4/31				
1837									"£	445,820.30"	"£	15,803.75"	"£	186,656.78"	Cust 4/32				
1838									"£	474,219.43"	"£	23,260.89"	"£	167,204.97"	Cust 4/33				
1839									"£	589,182.61"	"£	31,510.97"	"£	154,219.32"	Cust 4/34				
1840									"£	650,920.85"	"£	48,761.29"	"£	143,728.28"	Cust 4/35				
1841									"£	910,242.05"	"£	46,579.78"	"£	134,832.98"	Cust 4/36				
1842									"£	864,502.40"	"£	37,749.65"	"£	92,546.08"	Cust 4/37				
1843									"£	730,757.09"	"£	34,849.78"	"£	132,439.33"	Cust 4/38				
1844									"£	883,141.59"	"£	47,823.44"	"£	138,743.67"	Cust 4/39				
1845									"£	774,242.28"	"£	45,973.25"	"£	189,453.66"	Cust 4/40				
1846									"£	857,453.69"	"£	48,282.49"	"£	203,071.70"	Cust 4/41				
1847									"£	1,208,494.07"	"£	44,309.67"	"£	242,160.13"	Cust 4/42				
1848									"£	1,093,055.07"	"£	50,206.94"	"£	218,349.58"	Cust 4/43				
1849									"£	1,126,970.43"	"£	43,121.92"	"£	171,238.15"	Cust 4/44				
1850									"£	1,243,225.75"	"£	55,274.65"	"£	172,216.72"	Cust 4/45				
1851									"£	1,518,056.08"	"£	52,044.82"	"£	157,446.20"	Cust 4/46				
1852									"£	886,657.54"	"£	70,750.66"	"£	188,325.58"	Cust 4/47				
1853									"£	357,340.45"	"£	51,659.14"	"£	115,488.53"	Cust 4/48				
1854																
1855									"£	1,143,942.00"	"£	48,357.00"	"£	219,736.00"	Cust 4/50				
1856																
1857																
1858																
1859																
1860																


t / f Hon: Table 1
	f All	t All	t All Re	f GB	t GB	Cf	N	f All	t All	t All Re	f GB	t GB	Cf	N
1820														
1821														
1822														
1823														
1824	"£	262,988"	"£	272,826"		"£	235,335"	"£	218,522"	Martin 1839 p 140-1								
1825	"£	289,871"	"£	295,111"		"£	244,131"	"£	232,052"	Martin 1839 p 140-1								
1826	"£	412,727"	"£	350,370"		"£	303,882"	"£	283,076"	Martin 1839 p 140-1								
1827	"£	313,502"	"£	394,132"		"£	271,209"	"£	374,394"	Martin 1839 p 140-1								
1828	"£	233,756"	"£	301,255"		"£	185,929"	"£	219,798"	Martin 1839 p 140-1								
1829	"£	244,464"	"£	255,282"		"£	209,199"	"£	219,662"	Martin 1839 p 140-1								
1830	"£	234,379"	"£	316,151"		"£	193,692"	"£	195,192"	Martin 1839 p 140-1								
1831	"£	278,627"	"£	197,860"		"£	216,617"	"£	106,280"	Martin 1839 p 140-1								
1832	"£	153,830"	"£	182,267"		"£	108,797"	"£	145,497"	Martin 1839 p 140-1								
1833	"£	235,156"	"£	242,330"		"£	194,950"	"£	154,344"	Martin 1839 p 140-1								
1834	"£	318,234"	"£	286,800"		"£	272,609"	"£	209,118"	Martin 1839 p 140-1								
1835	"£	182,614"	"£	267,811"		"£	122,630"	"£	205,603"	Martin 1839 p 140-1								
1836	"£	340,554"	"£	493,115"		"£	278,699"	"£	399,546"	Martin 1839 p 140-1; BB 36 p 138								
1837	"£	369,623"	"£	345,305"				BB 37 p 138								
1838														
1839														
1840														
1841														
1842				"£	414,103"	"£	864,502"	HCP 49	Exp Imp in official values							
1843														
1844														
1845	"£	273,074"	"£	281,850"		"£	194,129"	"£	239,337"	BB 45 p 158								
1846	"£	213,726"					CP 869 p 103								
1847	"£	281,459"	"£	309,792"		"£	212,040"	"£	269,364"	CP 1005 p 164; CP 1126 p 269								
1848	"£	166,612"	"£	353,783"		"£	110,851"	"£	292,083"	CP 1126 p 269								
1849	"£	237,861"	"£	301,888"				CP 1539 p 48								
1850	"£	196,554"	"£	261,015"		"£	141,379"	"£	211,145"	CP 3508; CP 1539 p 48	"Exp Imp of bullion, specie not specified"							
1851	"£	289,819"	"£	411,443"		"£	209,541"	"£	96,071"	CP 3508; CP 1693 p 38								
1852	"£	262,112"	"£	391,223"		"£	109,695"	"£	340,908"	CP 3508								
1853	"£	198,186"	"£	345,377"		"£	120,762"	"£	276,520"	CP 3508								
1854	"£	241,764"	"£	452,313"		"£	152,411"	"£	384,640"	CP 3508								
1855	"£	245,486"	"£	462,591"		"£	159,969"	"£	391,527"	CP 3508								
1856	"£	254,994"	"£	446,649"		"£	160,659"	"£	357,153"	CP 3508								
1857	"£	268,691"	"£	440,271"		"£	169,927"	"£	329,052"	CP 3508								
1858	"£	207,908"	"£	380,377"		"£	121,934"	"£	286,612"	CP 3508	"< 1858, Exp exc re-Exp, Imp exc items not dutiable; CP 2711 p 7"							
1859	"£	175,203"	"£	288,161"		"£	101,595"	"£	183,113"	CP 3508								
1860	"£	200,869"	"£	315,918"		"£	128,081"	"£	224,065"	CP 3508								
1861	"£	231,744"	"£	292,576"		"£	149,887"	"£	214,688"	CP 3508								
1862	"£	211,358"	"£	356,390"		"£	108,843"	"£	210,379"	CP 3508; C.2093								
1863	"£	265,752"	"£	390,644"		"£	147,809"	"£	235,205"	CP 3508; C.2093								
1864	"£	291,144"	"£	373,197"		"£	196,373"	"£	218,131"	C.2093								
1865	"£	210,675"	"£	323,170"		"£	130,426"	"£	220,077"	C.2093								
1866	"£	169,033"	"£	277,156"		"£	107,734"	"£	169,013"	C.2093								
1867	"£	190,495"	"£	186,169"		"£	112,051"	"£	102,806"	C.2093								
1868	"£	177,684"	"£	203,659"		"£	105,100"	"£	115,482"	C.2093								
1869	"£	151,189"	"£	175,033"		"£	95,737"	"£	91,788"	C.2093								
1870	"£	184,338"	"£	171,988"		"£	131,348"	"£	79,925"	C.2093								
1871	"£	180,662"	"£	207,672"		"£	125,380"	"£	116,119"	C.2093								
1872	"£	167,809"	"£	203,560"		"£	113,574"	"£	105,898"	C.2093								
1873	"£	236,615"	"£	216,993"		"£	159,542"	"£	129,317"	C.2093								
1874	"£	178,398"	"£	240,628"		"£	98,301"	"£	134,655"	C.2093								
1875	"£	175,321"	"£	202,512"		"£	95,936"	"£	104,331"	C.2093		"BZD	876,603"	"BZD	1,012,560"		"BZD	475,179"	"BZD	521,653"	C.6160	
1876	"£	163,403"	"£	206,420"		"£	99,946"	"£	127,547"	C.2093		"BZD	865,903"	"BZD	1,093,873"		"BZD	529,640"	"BZD	675,902"	C.6160	
1877								"BZD	878,382"	"BZD	659,773"		"BZD	447,998"	"BZD	501,031"	C.6160	Exp exc Re
1878								"BZD	971,856"	"BZD	664,884"		"BZD	562,322"	"BZD	479,158"	C.6160	Exp exc Re
1879								"BZD	811,441"	"BZD	952,475"		"BZD	402,382"	"BZD	598,346"	C.6160	
1880								"BZD	1,203,856"	"BZD	1,283,284"		"BZD	623,561"	"BZD	595,254"	C.6160	
1881								"BZD	1,024,229"	"BZD	1,255,615"		"BZD	556,000"	"BZD	697,889"	C.6160	
1882								"BZD	1,181,919"	"BZD	1,271,958"		"BZD	597,768"	"BZD	679,964"	C.6160	
1883								"BZD	1,334,726"	"BZD	1,502,937"		"BZD	738,555"	"BZD	880,734"	C.6160	
1884								"BZD	1,178,738"	"BZD	1,575,280"		"BZD	633,202"	"BZD	1,017,431"	C.6160	
1885								"BZD	1,274,280"	"BZD	1,221,398"		"BZD	553,383"	"BZD	708,802"	Cd.307	
1886								"BZD	1,179,799"	"BZD	1,400,235"		"BZD	470,139"	"BZD	903,374"	Cd.307	
1887								"BZD	1,097,719"	"BZD	1,349,712"		"BZD	477,607"	"BZD	785,499"	Cd.307	
1888								"BZD	1,808,321"	"BZD	1,865,869"		"BZD	837,101"	"BZD	887,895"	Cd.307	
