Introduction: Table 1
						
						
						
						
	Discordance and ambiguity re earliest English settlement in Belize					
						
	To be addressed	settlement as pirate / buccaneer haven vs logging				
		earliest presence by pirates				
		earliest logging by pirates				
		earliest settlement in Mosquito Shore				
		earliest settlement in Bay Islands				
		earliest settlement in Belize proper				
		earliest settlement in Yucatan				
		earliest settlement in Mexico Gulf				
		tipu revolt & spanish withdrawal				


Events: Table 1
ID	OID	PIR	CLG_0	CLG_1	FLR_0	FLR_1	NAME	DESC	ROUTE	ACTORS_0	FORCE_0	ACTORS_1	FORCE_1	SEC	PRIM 0	PRIM_1	NOTE	SOURCE	URL	END	
^^^	^^^	^^^	1 Jan 1561	^^^	^^^	^^^	^^^	"Otros franceses pasaron a Santo Domingo, Puerto Caballos y Trujillo"	^^^	^^^	^^^	^^^	^^^	O Torres p 217	SD 155 num 35	Huerga p 153	"Though see Segunda Fase de Focalización Antillana, 1548-1554 Totales por subregión de las entradas corsarias = 0 en subregión Guatemala, 33 total /v O Torres p 197 /// Though see Primera Fase de Actividad Generalizada en el Golfo-Caribe, 1555-1561 Distribución inglesa y francesa en la subregión Guatemala = 8 entradas francesas, 0 entradas inglesas = 8 total /v O Torres p 220 /// 1560. French corsairs sack Campeche, Puerto Caballos (modern Puerto Cortés), and Trujillo (Honduras).The Spanish in turn capture a 30-man French vessel off Guanaja Island, summarily executing three of its Huguenot crew members, while conveying the remainder as prisoners into Guatemala. Elsewhere, three Spanish galleons are ransacked, one being the 200-ton merchantman Santa María of the master Bartolomé Rodríguez, homeward bound from Honduras. /v Marley 1 p 89"	AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1568	^^^	^^^	^^^	^^^	"En 1568 el capitán galo Dominique de Capdeville, con cuatro navíos y cuatro zabras, puso rumbo hacia Santa Marta, Tolú y Veragua"	^^^	^^^	^^^	^^^	^^^	O Torres pp 265-266	"PA 13 ram 9 num 22 ff 1r-v [Carta del presidente Vera, Panamá a 26 de junio de 1569] / PA 13 ram 9 num 23 ff 1r-v [Carta del fiscal Carasa, Panamá a 26 de junio de 1569] / PA 33 num 85 ff 1r-v [Carta de Cristóbal de Salinas, facto y veedor de Tierra Firme, Nombre de Dios a 24 de marzo de 1571] /// PT 267 ram 1 num 54 f 1r [Testimonio de Pedro de Morera, La Habana a 23 de julio de 1571]"			AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1568	^^^	^^^	^^^	^^^	Otro navío de la flor de lis realizó varios robos de em- barcaciones en la costa de Veragua	^^^	^^^	^^^	^^^	^^^	O Torres p 264	"PA 13 ram 8 num 17 f 1r [Carta del oidor doctor Barrios de San Millán, Panamá a 1 de junio de 1568]"		"Doc No. 24 [SF 62 num 8 = A. de I. 72-4-31, I pliego, original] [city council of Cartagena to crown, 30 Sept. 1568] [...] we received word in this city that off the coast of Veragua another corsair had taken another frigate out of Nicaragua with a quantity of gold and silver. Understanding that this corsair, or still another, was at San Bernaldo island, which is fourteen leagues from here, with two ships and a frigate the gobernor went out in person in search of him with a good force, well equipped, and m et him and took from him two frigates he had seized. /v Wright p 124"	AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1568	^^^	^^^	^^^	3rd Hawkins-Drake voyage	"Third voyage by John Hawkins, Francis Drake from Plymouth with 5 vessels inc Tierra Firme, Yucatan, New Spain"	^^^	^^^	^^^	^^^	^^^	O Torres p 263 / O Torres aa p 50 / R Armas pp 242-264 / B Bermudez pp 69-76 / I Rubio pp 105-119 / Marley 1 pp 97-100	"MX 100 [Probanza de Juan Céspedes de Simancas, Mérida, 1576] /// PT 267 ram 1 num 46 ff 1v-2r [Carta del cabildo de Nombre de Dios, Nombre de Dios a 29 de agosto de 1568]"		"Fase de Incremento Generalizado de Actividad Corsaria, 1567-1572 Totales por subregión de las entradas corsarias = 11 Yucatán, 8 Panamá, 4 Guatemala, 83 total general /v O Torres p 270"	AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1569	^^^	^^^	^^^	^^^ Drake voyage	Ese mismo año Francis Drake regresó a América para explorar y conocer la ciudad de Nombre de Dios y Panamá. Navegó desde Inglaterra en un patache con 12 tripulantes hasta el Golfo-Cari- be	^^^	^^^	^^^	^^^	^^^	O Torres p 267 / L Zea pp 119-120 / Wright aa pp xx-xxiv	"PA 32 num 13 [Cabildos seculares, Nombre de Dios a 6 de mayo de 1569; formerly Panama 32, 69-3-1, depositions made at Nombre de Dios in May 1569] /// PT 267 num 1 ram 53 [Robos perpetrados por corsarios franceses:(1559)-1571; formerly Patronato 267, 2-5-1/22, item no 53, ambassador’s memo of Sept. 1571] / PT 267 num 1 ram 54 [Robos perpetrados por piratas franceses tras la paz de 1559; formerly Patronato 267, 2-5-1/22, item no 54, deposition by Pedro Morera, Havana 23 (?) July 1572]"	"Wright aa part 1 docs no 3, 7, 9"		AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1569	^^^	^^^	^^^	^^^	Real Audiencia de Panamá informó que nueve navíos ingleses estaban surtos en Cabo de La Vela	^^^	^^^	^^^	^^^	^^^	O Torres p 267	"PA 13 ram 9 num 24 ff 1r-v [Carta del licenciado Vera, presidente de la Real Audiencia de Panamá, Panamá a 28 de junio de 1569]"			AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1570	^^^	^^^	^^^	^^^ Drake voyage	"este capitán arribó al Golfo-Caribe con un velero, una pinaza y una tripulación compuesta por entre 73 y 150 hombres"	^^^	Francis Drake	2 ships	Richard Dennys	Dragon / Swan [40 tn]	O Torres pp 281-282 / L Zea pp 123-130 / I Rubio pp 123-124 / Wright aa pp xxiv-xxvii	"PA 30 num 14 f 1r [Carta del cabildo de Panamá, Panamá a 24 de febrero de 1573] / PA 33 num 95 f 1r [Carta de los oficiales reales de Panamá, Panamá a 9 de mayo de 1573] / PA 33 num 96 f 1v [Carta de los oficiales de Panamá, Nombre de Dios a 13 de — de 1573] /// BOD ASH 830"	Philip p ^^^ = Wright aa part 2 doc 1 p 254	"SPRING 1570. Drake returns into the West Indies with the small ships Dragon and Swan—little being known about his activities on this cruise. /v Marley 1 p 100 /// Ashmole MS 830 declares that in 1570 Drake and ""an Englishe marchant of Exeter called Richard Dennys and others ... upon the coast of Nombre de Dios did robbe divers barkes in the river of Chacro [...]"" [...] as a matter of fact, nothing of this sort happened off Nombre de Dios or in the Chagre River in 1570; whereas in 1570/71 it did. [...] the Ashmole MS. to the contrary notwithstanding. /v Wright aa p xxiv /// re piracy in 1570, cf Spanish ambassador at Paris memo of French depradations [up to 20 Jun 1571] in A. de I. 2-5-1/22, Patronato 267, items 40, 53, 88; and similar re depradations by the English in A. de I. 2-5-1/20, Patronato 265, item 28, and 2-5-2/21, Patronato 266, item 1, and ""S.P. Spain, XVIII, cited by Corbett, op. cit. I, p. 402"" [???]), and BOD ASH 830 /v Wright aa p xxv /// [A. de I. 2-5-2/20, Patronato 265, item 28] contains reference to 1570, ""According to other evidence taken in the city of Nombre de Dios on March 15 it appears that on that coast the English at that time took a frigate of Gaspar Hernandez's, thought it was in ballast."" /v Wright aa p xxv"	AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1570	^^^	^^^	^^^	^^^	"Pierre Franc o Pedro “el vasco” navegó también en ese año como capitán de una embarcación ligera, con 26 hombres, en la costa oriental de Cuba, Cabo de La Vela –Nicaragua– y Río Hacha"	^^^	^^^	^^^	^^^	^^^	O Torres p 265 / Ullivarri pp 136-137	^^^			AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1571	^^^	^^^	^^^	^^^	Contamos también con datos respecto a una ruta naval francesa que sucedió en 1571 tripulación era de al menos 50 hombres capitaneados por Chuetot	^^^	^^^	^^^	^^^	^^^	O Torres pp 263-264 / Universidad pp 73-130 / L Zea pp 120-123 / R Martinez pp 115-140 / O Torres aa pp 98-102	"PT 267 ram 1 num 54 ff 2r-v [Testimonio de Rodrigo Caro, La Habana a 23 de julio de 1571]"			AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1571	^^^	^^^	^^^	^^^	dos navíos ingleses y tres chalupas francesas capturaron una carabela en una ensenada cercana a Nombre de Dios	^^^	^^^	^^^	^^^	^^^	O Torres p 268	"PA 13 ram 12 num 47 ff 1r-v [Carta de la Real Audiencia de Panamá, Panamá a 12 de septiembre de 1572]"			AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1571	^^^	^^^	^^^	^^^	Encontramos registros sobre algunos ingleses que en 1571 apresaron una fragata española entre las costas de Cartagena de Indias y Nombre de Dios	^^^	^^^	^^^	^^^	^^^	O Torres p 267	"PA 13 ram 11 num 44 f 3r [Carta del presidente de la Audiencia de Panamá, Panamá a 26 de mayo de 1571]"		"re Drake [and Nicholas des Isles in L’Esperance] voyage of 1571 to Nombre de Dios and Venta de Cruces on Chagres River see Wright aa part 1 docs nos 5-13; A. de I. 69-2-23, Panama 13, item no 23 [Dr. Barros to crown, Panama, 21 May 1571]; A. de I. 69-2-23, Panama 13 [Audiencia to crown, Panama, 14 March 1571]; A. de I. 69-3-9, Panama 40 [Gerónimo Narvaéz de Padilla to crown, Nombre de Dios, 14 March 1571]; A. de I. 2-5-1/22, Patronato 267, item 53 [Estevez deposition]; A. de I. 2-5-1/22, Patronato 267 [Pedro Mandinga deposition, Panama 20 February 1571]; A. de I. 69-2-23, Panama 13, item no 22 [Audiencia to crown, Panama 20 Feb. 1571]; A. de I. 69-2-23, Panama 13, item no 53 [Spanish embassador memo, Paris Sept. 1571]; A. de I. 69-2-23, Panama 13, item 54 [Ricardo Caro deposition, Havana 23? July 1572]; A. de I. 69-2-23, Panama 13, item 60 [deposition by Melo's negroes who deserted the barque, Nombre de Dios 2 March 1571]; A. de I. 2-5-1/20, Patronato 265, item 28 [Extract of depositions]; A. de I. 2-5-1/22, Patronato 267, item 54 [Rodrigo Caro deposition, Havana 23 July 1572]; A. de I. 2-5-1/22, Patronato 267, item 53 [Spanish ambassador memo, Paris 1571]; A. de I. 69-2-23, Panama 13 [Audiencia to crown, 12 March 1571] /v Wright aa pp xxix-xxxv"	AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1572	^^^	^^^	^^^	first independent Drake voyage	"Drake, having returned into the West Indies with Hawkins’s 70-ton, 47-man Pascha and the 25-ton, 26-man Swan under his brother John Drake"	^^^	^^^	^^^	^^^	^^^	Marley 1 pp 101-104 / Wright aa pp xxxvii-xlv / Winzerling pp 19-22	^^^	Philip = Wright aa part 2 item no 1 pp 245-326 / Wright aa part 1 docs nos 17-31	re Honduras leg cf Wright aa part 1 doc no 29	AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1572	^^^	^^^	^^^	^^^	"El 13 de enero de 1572, tres navíos y una chalupa tripu- lada por “corsarios luteranos” arribaron a Puerto de Caballos"	^^^	^^^	^^^	^^^	^^^	O Torres p 287 / P Valenzuela p 14	^^^		"Segunda Fase de Actividad Generalizada en el Golfo-Caribe, 1572-1582 Totales por subregión de las entradas corsarias = 19 Guatemala, 16 Panamá, 4 Yucatán, total general 72 /v O Torres p 290 /// EARLY APRIL 1572. As Adm. Esteban de las Alas arrives off Margarita Island (Venezuela) with a small transatlantic treasure fleet bound for Cartagena (Colombia) and Nombre de Dios (Panama), his flagship is engaged by two French privateers, who break off at nightfall. /v Marley 1 p 101 /// 1573 Guat. gob. Pedro de Villalobos dispuso que la carga y descarga de mercaderías se hiciera en Golfo Dulce en vez de Puedro Caballos ie en Bodegas /v Z Castellanos p 175"	AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1574	^^^	^^^	^^^	John Noble	"English privateer John Noble with a 4-gun, 30-man ship off Escudo de Veraguas Island (Panama)"	^^^	John Noble	"1 ship [4 gun, 30 men]"	^^^	"sn [4 gun, 30 men]"	Marley 1 p 104 / Wright aa pp xlv-xlvi	"PA 32 num 17 [Cartas y expedientes de cabildos seculares: Nombre de Dios a 12 de septiembre de 1575; formerly Panama 32, 69-3-1, item no 756, ff 96-97, deposition of Alonso Gutierrez de Casas, Nombre de Dios 27 April 1575] /// CT 5168 [Libros de cartas para Su Majestad y Consejo a 1568-1608; formerly Contratacion 5168, 42-6-2/6, IV, f 216, House of Trade to Crown, Seville 22 June 1575, containing report by Vice-Adm. Francisco Carreño]"	Wright aa part 1 docs nos 32-33	"JUNE 1574. Learning that the English privateer John Noble is making captures with a 4-gun, 30-man ship off Escudo de Veraguas Island (Panama), Gov. Pedro Godinez Osorio orders 30 Spanish harquebusiers out of Nombre de Dios aboard a “rowing frigate.” Together with a brigantine and launch out of Con- cepción de Veragua, the force traps the interloper and kills or executes all its crew members except for 2 young boys, who are condemned to the galleys. /v Marley 1 p 104"	AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1574	^^^	^^^	^^^	Horseley	"Gilbert Horseley’s 32 recently arrived English adventurers, who are aboard a 7-gun ship"	^^^	Gilbert Horseley	"1 ship [3-7 gun, 25-32 men]"	^^^	"sn [3-7 gun, 25-32 men]"	Marley 1 p 104 / Wright aa pp xlvi-xlviii / Williamson pp 297-299	"PA 32 num 17 [Cartas y expedientes de cabildos seculares: Nombre de Dios a 12 de septiembre de 1575; formerly Panama 32, 69-3-1, item no 756, depositions, Nombre de Dios April–May 1575] / PA 32 num 59 [Cartas y expedientes de cabildos seculares: Portobelo a Concepsión de Veragua a 13 de abril de 1575; formerly Panama 32, 69-3-1, item no 776, city of Veragua to Crown, 13 April 1575] / PA 29 ram 11 num 47 [CARTAS DE GOBERNADORES a Veragua a 3 de abril de 1575; formerly Panama 29, 69-2-39, leg 2.5 or 2(1/2), pliegos, Pedro Godinez Osorio, governor of Veragua, to Crown, Veragua 3 April 1575] /// PT 265 ram 26 [Instrucción a Alvaro Manrique de Lara: defesa Tierra Firme; formerly Patronato 265, 2-5-1/20, Audiencia to Alvaro Manrique de Lara, Panama 17 Feb. 1575]"	Wright aa part 1 docs nos 34-35	re Honduras leg cf Wright aa part 1 doc no 35	AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1574	^^^	^^^	^^^	Silvestre	"The 20-gun, 120-man French privateer ship of Captain Silvestre attacks Concepción de Veragua (Panama)"	^^^	Silvestre	"1 ship [20 gun, 120 men]"	^^^	"sn [20 gun, 120 men]"	Marley 1 p 104 / Wright aa pp xlvi-xlviii	"PA 32 num 17 [Cartas y expedientes de cabildos seculares: Nombre de Dios a 12 de septiembre de 1575; formerly Panama 32, 69-3-1, item no 756, depositions, Nombre de Dios April–May 1575] /// PT 265 ram 26 [Instrucción a Alvaro Manrique de Lara: defesa Tierra Firme; formerly Patronato 265, 2-5-1/20, Audiencia to Alvaro Manrique de Lara, Panama 17 Feb. 1575]"			AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1575	^^^	^^^	^^^	^^^	"algunos corsarios ingleses lograron llegar al lago Mar Dulce, en Nicaragua, luego de pasar por la boca del río San Juan en la costa caribeña de Veragua"	^^^	^^^	^^^	^^^	^^^	O Torres p 285	"GT 39 ram 8 num 22 f 4v [Carta de Diego López de Herrera, Puerto Caballos a 4 de abril de 1575]"			AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1575	^^^	^^^	^^^	^^^	El 9 de mayo de 1575 dos zabras francesas pasaron frente a Trujillo y de ahí a Puerto Caballos; después de tomar algunas embarcaciones retornaron a Trujillo	^^^	^^^	^^^	^^^	^^^	O Torres p 287	"GT 39 ram 9 num 35 f 1r [Carta de Diego López, lugarteniente en Trujillo del gobernador de Honduras, Trujillo a 29 de diciembre de 1577]"			AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
