Sources: Table 1
AID	SUBAID_0	SUBAID_1	ID	FORM	TYPE_0	OLD_ID	OLD_AID	OLD_NAME_0	TITLE	CAT_0	CAT_1	CAT_2	OCLC	HDL	PUB_0	PUB_1	DESC	NOTE																								
Bry	1	13		P	1				Collectiones peregrinatiorum in Indiam orientalem et Indiam occidentalem	http://id.lib.harvard.edu/alma/990047556760203941/catalog	https://bodmerlab.unige.ch/fr/constellations/de-bry				1590	1634		"These volumes are divided into two series. The West Indies series (also called India occidentalis and Great Voyages, dealing with the exploration and colonisation of the Americas, numbers thirteen volumes [1-13] with two supplements [9+, 11+]. The East Indies series (also called India orientalis or Lesser Voyages), whose texts treat primarily Africa and Asia, spans twelve volumes [1-12] with two supplements [1+, 9+]."																								
C Amaya				P	0				Invasiones de corsarios a la Honduras de Felipe IV (1633-1643)	https://halshs.archives-ouvertes.fr/halshs-02540842					2020		vol 1 of 1 / 1st ed																									
C Ancona				A	0				El orígen de Belice	https://hdl.handle.net/2027/mdp.39015008360342					1878			Boletín de la Sociedad de Geografía y Estadística de la República Mexicana. ser 3. vol 4: pp 254–264																								
C Valencia				P	1				"Relación historial eclesiástica de la provincia de Yucatán de la Nueva España, escrita el año de 1639"	http://id.lib.harvard.edu/alma/990043317900203941/catalog					1937		vol 1 of 1 / 1st ed	"Copy of 1639 manuscript / Biblioteca histórica mexicana de obras inéditas. 3 / México, Antigua librería Robredo, J. Porrúa e hijos, 1937"																								
Cabezas				P	0				"Pregones, pasquines, periódicos e impresos en el Reino de Guatemala, 1524-1822"	https://www.academia.edu/44086930/Pregones_pasquines_e_impresos_en_el_Reino_de_Guatemala					2020			Pre-print manuscript?																								
Carles				P					220 años del período colonial en Panamá	http://id.lib.harvard.edu/alma/990043220590203941/catalog					1969		vol 1 of 1 / 3rd ed	Panamá [Departamento de Bellas Artes y Publicaciones del Ministerio de Educación] 1969.																								
Chamberlain				P	0				"The conquest and colonization of Honduras, 1502-1550"	https://hdl.handle.net/2027/txu.059173002179226					1953		vol 1 of 1 / 1st ed																									
CO	1	1073		M	1	S 229	CO nn/n	BB nn / Col Rep nn	"Records of the Colonial Office, Commonwealth and Foreign and Commonwealth Offices, Empire Marketing Board, and related bodies"			https://discovery.nationalarchives.gov.uk/details/r/C57					1073 series	"For a fuller account of the history and records of the Colonial Office see Anne Thurston, 'The Records of the Colonial and Dominions Offices' (London, 1995)."																								
CT	1	5873		M	1				Casa de la Contratación			http://pares.mcu.es/ParesBusquedas20/catalogo/description/1859528					6337 legajos																									
Deive				P	0				"Tangomangos : contrabando y piratería en Santo Domingo, 1522-1606"				36877695		1996		vol 1 of 1 / 1st ed																									
E Gomez				P	1				Las fronteras de Nicaragua y Costa Rica en los documentos históricos	http://id.lib.harvard.edu/alma/990113297190203941/catalog					2007		vol 1 of 1 / 1st ed																									
Edwards	1	5		P	0				"The history, civil and commercial of the British West Indies"	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_crkn_books_44291					1819	1819	vol 1 to 5 of 5 / 5th ed																									
Edwards aa	1	2		P	0				"The history, civil and commercial, of the British colonies in the West Indies: in two volumes"						1793	1793	vol 1 to 2 of 2 / 1st ed	v 1 = https://link.gale.com/apps/doc/CW0102253733/ECCO?u=camb55135&sid=primo&xid=000787c6&pg=1 / v 2 = https://link.gale.com/apps/doc/CW0102254249/ECCO?u=camb55135&sid=bookmark-ECCO&xid=785972a3&pg=1																								
ES	1	1194		M	1				Escribanía de Cámara de Justicia			http://pares.mcu.es/ParesBusquedas20/catalogo/description/1866058					2864 legajos	"2864 Legajo(s) .  Los legajos están numerados del 1 a 1194, pero casi en su totalidad desglosados en 2, 3 o 4 unidades, utilizandose letras del alfabeto para su distinción"																								
F Duro	1	9		P	0				Armada española desde la unión de los reinos de Castilla y de León	https://catalog.hathitrust.org/Record/001245848/Home	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_hathitrust_hathifiles_nyp_33433009379904	https://armada.defensa.gob.es/ArmadaPortal/page/Portal/ArmadaEspannola/cienciaorgano/prefLang-es/02cienciaihcn--01a-cesareo-fernandez-duro			1895	1903	vol 1 to 9 of 9 / 1st ed	"Madrid, Est. tipográfico ""Sucesores de Rivadeneyra,"" 1895-1903."																								
F Guzman	1	3		P	0				"Recordación florida : discurso historial y demostración natural, material, militar y política del reyno de Guatemala"	http://id.lib.harvard.edu/alma/990019679360203941/catalog					1932	1933	vol 1 to 3 of 3 / 2nd expanded ed	"Biblioteca ""Goathemala"" de la Sociedad de Geografía e Historia de Guatemala ; v. 6-8 / First edition 1882–1883 incomplete = http://id.lib.harvard.edu/alma/990047365560203941/catalog"																								
F Morente				A	0				"Honduras y el espacio económico del Caribe, 1524-1550"	https://dialnet.unirioja.es/servlet/articulo?codigo=2427678					2001			"Mesoamérica, ISSN 0252-9963, Vol. 22, Nº 42, 2001, págs. 165-198"																								
Figueroa				P	0				"Southeastern Mesoamerica : indigenous interaction, resilience, and change"	https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/82605					2021		vol 1 of 1 / 1st ed																									
Finamore				T	0				"Sailors and slaves on the wood-cutting frontier: Archaeology of the British Bay Settlement, Belize"	http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/sailors-slaves-on-wood-cutting-frontier/docview/304114781/se-2?accountid=11311					1994																											
Flores				P	1				Nicaragua : documentos para su historia	http://id.lib.harvard.edu/alma/990151007940203941/catalog					2012		vol 1 of 1 / 1st ed																									
G Anoveros				P	0				Presencia franciscana en la Taguzgalpa y la Tologalpa (la Mosquitia)	https://dialnet.unirioja.es/servlet/articulo?codigo=4007895					1988			"Mesoamérica, ISSN 0252-9963, Vol. 9, Nº. 15, 1988, págs. 47-78"																								
G Diaz				P					"Mare clausum, mare liberum : la piratería en la América española : Archivo General de Indias, Exposición, noviembre de 2009 a mayo de 2010"	http://id.lib.harvard.edu/alma/990123271720203941/catalog	http://www.mcu.es/ccbae/es/consulta/registro.do?id=174908				2009		vol 1 of 1 / 1st ed	"[Madrid] : Ministerio de Cultura, Subdirección General de Publicaciones, Información y Documentación, D.L. 2009"																								
G Palaez	1	3		P	0				Memorias para la historia del antiguo reyno de Guatemala	http://id.lib.harvard.edu/alma/990045204220203941/catalog					1851	1852	vol 1 to 3 of 3 / 1st ed	"Biblioteca ""Goathemala"" de la Sociedad de Geografía e Historia de Guatemala ; v. 21-23 edition 1968–1973 = http://id.lib.harvard.edu/alma/990011911160203941/catalog"																								
Galvin				P	0				"Patterns of Pillage: A Geography of Caribbean-Based Piracy in Spanish America, 1536-1718"				37731682		1999		vol 1 of 1 / 1st ed	"American university studies. Series XXV, Geography ;; vol. 5"																								
Galvin aa				T	0				The pirates' wake : a geography of piracy and pirates as geographers in Colonial Spanish America 1536-1718						1991																											
Garcia				A	0				Etnogénesis e Hibridación de los Miskitus	https://www.temasnicas.net/revistas/170					2022																											
Garcia aa				P	0				"Etnogénesis, hibridación y conso- lidación de la identidad del pueblo miskitu,"						2007			"Madrid, CSIC"																								
Gasser				P	0				Dictionnaire des flibustiers des Caraïbes : corsaires et pirates français au XVIIe siècle	Dictionnaire des flibustiers des Caraïbes : corsaires et pirates français au XVIIe siècle					2017		vol 1 of 1 / 1st ed																									
Genkins				T	0				Entangled Empires: Anglo-Spanish Competition in the Seventeenth-Century Caribbean	https://etd.library.vanderbilt.edu/etd-07192018-205429					2018																											
Georget				P	1				Herejes en el paraíso : corsarios y navegantes ingleses en las costas de Venezuela durante la segunda mitad del siglo XVI	http://id.lib.harvard.edu/alma/990077583810203941/catalog					1994		vol 1 of 1 / 1st ed	"Caracas : Editorial Arte, 1994 / Colección V centenario del encuentro entre dos mundos, 1492-1992, 1498-1998 ; no. 7 / La obra ofrece la primera traducción al castellano de testimonios de corsarios y exploradores ingleses del período 1565-1603, sobre sus incursiones a las costas de Venezuela, incluidos por Richard Hakluyt y Samuel Purchas en su extraordinaria compilación: The Principal Navigations, Voyages, Traffiques & Discoveries of the English Nation."																								
Goslinga				P	0				The Dutch in the Caribbean and on the Wild Coast 1580-1680	https://ufdc.ufl.edu/AA00061987/00001					2017		vol 1 of 1 / reprint of 1st ed	First published 1971																								
Grafenstein				P	0				"Entre lo legal, lo ilícito y lo clandestino : prácticas comerciales y navegagión en el gran caribe, siglos XVII al XIX"	http://id.lib.harvard.edu/alma/99153819603403941/catalog					2018		vol 1 of 1 / 1st ed	"San Juan Mixcoac, México : Insituto de Investigaciones Dr. José María Luis Mora, 2018"																								
GT	1	964		M	1	S 55	"GUATEMALA,zzz"		Audiencia de Guatemala			http://pares.mcu.es/ParesBusquedas20/catalogo/description/1859869					971 legajos	"971 Legajo(s) .  Numerados del 1 al 964, algunos desdoblados en dos con signaturación en A y B. Falta el legajo 527 y el 597 no existe."																								
H Oliva				P	0				Corsarios y piratas en La Habana : siglo XVI				1200194962		2020		vol 1 of 1 / 1st ed	Colección Isla de la Tortuga ;; 20																								
H Tordesillas	1	8		P	1				Historia general de los hechos de los castellanos en las Islas i Tierra Firme del Mar Oceano	https://link.gale.com/apps/doc/CY0111567515/SABN?u=camb55135&sid=primo&xid=3acb195c&pg=1					1726	1739	vol 1 to 8 of 8 / decades 1 to 8 of 8 / reprint of 1st ed	1 = https://link.gale.com/apps/doc/CY0111567515/SABN?u=camb55135&sid=primo&xid=3acb195c&pg=1 / 2 = https://link.gale.com/apps/doc/CY0111567821/SABN?u=camb55135&sid=primo&xid=c14e185f&pg=1 / 3 = https://link.gale.com/apps/doc/CY0111568114/SABN?u=camb55135&sid=primo&xid=0962b7e9&pg=3 / 4 = https://link.gale.com/apps/doc/CY0111568415/SABN?u=camb55135&sid=primo&xid=b3b40552&pg=1 / 5 = https://link.gale.com/apps/doc/CY0111568652/SABN?u=camb55135&sid=primo&xid=1895b915&pg=1 / 6 = https://link.gale.com/apps/doc/CY0111568913/SABN?u=camb55135&sid=primo&xid=7613eec8&pg=1 / 7 = https://link.gale.com/apps/doc/CY0111569154/SABN?u=camb55135&sid=primo&xid=3c476799&pg=1 / 8 = https://link.gale.com/apps/doc/CY0111569408/SABN?u=camb55135&sid=primo&xid=85455339&pg=1 / 3 = https:// archive.org/details/generaldehechosd02herr																								
H Tordesillas aa				P					Descripcion de las Indias ocidentales de Antonio de Herrera coronista mayor de sv Mag'd de las Indias y sv coronista de Castilla	http://id.lib.harvard.edu/alma/990057391880203941/catalog					1601		vol 1 of 1 / 1st ed	En Mad: [Madrid] en la emplenta real 1601.																								
H Tordesillas bb	1	8		P	1				Historia general de los hechos de los castellanos en las Islas i Tierra Firme del Mar Oceano	http://id.lib.harvard.edu/alma/990042385300203941/catalog	http://www.memoriachilena.gob.cl/602/w3-article-8393.html	https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=4906			1601	1615	vol 1 to 4 of 4 / decades 1 to 8 of 8 / 1st ed	"De Cada primera / En quatro Decadas desde al Ano de 1492 hasta el de 1531 / 9 v. in 4 / The first 4 decades and the Descripción were printed in 1601 by Juan Flamenco. The last 4 decades, continuing the history from 1532 to 1554, were printed in 1615 by Juan de la Cuesta / 1 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=4906 / 2= https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=16931 / 3 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=4907 / 4 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=16932 / 5 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=4908 / 6 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=16933 / 7 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=5348 / 8 = https://bibliotecadigital.jcyl.es/es/consulta/registro.do?id=16934"																								
Hakluyt	1	3		P	1				"Principal Navigations, Voiages, Traffiques and Discoveries of the English Nation : made by Sea or over-land, to the remote, and farthest distant quarters of the Earth, at any time within the compasse of these 1500 yeeres; Devided into three severall Volumes, according to the positions of the Regions, whereunto they were directed"	http://id.lib.harvard.edu/alma/99154242358703941/catalog		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/principal-nauigations-voiages-traffiques/docview/2248550788/se-2?accountid=11311			1598	1600	vol 1 to 3 of 3 / 2nd expanded ed																									
Hakluyt aa				P	1				"The principall nauigations, voiages and discoueries of the English nation :made by sea or ouer land, to the most remote and farthest distant quarters of the earth at any time within the compasse of these 1500. yeeres: deuided into three seuerall parts, according to the positions of the regions wherunto they were directed. ... Whereunto is added the last most renowmed English nauigation, round about the whole globe of the earth"	https://hollis.harvard.edu/permalink/f/1s5nto6/01HVD_ALMA512449063730003941					1589		vol 1 of 1 / 1st ed																									
Hakluyt bb				P	1				"Divers voyages touching the discoverie of America and the Ilands adjacent unto the same : made first of all by our Englishmen and afterward by the Frenchmen and Britons : and certaine notes of advertisements for observations, necessarie for such as shall heereafter make the like attempt, with two mappes annexed heereunto for the plainer understanding of the whole matter"	http://id.lib.harvard.edu/alma/99155993770503941/catalog	http://id.lib.harvard.edu/alma/990096330180203941/catalog	http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/divers-voyages-touching-discoverie-america/docview/2138593985/se-2?accountid=11311			1582		vol 1 of 1 /																									
Hakluyt cc	1	12		P	1				"The Principal Navigations, Voyages, Traffiques & Discoveries of the English Nation : Made by Sea or Over-land to the Remote and Farthest Distant Quarters of the Eart at any time within the compasse of these 1600 Yeeres"						1903	1905	vol 1 to 12 of 12 / Reprint of 2nd expanded ed	Works issued by the Hakluyt Society. extra ser. nos. 1-12 / vol 1 = https://hdl.handle.net/2027/uva.x030682653 / 2 = https://hdl.handle.net/2027/msu.31293008125290																								
Hall				P	0				Historical atlas of Central America	http://id.lib.harvard.edu/alma/990091257410203941/catalog					2003		vol 1 of 1 / 1st ed																									
Haring				P	0				Buccaneers in the West Indies in the Seventeenth Century	http://www.gutenberg.org/ebooks/19139					1910		vol 1 of 1 / 1st ed																									
Harlow				A	0				"The voyages of Captain William Jackson, 1642-5"	https://doi.org/10.1017%2FS2042171000006920					1924			Camden. Third Series. 34: 1–39																								
Huerga	1	3		P	1				Cartas de los gobernadores	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_globaltitleindex_catalog_32874401			700460564		2010	2010	vol 1 of 3 / 1st ed	vol. 1. 1550-1580 -- vol. 2. 1580-1592 -- vol. 3. 1593-1602 / Historia documental de Puerto Rico ;; t. 19-<21> / San Juan : Academia Puertorriqueña de la Historia : Centro de Estudios Avanzados de Puerto Rico y del Caribe : Fundación Puertorriqueña de las Humanidades																								
Hume	1	4		P	1				"Calendar of State Papers, Simancas"	https://www.british-history.ac.uk/search/series/cal-state-papers--simancas					1892	1899	vol 1 to 4 of 4 / 1st ed																									
Hussey				A	0				Spanish Reaction to Foreign Aggression in the Caribbean to about 1680	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/2506623	https://doi-org.ezp-prod1.hul.harvard.edu/10.2307/2506623				1929			Hispanic American Historical Review. 9 (3): 286–302																								
I Barquero				P	1				Piratas y aventureros en las costas de Nicaragua : crónicas de fuentes originales	http://id.lib.harvard.edu/alma/990092689940203941/catalog					2003		vol 1 of 1 / 1st ed																									
I Rubio				P					Viajeros isabelinos en la Nueva España	http://id.lib.harvard.edu/alma/990088560890203941/catalog					2001		vol 1 of 1 / 1st ed	"Sección de obras de historia / México : Universidad Michoacana de San Nicolás de Hidalgo, Instituto de Investigaciones Históricas : Fondo de Cultura Económica, 2001"																								
I Rubio aa				A					"El primer ataque inglés a Campeche, por William Parker en 1596"	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_gale_infotrac_370032184	https://www.redalyc.org/articulo.oa?id=89804106				2005			"Tzintzun, 2005-01-01 (41), pp.117-130"																								
Ibarra				P	0				"Del arco y la flecha a las armas de fuego. Los indios mosquitos y la historia centroamericana, 1633-1786"						2011			"San José, Editorial de la Universidad de Costa Rica, 2011"																								
J Rueda				P	0				"Corsarios franceses e ingleses en la Inquisición de la Nueva Espana, siglo XVI"	http://id.lib.harvard.edu/alma/990010295310203941/catalog					1945		vol 1 of 1 / 1st ed																									
Jameson				P	1				Privateering and Piracy in the Colonial Period: Illustrative Documents	http://www.gutenberg.org/files/24882/24882-h/24882-h.htm	http://id.lib.harvard.edu/alma/990014309840203941/catalog				1923		vol 1 of 1 / 1st ed																									
Jones				P	0				Maya resistance to Spanish rule: time and history on a colonial frontier	http://id.lib.harvard.edu/alma/990017281330203941/catalog					1989																											
Jones aa				P	0				Conquest of the Last Maya Kingdom 	http://id.lib.harvard.edu/alma/990078552340203941/catalog					1998																											
Joseph				A	0				John Coxxx and the Role of Buccaneering in the Settlement of the Yucatan Colonial Frontier	https://doi.org/10.1179%2Ftin.1980.12.1.65					1980			Terrae Incognitae. 12 (1): 65–84																								
Jowitt				P	0				"Pirates? : the politics of plunder, 1550-1650"	http://id.lib.harvard.edu/alma/990102604800203941/catalog					2007		vol 1 of 1 / 1st ed																									
Kupperman				P	0				"Providence Island, 1630-1641"	https://hollis.harvard.edu/permalink/f/1lqd3jo/01HVD_ALMA512222892460003941					1993																											
L Cogolludo				P	1				Historia de Yucathan	https://gallica.bnf.fr/ark:/12148/bpt6k829446	https://link.gale.com/apps/doc/CY0102936949/SABN?u=camb55135&sid=primo&xid=fbdf1b13&pg=1				1688		vol 1 of 1 / 1st ed																									
L Cogolludo aa				P	1				Historia de Yucatán				42620003		1996		vol 1 of 1 / 5th ed	"Colección Pablo García ;; 6 / Campeche, México : Publicaciones del H. Ayuntamiento de Campeche 1995-1997 / Possibly in 3 volumes published 1996-?"																								
L Munoz	1	6		P	0				Historia general de Guatemala	https://fundacionhcg.org/index.php/biblioteca					2005	2005	vol 1 to 3 of 3 / reprint of 1st ed	First published 1993 / vol 1 = http://fundacionhcg.org/libros/lq/tomoi/#p=1 / 2 = http://fundacionhcg.org/libros/lq/tomoii/#p=1 / 3 = http://fundacionhcg.org/libros/lq/tomoiii/#p=1																								
L Vivas				P	0																																					
L Zea				P					"Piratas del Caribe y Mar del Sur en el siglo XVI, 1497-1603"	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_globaltitleindex_catalog_53322573			53001442		2003		vol 1 of 1 / 1st ed	"México, D.F: Universidad Nacional Autónoma de México, Dirección General de Estudios de Posgrado, Facultad de Filosofía y Letras, Programa de Posgrado en Estudios Latinoamericanos"																								
Landa				P	1				Relación de las cosas de Yucatán	https://www-digitaliapublishing-com.ezp-prod1.hul.harvard.edu/a/16451			960748072		2011		vol 1 of 1 /	Copy of 1566 manuscript / earliest Spanish edition found was 1938 = http://id.lib.harvard.edu/alma/990045590860203941/catalog / 1959 edition = https://www.wayeb.org/resources-links/wayeb-resources/ethnohistorical-sources/																								
Latimer				P	0				Buccaneers of the Caribbean	https://hollis.harvard.edu/permalink/f/1lqd3jo/01HVD_ALMA512334273480003941					2009		vol 1 of 1 / 1st ed																									
Levy				P	0				Notas geográficas y económicas sobre la República de Nicaragua	http://id.lib.harvard.edu/alma/990045664560203941/catalog					1873		vol 1 of 1 / trans of 1st ed	First published 1871 in French																								
Leyva				P	1				Documentos coloniales de Honduras	http://id.lib.harvard.edu/alma/990027286270203941/catalog					1991		vol 1 of 1 / 1st ed	"Tegucigalpa, Honduras : Centro de Publicaciones Obispado de Choluteca : Centro de Estudios Históricos y Sociales para el Desarrollo de Honduras (CEHDES), c1991 / Colección Padre Manuel Subirana ; 3"																								
Little				P	0				"How history's greatest pirates pillaged, plundered, and got away with it : the stories, techniques, and tactics of the most feared sea rovers from 1500-1800"	http://id.lib.harvard.edu/alma/990128845660203941/catalog					2011		vol 1 of 1 / 1st ed																									
M Chavez				A	0				"Mapeando la Tologalpa, Espacio no Colonizado en la Nicaragua Colonial"	https://www.enriquebolanos.org/revista/Temas-nicaragüenses-Una-revista-dedicada-a-documentar-asuntos-referentes-a-Nicaragua-–-Número-103–Noviembre-2016	https://www.temasnicas.net/revistas/103				2016			Temas nicaragüenses. Una revista dedicada a documentar asuntos referentes a Nicaragua – Número 103–Noviembre 2016																								
Mack				T	0				"Ephemeral hinterlands and the historical geography of Trujillo, Honduras, 1525-1950"	http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/ephemeral-hinterlands-historical-geography/docview/304354988/se-2?accountid=11311					1997																											
MacLeod				P	0				"Spanish Central America: A Socioeconomic History, 1520–1720"	https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/45035					2008		vol 1 of 1 / 2nd revised ed	First published 1973																								
