Bilateral											103.80	110.50	113.30	108.10	119.80	118.50	132.40	140.80	133.60	181.70	176.50	175.40	200.00	212.10	204.30	247.60	242.00	259.70	299.10	425.20	331.50	335.60	356.70	351.30	347.10	341.70	483.60	569.14	641.79	673.35	737.72	765.60	782.57	813.04				
Commercial											8.20	27.00	26.70	32.30	36.40	55.90	79.20	77.70	73.30	86.60	102.80	110.90	112.50	412.60	499.50	605.20	912.70	"1,062.40"	"1,150.70"	"1,121.90"	"1,155.10"	"1,140.50"	"1,125.00"	"1,112.30"	"1,111.60"	"1,091.20"	"1,056.20"	"1,053.00"	"1,053.00"	"1,053.00"	"1,053.00"	"1,057.00"	"1,064.00"	"1,087.60"				
																																																
Disbursed																																																
GOB											4.41	1.92	23.35	17.58	36.36	44.18	67.02	52.09	40.18	80.01	37.67	41.33	69.70	279.56	141.08	475.25	499.52	432.92	417.82	167.23	1204.10	82.93	129.95	61.54	71.70	72.22	330.65	172.86	177.49	130.53	175.79	103.63	130.35	214.52				
Non-fin. sector											6.18	21.29	8.89	3.01	12.43	2.72	0.54	0.15	0.00	2.68	45.81	18.51	11.31	13.36	16.71	3.29	0.00	0.00	0.00	0.00	0.02	0.00	0.02	0.97	0.32	0.10	0.05	0.00	97.43	2.23	9.00	27.07	14.76	1.14				
Fin. sector											3.73	3.16	1.99	5.79	8.08	1.07	2.22	5.27	2.16	25.37	10.54	5.03	10.12	116.56	62.92	3.69	3.73	0.49	0.00	0.00	0.00	0.03	70.57	0.00	0.00	0.00	0.00	0.00	8.00	5.00	5.03	9.18	5.64	6.37				
																																																
Serviced																																																
GOB principal											8.65	10.05	11.45	13.35	7.68	8.25	10.43	24.21	32.42	32.53	33.12	31.70	30.44	54.91	54.33	153.67	100.88	248.05	284.92	121.35	"1,204.44"	88.48	69.46	54.16	52.95	56.75	171.46	67.48	74.74	81.82	85.77	80.49	80.15	70.15				
GOB interest & other											4.53	4.19	3.85	4.10	3.55	3.98	6.48	9.40	12.07	12.21	12.77	16.90	18.08	24.89	42.22	41.47	77.70	109.45	130.98	118.88	109.85	81.68	72.61	78.22	85.47	76.71	42.44	75.05	76.54	79.69	81.86	85.40	89.81	50.91				
Non-fin principal											6.72	8.00	3.89	6.23	10.50	5.74	5.14	5.39	5.49	5.39	4.89	5.03	4.50	5.43	4.70	3.19	2.00	2.16	2.82	5.52	4.14	3.15	2.41	3.43	7.27	9.91	8.78	8.73	100.73	3.03	2.08	3.03	7.07	1.44				
Non-fin int & other											2.05	2.14	3.81	3.96	3.64	2.91	2.50	2.18	1.90	2.34	2.98	4.51	6.06	3.80	2.11	2.46	1.10	1.04	1.13	2.08	1.61	1.59	0.97	1.15	1.29	1.24	0.99	0.77	0.83	0.58	0.61	0.78	2.15	2.61				
Fin principla											2.81	3.23	3.54	3.60	2.97	4.10	4.78	5.04	5.44	5.28	3.28	3.43	3.67	13.02	11.31	136.20	58.61	10.51	8.43	13.94	26.56	16.64	12.83	13.06	14.05	13.44	8.48	2.79	0.83	0.83	0.88	0.90	0.71	0.90				
Fin int & other											2.44	2.16	2.92	2.42	2.26	2.35	1.94	1.87	2.05	1.70	4.45	4.92	4.83	10.49	15.78	11.76	4.77	2.43	2.36	7.73	6.60	4.58	3.63	2.95	2.05	0.69	0.31	0.21	0.19	0.48	0.68	0.96	1.59	1.20				
																																																
																																																
																																																
																																																
																																																
cf	CB																																															
unit	nominal BZD m																																															
note	Figure for last month available per year shown. Figs for GOB and public sector shown.																																															


IMF: Table 1
	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20				
GOB pc	13.67	16.90	28.23	29.65	34.11	41.12	48.81	58.95	56.84	68.82	62.40	56.19	47.02	43.47	39.84	41.54	41.70	41.25	41.83	47.16	50.89	52.59	52.20	56.66	79.00	87.33	95.02	109.34	103.37	102.44	95.65	93.40	85.82	93.70	89.46	83.62	79.62	78.16	76.82	79.33	93.18	94.51	95.22						
GDP b	0.18	0.21	0.21	0.28	0.34	0.36	0.36	0.38	0.42	0.42	0.46	0.53	0.63	0.73	0.82	0.89	1.04	1.12	1.16	1.24	1.28	1.31	1.38	1.46	1.66	1.74	1.87	1.98	2.12	2.23	2.43	2.58	2.74	2.67	2.79	2.97	3.13	3.22	3.39	3.53	3.61	3.73	3.85						
GOB m	24.82	35.84	60.09	83.10	117.48	147.53	174.98	222.81	239.76	287.92	284.37	299.50	296.14	315.73	328.30	369.43	432.08	461.68	485.81	584.77	652.66	688.29	719.21	829.90	"1,314.67"	"1,522.87"	"1,772.14"	"2,165.83"	"2,187.08"	"2,282.74"	"2,329.07"	"2,410.89"	"2,348.99"	"2,502.22"	"2,499.12"	"2,486.05"	"2,490.14"	"2,514.33"	"2,601.07"	"2,796.43"	"3,366.79"	"3,520.70"	"3,665.51"						
																																																	
																																																	
																																																	
cf	IMF GDD																																																
unit	pc of nominal GDP / GDP b																																																
note																																																	


Groupings: Table 1
	LDC	SIDS	UN	UMI	Tally	Name	Govt expenditure	GDP	Exp	
UN	0	1	1	1	13	Belize	31.322	1.84	0.5763248	
						Cuba			0	
						Dominica	57.801	0.59	0.3410259	
						Dominican Republic	16.493	89.03	14.6837179	
						Fiji	32.637	5.41	1.7656617	
						Grenada	22.026	1.22	0.2687172	
						Guyana	34.340	5.17	1.775378	
						Jamaica	29.437	15.88	4.6745956	
						Marshall Islands	62.833	0.24	0.1507992	
						St. Lucia	25.044	2.12	0.5309328	
						St. Vincent and the Grenadines	30.272	0.82	0.2482304	
						Suriname	31.249	3.70	1.156213	
						Tonga	43.101	0.52	0.2241252	
										
cf	UN and WB for grouping. IMF for expenditure data.									
