Sheet 1: Table 1
Body	Surname	Forenames	Disclosure Certified			
San Ignacio / Santa Elena	U	C	HERRERA	George Luis	1 Mar 2006	
San Ignacio / Santa Elena	U	C	MORENO	Iliana	1 Mar 2006	
San Ignacio / Santa Elena	U	C	NEAL	Vanessa Jeaneane	1 Mar 2006	
San Ignacio / Santa Elena	U	C	TRAPP JR.	Earl	1 Mar 2006	
Dangriga	U	M	MENA	Frank	1 Mar 2006	
Dangriga	U	C	CHAVEZ	Alden Jack	1 Mar 2006	
Dangriga	U	C	FAIRWEATHER	Grace	1 Mar 2006	
Dangriga	U	C	GARCIA	Russel	1 Mar 2006	
Dangriga	U	C	GONGORA	Aaron Jake	1 Mar 2006	
Dangriga	U	C	NORALEZ	Barbara	1 Mar 2006	
Dangriga	U	C	SABAL	Harry Henry	1 Mar 2006	
Benque Viejo	U	M	SOSA	Gerardo Marconi	1 Mar 2006	
Benque Viejo	P	C	CHULIN	Armando	1 Mar 2006	
Benque Viejo	U	C	ESCALANTE	Mirna Araceli	1 Mar 2006	
Benque Viejo	U	C	GUERRA JR.	Adrian	1 Mar 2006	
Benque Viejo	U	C	GUERRA	Elmer	1 Mar 2006	
Benque Viejo	U	C	IGLESIAS	Salvador	1 Mar 2006	
Benque Viejo	U	C	RUIZ	Nicholasito Russel	1 Mar 2006	
Punta Gorda	P	M	GALVEZ	Carlos	1 Mar 2006	
Punta Gorda	P	C	CHAVARRIA	Leonardo	1 Mar 2006	
Punta Gorda	U	C	GALVEZ	Wilfredo	1 Mar 2006	
Punta Gorda	U	C	LAMBEY	Anthony	1 Mar 2006	
Punta Gorda	U	C	LINO	Floyd	1 Mar 2006	
Punta Gorda	U	C	PENNIL	Rene Arthur	1 Mar 2006	
Punta Gorda	U	C	SUPAL	Leeroy Ned	1 Mar 2006	
Orange Walk	U	M	GONZALEZ	Ravell	1 Mar 2006	
Orange Walk	U	C	ALCOSER	Raul	1 Mar 2006	
Orange Walk	U	C	DE LA FUENTE	Philip Marvin	1 Mar 2006	
Orange Walk	U	C	MATAR	Jamil Amin	1 Mar 2006	
Orange Walk	U	C	MELENDEZ	Rosario	1 Mar 2006	
Orange Walk	U	C	MORALEZ	Enid Urbina	1 Mar 2006	
Orange Walk	U	C	PERERA	Carlos	1 Mar 2006	
San Pedro	U	M	PAZ	Elsa	1 Mar 2006	
San Pedro	U	C	ALAMILLA	Juan	1 Mar 2006	
San Pedro	U	C	ELIJIO	Joseph	1 Mar 2006	
San Pedro	U	C	GOMEZ	Nesto	1 Mar 2006	
San Pedro	U	C	GUERRERO	Justiniano	1 Mar 2006	
San Pedro	U	C	GUERRERO JR.	Severo	1 Mar 2006	
San Pedro	U	C	ICO	Pablo	1 Mar 2006	
Belmopan	U	M	LOPEZ	Simeon	4 Mar 2009	
Belmopan	U	C	BALONA	Tita	4 Mar 2009	
Belmopan	U	C	BANNER	Shanna Marie	4 Mar 2009	
Belmopan	U	C	CARRILLO	Pedro	4 Mar 2009	
Belmopan	U	C	MYERS	Olga Jean	4 Mar 2009	
Belmopan	U	C	PERDOMO	Victor Santiago	4 Mar 2009	
Belmopan	U	C	UMANA	Amilcar Alfredo	4 Mar 2009	
San Pedro	U	M	PAZ	Elsa	4 Mar 2009	
San Pedro	U	C	ALAMILLA	Juan	4 Mar 2009	
San Pedro	U	C	ELIJIO	Joseph	4 Mar 2009	
San Pedro	U	C	GOMEZ	Nesto	4 Mar 2009	
San Pedro	U	C	GUERRERO	Justiniano	4 Mar 2009	
San Pedro	U	C	GUERRERO JR.	Severo	4 Mar 2009	
San Pedro	U	C	ICO	Pablo	4 Mar 2009	
Corozal	U	M	CAMPOS	Hilberto Enrique	4 Mar 2009	
Corozal	U	C	BABB	Aron Ubaldo	4 Mar 2009	
Corozal	U	C	BUDNA	Jude Stanley	4 Mar 2009	
Corozal	U	C	CRUZ	Willie Joselle	4 Mar 2009	
Corozal	U	C	ESQUIVEL	Kenisha Yvonne	4 Mar 2009	
Corozal	U	C	GOMEZ	Abigail Karina	4 Mar 2009	
Corozal	U	C	RAMIREZ	Nonita Encarnacion	4 Mar 2009	
Orange Walk	U	M	DE LA FUENTE	Phillip Marvin	4 Mar 2009	*
Orange Walk	P	C	ARANA-FLORES	Rozel	4 Mar 2009	*
Orange Walk	U	C	CONSTANZA	David Israel	4 Mar 2009	*
Orange Walk	P	C	BERNARD	Kevin E.	4 Mar 2009	*
Orange Walk	P	C	CARBALLO	Josue	4 Mar 2009	*
Orange Walk	U	C	MORALES	Xenia Enid	4 Mar 2009	*
Orange Walk	P	C	RIVEROL	Faride	4 Mar 2009	*
San Ignacio / Santa Elena	U	M	AUGUST	John Francis	4 Mar 2009	
San Ignacio / Santa Elena	U	C	CANO	Eduardo	4 Mar 2009	
San Ignacio / Santa Elena	U	C	CHUC	Orlando Moses	4 Mar 2009	
San Ignacio / Santa Elena	U	C	FERNANDEZ	Bernadette	4 Mar 2009	
San Ignacio / Santa Elena	U	C	NEAL	Desol D.	4 Mar 2009	
San Ignacio / Santa Elena	U	C	NEAL	Vanessa Jeaneane	4 Mar 2009	
San Ignacio / Santa Elena	U	C	TRAPP	A. Earl	4 Mar 2009	
Benque Viejo	U	M	RUIZ	Nicholasito Russel	4 Mar 2009	
Benque Viejo	U	C	CASTELLANOS	Ana Melita	4 Mar 2009	
Benque Viejo	U	C	HYDE	Constance Frances	4 Mar 2009	
Benque Viejo	U	C	IGLESIAS	Salvador	4 Mar 2009	
Benque Viejo	U	C	KOTCH	Marcos Moises	4 Mar 2009	
Benque Viejo	U	C	MANZANERO	Eric Raul	4 Mar 2009	
Benque Viejo	U	C	VELASQUEZ	Miguel Angel	4 Mar 2009	
Dangriga	U	M	GONGORA	Aaron	4 Mar 2009	
Dangriga	U	C	CIEGO	Peter	4 Mar 2009	
Dangriga	U	C	FAIRWEATHER	Grace Cleoline	4 Mar 2009	
Dangriga	U	C	JOSEPH	Alexander Raymond	4 Mar 2009	
Dangriga	U	C	MARIANO	Charles	4 Mar 2009	
Dangriga	U	C	SABAL	Harry Henry	4 Mar 2009	
Dangriga	U	C	USHER	Elvis	4 Mar 2009	
Punta Gorda	U	M	LINO	Floyd	4 Mar 2009	
Punta Gorda	U	C	GUTIERREZ	Fern	4 Mar 2009	
Punta Gorda	U	C	LAMBEY	Anthony	4 Mar 2009	
Punta Gorda	U	C	MUSCHAMP	Orlando	4 Mar 2009	
Punta Gorda	U	C	RAMCLAM	Albert	4 Mar 2009	
Punta Gorda	U	C	SUPAUL	Leroy Ned	4 Mar 2009	
Punta Gorda	U	C	TEUL	Sylvestre	4 Mar 2009	
Belize City	U	M	BRADLEY	Darrel	7 Mar 2012	
Belize City	U	C	CHANG	Eric	7 Mar 2012	
Belize City	U	C	ELRINGTON-HYDE	Alifa	7 Mar 2012	
Belize City	U	C	ESPEJO	Roger	7 Mar 2012	
Belize City	U	C	GONZALEZ	Alain	7 Mar 2012	
Belize City	U	C	LESLIE	Dion	7 Mar 2012	
Belize City	U	C	PITTS JR.	Bernard Q. A.	7 Mar 2012	
Belize City	U	C	SAMUELS	Dean Trevor Collins	7 Mar 2012	
Belize City	U	C	SINGH	Kevin Vincent	7 Mar 2012	
Belize City	U	C	THEUS	Michael	7 Mar 2012	
Belize City	U	C	WILLOUGHBY	Philip	7 Mar 2012	
San Pedro	U	M	GUERRERO	Daniel	7 Mar 2012	
San Pedro	P	C	NUNEZ	Gualberto	7 Mar 2012	
San Pedro	U	C	BARRIENTOS	Carlos Enrique	7 Mar 2012	
San Pedro	U	C	BRACKETT	Kenrick William	7 Mar 2012	
San Pedro	U	C	GUERRERO	Severo	7 Mar 2012	
San Pedro	U	C	NUNEZ	Gabriel	7 Mar 2012	
San Pedro	U	C	PAZ	Guillermo Enrique	7 Mar 2012	
Benque Viejo	U	M	VELASQUEZ	Miguel Angel	7 Mar 2012	
Benque Viejo	U	C	CONTRERAS	Manuel Luis	7 Mar 2012	
Benque Viejo	U	C	CORTEZ	Carlos Elias	7 Mar 2012	
Benque Viejo	U	C	CRUZ	Fredi	7 Mar 2012	
Benque Viejo	U	C	GUERRA	Elmer	7 Mar 2012	
Benque Viejo	U	C	INECO	Mario	7 Mar 2012	
Benque Viejo	U	C	KOTCH	Marcos Moises	7 Mar 2012	
Corozal	U	M	CAMPOS	Hilberto	7 Mar 2012	
Corozal	U	C	ARANA	Guillermo Eldin	7 Mar 2012	
Corozal	U	C	BUDNA	Jude Stanley	7 Mar 2012	
Corozal	U	C	CASTILLO	Rafael Shaffrir	7 Mar 2012	
Corozal	U	C	CHI	Stacy Armstrong	7 Mar 2012	
Corozal	U	C	MARROQUIN	Daisy Dalila	7 Mar 2012	
Corozal	U	C	PEREZ	Elva Oralia	7 Mar 2012	
Orange Walk	P	M	BERNARD	Kevin	7 Mar 2012	
Orange Walk	P	C	ARANA-FLORES	Rozel	7 Mar 2012	
Orange Walk	P	C	CAL	Ian Emmanuel	7 Mar 2012	
Orange Walk	P	C	CARBALLO	Josue	7 Mar 2012	
Orange Walk	P	C	RAMIREZ	Neri Antonio	7 Mar 2012	
Orange Walk	P	C	SHEPPARD	Ladrick	7 Mar 2012	
Orange Walk	P	C	URBINA JR.	Jose Antonio	7 Mar 2012	
San Ignacio / Santa Elena	U	M	AUGUST JR.	John	7 Mar 2012	
San Ignacio / Santa Elena	U	C	CANO	Eduardo	7 Mar 2012	
San Ignacio / Santa Elena	U	C	CHUC	Moses	7 Mar 2012	
San Ignacio / Santa Elena	U	C	FERNANDEZ	Bernadette	7 Mar 2012	
San Ignacio / Santa Elena	U	C	MEDINA	Shary	7 Mar 2012	
San Ignacio / Santa Elena	U	C	SALAZAR	Michael	7 Mar 2012	
San Ignacio / Santa Elena	U	C	TRAPP JR.	Earl	7 Mar 2012	
Belmopan	U	M	LOPEZ	Simeon	7 Mar 2012	
Belmopan	P	C	ALAS	Juan Carlos	7 Mar 2012	
Belmopan	P	C	NAL	Valeriano	7 Mar 2012	
Belmopan	U	C	GUY	Anna Leota	7 Mar 2012	
Belmopan	U	C	PERDOMO	Victor Santiago	7 Mar 2012	
Belmopan	U	C	UMANA	Amilcar Alfredo	7 Mar 2012	
Belmopan	U	C	WESTBY	Joel	7 Mar 2012	
Dangriga	P	M	SWASO	H. Gilbert	7 Mar 2012	
Dangriga	P	C	FLORES	Howard Gilroy	7 Mar 2012	
Dangriga	P	C	FLORES	Myrick Anthony	7 Mar 2012	
Dangriga	P	C	FLORES	Venancia Jerome	7 Mar 2012	
Dangriga	P	C	GARCIA-GENTLE	Gwendelyn	7 Mar 2012	
Dangriga	P	C	MELENDREZ	Howard Lionell	7 Mar 2012	
Dangriga	P	C	TEUL	Liberato	7 Mar 2012	
Punta Gorda	P	M	FUENTES	Anthony	7 Mar 2012	
Punta Gorda	U	C	GUTIERREZ	Fern	7 Mar 2012	
Punta Gorda	P	C	NORALEZ	Raimundo	7 Mar 2012	
Punta Gorda	P	C	PARHAM	Walon	7 Mar 2012	
Punta Gorda	P	C	PAULINO	Simon	7 Mar 2012	
Punta Gorda	P	C	RAMIREZ	Sheldon	7 Mar 2012	
Punta Gorda	P	C	ROCHES	Francis	7 Mar 2012	
Belize City	U	M	BRADLEY	Darrell	4 Mar 2015	
Belize City	U	C	CUELLAR	Hyacinth Latchman	4 Mar 2015	
Belize City	U	C	EDWARDS	Jason	4 Mar 2015	
Belize City	U	C	ELRINGTON	Alifa	4 Mar 2015	
Belize City	U	C	GONZALEZ	Alain	4 Mar 2015	
Belize City	U	C	LESLIE	Dion	4 Mar 2015	
Belize City	U	C	PITTS JR.	Bernard B. Q.	4 Mar 2015	
Belize City	U	C	SAMUELS	Dean Trevor	4 Mar 2015	
Belize City	U	C	SINGH	Kevin Vincent	4 Mar 2015	
Belize City	U	C	THEUS	Michael L.	4 Mar 2015	
Belize City	U	C	WILLOUGHBY	Philip	4 Mar 2015	
San Pedro	U	M	GUERRERO	Daniel	4 Mar 2015	
San Pedro	U	C	ALAMILLA	Hector	4 Mar 2015	
San Pedro	U	C	ANCONA	Flora	4 Mar 2015	
San Pedro	U	C	GONZALEZ	Ruben	4 Mar 2015	
San Pedro	U	C	GREIF	Gary	4 Mar 2015	
San Pedro	U	C	GUERRERO	Severo	4 Mar 2015	
San Pedro	U	C	NUNEZ	Gabriel	4 Mar 2015	
Benque Viejo	U	M	RAMCHARAN	Heraldo Jr.	4 Mar 2015	
Benque Viejo	U	C	COLEMAN	Eroll Joseph	4 Mar 2015	
Benque Viejo	U	C	CONTRERAS	Manuel Luis	4 Mar 2015	
Benque Viejo	U	C	GONGORA	Alvaro Enqrique	4 Mar 2015	
Benque Viejo	U	C	GUERRA	Elmer	4 Mar 2015	
Benque Viejo	U	C	KOTCH	Marco Moises	4 Mar 2015	
Benque Viejo	U	C	THOMPSON	Miguel Angel	4 Mar 2015	
Corozal	U	M	CAMPOS	Hilberto	4 Mar 2015	
Corozal	U	C	ARANA	Guillermo	4 Mar 2015	
Corozal	U	C	CASTILLO	Rafael Shaffrir	4 Mar 2015	
Corozal	U	C	CHI ARMSTRONG	Stacy	4 Mar 2015	
Corozal	U	C	CRUZ	Estevan	4 Mar 2015	
Corozal	U	C	GOMEZ	Nicholas Raul	4 Mar 2015	
Corozal	U	C	PEREZ	Elva Oralia	4 Mar 2015	
Orange Walk	P	M	BERNARD	Kevin	4 Mar 2015	
Orange Walk	P	C	ARANA-FLORES	Rozel	4 Mar 2015	
Orange Walk	P	C	CAL	Ian	4 Mar 2015	
Orange Walk	P	C	CARBALLO	Josue	4 Mar 2015	
Orange Walk	P	C	SHEPPARD	Ladrick	4 Mar 2015	
Orange Walk	U	C	CASIMIRO	Shartel	4 Mar 2015	
Orange Walk	U	C	GOMEZ	Lougie	4 Mar 2015	
San Ignacio / Santa Elena	U	M	TRAPP	Earl	4 Mar 2015	
San Ignacio / Santa Elena	U	C	BOITON	George	4 Mar 2015	
San Ignacio / Santa Elena	U	C	FERNANDEZ	Bernadette	4 Mar 2015	
San Ignacio / Santa Elena	U	C	MOREY	David Richard	4 Mar 2015	
San Ignacio / Santa Elena	U	C	NEAL	Vanessa Jeaneane	4 Mar 2015	
San Ignacio / Santa Elena	U	C	SALAZAR	Michael	4 Mar 2015	
San Ignacio / Santa Elena	U	C	SINGH	Nick	4 Mar 2015	
Belmopan	U	M	BELISLE	Khalid	4 Mar 2015	
Belmopan	U	C	BANNER-GUY	Anna	4 Mar 2015	
Belmopan	U	C	BURNS	Jacklyn	4 Mar 2015	
Belmopan	U	C	FRAZER	Ralston	4 Mar 2015	
Belmopan	U	C	LOPEZ	Gene Briceno	4 Mar 2015	
Belmopan	U	C	PASTRANA	Angel	4 Mar 2015	
Belmopan	U	C	WILLIS	Louise	4 Mar 2015	
Dangriga	U	M	HUMPHREYS	Fracis	4 Mar 2015	
Dangriga	U	C	DIEGO	Yadira	4 Mar 2015	
Dangriga	U	C	FRANCISCO	Gary Troy	4 Mar 2015	
Dangriga	U	C	JOSEPH	Alexander	4 Mar 2015	
Dangriga	U	C	LOPEZ	Earth	4 Mar 2015	
Dangriga	U	C	MOLINA	Cheryl	4 Mar 2015	
Dangriga	U	C	NICASIO	Herbert	4 Mar 2015	
Punta Gorda	U	M	GUTIERREZ	Fern	4 Mar 2015	
Punta Gorda	U	C	AVILA	Aphane	4 Mar 2015	
Punta Gorda	U	C	CAYETANO	Lucia	4 Mar 2015	
Punta Gorda	U	C	CHUN	Winston	4 Mar 2015	
Punta Gorda	U	C	GUTIERREZ	Luzanne	4 Mar 2015	
Punta Gorda	U	C	MCKENZIE	Ashton Akeem	4 Mar 2015	
Punta Gorda	U	C	POLONIO	Franklin	4 Mar 2015	
Belize City	P	M	WAGNER	Bernard	7 Mar 2018	
Belize City	P	C	ARNOLD	Oscar	7 Mar 2018	
Belize City	P	C	CASTELLANOS	Javier	7 Mar 2018	
Belize City	P	C	ELIJIO	Ryan	7 Mar 2018	
Belize City	P	C	GENTLE	Aisha	7 Mar 2018	
Belize City	P	C	GOODIN	Micah	7 Mar 2018	
Belize City	P	C	HYLTON	Deltrude	7 Mar 2018	
Belize City	P	C	NORALES	Michael	7 Mar 2018	
Belize City	P	C	PITTS	Candice	7 Mar 2018	
Belize City	P	C	POLLARD JR.	Allan	7 Mar 2018	
Belize City	P	C	VAUGHAN	Albert	7 Mar 2018	
San Pedro	U	M	GUERRERO	Daniel	7 Mar 2018	
San Pedro	U	C	ALAMILLA	Hector	7 Mar 2018	
San Pedro	U	C	ANCONA	Flora	7 Mar 2018	
San Pedro	U	C	GONZALEZ	Ruben	7 Mar 2018	
San Pedro	U	C	GREIG	Gary	7 Mar 2018	
San Pedro	U	C	GUERRERO	Severo	7 Mar 2018	
San Pedro	U	C	NUNEZ	Gabriel	7 Mar 2018	
Corozal	P	M	VELLOS	Rigo	7 Mar 2018	
Corozal	P	C	ALPUCHE	Shamir	7 Mar 2018	
Corozal	P	C	CASSANOVA	Dilan	7 Mar 2018	
Corozal	P	C	CLARKE	Hilberto	7 Mar 2018	
Corozal	P	C	NARVAEZ	Rodolfo	7 Mar 2018	
Corozal	P	C	PAHARSINGH JIME	Toni	7 Mar 2018	
Corozal	P	C	RIVEROLL	Otoniel	7 Mar 2018	
Orange Walk	P	M	BERNARD	Kevin	7 Mar 2018	
Orange Walk	P	C	CAL	Ian	7 Mar 2018	
Orange Walk	P	C	CARBALLO	Josue	7 Mar 2018	
Orange Walk	P	C	FLORES ARANA	Rozel	7 Mar 2018	
Orange Walk	P	C	SANCHEZ	Fernando	7 Mar 2018	
Orange Walk	P	C	SHEPPARD	Ladrick	7 Mar 2018	
Orange Walk	P	C	VASWANI	Haresh	7 Mar 2018	
San Ignacio / Santa Elena	U	M	TRAPP	Earl	7 Mar 2018	
San Ignacio / Santa Elena	U	C	BOITON	George	7 Mar 2018	
San Ignacio / Santa Elena	U	C	FERNANDEZ	Bernadette	7 Mar 2018	
San Ignacio / Santa Elena	U	C	MEDINA	Shary	7 Mar 2018	
San Ignacio / Santa Elena	U	C	NEAL	Vanessa Jeaneane	7 Mar 2018	
San Ignacio / Santa Elena	U	C	O’BRIEN	Mark	7 Mar 2018	
San Ignacio / Santa Elena	U	C	SINGH	Nick	7 Mar 2018	
Benque Viejo	U	M	SOSA	Gerardo Marconi	7 Mar 2018	
Benque Viejo	U	C	GONGORA	Alvaro Enqrique	7 Mar 2018	
Benque Viejo	U	C	GUERRA	Jose Antonio	7 Mar 2018	
Benque Viejo	U	C	KOTCH	Marcos Moises	7 Mar 2018	
Benque Viejo	U	C	PEREZ	Noemi	7 Mar 2018	
Benque Viejo	U	C	THOMPSON	Miguel Angel	7 Mar 2018	
Benque Viejo	U	C	VICTORIN	Dora Leticia	7 Mar 2018	
Belmopan	U	M	BELISLE	Khalid Lester	7 Mar 2018	
Belmopan	U	C	BURNS	Jacklyn Jay	7 Mar 2018	
Belmopan	U	C	CHUN	Paul Pio	7 Mar 2018	
Belmopan	U	C	GALVEZ	Isidro Phillip	7 Mar 2018	
Belmopan	U	C	PASCASCIO	Jem Eleanor	7 Mar 2018	
Belmopan	U	C	PASTRANA	Angel Amado	7 Mar 2018	
Belmopan	U	C	WILLIS	Louise Geraldine	7 Mar 2018	
Dangriga	U	M	HUMPHREYS	Francis	7 Mar 2018	
Dangriga	P	C	JANG	Erica Rodriguez	7 Mar 2018	
Dangriga	U	C	FRANCISCO	Gary	7 Mar 2018	
Dangriga	U	C	GONGORA	Aron	7 Mar 2018	
Dangriga	U	C	JOSEPH	Alexander	7 Mar 2018	
Dangriga	U	C	LOPEZ	Earth	7 Mar 2018	
Dangriga	U	C	MOLINA	Cheryl	7 Mar 2018	
Punta Gorda	U	M	MCKENZIE	Ashton Akeem	7 Mar 2018	
Punta Gorda	U	C	CHOC	Kevin Joseph	7 Mar 2018	
Punta Gorda	U	C	CHUN	Winston Felix	7 Mar 2018	
Punta Gorda	U	C	DAWSON	Joicelyn	7 Mar 2018	
Punta Gorda	U	C	MARTINEZ	Cindy Bochub	7 Mar 2018	
Punta Gorda	U	C	POLONIO	Franklin	7 Mar 2018	
Punta Gorda	U	C	TATE	Raynel	7 Mar 2018	


Parliament: Table 1
Place	Party	Position	Surname	Forenames	Date	
Caribbean Shores	P	R	COYE	Jose	13 Mar 2003	
Freetown	P	R	FONSECA	Francis	13 Mar 2003	
Pickstock	P	R	SMITH	Godfrey	13 Mar 2003	
Fort George	P	R	MUSA	Said	13 Mar 2003	
Lake Independence	P	R	HYDE	Cordel	13 Mar 2003	
Albert	P	R	ESPAT	Mark	13 Mar 2003	
Collet	U	R	FABER	Patrick	13 Mar 2003	
Mesopotamia	U	R	FINNEGAN	Michael	13 Mar 2003	
Queen’s Square	U	R	BARROW	Dean	13 Mar 2003	
Port Loyola	U	R	MARTINEZ	Anthony	13 Mar 2003	
BRN	P	R	SAMUELS	Maxwell	13 Mar 2003	
BRS	U	R	HEREDIA	Manuel	13 Mar 2003	
BRC	P	R	FONSECA	Ralph	13 Mar 2003	
OWN	P	R	BAEZA	Servulo	13 Mar 2003	
OWC	P	R	BRICENO	Juan	13 Mar 2003	
OWE	P	R	BURGOS	Dave	13 Mar 2003	
OWS	P	R	CAL	Ismael	13 Mar 2003	
CN	P	R	LESLIE	Ainslie	13 Mar 2003	
CS	P	R	CAWICH	Agripino	13 Mar 2003	
CW	U	R	CONTRERAS	Erwin	13 Mar 2003	
CC	P	R	CASTELLANOS	Mario	13 Mar 2003	
