Series W 0—1042 / Annually-resolved meteorological data.
ID	NO	START 0	STOP 0	BH TC	CF 0	START 1	STOP 1	GUAT HI	CF 1	NINO MQ	NINA MQ	CF 2	END	
W 76	76	1 Jun 1983	30 Nov 1983	0	Schmitt [Supp 1]	1 May 1983	30 Oct 1983	xnp	xnp	48	0	Gergis [Table 9]	###	
W 78	78	1 Jun 1982	30 Nov 1982	1	Schmitt [Supp 1]	1 May 1982	30 Oct 1982	xnp	xnp	46	0	Gergis [Table 9]	###	
W 80	80	1 Jun 1981	30 Nov 1981	0	Schmitt [Supp 1]	1 May 1981	30 Oct 1981	xnp	xnp	0	0	Gergis [Table 9]	###	
W 82	82	1 Jun 1980	30 Nov 1980	0	Schmitt [Supp 1]	1 May 1980	30 Oct 1980	xnp	xnp	28	0	Gergis [Table 9]	###	
W 84	84	1 Jun 1979	30 Nov 1979	0	Schmitt [Supp 1]	1 May 1979	30 Oct 1979	xnp	xnp	29	0	Gergis [Table 9]	###	
W 86	86	1 Jun 1978	30 Nov 1978	0	Schmitt [Supp 1]	1 May 1978	30 Oct 1978	xnp	xnp	0	0	Gergis [Table 9]	###	
W 88	88	1 Jun 1977	30 Nov 1977	0	Schmitt [Supp 1]	1 May 1977	30 Oct 1977	xnp	xnp	20	0	Gergis [Table 9]	###	
W 90	90	1 Jun 1976	30 Nov 1976	0	Schmitt [Supp 1]	1 May 1976	30 Oct 1976	xnp	xnp	32	0	Gergis [Table 9]	###	
W 92	92	1 Jun 1975	30 Nov 1975	0	Schmitt [Supp 1]	1 May 1975	30 Oct 1975	xnp	xnp	0	36	Gergis [Table 9]	###	
W 94	94	1 Jun 1974	30 Nov 1974	0	Schmitt [Supp 1]	1 May 1974	30 Oct 1974	xnp	xnp	0	56	Gergis [Table 9]	###	
W 96	96	1 Jun 1973	30 Nov 1973	0	Schmitt [Supp 1]	1 May 1973	30 Oct 1973	xnp	xnp	20	24	Gergis [Table 9]	###	
W 98	98	1 Jun 1972	30 Nov 1972	0	Schmitt [Supp 1]	1 May 1972	30 Oct 1972	xnp	xnp	35	25	Gergis [Table 9]	###	
W 100	100	1 Jun 1971	30 Nov 1971	0	Schmitt [Supp 1]	1 May 1971	30 Oct 1971	xnp	xnp	0	43	Gergis [Table 9]	###	
W 102	102	1 Jun 1970	30 Nov 1970	0	Schmitt [Supp 1]	1 May 1970	30 Oct 1970	xnp	xnp	0	30	Gergis [Table 9]	###	
W 104	104	1 Jun 1969	30 Nov 1969	1	Schmitt [Supp 1]	1 May 1969	30 Oct 1969	xnp	xnp	33	0	Gergis [Table 9]	###	
W 106	106	1 Jun 1968	30 Nov 1968	0	Schmitt [Supp 1]	1 May 1968	30 Oct 1968	xnp	xnp	34	24	Gergis [Table 9]	###	
W 108	108	1 Jun 1967	30 Nov 1967	0	Schmitt [Supp 1]	1 May 1967	30 Oct 1967	xnp	xnp	19	0	Gergis [Table 9]	###	
W 110	110	1 Jun 1966	30 Nov 1966	1	Schmitt [Supp 1]	1 May 1966	30 Oct 1966	xnp	xnp	29	0	Gergis [Table 9]	###	
W 112	112	1 Jun 1965	30 Nov 1965	0	Schmitt [Supp 1]	1 May 1965	30 Oct 1965	xnp	xnp	35	0	Gergis [Table 9]	###	
W 114	114	1 Jun 1964	30 Nov 1964	0	Schmitt [Supp 1]	1 May 1964	30 Oct 1964	xnp	xnp	32	0	Gergis [Table 9]	###	
W 116	116	1 Jun 1963	30 Nov 1963	1	Schmitt [Supp 1]	1 May 1963	30 Oct 1963	xnp	xnp	0	25	Gergis [Table 9]	###	
W 118	118	1 Jun 1962	30 Nov 1962	1	Schmitt [Supp 1]	1 May 1962	30 Oct 1962	xnp	xnp	0	25	Gergis [Table 9]	###	
W 120	120	1 Jun 1961	30 Nov 1961	0	Schmitt [Supp 1]	1 May 1961	30 Oct 1961	xnp	xnp	0	0	Gergis [Table 9]	###	
W 122	122	1 Jun 1960	30 Nov 1960	0	Schmitt [Supp 1]	1 May 1960	30 Oct 1960	xnp	xnp	0	25	Gergis [Table 9]	###	
W 124	124	1 Jun 1959	30 Nov 1959	0	Schmitt [Supp 1]	1 May 1959	30 Oct 1959	xnp	xnp	20	25	Gergis [Table 9]	###	
W 126	126	1 Jun 1958	30 Nov 1958	0	Schmitt [Supp 1]	1 May 1958	30 Oct 1958	xnp	xnp	27	30	Gergis [Table 9]	###	
W 128	128	1 Jun 1957	30 Nov 1957	0	Schmitt [Supp 1]	1 May 1957	30 Oct 1957	xnp	xnp	32	25	Gergis [Table 9]	###	
W 130	130	1 Jun 1956	30 Nov 1956	0	Schmitt [Supp 1]	1 May 1956	30 Oct 1956	xnp	xnp	0	43	Gergis [Table 9]	###	
W 132	132	1 Jun 1955	30 Nov 1955	1	Schmitt [Supp 1]	1 May 1955	30 Oct 1955	xnp	xnp	0	36	Gergis [Table 9]	###	
W 134	134	1 Jun 1954	30 Nov 1954	0	Schmitt [Supp 1]	1 May 1954	30 Oct 1954	xnp	xnp	0	0	Gergis [Table 9]	###	
W 136	136	1 Jun 1953	30 Nov 1953	0	Schmitt [Supp 1]	1 May 1953	30 Oct 1953	xnp	xnp	0	56	Gergis [Table 9]	###	
W 138	138	1 Jun 1952	30 Nov 1952	0	Schmitt [Supp 1]	1 May 1952	30 Oct 1952	xnp	xnp	22	0	Gergis [Table 9]	###	
W 140	140	1 Jun 1951	30 Nov 1951	0	Schmitt [Supp 1]	1 May 1951	30 Oct 1951	xnp	xnp	29	31	Gergis [Table 9]	###	
W 142	142	1 Jun 1950	30 Nov 1950	0	Schmitt [Supp 1]	1 May 1950	30 Oct 1950	xnp	xnp	0	50	Gergis [Table 9]	###	
W 144	144	1 Jun 1949	30 Nov 1949	0	Schmitt [Supp 1]	1 May 1949	30 Oct 1949	xnp	xnp	20	0	Gergis [Table 9]	###	
W 146	146	1 Jun 1948	30 Nov 1948	0	Schmitt [Supp 1]	1 May 1948	30 Oct 1948	xnp	xnp	0	0	Gergis [Table 9]	###	
W 148	148	1 Jun 1947	30 Nov 1947	0	Schmitt [Supp 1]	1 May 1947	30 Oct 1947	xnp	xnp	19	0	Gergis [Table 9]	###	
W 150	150	1 Jun 1946	30 Nov 1946	0	Schmitt [Supp 1]	1 May 1946	30 Oct 1946	xnp	xnp	0	38	Gergis [Table 9]	###	
W 152	152	1 Jun 1945	30 Nov 1945	0	Schmitt [Supp 1]	1 May 1945	30 Oct 1945	0	Guevara-Murua [Supp]	0	25	Gergis [Table 9]	###	
W 154	154	1 Jun 1944	30 Nov 1944	0	Schmitt [Supp 1]	1 May 1944	30 Oct 1944	1	Guevara-Murua [Supp]	33	0	Gergis [Table 9]	###	
W 156	156	1 Jun 1943	30 Nov 1943	1	Schmitt [Supp 1]	1 May 1943	30 Oct 1943	0	Guevara-Murua [Supp]	0	24	Gergis [Table 9]	###	
W 158	158	1 Jun 1942	30 Nov 1942	0	Schmitt [Supp 1]	1 May 1942	30 Oct 1942	0	Guevara-Murua [Supp]	46	0	Gergis [Table 9]	###	
W 160	160	1 Jun 1941	30 Nov 1941	0	Schmitt [Supp 1]	1 May 1941	30 Oct 1941	0	Guevara-Murua [Supp]	48	0	Gergis [Table 9]	###	
W 162	162	1 Jun 1940	30 Nov 1940	0	Schmitt [Supp 1]	1 May 1940	30 Oct 1940	0	Guevara-Murua [Supp]	39	0	Gergis [Table 9]	###	
W 164	164	1 Jun 1939	30 Nov 1939	0	Schmitt [Supp 1]	1 May 1939	30 Oct 1939	0	Guevara-Murua [Supp]	28	0	Gergis [Table 9]	###	
W 166	166	1 Jun 1938	30 Nov 1938	1	Schmitt [Supp 1]	1 May 1938	30 Oct 1938	0	Guevara-Murua [Supp]	26	0	Gergis [Table 9]	###	
W 168	168	1 Jun 1937	30 Nov 1937	0	Schmitt [Supp 1]	1 May 1937	30 Oct 1937	0	Guevara-Murua [Supp]	19	0	Gergis [Table 9]	###	
W 170	170	1 Jun 1936	30 Nov 1936	0	Schmitt [Supp 1]	1 May 1936	30 Oct 1936	0	Guevara-Murua [Supp]	0	0	Gergis [Table 9]	###	
W 172	172	1 Jun 1935	30 Nov 1935	0	Schmitt [Supp 1]	1 May 1935	30 Oct 1935	0	Guevara-Murua [Supp]	26	0	Gergis [Table 9]	###	
W 174	174	1 Jun 1934	30 Nov 1934	0	Schmitt [Supp 1]	1 May 1934	30 Oct 1934	0	Guevara-Murua [Supp]	0	25	Gergis [Table 9]	###	
W 176	176	1 Jun 1933	30 Nov 1933	0	Schmitt [Supp 1]	1 May 1933	30 Oct 1933	2	Guevara-Murua [Supp]	20	0	Gergis [Table 9]	###	
W 178	178	1 Jun 1932	30 Nov 1932	0	Schmitt [Supp 1]	1 May 1932	30 Oct 1932	0	Guevara-Murua [Supp]	0	24	Gergis [Table 9]	###	
W 180	180	1 Jun 1931	30 Nov 1931	0	Schmitt [Supp 1]	1 May 1931	30 Oct 1931	0	Guevara-Murua [Supp]	34	0	Gergis [Table 9]	###	
W 182	182	1 Jun 1930	30 Nov 1930	0	Schmitt [Supp 1]	1 May 1930	30 Oct 1930	0	Guevara-Murua [Supp]	27	0	Gergis [Table 9]	###	
W 184	184	1 Jun 1929	30 Nov 1929	0	Schmitt [Supp 1]	1 May 1929	30 Oct 1929	0	Guevara-Murua [Supp]	0	0	Gergis [Table 9]	###	
W 186	186	1 Jun 1928	30 Nov 1928	0	Schmitt [Supp 1]	1 May 1928	30 Oct 1928	0	Guevara-Murua [Supp]	0	0	Gergis [Table 9]	###	
W 188	188	1 Jun 1927	30 Nov 1927	0	Schmitt [Supp 1]	1 May 1927	30 Oct 1927	0	Guevara-Murua [Supp]	0	0	Gergis [Table 9]	###	
W 190	190	1 Jun 1926	30 Nov 1926	0	Schmitt [Supp 1]	1 May 1926	30 Oct 1926	0	Guevara-Murua [Supp]	54	0	Gergis [Table 9]	###	
W 192	192	1 Jun 1925	30 Nov 1925	0	Schmitt [Supp 1]	1 May 1925	30 Oct 1925	0	Guevara-Murua [Supp]	35	0	Gergis [Table 9]	###	
W 194	194	1 Jun 1924	30 Nov 1924	1	Schmitt [Supp 1]	1 May 1924	30 Oct 1924	0	Guevara-Murua [Supp]	20	0	Gergis [Table 9]	###	
W 196	196	1 Jun 1923	30 Nov 1923	0	Schmitt [Supp 1]	1 May 1923	30 Oct 1923	1	Guevara-Murua [Supp]	0	31	Gergis [Table 9]	###	
W 198	198	1 Jun 1922	30 Nov 1922	1	Schmitt [Supp 1]	1 May 1922	30 Oct 1922	-1	Guevara-Murua [Supp]	0	38	Gergis [Table 9]	###	
W 200	200	1 Jun 1921	30 Nov 1921	0	Schmitt [Supp 1]	1 May 1921	30 Oct 1921	1	Guevara-Murua [Supp]	0	25	Gergis [Table 9]	###	
W 202	202	1 Jun 1920	30 Nov 1920	0	Schmitt [Supp 1]	1 May 1920	30 Oct 1920	-1	Guevara-Murua [Supp]	22	0	Gergis [Table 9]	###	
W 204	204	1 Jun 1919	30 Nov 1919	1	Schmitt [Supp 1]	1 May 1919	30 Oct 1919	0	Guevara-Murua [Supp]	34	0	Gergis [Table 9]	###	
W 206	206	1 Jun 1918	30 Nov 1918	0	Schmitt [Supp 1]	1 May 1918	30 Oct 1918	0	Guevara-Murua [Supp]	36	38	Gergis [Table 9]	###	
W 208	208	1 Jun 1917	30 Nov 1917	0	Schmitt [Supp 1]	1 May 1917	30 Oct 1917	0	Guevara-Murua [Supp]	0	43	Gergis [Table 9]	###	
W 210	210	1 Jun 1916	30 Nov 1916	0	Schmitt [Supp 1]	1 May 1916	30 Oct 1916	0	Guevara-Murua [Supp]	0	32	Gergis [Table 9]	###	
W 212	212	1 Jun 1915	30 Nov 1915	0	Schmitt [Supp 1]	1 May 1915	30 Oct 1915	0	Guevara-Murua [Supp]	43	0	Gergis [Table 9]	###	
W 214	214	1 Jun 1914	30 Nov 1914	0	Schmitt [Supp 1]	1 May 1914	30 Oct 1914	-2	Guevara-Murua [Supp]	40	0	Gergis [Table 9]	###	
W 216	216	1 Jun 1913	30 Nov 1913	0	Schmitt [Supp 1]	1 May 1913	30 Oct 1913	0	Guevara-Murua [Supp]	43	0	Gergis [Table 9]	###	
W 218	218	1 Jun 1912	30 Nov 1912	0	Schmitt [Supp 1]	1 May 1912	30 Oct 1912	-1	Guevara-Murua [Supp]	40	0	Gergis [Table 9]	###	
W 220	220	1 Jun 1911	30 Nov 1911	0	Schmitt [Supp 1]	1 May 1911	30 Oct 1911	1	Guevara-Murua [Supp]	29	0	Gergis [Table 9]	###	
W 222	222	1 Jun 1910	30 Nov 1910	0	Schmitt [Supp 1]	1 May 1910	30 Oct 1910	0	Guevara-Murua [Supp]	0	44	Gergis [Table 9]	###	
W 224	224	1 Jun 1909	30 Nov 1909	0	Schmitt [Supp 1]	1 May 1909	30 Oct 1909	1	Guevara-Murua [Supp]	0	38	Gergis [Table 9]	###	
W 226	226	1 Jun 1908	30 Nov 1908	0	Schmitt [Supp 1]	1 May 1908	30 Oct 1908	0	Guevara-Murua [Supp]	0	32	Gergis [Table 9]	###	
W 228	228	1 Jun 1907	30 Nov 1907	0	Schmitt [Supp 1]	1 May 1907	30 Oct 1907	0	Guevara-Murua [Supp]	0	31	Gergis [Table 9]	###	
W 230	230	1 Jun 1906	30 Nov 1906	0	Schmitt [Supp 1]	1 May 1906	30 Oct 1906	0	Guevara-Murua [Supp]	20	0	Gergis [Table 9]	###	
W 232	232	1 Jun 1905	30 Nov 1905	0	Schmitt [Supp 1]	1 May 1905	30 Oct 1905	0	Guevara-Murua [Supp]	48	0	Gergis [Table 9]	###	
W 234	234	1 Jun 1904	30 Nov 1904	0	Schmitt [Supp 1]	1 May 1904	30 Oct 1904	0	Guevara-Murua [Supp]	22	26	Gergis [Table 9]	###	
W 236	236	1 Jun 1903	30 Nov 1903	0	Schmitt [Supp 1]	1 May 1903	30 Oct 1903	1	Guevara-Murua [Supp]	19	0	Gergis [Table 9]	###	
W 238	238	1 Jun 1902	30 Nov 1902	0	Schmitt [Supp 1]	1 May 1902	30 Oct 1902	0	Guevara-Murua [Supp]	41	0	Gergis [Table 9]	###	
W 240	240	1 Jun 1901	30 Nov 1901	1	Schmitt [Supp 1]	1 May 1901	30 Oct 1901	0	Guevara-Murua [Supp]	30	0	Gergis [Table 9]	###	
W 242	242	1 Jun 1900	30 Nov 1900	0	Schmitt [Supp 1]	1 May 1900	30 Oct 1900	0	Guevara-Murua [Supp]	41	0	Gergis [Table 9]	###	
W 244	244	1 Jun 1899	30 Nov 1899	1	Schmitt [Supp 1]	1 May 1899	30 Oct 1899	-1	Guevara-Murua [Supp]	30	0	Gergis [Table 9]	###	
W 246	246	1 Jun 1898	30 Nov 1898	0	Schmitt [Supp 1]	1 May 1898	30 Oct 1898	0	Guevara-Murua [Supp]	0	0	Gergis [Table 9]	###	
W 248	248	1 Jun 1897	30 Nov 1897	0	Schmitt [Supp 1]	1 May 1897	30 Oct 1897	2	Guevara-Murua [Supp]	30	0	Gergis [Table 9]	###	
W 250	250	1 Jun 1896	30 Nov 1896	0	Schmitt [Supp 1]	1 May 1896	30 Oct 1896	1	Guevara-Murua [Supp]	27	25	Gergis [Table 9]	###	
W 252	252	1 Jun 1895	30 Nov 1895	0	Schmitt [Supp 1]	1 May 1895	30 Oct 1895	-1	Guevara-Murua [Supp]	0	0	Gergis [Table 9]	###	
W 254	254	1 Jun 1894	30 Nov 1894	0	Schmitt [Supp 1]	1 May 1894	30 Oct 1894	0	Guevara-Murua [Supp]	0	51	Gergis [Table 9]	###	
W 256	256	1 Jun 1893	30 Nov 1893	0	Schmitt [Supp 1]	1 May 1893	30 Oct 1893	0	Guevara-Murua [Supp]	0	39	Gergis [Table 9]	###	
W 258	258	1 Jun 1892	30 Nov 1892	1	Schmitt [Supp 1]	1 May 1892	30 Oct 1892	0	Guevara-Murua [Supp]	0	38	Gergis [Table 9]	###	
W 260	260	1 Jun 1891	30 Nov 1891	0	Schmitt [Supp 1]	1 May 1891	30 Oct 1891	-1	Guevara-Murua [Supp]	42	25	Gergis [Table 9]	###	
W 262	262	1 Jun 1890	30 Nov 1890	0	Schmitt [Supp 1]	1 May 1890	30 Oct 1890	0	Guevara-Murua [Supp]	0	36	Gergis [Table 9]	###	
W 264	264	1 Jun 1889	30 Nov 1889	0	Schmitt [Supp 1]	1 May 1889	30 Oct 1889	0	Guevara-Murua [Supp]	21	0	Gergis [Table 9]	###	
W 266	266	1 Jun 1888	30 Nov 1888	0	Schmitt [Supp 1]	1 May 1888	30 Oct 1888	-1	Guevara-Murua [Supp]	40	0	Gergis [Table 9]	###	
W 268	268	1 Jun 1887	30 Nov 1887	0	Schmitt [Supp 1]	1 May 1887	30 Oct 1887	0	Guevara-Murua [Supp]	0	38	Gergis [Table 9]	###	
W 270	270	1 Jun 1886	30 Nov 1886	0	Schmitt [Supp 1]	1 May 1886	30 Oct 1886	0	Guevara-Murua [Supp]	0	30	Gergis [Table 9]	###	
W 272	272	1 Jun 1885	30 Nov 1885	1	Schmitt [Supp 1]	1 May 1885	30 Oct 1885	-1	Guevara-Murua [Supp]	35	0	Gergis [Table 9]	###	
W 274	274	1 Jun 1884	30 Nov 1884	0	Schmitt [Supp 1]	1 May 1884	30 Oct 1884	0	Guevara-Murua [Supp]	20	0	Gergis [Table 9]	###	
W 276	276	1 Jun 1883	30 Nov 1883	0	Schmitt [Supp 1]	1 May 1883	30 Oct 1883	0	Guevara-Murua [Supp]	0	0	Gergis [Table 9]	###	
W 278	278	1 Jun 1882	30 Nov 1882	0	Schmitt [Supp 1]	1 May 1882	30 Oct 1882	0	Guevara-Murua [Supp]	0	0	Gergis [Table 9]	###	
W 280	280	1 Jun 1881	30 Nov 1881	0	Schmitt [Supp 1]	1 May 1881	30 Oct 1881	0	Guevara-Murua [Supp]	27	0	Gergis [Table 9]	###	
W 282	282	1 Jun 1880	30 Nov 1880	0	Schmitt [Supp 1]	1 May 1880	30 Oct 1880	0	Guevara-Murua [Supp]	0	38	Gergis [Table 9]	###	
W 284	284	1 Jun 1879	30 Nov 1879	0	Schmitt [Supp 1]	1 May 1879	30 Oct 1879	0	Guevara-Murua [Supp]	0	51	Gergis [Table 9]	###	
W 286	286	1 Jun 1878	30 Nov 1878	0	Schmitt [Supp 1]	1 May 1878	30 Oct 1878	2	Guevara-Murua [Supp]	26	24	Gergis [Table 9]	###	
W 288	288	1 Jun 1877	30 Nov 1877	0	Schmitt [Supp 1]	1 May 1877	30 Oct 1877	0	Guevara-Murua [Supp]	37	0	Gergis [Table 9]	###	
W 290	290	1 Jun 1876	30 Nov 1876	0	Schmitt [Supp 1]	1 May 1876	30 Oct 1876	0	Guevara-Murua [Supp]	21	0	Gergis [Table 9]	###	
W 292	292	1 Jun 1875	30 Nov 1875	1	Schmitt [Supp 1]	1 May 1875	30 Oct 1875	0	Guevara-Murua [Supp]	0	32	Gergis [Table 9]	###	
W 294	294	1 Jun 1874	30 Nov 1874	0	Schmitt [Supp 1]	1 May 1874	30 Oct 1874	1	Guevara-Murua [Supp]	20	32	Gergis [Table 9]	###	
W 296	296	1 Jun 1873	30 Nov 1873	0	Schmitt [Supp 1]	1 May 1873	30 Oct 1873	0	Guevara-Murua [Supp]	0	38	Gergis [Table 9]	###	
W 298	298	1 Jun 1872	30 Nov 1872	1	Schmitt [Supp 1]	1 May 1872	30 Oct 1872	0	Guevara-Murua [Supp]	0	31	Gergis [Table 9]	###	
W 300	300	1 Jun 1871	30 Nov 1871	0	Schmitt [Supp 1]	1 May 1871	30 Oct 1871	0	Guevara-Murua [Supp]	0	39	Gergis [Table 9]	###	
W 302	302	1 Jun 1870	30 Nov 1870	0	Schmitt [Supp 1]	1 May 1870	30 Oct 1870	0	Guevara-Murua [Supp]	0	39	Gergis [Table 9]	###	
W 304	304	1 Jun 1869	30 Nov 1869	0	Schmitt [Supp 1]	1 May 1869	30 Oct 1869	0	Guevara-Murua [Supp]	0	0	Gergis [Table 9]	###	
W 306	306	1 Jun 1868	30 Nov 1868	0	Schmitt [Supp 1]	1 May 1868	30 Oct 1868	-1	Guevara-Murua [Supp]	36	32	Gergis [Table 9]	###	
W 308	308	1 Jun 1867	30 Nov 1867	1	Schmitt [Supp 1]	1 May 1867	30 Oct 1867	1	Guevara-Murua [Supp]	0	38	Gergis [Table 9]	###	
W 310	310	1 Jun 1866	30 Nov 1866	0	Schmitt [Supp 1]	1 May 1866	30 Oct 1866	0	Guevara-Murua [Supp]	36	31	Gergis [Table 9]	###	
W 312	312	1 Jun 1865	30 Nov 1865	0	Schmitt [Supp 1]	1 May 1865	30 Oct 1865	1	Guevara-Murua [Supp]	29	0	Gergis [Table 9]	###	
W 314	314	1 Jun 1864	30 Nov 1864	1	Schmitt [Supp 1]	1 May 1864	30 Oct 1864	0	Guevara-Murua [Supp]	22	26	Gergis [Table 9]	###	
W 316	316	1 Jun 1863	30 Nov 1863	0	Schmitt [Supp 1]	1 May 1863	30 Oct 1863	0	Guevara-Murua [Supp]	0	44	Gergis [Table 9]	###	
W 318	318	1 Jun 1862	30 Nov 1862	0	Schmitt [Supp 1]	1 May 1862	30 Oct 1862	xnp	xnp	0	31	Gergis [Table 9]	###	
W 320	320	1 Jun 1861	30 Nov 1861	0	Schmitt [Supp 1]	1 May 1861	30 Oct 1861	xnp	xnp	0	50	Gergis [Table 9]	###	
W 322	322	1 Jun 1860	30 Nov 1860	0	Schmitt [Supp 1]	1 May 1860	30 Oct 1860	-1	Guevara-Murua [Supp]	23	38	Gergis [Table 9]	###	
W 324	324	1 Jun 1859	30 Nov 1859	0	Schmitt [Supp 1]	1 May 1859	30 Oct 1859	0	Guevara-Murua [Supp]	0	0	Gergis [Table 9]	###	
