Cust Jamaica: Table 1
	King?	Q end	Start OS	End OS	In	Log	p	img	Date OS	Name	for	Note								
277			25 Dec 1697	21 Sep 1698	0	699.5														
234			7 Sep 1698	12 Dec 1699	0	1641.5					All									
242			25 Dec 1699	25 Mar 1700	0	683					All									
245			25 Mar 1700	24 Jun 1700	0	629					All									
247			24 Jun 1700	29 Sep 1700	0	757					All	est								
249			24 Jun 1704	15 Dec 1704	0	128					All									
258			25 Dec 1680	25 Mar 1681	0	117					EWBuT									
260			29 Sep 1681	25 Mar 1682	0	389					EWBuT									
263			5 Apr 1684	29 Sep 1684	0	292					EWBuT									
270			29 Sep 1682	25 Mar 1683	0	128					EWBuT									
274			25 Mar 1683	29 Sep 1683	0	428.5					do									
277			29 Sep 1683	25 Mar 1684	0	110.5					do									
281			29 Sep 1683	25 Mar 1684	1	300	h	283	7 feb 1683	250t brig ?										
295			25 Mar 1680	29 Sep 1680	0	29 t 190 sticks					EWBuT									
298			29 Sep 1680	25 Dec 1680	0	20					EWBuT									
305			24 Sep 1688	25 Dec 1688	1	31	h	305	27 sep	31 sloop jam										
						20		306	8 oct	20 sloop jam										
						30		306	12 oct	30 sloop jam										
						15		306	17 oct	15 brig jam										
						20		307	29 oct	20 sloop jam										
						20		308	7 nov	20 sloop jam										
						5	h	309	12 nov	5 sloop jam										
						16	h	310	26 nov	16 sloop jam										
						160		311	1 dec	160 brig Lon										
						20	h	311	4 dec	20 brig jam										
						27		312	17 dec	27 sloop jam										
314			25 Sep 1688	25 Dec 1688	0	96					EWBuT									
316			25 Dec 1688	25 Mar 1689	0	253					EWBuT									
318			25 Dec 1688	25 Mar 1689	1	40		319	17 jan	40 sloop jam										
						10		320	23 jan	10 baroque bost										
						25		320	23 jan	25 brig lon										
						20	h	321	25 jan	20 barque bos										
						10		321	31 jan	10 ketch bos										
						20		321	31 jn	20 brig lon										
						40		321	31 jan	40 pink lon										
						15		322	18 feb	15 brig bos										
						25	h	325	6 mar	25 brig jam										
						32		325	8 mar	32 brig jam										
330			25 Mar 1689	25 Jun 1689	0	496.5					EWBuT									
333			25 Mar 1689	25 Jun 1689	1	12		333	3 apr	12 sloop jam										
						10		333	5 apr	10 sloop jam										
						23		334	9 apr	23 sloop jam										
						15	h	334	10 apr	15 brig RI										
						6		334	24 apr	6 sloop jam										
						20	h	335	24 may	20 barque jam										
						16		336	3 jun	16 sloop jam										
341			25 Jun 1689	25 Sep 1689	0	269					EWBuT									
343			25 Jun 1689	25 Sep 1689	1	40		343	29 jun	40 sloop jam										
						8	Cape Cartoach	343	8 jul	10 sloop jam										
						16		343	12 jul	18 sloop jam										
						16		346	31 jul	16 barque jam										
						6		348	4 sep	6 sloop jam		index at img354								
356			25 Mar 1709	29 Sep 1711	1	60	h	357	6 may 1709	brig										
						41		369	2 feb 1709	brig										
						30	h	370	23 mar 1709	sloop										
						70		372	24 apr 1710	ship										
						40	h	372	30 may 1710	brig										
						60		379	29 nov 1710	sloop										
						12	truxillo	381	25 jan 1710	sloop										
						50		383	28 mar 1711	brig										
						2	musketal	386	28 jun 1711	sloop										
						10.5	h & mosq	392	21 jun 1709	sloop		 + 30 Indians								
						27	h	394	11 sep 1709	sloop										
						52	h	395	31 oct 1709	sloop										
						60		395	6 dec 1709	brig										
						100		395	6 dec 1709	ship										
						12	bahamas	395	13 dec 1709	sloop										
						36	h	397	9 feb 1709	ship										
						40	h	397	10 feb 1709	sloop										
						30		399	4 may 1710	ship										
						25		402	6 dec 1710	sloop										
						25		403	9 mar 1710	sloop										
						150		406	14 may 1711	ship										
410			25 Mar 1709	29 Sep 1711	0	22					"Lon, Bristoll"	+ “a parcel”; from Port Royal								
415			25 Mar 1712	29 Sep 1713	1															
423			25 Mar 1712	29 Sep 1713	0	975.10.2.0					not stated	+ 4854 sticks								
430			29 Sep 1713	25 Mar 1715	0	2413.11.1.0					not stated	+ 5388 sticks								
455			25 Mar 1718	24 Jun 1718	0	235					not stated									
459			25 Mar 1718	24 Jun 1718	1															
466			25 Jun 1718	29 Sep 1718	0	122	not stated					Kingston								
469			24 Jun 1718	29 Sep 1718	1							Port Royal								
471			29 Sep 1718	25 Dec 1718	1							Port Royal								
473			25 Jun 1718	29 Sep 1718	1							Kingston								
476			29 Sep 1718	25 Dec 1718	1	45	La ? Ciua	477	21 oct	sloop jam		cf img477								
479			29 Sep 1718	25 Dec 1718	0	233					"Lon, Bristol"									
482			24 Jun 1718	29 Sep 1718	0							Port Royal								
484			29 Sep 1718	25 Dec 1718	0	0.20.0.0					Bristol	Port Royal								
486			29 Sep 1719	25 Dec 1719	0	15					"Lon, Bristol"	Kingston								
489			25 Jun 1719	29 Sep 1719	0	11					Lon	Kingston								
492			25 Mar 1719	24 Jun 1719	0	0.96.0.0						Kingston; stopped recording destination & port								
495			25 Dec 1718	25 Mar 1719	0	0.99.0.0														
498			25 Dec 1718	25 Mar 1719	1															
500			25 Mar 1719	24 Jun 1719	1															
502			24 Jun 1719	29 Sep 1719	1															
504			29 Sep 1719	25 Dec 1719	1															
506			25 Dec 1718	25 Mar 1719	1															
508			25 Mar 1719	24 Jun 1719	1	40	h	508	9 apr 1719	35 sloop NE										
510			24 Jun 1719	29 Sep 1719	1															
512			29 Sep 1719	29 Dec 1719	1															
514			25 Dec 1718	25 Mar 1719	0															
516			25 Mar 1719	24 Jun 1719	0	35	Lon													
518			24 Jun 1719	29 Sep 1719	0															
520			29 Sep 1719	25 Dec 1719	0															
522			24 Jun 1719	25 Dec 1719	1															
524			24 Jun 1719	25 Dec 1719	0	26					not stated									
529			25 Dec 1719	25 Mar 1720	0															
530			25 Dec 1719	25 Mar 1720	1															
532			25 Mar 1720	25 Jun 1720	0	148.5														
533			25 Mar 1720	25 Jun 1720	1	35	h	533	5 apr	18 sloop PA										
535			25 Mar 1720	25 Jun 1720	0															
536			25 Dec 1719	25 Mar 1720	0															
538			21 Sep 1721	25 Mar 1722	1															
546			29 Sep 1721	25 Mar 1722	0	53.15.0														
575			1 Feb 1727	24 Jun 1727	1	40	RI & Ha??	575	10 feb 1727	15 sloop RI										
						70	h	575	13 feb	35 sloop RI										
						300	h	575	15 feb	180 ship Lon										
						300	h	575	15 feb	150 ship lon										
						50	h	575	17 feb	35 sloop RI										
						100	h	575	22 feb	95 ship NY										
						250	h	575	23 feb	150 ship Lon										
						90	h	575	13 mar	80 ship Bristol										
						40	h	575	12 apr	40 sloop Bos										
																				
																				
																				
																				
579			25 Jun 1728	29 Sep 1728	1	25	h	579	aug 15 1728	12 sloop Bermuda										
582			29 Sep 1728	25 Dec 1728	1	15	h	582	9 dec	15 sloop NE										
585			25 Dec 1728	25 Mar 1729	1															
589			25 Mar 1729	24 Jun 1729	1	30	h	589	27 may 1729	20 sloop NE										
593			25 Jun 1729	29 Sep 1729	1	8	h	593	8 aug	20 sloop Lon										
597			29 Sep 1729	25 Dec 1729	1	50	h	597	12 nov	50 snow jam										
601			25 Dec 1729	25 Mar 1730	1	40	curacao	601	13 jan 1729	80 ship lon										
						12	h	601	27 jan	20 schooner ?										
						26	h	601	3 feb	22 sloop Lon										
						12	Rio de la Hacha	601	11 feb	30 ship NY										
						15	Rio de la Hacha	601	11 feb	30 sloop jam										
						35	h	601	17 feb	45 ship bos										
						80	h	603	20 Feb	50 ship bos										
																				
						3	Spanish Coast	603	13 mar	30 sloop NE										
						10	Sp. Coast	603	18 mar	50 sloop jam										
						40	h	603	20 mar	40 sloop jam										
						2	New Providence	603	23 mar	12 sloop New Providence										
607			29 Sep 1742	25 Dec 1742	1	100	h	611	27 oct	90 ship NY		cont. img611 // missing Sep for Kingston?								
						55	h	612	9 nov	40 snow Bos										
609			29 Sep 1742	25 Dec 1742	0	169						cont. img615								
621			1 Oct 1743	20 Jun 1747	0	10						to Boston								
						6														
						12						to Virginia								
						10														
						20														
						6														
						9														
						10														
						16						to Boston								
						5						+ 520 Billets								
						3.5						to Sp. Coast img628								
						2														
						10						to Boston; stopped noting hereafter; img632								
						39														
						33														
						1														
						7						est								
						0.5														
						6														
						6														
						23														
						8														
						6.5														
						4														
						6														
						15														
						10														
						3														
						10														
						4														
						10														
						10														
669			10 May 1747	18 Jun 1747	1															
671			25 Mar 1743	29 Sep 1743	1	90	h	671	18 apr	90 ship NY										
						75	h	674	21 may	80 ship Lon										
						144	h	678	30 jul	100 ship jam										
680			29 Sep 1743	25 Mar 1744	1	40	Ratan	682	24 nov	26 bilander Lon										
						11	Mosquito C.	686	1 feb	25 schooner bos										
						35	h	688	2 mar	35 schooner bos										
692			25 Mar 1744	29 Sep 1744	1	40	Ruatan	692	26 apr	25 brig jam										
						2	Sp. Coast	696	11 jul	25 schooner bos										
700			1 Oct 1744	25 Dec 1744	1	27	Musketo Shore	703	26 oct	25 schooner ?										
						40	Rattan	703	26 oct	70 sloop bos										
						130	Rattan	703	14 dec	90 snow jam										
705			25 Dec 1744	25 Mar 1745	1															
709			25 Mar 1745	24 Jun 1747	1	60	Santa Cruz	709	mar 25 1745	30 sloop bos										
						10	Rattan	733	11 apr 1747	60 ship jam										
						15	Rattan	735	12 may 1747	15 sloop jam										
						7	Sp. Coast	737	24 oct 1743	15 sloop jam										
						24	Rattan	740	19 feb 1746	? ? Rattan										
745			29 Sep 1745	25 Mar 1746	0							Stopped recording exports								
747			25 Sep 1745	25 Mar 1746	1															
759			24 Jun 1747	25 Mar 1748	1															
763			25 Jun 1747	25 Sep 1747	1															
778			25 Dec 1747	25 Mar 1748	1							stopped at 782								
786			24 Mar 1748	20 Jun 1749	1	30	Rattan	796	10 nov 1747	50 sloop bos		"cont. img802 … 810 … 818, rev date"								
						8	Rattan	804	31 jan 1748	18 schooner Providence										
826			29 Sep 1752	25/12/1752	1															
838			25 Dec 1751	25 Mar 1752	1	90	h	838	6 jan 1751	40 sloop NY		lists no. sailors								
						22.5	h	838	18 jan 1751	25 sloop Antegua										
						90	h	842	15 feb	40 sloop Bermuda		"blurry, est"								
						450	h	842	18 feb	400 ship Lon										
844			25 Mar 1752	25 Jun 1752	1	95	h	844	26 mar 1752	100 mar jam										
						100	h	844	4 april	200 ship bos										
						60	h	844	15 apr	100 ship lon										
848			25 Jun 1752	29 Sep 1752	1	5	Mosq.	848	29 aug 1752	20 schooner jam										
865			25 Dec 1752	25 Mar 1753	1	70	h	865	30 dec 1752	35 sloop NY										
						80	h	865	30 dec	40 sloop jam										
						80	h	873	10 mar	35 schooner NY										
						40	h	875	22 mar	45 sloop Newport										
890			25 Mar 1753	25 Jun 1753	1	75	h	894	29 may	40 sloop jam										
						65	h	894	30 may	65 brig Newport										
919			25 Jun 1753	29 Sep 1753	1	40	h	921	12 sep 1753	40 sloop jam		+ 22 mules; 25 tons Nic. wood								


Cust Boston: Table 1
	Start	End	In?	Salem?	Log	p	img	Date OS	Note	Note								
1	31 May 1686	29 Sep 1686	1															
22	29 Sep 1687	25 Mar 1688	1		60		22	11 oct 1687	80 pink jam									
44	25 Mar 1688	29 Sep 1688	1		0.5	jam	44	17 apr 1688	30 ketch bos									
					25	h	48	25 may 1688	35 sloop NY	plus 2t sarsaparilla; 100 ? notto; 1t iron old								
					40	h	48	1 jun	45 ketch jam									
					45	h	52	27 jun	35 ketch bos	plus 50 dry hides								
159	25 Dec 1713	25 Dec 1714	1		120		159	17 feb 1713	ship bos									
					80		159	15 mar	brig newport									
					100		159	17 mar	ship bos									
					70		159	12 apr	brig NH									
					50		159	24 apr	brig bos									
					100		159	24 apr	ship bos									
					70		159	26 apr	ship bos									
					100		159	10 may	ship bos									
					24	curasoa	159	17 may	sloop bos									
					50		159	1 jun	sloop bos									
					30		159	3 jun	sloop bos									
					38		159	4 jun	sloop bos									
					50		159	11 jun	brig NH									
					30		159	25 jun	sloop ?									
					37		159	1 jul	sloop bos									
					70		159	10 jul	ship bos									
					40		159	6 aug	loop Newport									
					150		159	9 aug	ship bos									
					50		159	10 aug	sloop bos									
					30		160	17 aug	sloop Barb									
					45		160	1 sep	brig Barb									
					100		160	20 sep	Bristoll brig									
162	25 Dec 1714	25 Dec 1715	1		80		162	8 mar	bos									
					64		162	22 mar	bos									
					80		162	28 mar	bos									
					60		162	5 apr	newport									
					37		162	5 apr	bos									
					55		162	5 apr	bos									
					64		162	6 apr	newport									
					70		162	18 apr	piscataqua									
					43		162	20 apr	bos									
					70		162	28 apr	bos									
					47		162	3 may	bos									
					58		162	4 may	charlestown									
					56		162	5 may	bos									
					80		162	5 may	newport									
					70		162	6 may	bos									
					35		162	4 jun	sloop bos									
164	25 Dec 1715	25 Dec 1716	1		60		164	1 mar	brig bos									
					45		164	25 jun	ship bos									
					60		164	11 sep	ship bos									
					60		164	24 sep	brig bos									
					50		164	4 oct	brig bos									
165	25 Dec 1716	24 Jun 1717	1		60		165	3 jan 1716	brig bos									
167	29 Jul 1718	23 Aug 1718	1															
169	23 Aug 1718	13 Oct 1718	1															
171	13 Oct 1718	3 Nov 1718	1															
173	3 Nov 1718	23 Mar 1719	1															
175	23 Mar 1718	11 Apr 1718	1															
177	11 Apr 1719	6 May 1719	1															
179	6 May 1719	11 Jun 1719	1															
181	11 Jun 1719	14 Jul 1719	1															
185	25 Sep 1714	25 Dec 1714	1	1														
187	25 Dec 1714	25 Mar 1715	1	1														
189	25 Mar 1715	25 Jun 1715	1	1														
192	25 Jun 1715	29 Sep 1715	1	1						"Stopped recording Salem, & later Marblehead, Newbury & York, imports at img192"								
242	25 Sep 1752	25 Dec 1752	1															
261	25 Dec 1752	5 Apr 1753	1															
269 … 273	5 Apr 1753	5 Jul 1753	1		200	h	271	27 may 1753	150 ship bos									
282	10 Jul 1753	10 Oct 1753	1		10	SC	282	7 aug	45 schooner SC									
					70	h	282	13 aug	60 sloop bos									
					55	h	284	23sep	55 schooner bos									
298	5 Oct 1753	5 Jan 1754	1															
313	5 Apr 1754	5 Jul 1754	1															
321	10 Jul 1754	10 Oct 1754	1		100	h	321	9 aug	70 brig bos									
					38	h	321	10 aug	40 solo pbos									
					300	h	321	20 aug	300 ship bos									
					100	h	321	23 aug	100 snow bos									
356	5 Oct 1754	5 Jan 1755	1															
368	5 Jan 1755	5 Apr 1755	1															
374	5 Apr 1755	5 Jul 1755	1		51.5	mosq.	376	4 jul	60 sloop bos									
382	5 Jul 1755	10 Oct 1755	1															
413	5 Oct 1755	5 Jan 1756	1															
421	5 Jan 1756	5 Apr 1756	1															
427	5 Apr 1756	5 Jul 1756	1		75	h	427	19 apr 1756	60 sloop bos									
					80	h	427	10 may	55 schooner bos									
					90	NY	429	12 may	50 sloop bos	"“Foreign”, camp? img430"								
					41	NY	429	13 may	45 sloop bos									
					14	NY	429	3 jul	15 sloop NY									
435	5 Jul 1756	10 Oct 1756	1		120	h	435	29 jul	70 brig bos									
					50	h	435	8 aug	50 sloop bos									
					70	h	435	11 aug	83 brig bos									
					70	h	435	13 aug	50 schooner bos									
					40	NY	437	7 oct	40 sloop ??	Foreign img438								
473	5 Jan 1762	5 Apr 1762	1															
481	5 Apr 1762	5 Jul 1762	1															
491	5 Jul 1762	10 Oct 1762	1															
502	10 Oct 1762	5 Jan 63	1															
562	5 Jan 1763	5 Apr 1763	1															
573	5 Jul 1763	10 Oct 1763	1															
581	10 Oct 1763	5 Jan 1764	1															
625	5 Jan 1764	5 Apr 1764	1															
633	5 Apr 1764	5 Jul 1764	1															
641			1							Stopped here								


Cust CO: Table 1
CO	No	No	ID	CSP Col v	CSP Col p	Dated OS / NS	cf										
1	27		1845173453	7	110-22	31 oct 1670	p49	"G Sr Th. Modyford, Jamaica"	"c. dozen vessels only ply logwood trade … 25 to 30L pt … logwood at Mosquito Shore, Campeachy, Cuba, Hispaniola"								
1	25	103	1845168308			18 dec 1670		"G Sr Th. Modyford, Jamaica"	c. 20 small vessels in logwood trade / no mention of “only ply”								
138	1		1845173538			4 mar 1671		"G Sr Th. Modyford, Jamaica"	"logwood trade to Port Royal for prev. two years = 32 ships, of 1170 tons, 424 men"								
1	27	6	1845173418			6 july 1671		"Rich. Browne, Jamaica"	c. 40 ship sin logwood trade … Spanish raid & prisoner taken								
1	27	58	1845174097			17 dec 1671		"G Sr Th. Modyford, Jamaica"	"c. 100 sail, most carrying away logwood via Jamaica to NY, NE, Eng"								
1	29	21	1845171673			12 aug 1672		"Ld Alrington, Whitehall"	Lists 3 Spanish injuries since 1670 peace								
1	29	33	1845173042			28 sep 1672		"Rich. Browne, Jamaica"	est. 900 cutters near Triste								
1	30	49	1845171801			8 jul 1673			c. 40 vessels lost in Camp … 500 or 600 cutters remain in Camp								
1	31		1845174727			5 mar 1673		"Minutes, Comm. for Trade & Plantations"	c. 300 cutters reside winter & summer for 8 yrs past at Camp								
1	30	29	1845175165			28 apr 1678		"Sr Th. Lynch, Jamaica"	c. 10000L in import duty over last two years if all logwood had been routed to Eng. = 2000 tons at 5L per ton over last two years.								
						22 jun 1672		Queen Regent of Spain	Royal cedula to treat cutters are pirates								
						1678		Dampier Voyages p. 158	Sack of Campeche town by English and Dutch privateers								
389	6		1845176494			29 mar 1679		King	Privy Council asks Gov of Jamaica to induce cutters to come to Jamaica								
1	37	7	1845170474			17 jun 1676		"Ed. Randolph, Boston"	c. above 1000 tons logwood fetched from Campeachy by Bostoners								
138	3		1845175052			24 oct 1678		"G Ld Carlisle, Jamaica"	Sack of Campeachy town by several privateers								
1	43	37	1845177541			25 mar 1679			5119 tons logwood exported from Jamaica from midsummer 1671 to lady day 1679								
324	4		1845174355			1 nov 1681			725 cwt logwood exported from NE to Lon 1 oct 1681 to 1 nov 1681								
1	47	95	1845172294			23 nov 1681		"Jonas Clough, journal & narrative of"	Sacking of Campeachy settlement throughout May 1681 & surrender of c. 80 or 90 settlers in middle of May 1681; total 136 kept prisoners & as slaves in Vera Cruz & Mexico								
1	48	12	1845176285			30 jan 1681		Philip Dougherty & Richard Roerty	Sacking & surrender of settlers on 13 May 1681								
1	49	35	1845176801			29 aug 1682		"Sr Th. Lynch, Jamaica"	"c. all logwood carried to Hamburgh, NE, Holland, etc. … c. 200 to 300 men (additional? total?) now logging in Yucatan & New Spain"								
137	44	49	1845188564			24 aug 1696		"G Sr William Beeston, Jamaica"	"c. Aug 1696 Campeachy cut off from English, settlers taken prisoners to New Spain"								
1	69	61	1845165298			13 jul 1713			Terminos & Trist improperly said to be in Honduras								
																	
			1845197288			10 dec 1716			"Spanish seize & settle Terminos & Trist sometime before dec 1716, & prevent English ships from trading there"								
			1845198412	29	193-211	7 nov 1716		Marquis de Monteleon	c. 100000 quintals logwood logged in Campeachy in previous year								
			1845199864			25 feb 1720		Jeremiah Dummer	"c. 3000 sailors employed by logwood trade from Campeachy and Honduras, have turned pirates after Spanish expulsions"								
			1845204000			22 dec 1724		Archd. Cummings	"c. great many vessels from Boston trade to Honduras for logwood but export to Holland, Hamborough, and the Streights rather than Eng."								
			1845207574			9 jun 1730		Galfridus Gray	c. 60 ships taken at seizure of Terminos & Trist “soon after” Peace of Utrecht (ie 1716 expulsion?) = 1239000L								
			www.british-history.ac.uk/jrnl-trade-plantations/vol7/pp51-61 			6 aug 1735		Board of Trade & Plantations	"No English remain in Campeachy, c. 200 English settlers at Honduras, per Cunningham, G of Jamaica"								
																	
																	
						1717		"Joseph, The Logwood Trade p 43"	Expulsion of loggers at Terminos by Governor Juan Jose Vertiz y Ontanon								
						1730		"Joseph, The Logwood Trade p 43 - 44"	Baymen and Moskito Indians raid settlements in Asension Bay								
						19 oct 1739			War declared on Spain; (baymen relocate to Mosquito Shore or Roatan?)								
137	48	15				8 Jun 1745			Raid on New R. by Gov. of Yucatan								
						1747			Attack on Old R.								
						1748			Roatan evacuated after Treaty of Aix-la-Chapelle								
137	60	"32, 33"				1754			"Attack on Old R., with retreat of baymen to Mosquito Shore"								
137	60	"37, 38"				1754 or 55			Baymen return to settlement								
		42				early 1762		"Sir James Gray to Secretary Lord Egremont, Additional Manuscript 36807"	Spain joins France / Bourbon in war vs. England								
137	61	"1,2"				29 Dec 1763		"Joseph Maud, Jeremiah Balfour"	Expulsion of loggers at Hondo								
		"1,2, 3,4"				Feb 1764			Expulsion of loggers at New R.								
		"8,10"							Loggers return to Hondo & New								
		16				c 1772			Slave rebellion & Indian refugees								
		17				12 sep 1777			Capt. Hezekiah Anthony of sloop General Washington holds baymen hostage at St. George’s Caye								
		18				may 1779			Spain declares war on GB								
		"21, 22, 23"				15 sep 1779			"Attack on St. George’s Caye w prisoners retained until Jul 1782, Belize deserted until 1783?"								
		41							"Assault on San Pedro Sula, w aid of some baymen"								
						13 mar 1782			Attack & destruction of Roatan settlement								
		21				3 sep 1783			Treaty of Versailles								
		15						Robert White	Overview of activities								
		"25,26"							Convention of London & evacuation of Mosquito Shore complied 21 June 1787								


Cust 16 2: Table 1
No	Cust	Cf	Start	End	Log	Note	Mah	Note							
1	16	1 p8	5 jan 1768	5 jan 1769	3941.11.2.11	"excluding Bah, Ber; from For & Brit WI"	306816-0-1175	"none to Bah, Per; For WI only; (ft or M ft)-t-??"							
1	16	2 p10	5 jan 1769	5 jan 1770	3537.15.0.0	exc BB; from FWI BWI; inc Lignum vita	862774-291-26	exc BB; FWI only							
1	16	4 p26	5 jan 1770	5 jan 1771	2747.15.0.0	exc BB; from FWI BWI	1227414-81414-0	exc BB; FWI & BWI							
1	16	6 p3	5 jan 1771	5 jan 1772	2630.0.2.0	exc BB; marked “Logwood etc.”; exc Lig. vita	1537125-100-24 	exc BB; FWI & BWI							
1	16	7 p2	5 jan 1772	5 jan 1773	2761.13.0.0	exc BB; exc Lig vita; from FWI BWI	1622360-130-46	exc BB; FWI & BWI							


Cust Span / Hon: Table 1
No	Cust	Start	End	to Eng	fm Eng	to GB	fm GB											
64	3	mas 63	mas 64	9398/11/3	0/0/0													
65	3	mas 64	mas 65	11874/5/8	113/8/8													
66	3	mas 65	mas 66	11601/2/6	3555/1/11			marked Honduras Bay in Sp. W. Indies										
67	3	mas 66	mas 67	15611/8/3	7995/4/5			marked Honduras Bay & Mosq. Shore										
68	3	mas 67	mas 68					marked Honduras Bay & Mosq. Shore; scan missing last page … rev										
69	3	mas 68	mas 69	7456/9/11	9938/8/8			marked Honduras Bay; Mosq. Shore separate										
70	3	mas 69	mas 70	85659/7/2	9115/1/9													
71	3	mas 70	mas 71	34087/9/7	3264/6/8													
72	3	mas 71	mas 72					scan missing last p … rev										
73	3	mas 72	mas 73	21377/13/9	668/11/1													
74	3	mas 73	mas 74	25253/19/7	3250/19/5													
75	3	mas 74	mas 75	43180/6/4	3639/4/9													
76	3	mas 75	mas 76	30007/9/0	2215/8/10													
77	3	mas 76	mas 77	27744/7/8	490/3/4													
78	3	mas 77	mas 78	44003/14/0	1174/14/9													
79	3	mas 78	mas 79	10690/1/6	2066/19/11													
80	3	mas 79	mas 80	14/1/0	0/0/0													
1	17	5 jan 72	5 jan 73	115482/17/4		147024/7/4		1 p36; marked FWI; exports include Florida										
2	17	5 jan 73	5 jan 74	48378/13/4		70203/10/5		1 p37; exports include Florida										
3	17	5 jan 74	5 jan 75					1 p35										
4	17	5 jan 75	5 jan 76					1 p37										
4	17	5 jan 76	5 jan 77					3 p39										
