D Citations: Table 1
Start	U Start	L Start	Type	Subtype	Description	Source	
1731			Anthropological	Engagement	Attack in March by Glover’s Reef on John & Jane ship by Spanish; “several were killed” of “about 30 Men … [and] some Women”	Daily Journal 24 Sep 1731 3345; London Evening Post 607	
1737			Anthropological	Engagement	Attack in April by Spanish in Belize River; “long and smart Fight”; “burnt abundance of Logwood”	"New England Weekly Journal 14 Jun 1737 p 2 issue 532; New York Weekly Journal 26 Sep 1737 p 3 issue 203, 10 Oct 1737 p 2 issue 205"	
1737			Biological	Outbreak	"Outbreak of illness (possibly); “It has been very sickly in the Bay, and abundance of Bay-Men have died (especially the chief of them) as well as those belonging to the vessels”"	New-York Weekly Journal 26 Sep 1737 p 3 issue 203	
1739			Anthropological	Raid	Ship seizures during War of Jenkins’ Ear; 6 “small Brigantines” seized; loss est. 3000L 1742 currency per ship	"The profit and loss of Great-Britain and Spain : from the commencement of the present war, to this time, impartially stated … by Philalethes 1742 p. 7"	
1747			Anthropological	Raid	Raid on Belize River by the Spanish; “taken several Ships”; population = 400; no prisoners nor expulsion	"“The Anglo-Guatemalan Dispute over British Honduras” by Donald Grunewald p. 23; The Diplomatic history of British Honduras, 1638-1901” by Robert Arthur Humphreys p. 2; General Evening Post 11 to 13 Aug 1747 2159; London Evening Post 4248; Pennsylvania Gazette 21 Apr 1748 p 5 issue 1010"	
1751			Anthropological	Raid	"Raid on New River in July by Spanish & subsequent raids on Belize River; “took 18 Flatts” & 7 sloops; “English taken by them are 129” (but prisoners may have been returned); “most of the Bay-men” at Mosquito Shore (at least 40), driven away by “being daily routed by the Spaniards”; “about five Families left in the Bay”; 19 slaves of one of these made prisoners by “Bracall Men” in Aug / Sep 1752"	Boston Gazette 10 Sep 1751 p 2 issue 1643l; New-York Mercury 27 Nov 1752 p 2 issue 16	
1754			Anthropological	Raid	Raid on & sacking of Belize River by the Spanish (Marqués de la Ensenada); settlement occupied by Spanish settlers; population = 100 (WSS) or 250 (DG) or 500 (LEP); 210 (AWR)	"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 84;“The Anglo-Guatemalan Dispute over British Honduras” by Donald Grunewald; London Evening Post 14 to 17 Dec 1754 4228; 28 to 31 Dec 1754 4234; Antigua Weekly Register 11 Nov 1818 p 4"	
1765			Anthropological	Riot	Revolt (?) on New River by slaves; “Mr. Cook … three English seamen” killed; “several of the mutineers hanged”	Gazetteer & New Daily Advertiser 31 Oct 1765 11431; 10 Feb 1766 11518; Boston Evening-Post 9 Sep 1764 p 2 issue 1565; Newport Mercury 23 Sep 1765  3 issue 368	
1770			Anthropological	Riot	"Dispute with Spanish, “several” baymen killed; “destroyed all the mahogany”; “burnt several small Houses” on Ambergris Caye"	General Evening Post 1 to 4 Sep 1770 5757; ew-York Journal / General Advertiser 29 Nov 1770 p 208 issue 1456; The Pennsylvania Gazette 6 Dec 1770  3 issue 2189	
1771			Natural	Famine	"Locust outbreak leading to famine; “At Ambergris … 17,000 Indians had died for want … and in other parts of the country … [in total] upwards of 80,000”"	London Evening Post 10 to 12 Dec 1771 issue 6854; General Evening Post 12 to 14 Sep 1771 issue 5916	
1772			Anthropological	Engagement	Confrontation with Spanish by Glover’s Reef	London Evening Post issue 2 May 1772 6915	
1773			Anthropological	Engagement	Attack on Belize River by “Indians”; “massacred numbers”	Middlesex Journal 30 Nov to 2 Dec 773 issue 730	
1773			Anthropological	Riot	"Revolt by slaves; 4 killed; “22 or 23 insurgents” at first, then “70 or 80 strong”"	"Morning Chronicle 7 Sep 1773 1339; Rivington’s New York Gazetteer 5 Aug. 1773 issue 16, 4 Nov 1773 issue 29"	
1775			Anthropological	Engagement	"Dispute with Spanish, “many” baymen killed"	London Evening Post issue 2 Mar 1775 8258	
1779			Anthropological	Engagement	"Attack on St. George’s Caye & “river of Tinto” by the Spanish (Roberto de Rivas Betancourt); 95 to 100 imprisoned inCollege of St. Peter, Merida; they “deliver[ed] up our negroes, our money and our plate”; at least 100 escaped imprisonment; Treaty in 1783; settlers return by 16 Sept 1782; settlers released July 1782"	"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 253; London Gazette 14 to 18 Dec 1779 issue 12040; Royal Gazette (Jamaica) 30 Jun 1781 p. 5; Lloyd’s Evening Post 5 to 7 Mar. 1781 issue 3699; Whitehall Evening Post 20 to 23 Jul 1783 issue 5668; London Chronicle 10 to 13 Aug 1782 p. 9 issue 4010; English Chronicle 8 to 10 Aug 1782 p. 3 issue 566; Morning Herald 26 Dec 1783 p 2 issue 987; The Gazette of Saint Jago de le Vega (Jamaica) 17 Oct 1782 p. 3; Antigua Weekly Register 11 Nov 1818 p 4"	
1779			Anthropological	Engagement	Siege of Omoa by the English (Lt. Col. John Dalrymple & Capt. John Luttrell)	"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 253; London Gazette 14 to 18 Dec 1779 issue 12040"	
1784			Natural	Storm	Hurricane of August	“Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97; London Chronicle 14 to 16 Oct 1784 issue 4362; Morning Chronicle / London Advertiser xxx 1785 xxx	
1785			Biological	Outbreak	Outbreak of “distemper”; “proved fatal to many” in New River	London Chronicle 5 to 8 Feb 1785 p. 7	
1785			Natural	Storm	"Hurricane of August; Caused “immense damage”, not less than 1500L; St. George’s Caye wrecked “In many places it has lost upwards of twenty feet; the sea rolled free over it in almost every direction”"	Times 21 Mar 1786 p. 3; “Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97; Essex Journal 8 Mar 1786 p 3 issue 88	
1787			Anthropological	Riot	Riots by new settlers from Mosquito Shore	Morning Chronicle 25 Jul 1787 issue 5680	
1787			Natural	Storm	"Hurricane of early September; “not less than 500 houses … blown down”; 30,000L damage; 11 ships destroyed; some recently arrived immigrants from Mosquito Shore given “four months provision” by Superintendent; “143 lives lost: seven ships not recoverable”; 300,000 feet of mahogany “carried out to sea, and totally lost”; “one hundred and upwards” lives lost"	London Chronicle 4865; The World 325; “Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97; General Evening Post xxx 1788 issue xxx; Public Advertiser xxx 1788 issue xxx; Pennsylvania Mercury / Universal Advertiser 5 Jan 1788 issue 179; Daily Advertiser 14 Jan 1788 v IV issue 902	
1788			Biological	Outbreak	"Outbreak of “a dreadful mortality”; 50 white people dead, “and a much greater number of negroes”"	New-York Morning Post 6 Feb 1788 1215	
1792			Natural	Flooding	Flooding July to October in Belize town; 2 m ft. mahogany lost; “many ne***es perished”	Times 11 Feb 1973 p. 3	
1794			Anthropological	Engagement	“Indian” raid; one bayman shot; four raiders killed	Whitehall Evening Post 13 to 15 Mar 1794 issue 7135	
1798			Hostile	Engagement	Battle of St. George’s Caye	London Gazette No. 15100. p. 69	
1812			Natural	Storm	Hurricane of June	“Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97	
1813			Natural	Storm	Hurricane of January; no. 237 on Chenoweth list (there given as August); “did much mischief”; “broke down all the south side”; deaths mentioned but not from hurricane	Morning Post 11 Apr 1814 issue 13484;Hampshire Chronicle XL 2083; Chenoweth 2016 p. 224	
1823			Biological	Outbreak	Outbreak; “many persons have died”	Hampshire Chronicle 9 Jan 1815 v XLII issue 2122; Times 18 Oct 1823 issue 12006	
1830			Biological	Outbreak	Outbreak of yellow fever	"Memorial Inscriptions and Epitaphs : Belize, British Honduras by Usher, J.P."	
1831			Natural	Storm	Hurricane of unknown date; no. 129 in Chenoweth list; 28th of June; 1 schooner Duke of Manchester lost near Ambergris; 1 death	"Chenoweth “A Reassessment of Historical Atlantic Basin Tropical Cyclone Activity, 1700—1855” 2016 p. 186; Jamaica Watchman 24 Aug 1831 p 1"	
1852			Natural	Flooding	"Flooding in Belize (town?) in Oct.; “thousands of cattle have been drowned”; “immense amount of property destroyed”; “nine lives lost, and a great many missing”"	"Weekly Herald (NY, NY) 4 Dec 1852 XVI 49"	
1854			Technological	Fire	"Fire; 90,000 to 100,000L damage, 100 houses and stores destroyed, with $100,000 (USD or BHD) in merchandise lost"	"NYT “Fire in Honduras” 28 Sep 1854, p. 3;Morning Chronicle 18 Sep 1854 27374; Times-Picayune (New Orleans) 1 Sep 1854 ed. Eve.; Weekly Herald NY, NY 21 Oct 1854"	
1854			Biological	Outbreak	Outbreak of cholera; “about 300 natives have died”	"Sir J.A. Burdon, Archives v 3, p. 174; Morning Chronicle 22 Mar 1854 27220; Philadelphia Inquirer 13 Mar 1854; Sun (Baltimore, MD) 19 May 1854 XXXV 2"	
1856			Technological	Fire	"Fire; 50 houses destroyed; $500,000 loss estimated (USD BHD?); 100,000L loss"	"NYT “Large Fire at Belize, Honduras” 18 Aug 1865 p. 4; Daily News 3199; Sir J.A. Burdon, Archives v 3, p. 190; NY Herald 26 Aug 1856 7301"	
1857			Biological	Outbreak	Outbreak of smallpox; “is very bad … confined to the lowest classes … only a few coloured persons having had it”	NY Herald 13 Jun 1857 issue 7591	
1860			Biological	Outbreak	"Outbreak of yellow fever; “for the first time in twenty years … for two months now it has been very bad, and, with only a few exceptions, all who have had it have died”"	Times-Picayune 12 Sep 1860	
1863			Technological	Fire	Fire; 400 houses destroyed; 500 houses destroyed (JAB)	"The Growth and Development of Belize City by Everitt, J.C.; Daily News 5281; Sir J.A. Burdon, Archives v 3, p. 249"	
1863			Anthropological	Riot	Riot on 13 Aug at bayonetting of constable Mr. Burke & several others by BWIR soldiers; at least 2 dead	"NY Herald 9 Sep 1863, 17 Sep 1863"	
1864			Natural	Flooding	"Flooding in Belize River in mid Sep; 300 cattle, worth $40 each, destroyed, “very severe damage to plantations northward”; houses swept and carried away"	NY Herald 5 Nov 1864	
1864			Natural	Gales	"Strong, sustained gales; 1 brig, 3 barks, 1 drugger lost"	Times-Picayune 15 Oct 1864	
1866			Anthropological	Engagement	Confrontation with Mr. Canul to retake San Pedro on New River	"Sir J.A. Burdon, Archives v 3, p. 30"	
1866			Anthropological	Raid	Capture of San Pedro on New River by Mr. Marcus Canul	"Sir J.A. Burdon, Archives v 3, p. 30"	
1866			Anthropological	Raid	Raid on Qualm Hill on Rio Bravo by Mr. Marcus Canul	"Sir J.A. Burdon, Archives v 3, p. 29"	
1867			Biological	Outbreak	Outbreak of cholera	"Sir J.A. Burdon, Archives v 3, p. 299"	
1867			Anthropological	Raid	Recapture of San Pedro by settlers	"Sir J.A. Burdon, Archives v 3, p. 32"	
1867			Anthropological	Raid	Raid on Indian Hill & Mt. Hope	"Sir J.A. Burdon, Archives v 3, p. 32"	
1867			Anthropological	Raid	Burning of San Jose by settlers; capture of Naranhal and Chorro by Corozal militia	"Sir J.A. Burdon, Archives v 3, p. 32"	
1868			Anthropological	Raid	Raid on Corozal by Mr. Marcus Canul; damage = compensation requested by Corozal; no deaths mentioned	"Sir J.A. Burdon, Archives v 3, p. 38"	
1872			Anthropological	Raid	Raid on Water Bank by Mr. Marcus Canul	"Sir J.A. Burdon, Archives v 3, p. 328"	
1872			Anthropological	Raid	Raid on Orange Walk by Mr. Marcus Canul	"Sir J.A. Burdon, Archives v 3, p. 41"	
1886			Biological	Outbreak	Outbreak of yellow fever	"Sir J.A. Burdon, Archives v 3, p. 313; Report to the Government of British Honduras … by Sir R.W. Boyce p. 2"	
1894			Anthropological	Riot	Riots by police force & forestry workmen	NYT “Police Revolt in Honduras” 12 Dec 1894 p. 5	
1905			Biological	Outbreak	Outbreak of yellow fever	Report to the Government of British Honduras … by Sir R.W. Boyce p. 5	
1914			Anthropological	Engagement	WWI	Commonwealth War Graves Commission for 39 from BHTF and 12 from BWIR (whose biographies mentioned provenance); The Lusitania Resource for 2 perished in RMS Lusitania	
1918			Technological	Fire	Fire	"Honduras Governor Killed, article in The Washington Post, 13 Sep 1918"	
1918			Biological	Outbreak	Outbreak of Spanish flu	Report on recent epidemic of influenza in the town of Belize by Sgd. Thomas Gann 1919; Report on the influenza epidemic in the Districts by Thomas Gann 1919	
1921			Biological	Outbreak	Outbreak of yellow fever	"Public Health Reports, 26 Aug 1921, p 2084"	
1931			Technological	Fire	Fire	NYT 14 Sep 1931 p. 7	
1931			Natural	Storm	Landfall of unnamed 1931 hurricane		
1932			Technological	Fire	Fire; $250000 USD lost	"NYT “$250,000 Fire in Belize” 19 April 1932 p. 3"	
1939			Anthropological	Engagement	WWII	"Commonwealth War Graves Commission for 4 from RAF, 6 from NCF, whose biographies mentioned provenance"	
1950			Anthropological	Riot	Riots	NYT “Princess Cancels Visit” 20 Feb 1950 p. 10	
1953			Technological	Fire	Fire; $1 m USD damage	NYT “Artist Arsonist gets 15 Years” 20 May 1954 p. 35	
1955			Natural	Storm	Close passage of Hurricane Janet		
1960			Natural	Storm	Landfall of Hurricane Abby		
1961			Natural	Storm	Landfall of Hurricane Hattie		
1974			Natural	Storm	Close passage of Hurricane Carmen		
1974			Natural	Storm	Close passage of Hurricane Fifi		
1978			Natural	Storm	Landfall of Hurricane Greta		
1981			Anthropological	Riot	Riots	NYT “A State of Emergency is Declared in Belize” 3 Apr 1981 p. 7; “Belize is Quiet After Rioting Over Independence Pact” 4 Apr 1981 p. 24	
1986			Biological	Outbreak	Outbreak of HIV / AIDS	Belize Ministry of Health; Belize National AIDS Commission	
1998			Natural	Storm	Close passage of Hurricane Mitch		
2000			Natural	Storm	Landfall of Hurricane Keith		
2001			Natural	Storm	Landfall of Hurricane Chantal		
2001			Natural	Storm	Landfall of Hurricane Iris		
2005			Natural	Storm	Close passage of Hurricane Gamma		
2007			Natural	Storm	Close passage of Hurricane Dean		
2008			Natural	Flooding	Flash flooding in Stann Creek caused by Hurricane Arthur	Channel 7 News 2 Jun 2008	
2008			Natural	Storm	Landfall of Hurricane Arthur		
2009			Biological	Outbreak	Outbreak of swine flu	"Shahera Bodden, 29, is Belize’s 1st confirmed death from swine flu, article in Amandala, 17 Jan 2014, online"	
2010			Natural	Storm	Landfall of Hurricane Alex		
2010			Natural	Storm	Landfall of Hurricane Richard		
2012			Natural	Storm	Close passage of Hurricane Ernesto		
2016			Natural	Storm	Landfall of Hurricane Earl		
2017			Anthropological	Wreck	"Detonation of grenade in San Pedro, AC"	Ambergris Today 18 Sep 2017	
2019			Biological	Outbreak	Outbreak of COVID-19	Belize Ministry of Health	


D Sources: Table 1
			mm	dd	U mm	U dd	Newspaper	State	Academic	Press		Hazard	By	On	Place	Place	Place	Source	Title	Place	ID	Collection	Source	Name	Title	R Deaths	R Deaths
27 May 1701	01	17			05	27	1					Raid	Spanish					"Flying Post, 24 to 27 May 1701 p. 1 issue 944"	Flying Post	London	944	Burney	Gale				
19 Sep 1715	15	17			09	19	1					Famine		Slaves	Campeachy			The Boston News-Letter 19 Sep 1715 p. 2	Boston News-Letter	Boston	596	Readex	NewsBank				
28 Feb 1716	16	17	02			28	1					Assault	Spanish		Campeachy			The Boston News-Letter 7 May 1716 p. 2 issue 629; Mercurius Politicus for May 1716 v 1 p 132	Boston News-Letter	Boston	629	Readex	NewsBank				
15 Nov 1716	16	17	11			15	1			1		Raid	Spanish		Campeachy			"The state of the island of Jamaica by A. B. 1726 p. 15; A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America by William Douglas v II part I p. 88; The Boston News-Letter 8 Apr 1717 p 2 issue 677"	Boston News-Letter	Boston	677	Readex	NewsBank				
15 Feb 1723	23	17	02			15	1			1		Assault	Spanish					Parker’s London News / Impartial Intelligencer issue 883; Daily Post 27 Jun 1723 issue 1169; Weekly Journal / Saturday’s Post 27 Jul 1723 issue 248; New England Courant 13 to 20 May 1723 94; The state of the island of Jamaica by A. B. 1726 p. 15; The BOSTON News-Letter 16 May 1723 p. 4 issue 1007	Daily Post	London	1723	Burney	Gale				
30 Jan 1725	25	17			01	30	1					Assault	Pirates					Weekly Journal / Saturday’s Post 30 Jan 1725 issue 327	Weekly Journal or Saturday’s Post	London	327	Burney	Gale				
21 Apr 1726	26	17			04	21	1					Assault	Spanish					British Journal 12 Feb 1726 179; Daily Courant 22 Jun 1726 7701	British Journal	London	179	Burney	Gale				
28 Feb 1728	28	17			02	28	1					Assault	Spanish					Daily Journal issue 28 Feb 1728 2224	Daily Journal	London	2224	Burney	Gale				
16 Dec 1728	28	17			12	16	1					Raid	Spanish					Daily Journal issue 16 Jan 1729 2504	Daily Journal	London	2504	Burney	Gale				
18 Aug 1729	29	17			08	18	1					Assault	Spanish		New	Hondo	Old	London Journal 11 Oct 1729 532 p. 5; Read’s Weekly Journal / British Gazetteer 375;  Grub Street Journal 70; London Evening Post 11 to 13 May 1731 p. 1 539; New England Weekly Journal 22 Jul 1731 issue CCXXVII p. 2; The Weekly Rehearsal 4 Oct 1731 p 2 issue 2; Universal Spectator / Weekly Journal 198; Read’s Weekly Journal / British Gazetteer 27 May 1732 375; The Boston Weekly News-Letter 21 Sep 1732 p 1 issue 1495; 5 Oct 1732 p 1 issue 1497; The Weekly Rehearsal 8 Oct 1733 p 2 issue 106; The Boston Gazette 20 Oct 1735 p 3 issue 824; The Boston Evening Post 22 Sep 1736 p 2 issue 67	London Journal	London	532	Burney	Gale				
28 Feb 1730	30	17	02			28	1					Assault	Spanish					Daily Journal 13 Aug 1730 p. 2 2996	Daily Journal	London	2996	Burney	Gale				
24 Mar 1731	31	17	03	24			1					Assault	Spanish		Reef			Daily Journal 24 Sep 1731 3345; London Evening Post 607	Daily Journal	London	3345	Burney	Gale			2	
30 Apr 1736	36	17	04			30	1					Outbreak						New-York Weekly Journal 26 Sep 1737 p 3 issue 203	New-York Weekly Journal	New York	203	Readex	NewsBank				
15 Apr 1737	37	17	04			15	1					Assault	Spanish					"New England Weekly Journal 14 Jun 1737 p 2 issue 532; New York Weekly Journal 26 Sep 1737 p 3 issue 203, 10 Oct 1737 p 2 issue 205"	New-England Weekly Journal	Boston	532	Readex	NewsBank				
22 Oct 1739	39	17	10	22						1		Raid	Spanish					"The profit and loss of Great-Britain and Spain : from the commencement of the present war, to this time, impartially stated … by Philalethes 1742 p. 7; The Champion: containing a series of papers, humorous, moral, political and critical: volume 2 1740 p 290"	The Profit and loss of Great-Britain …	London		Globe	Gale		War of Jenkins’ Ear		
13 Aug 1747	47	17			08	13	1		1	1		Raid	Spanish					"“The Anglo-Guatemalan Dispute over British Honduras” by Donald Grunewald p. 23; The Diplomatic history of British Honduras, 1638-1901” by Robert Arthur Humphreys p. 2; General Evening Post 11 to 13 Aug 1747 2159; London Evening Post 4248; Pennsylvania Gazette 21 Apr 1748 p 5 issue 1010"	General Evening Post	London	2159		"Globe, for T. Cooper"	Philalethes			
31 Aug 1749	49	17	08			31	1					Storm						Boston Gazette 21 Nov 1749 issue 1550	Boston Gazette	Boston	1550	Readex	NewsBank				
10 Jul 1751	51	17	07	10			1					Assault	New		Belize			Boston Gazette 10 Sep 1751 p 2 issue 1643l; New-York Mercury 27 Nov 1752 p 2 issue 16	Boston Gazette	Boston	16431	Readex	NewsBank				
18 Apr 1752	52	17			04	18	1					Outbreak						The Covent Garden Journal issue 31 18 Apr 1752 	Covent-Garden Journal	London	31	Burney	Gale				
30 Sep 1754	54	17	09			30	1		1			Raid	Spanish					"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 84;“The Anglo-Guatemalan Dispute over British Honduras” by Donald Grunewald; London Evening Post 14 to 17 Dec 1754 4228; 28 to 31 Dec 1754 4234; Antigua Weekly Register 11 Nov 1818 p 4"	London Evening Post	London	4228	Burney	Gale				
31 Aug 1765	65	17			08	31	1					Revolt	Slaves					Gazetteer & New Daily Advertiser 31 Oct 1765 11 431; 10 Feb 1766 11 518; Boston Evening-Post 9 Sep 1765 p 2 issue 1565; Newport Mercury 23 Sep 1765  3 issue 368	Gazetteer and New Daily Advertiser	London	11431	Burney	Gale		Revolt of Cook’s Slaves	4	
31 Aug 1770	70	17			08	31	1					Assault	Spanish		Ambergris			General Evening Post 1 to 4 Sep 1770 5757; ew-York Journal / General Advertiser 29 Nov 1770 p 208 issue 1456; The Pennsylvania Gazette 6 Dec 1770  3 issue 2189	General Evening Post	London	5757	Burney	Gale				
12 Sep 1771	71	17			09	12	1					Famine		Maya				London Evening Post 10 to 12 Dec 1771 issue 6854; General Evening Post 12 to 14 Sep 1771 issue 5916	General Evening Post	London	5916	Burney	Gale		Locust Plague	80000	
6 Mar 1772	72	17	03	06			1					Assault	Spanish		Reef			London Evening Post issue 2 May 1772 6915	London Evening Post	London	6915	Burney	Gale			1	
30 Jun 1773	73	17			06	30	1					Assault	Maya					"Morning Chronicle 7 Sep 1773 1339; Rivington’s New York Gazetteer 5 Aug. 1773 issue 16, 4 Nov 1773 issue 29"	Morning Chronicle	London	1339	Burney	Gale				
30 Nov 1773	73	17			11	30	1					Revolt	Slaves					Middlesex Journal 30 Nov to 2 Dec 773 issue 730	Middlesex Journal	London	730	Burney	Gale			4	
2 Mar 1775	75	17			03	02	1					Assault	Spanish					London Evening Post issue 2 Mar 1775 8258	London Evening Post	London	8258	Burney	Gale				
15 Sep 1779	79	17			09	15	1	1	1			Assault	Spanish					"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 253; London Gazette 14 to 18 Dec 1779 issue 12040; Royal Gazette (Jamaica) 30 Jun 1781 p. 5; Lloyd’s Evening Post 5 to 7 Mar. 1781 issue 3699; Whitehall Evening Post 20 to 23 Jul 1783 issue 5668; London Chronicle 10 to 13 Aug 1782 p. 9 issue 4010; English Chronicle 8 to 10 Aug 1782 p. 3 issue 566; Morning Herald 26 Dec 1783 p 2 issue 987; The Gazette of Saint Jago de le Vega (Jamaica) 17 Oct 1782 p. 3; Antigua Weekly Register 11 Nov 1818 p 4"	London Gazette	London	12040	Burney	Gale		Battle of St. George’s Caye	2	
16 Oct 1779	79	17			10	16	1		1			Assault	English	Spanish	Omoa			"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 253; London Gazette 14 to 18 Dec 1779 issue 12040"	London Gazette	London	12040	Burney	Gale		Siege of Omoa	4	
5 Aug 1784	84	17	08			05	1		1									London Chronicle 5 to 8 Feb 1785 p. 7	London Chronicle	London	4411	Burney	Gale				
30 Oct 1784	84	17	10			30	1		1									Times 21 Mar 1786 p. 3; “Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97; Essex Journal 8 Mar 1786 p 3 issue 88	Times	London	386	Times	Gale				
23 Nov 1784	84	17			11	23	1											“Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97; London Chronicle 14 to 16 Oct 1784 issue 4362; Morning Chronicle / London Advertiser xxx 1785 xxx	London Chronicle	London	4362	Burney	Gale				
24 Jul 1787	87	17			07	24	1					Riot	Arrivals					Morning Chronicle 25 Jul 1787 issue 5680	Morning Chronicle	London	5680	Burney	Gale		Mosquito Shoremen’s Riots		
2 Sep 1787	87	17	09			02	1		1			Storm						London Chronicle 4865; The World 325; “Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97; General Evening Post xxx 1788 issue xxx; Public Advertiser xxx 1788 issue xxx; Pennsylvania Mercury / Universal Advertiser 5 Jan 1788 issue 179; Daily Advertiser 14 Jan 1788 v IV issue 902	London Chronicle	London	4865	Burney	Gale				
31 Jan 1788	88	17			01	31	1					Outbreak						New-York Morning Post 6 Feb 1788 1215	New-York Morning Post	New York	1215	Readex	NewsBank				
15 Jul 1792	92	17	07			15	1					Flood						Times 11 Feb 1793 p. 3	Times	London	2530	Times	Gale				
28 Dec 1793	93	17			12	28	1					Assault	Maya					Whitehall Evening Post 13 to 15 Mar 1794 issue 7135	Whitehall Evening Post	London	7135	Burney	Gale				
10 Sep 1798	98	17	09	10				1				Assault	Spanish					London Gazette No. 15100. p. 69	London Gazette	London	15100	Burney	Gale				
1 Jun 1812	12	18	06			01			1			Storm						“Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97	Climate Change		10.1007/s10584-005-9005-2		Springer	Mr. M. Chenoweth			
3 Aug 1813	13	18	08			03	1		1			Storm						Morning Post 11 Apr 1814 issue 13484;Hampshire Chronicle XL 2083; Chenoweth 2016 p. 224	Morning Post	London	13484	NewsVault	Gale				
