Events: Table 1
		VOYAGE	CLG_0	CLG_1	FLR_0	FLR_1			ROUTE	ACTORS_0	ACTORS_1	FORCE_0	FORCE_1	SEC	PRIM_0	PRIM_1																								
			1 Jan 1569				?	Real Audiencia de Panamá informó que nueve navíos ingleses estaban surtos en Cabo de La Vela						O Torres p 267	"PA 13 ram 9 num 24 ff 1r-v [Carta del licenciado Vera, presidente de la Real Audiencia de Panamá, Panamá a 28 de junio de 1569]"																									
			1 Jan 1570				xxx Drake voyage	"este capitán arribó al Golfo-Caribe con un velero, una pinaza y una tripulación compuesta por entre 73 y 150 hombres"		Francis Drake	Richard Dennys	2 ships	Dragon / Swan [40 tn]	O Torres pp 281-282 / L Zea pp 123-130 / I Rubio pp 123-124 / Wright aa pp xxiv-xxvii	"PA 30 num 14 f 1r [Carta del cabildo de Panamá, Panamá a 24 de febrero de 1573] / PA 33 num 95 f 1r [Carta de los oficiales reales de Panamá, Panamá a 9 de mayo de 1573] / PA 33 num 96 f 1v [Carta de los oficiales de Panamá, Nombre de Dios a 13 de — de 1573] /// BOD ASH 830"	Philip p ??? = Wright aa part 2 doc 1 p 254	"SPRING 1570. Drake returns into the West Indies with the small ships Dragon and Swan—little being known about his activities on this cruise. /v Marley 1 p 100 /// Ashmole MS 830 declares that in 1570 Drake and ""an Englishe marchant of Exeter called Richard Dennys and others ... upon the coast of Nombre de Dios did robbe divers barkes in the river of Chacro [...]"" [...] as a matter of fact, nothing of this sort happened off Nombre de Dios or in the Chagre River in 1570; whereas in 1570/71 it did. [...] the Ashmole MS. to the contrary notwithstanding. /v Wright aa p xxiv /// re piracy in 1570, cf Spanish ambassador at Paris memo of French depradations [up to 20 Jun 1571] in A. de I. 2-5-1/22, Patronato 267, items 40, 53, 88; and similar re depradations by the English in A. de I. 2-5-1/20, Patronato 265, item 28, and 2-5-2/21, Patronato 266, item 1, and ""S.P. Spain, XVIII, cited by Corbett, op. cit. I, p. 402"" [???]), and BOD ASH 830 /v Wright aa p xxv /// [A. de I. 2-5-2/20, Patronato 265, item 28] contains reference to 1570, ""According to other evidence taken in the city of Nombre de Dios on March 15 it appears that on that coast the English at that time took a frigate of Gaspar Hernandez's, thought it was in ballast."" /v Wright aa p xxv"																							
			1 Jan 1570				?	"Pierre Franc o Pedro “el vasco” navegó también en ese año como capitán de una embarcación ligera, con 26 hombres, en la costa oriental de Cuba, Cabo de La Vela –Nicaragua– y Río Hacha"						O Torres p 265 / Ullivarri pp 136-137																										
			1 Jan 1571				?	Contamos también con datos respecto a una ruta naval francesa que sucedió en 1571 tripulación era de al menos 50 hombres capitaneados por Chuetot						O Torres pp 263-264 / Universidad pp 73-130 / L Zea pp 120-123 / R Martinez pp 115-140 / O Torres aa pp 98-102	"PT 267 ram 1 num 54 ff 2r-v [Testimonio de Rodrigo Caro, La Habana a 23 de julio de 1571]"																									
			1 Jan 1571				?	dos navíos ingleses y tres chalupas francesas capturaron una carabela en una ensenada cercana a Nombre de Dios						O Torres p 268	"PA 13 ram 12 num 47 ff 1r-v [Carta de la Real Audiencia de Panamá, Panamá a 12 de septiembre de 1572]"																									
			1 Jan 1571				?	Encontramos registros sobre algunos ingleses que en 1571 apresaron una fragata española entre las costas de Cartagena de Indias y Nombre de Dios						O Torres p 267	"PA 13 ram 11 num 44 f 3r [Carta del presidente de la Audiencia de Panamá, Panamá a 26 de mayo de 1571]"		"re Drake [and Nicholas des Isles in L’Esperance] voyage of 1571 to Nombre de Dios and Venta de Cruces on Chagres River see Wright aa part 1 docs nos 5-13; A. de I. 69-2-23, Panama 13, item no 23 [Dr. Barros to crown, Panama, 21 May 1571]; A. de I. 69-2-23, Panama 13 [Audiencia to crown, Panama, 14 March 1571]; A. de I. 69-3-9, Panama 40 [Gerónimo Narvaéz de Padilla to crown, Nombre de Dios, 14 March 1571]; A. de I. 2-5-1/22, Patronato 267, item 53 [Estevez deposition]; A. de I. 2-5-1/22, Patronato 267 [Pedro Mandinga deposition, Panama 20 February 1571]; A. de I. 69-2-23, Panama 13, item no 22 [Audiencia to crown, Panama 20 Feb. 1571]; A. de I. 69-2-23, Panama 13, item no 53 [Spanish embassador memo, Paris Sept. 1571]; A. de I. 69-2-23, Panama 13, item 54 [Ricardo Caro deposition, Havana 23? July 1572]; A. de I. 69-2-23, Panama 13, item 60 [deposition by Melo's negroes who deserted the barque, Nombre de Dios 2 March 1571]; A. de I. 2-5-1/20, Patronato 265, item 28 [Extract of depositions]; A. de I. 2-5-1/22, Patronato 267, item 54 [Rodrigo Caro deposition, Havana 23 July 1572]; A. de I. 2-5-1/22, Patronato 267, item 53 [Spanish ambassador memo, Paris 1571]; A. de I. 69-2-23, Panama 13 [Audiencia to crown, 12 March 1571] /v Wright aa pp xxix-xxxv"																							
			1 Jan 1572				first independent Drake voyage	"Drake, having returned into the West Indies with Hawkins’s 70-ton, 47-man Pascha and the 25-ton, 26-man Swan under his brother John Drake"						Marley 1 pp 101-104 / Wright aa pp xxxvii-xlv		Philip = Wright aa part 2 item no 1 pp 245-326 / Wright aa part 1 docs nos 17-31	re Honduras leg cf Wright aa part 1 doc no 29																							
			1 Jan 1572					"El 13 de enero de 1572, tres navíos y una chalupa tripu- lada por “corsarios luteranos” arribaron a Puerto de Caballos"						O Torres p 287 / P Valenzuela p 14			"Segunda Fase de Actividad Generalizada en el Golfo-Caribe, 1572-1582 Totales por subregión de las entradas corsarias = 19 Guatemala, 16 Panamá, 4 Yucatán, total general 72 /v O Torres p 290 /// EARLY APRIL 1572. As Adm. Esteban de las Alas arrives off Margarita Island (Venezuela) with a small transatlantic treasure fleet bound for Cartagena (Colombia) and Nombre de Dios (Panama), his flagship is engaged by two French privateers, who break off at nightfall. /v Marley 1 p 101 /// 1573 Guat. gob. Pedro de Villalobos dispuso que la carga y descarga de mercaderías se hiciera en Golfo Dulce en vez de Puedro Caballos ie en Bodegas /v Z Castellanos p 175"																							
			1 Jan 1574				John Noble	"English privateer John Noble with a 4-gun, 30-man ship off Escudo de Veraguas Island (Panama)"		John Noble		"1 ship [4 gun, 30 men]"	"sn [4 gun, 30 men]"	Marley 1 p 104 / Wright aa pp xlv-xlvi	"PA 32 num 17 [Cartas y expedientes de cabildos seculares: Nombre de Dios a 12 de septiembre de 1575; formerly Panama 32, 69-3-1, item no 756, ff 96-97, deposition of Alonso Gutierrez de Casas, Nombre de Dios 27 April 1575] /// CT 5168 [Libros de cartas para Su Majestad y Consejo a 1568-1608; formerly Contratacion 5168, 42-6-2/6, IV, f 216, House of Trade to Crown, Seville 22 June 1575, containing report by Vice-Adm. Francisco Carreño]"	Wright aa part 1 docs nos 32-33	"JUNE 1574. Learning that the English privateer John Noble is making captures with a 4-gun, 30-man ship off Escudo de Veraguas Island (Panama), Gov. Pedro Godinez Osorio orders 30 Spanish harquebusiers out of Nombre de Dios aboard a “rowing frigate.” Together with a brigantine and launch out of Con- cepción de Veragua, the force traps the interloper and kills or executes all its crew members except for 2 young boys, who are condemned to the galleys. /v Marley 1 p 104"																							
			1 Jan 1574				Horseley	"Gilbert Horseley’s 32 recently arrived English adventurers, who are aboard a 7-gun ship"		Gilbert Horseley		"1 ship [3-7 gun, 25-32 men]"	"sn [3-7 gun, 25-32 men]"	Marley 1 p 104 / Wright aa pp xlvi-xlviii / Williamson pp 297-299	"PA 32 num 17 [Cartas y expedientes de cabildos seculares: Nombre de Dios a 12 de septiembre de 1575; formerly Panama 32, 69-3-1, item no 756, depositions, Nombre de Dios April–May 1575] / PA 32 num 59 [Cartas y expedientes de cabildos seculares: Portobelo a Concepsión de Veragua a 13 de abril de 1575; formerly Panama 32, 69-3-1, item no 776, city of Veragua to Crown, 13 April 1575] / PA 29 ram 11 num 47 [CARTAS DE GOBERNADORES a Veragua a 3 de abril de 1575; formerly Panama 29, 69-2-39, leg 2.5 or 2(1/2), pliegos, Pedro Godinez Osorio, governor of Veragua, to Crown, Veragua 3 April 1575] /// PT 265 ram 26 [Instrucción a Alvaro Manrique de Lara: defesa Tierra Firme; formerly Patronato 265, 2-5-1/20, Audiencia to Alvaro Manrique de Lara, Panama 17 Feb. 1575]"	Wright aa part 1 docs nos 34-35	re Honduras leg cf Wright aa part 1 doc no 35																							
			1 Jan 1574				Silvestre	"The 20-gun, 120-man French privateer ship of Captain Silvestre attacks Concepción de Veragua (Panama)"		Silvestre		"1 ship [20 gun, 120 men]"	"sn [20 gun, 120 men]"	Marley 1 p 104 / Wright aa pp xlvi-xlviii	"PA 32 num 17 [Cartas y expedientes de cabildos seculares: Nombre de Dios a 12 de septiembre de 1575; formerly Panama 32, 69-3-1, item no 756, depositions, Nombre de Dios April–May 1575] /// PT 265 ram 26 [Instrucción a Alvaro Manrique de Lara: defesa Tierra Firme; formerly Patronato 265, 2-5-1/20, Audiencia to Alvaro Manrique de Lara, Panama 17 Feb. 1575]"																									
			1 Jan 1575					"algunos corsarios ingleses lograron llegar al lago Mar Dulce, en Nicaragua, luego de pasar por la boca del río San Juan en la costa caribeña de Veragua"						O Torres p 285	"GT 39 ram 8 num 22 f 4v [Carta de Diego López de Herrera, Puerto Caballos a 4 de abril de 1575]"																									
			1 Jan 1575					El 9 de mayo de 1575 dos zabras francesas pasaron frente a Trujillo y de ahí a Puerto Caballos; después de tomar algunas embarcaciones retornaron a Trujillo						O Torres p 287	"GT 39 ram 9 num 35 f 1r [Carta de Diego López, lugarteniente en Trujillo del gobernador de Honduras, Trujillo a 29 de diciembre de 1577]"																									
			1 Jan 1575				xxx Oxenham voyage	Este inglés zarpó de Plymouth con una nao de 140 toneladas y 70 hombres a bordo		John Oxenham				O Torres p 282 / L Zea p 131 / Carles p 160		Wright aa part 2 item no 2 pp 327-332	"LATE JUNE 1576. After departing England on April 19 and traversing the Lesser Antilles, Drake’s former subordinate, Capt. John Oxenham, reaches the Spanish Main west of Cartagena with his 11- gun, 57-man, 100-ton frigate. Concealing it along this shoreline, he then strikes west-southwestward aboard a captured Spanish frigate and two pinnaces to intercept coastal traffic visiting the annual plate- fleet fair at Nombre de Dios (Panama). SEPTEMBER 29, 1576. Oxenham transfers his En- glish frigate and two Spanish prizes with 18 prisoners to Pinos Island (north of Acla, Panama), leaving a 40-man anchor watch aboard while exploring inland with 12 men, guided by black cimarrón allies. During his two-week absence, Oxenham’s vessels are sur- prised and captured by a Spanish frigate and brigan- tine bearing 20 soldiers out of Nombre de Dios.All his men except a young French page escape ashore. LATE JANUARY 1577. Oxenham in the Pacific. After building a 24-oar launch, Oxenham rafts down the Chucunaque and Tuira rivers (eastern Panama) with 50 Englishmen and 10 cimarrón allies to gain the Gulf of San Miguel. His expedition then falls upon the offshore Pearl Islands by February 20 (Ash Wednesday), pillaging them over the next three weeks, as well as intercepting Spanish coastal traffic between Peru and Panama. /v Marley 1 pp 104-106"																							
			1 Jan 1576					"Ese año una fragata hispana peleó contra un bar- co corsario, en algún punto entre la ruta Cartagena-Nombre de Dios"						O Torres pp 287-288	"PA 13 ram 15 num 59 ff 1v-2r [Carta del doctor Salcedo Nieto, Nombre de Dios a 30 de julio de 1576]"																									
			1 Jan 1576				Barker cruise	"Otro inglés que recorrió las costas de Tierra Firme, Panamá y Guatemala fue el capitán Andrew Barker"		Andrew Barker	William Coxe / Philip Roche	2 ships [70 men]	Ragged Staffe / Beare	O Torres pp 284-285 / Marley 1 pp 105-107 / Wright aa pp xlviii-lix / Wright bb p 281	"SF 37 ram 5 num 19 [Pedro Fernandez de Busto a R, Cartagena a 19 de octubre de 1577; formerly Santa Fé 37, 72-4-6, Pedro Fernandez de Busto to Crown, Cartagena 19 Oct. 1577] /// GT 39 ram 9 num 42 [CARTAS DE GOBERNADORES a Santiago de Guatemala a 30 de marzo de 1580; formerly Guatemala 39, 75, 63-6-39, Alonso de Contreras Guevara to Crown, Santiago de Guatemala 30 March 1580] / GT 10 [Cartas y expedientes del Presidente y Oidores a 1574-1597; formerly Guatemala 10, 63-6-10]"	"Georget pp 118-125 = Hakluyt ??? / Wright aa part 2 item no 3 pp 333-338 / Wright aa part 1 docs nos 36, 41, 45-47, 49, 50, 55, 57, 59, 60, 65"	"Cited Hakluyt, 1904 (1586), vol. X, pp. 82-88; ??? ///LATE FEBRUARY 1578. After one of his two small vessels has capsized off Cape San Antonio (western Cuba), drowning 14 crew members, Cox returns to Honduras with 35 men for one final raid. /v Marley 1 p 107"																							
			1 Jan 1576				Oxenham cruise			John Oxenham	John Butler	1 ship	sn	Wright aa xlviii-lxiv		"Wright aa part 1 docs nos 37-40, 42-44, 48, 51-54, 56, 58, 61-64, 66-70 / Wright aa part 2 item no 4 / Hakluyt ??? = Wright aa part 2 item no 2"	"Cleared from England on 9 April 1576, in his own ship /v Wright aa p xlix"																							
			1 Jan 1577					"Diego López, lugarteniente del gobernador de Honduras, informó al rey que entre el río Caxi- nes, Veragua y la boca del río Chagres había corsarios a inicios de 1577"						O Torres p 288	"GT 39 ram 9 num 33 f 1v [Carta de Diego López, Trujillo a 10 de mayo de 1577]"																									
			1 Jan 1577					dos navíos ingleses es- tuvieron merodeando la costa atlántica de Panamá						O Torres pp 286-287	"PT 265 ram 18 f 1r [Declaración de Antonio Coyto, La Habana a 27 de noviembre 1572] /// PA 13 ram 12 num 47 ff 1r-v [Carta de la Real Audiencia de Panamá, Panamá a 12 de septiembre de 1572] / PA 33 num 92 f 1r [Carta de los oficiales reales de Panamá, Panamá a 25 de enero de 1573]"																									
			1 Jan 1577					"El cabildo de Panamá ordenó una expedición guiada por dos in- gleses, que fueron capturados, para hallar un par de lanchas, así como parte de la presa que habían hecho"						O Torres p 282	"PA 30 num 18 f 1r [Carta del cabildo de Panamá, Panamá a 7 de junio de 1577] / PA 13 ram 16 num 77 ff 1r-v [Carta de Gonzalo Núñez de Cerda, Panamá a 26 de septiembre de 1577]"																									
			1 Jan 1577					"En 1577, la Real Audiencia de Santo Domingo envió avisos a Cartagena de Indias y a Nombre de Dios sobre la existencia en La Yaguana de cinco galeones ingleses, con un aproximado de 1000 hombres; según la notificación, esta flota se dirigía a la boca del río Chagres"						O Torres p 286	"PA 13 ram 17 num 87 f 1r [Carta de la Real Audiencia de Panamá, Panamá a 28 de mayo de 1578]"																									
			1 Jan 1577					"Otra incursión inglesa cubrió desde Tierra Firme hasta Cuba, pasando por la costa centroamericana y Yucatán el capitán inglés Francisco de Acles, con dos navíos y 60 hombres"						O Torres pp 285-286 / O Torres aa p 104	"GT 39 ram 9 num 35 ff 1r-v [Carta de Diego López, Trujillo a 29 de diciembre de 1577] / GT 39 ram 9 num 36 f 1r [Carta de Diego López, Trujillo a 7 de enero de 1578] / GT 39 ram 9 num 38 ff 1r-v, 2v [Carta de Alonso de Contreras Guevara, Puerto Caballos a 12 de abril de 1578] / GT 39 ram 8 num 29 ff 3r-v [Carta de Diego López de Herrera, Comayagua a 5 de abril de 1578] / GT 39 ram 9 num 42 ff 1r-v [Carta de Alonso Contreras Guevara, Santiago de Guatemala a 30 de marzo de 1580] /// MX 359 ram 5 num 22 f 1r [Carta de Guillén de las Casas, Mérida a 2 de abril de 1579] /// PT 75 num 2 ram 1 [Testimonio de Juan Cano, Mérida a 9 de octubre de 1578]"																									
			1 Jan 1577					"otro grupo de 70 ingleses, poco más o menos, tomaron dos fragatas junto al desaguadero de Nicaragua"						O Torres pp 282-283	"PA 13 ram 16 num 77 f 1v [Carta de Gonzalo Núñez de Cerda, Panamá a 26 de septiembre de 1577] / PA 13 ram 17 num 80 f 1v [Carta de Gonzalo Núñez de la Cerda, Panamá a 22 de febrero de 1578]"																									
			1 Jan 1577					tres navíos y una fragata de corsarios franceses habían tomado una embarcación hispana en la costa norte de Yucatán						O Torres p 287 / O Torres pp 102-104	"PT 74 num 1 ram 12 [Probanza de Juan Bautista de Vargas, Valladolid a 7 de febrero de 1599] / PT 75 num 2 ram 1 [Testimonio de Juan Cano, Mérida a 9 de octubre de 1578]"																									
			1 Jan 1578					"En 1578, desde La Española fue enviado un aviso a la gobernación de Honduras: dos navíos corsarios estaban en Ocoa y, probablemente, acudirían a la costa de aquella gobernación"						O Torres p 288	"GT 39 ram 9 num 42 f 1v [Carta de Alonso Contreras Guevara, Santiago de Guatemala a 30 de marzo de 1580]"																									
			1 Jan 1580					En mayo de 1580 el gobernador de Honduras informó al rey que había corsa- rios en la costa de Yucatán						O Torres p 288	"GT 39 ram 9 num 44 f 1v [Carta de Diego López, Trujillo a 16 de mayo de 1580]"																									
		0	1 Jan 1585				Pirates settle Nicaragua							Williams p 54 / Levy p 37 / Bolanos sec supplement 3 p 5			"No evidence of settlement in Bolanos sec supplement 3 p 5, contrary to Williams p 54 /// los piratas, para vigilar este tráfico [marítimo], se establecieron en toda esta costa de la Tologalpa, que se llamaba costa de las Perlas. Instalaron una madriguera en la laguna de Perlas y otra en la de Blewfields, en 1589, siendo entonces gobernador D. Carlos de Arellano, sucessor de Chirinos [Edwards Bryan, History of the West Indies, tomo v.--Account of the British settlement on the Mosquito shore.--London, 1773] /v Levy p 37 / No evidence of 1589 settlement in Edwards 5 pp 202-214"																							
			1 Jan 1590					"una embarcación inglesa entró al puerto de Polé; más tarde, se atrincheraron en la isla Nizuc, en donde fueron capturados por españoles"						O Torres pp 320-321 / O Torres pp 105-106	"MX 2999 leg 4 ff 587r-v [Cédula real, Valencia a 27 de marzo de 1599] /// PT 56 num 4 ram 2 ff 3r-4v [Petición de Juan de Contreras, Mérida a 17 de diciembre de 1610] / PT 80 num 1 ram 1 ff 22r-v, 24r [Probanza de Alonso Sánchez de Aguilar, Valladolid a 24 de enero de 1591] /// AGN INQ 150 exp 3 f 78r [Proceso contra Maestre Nicolao de Alunes, Polé a 6 de marzo de 1590]"		"Fase Golfo-Caribe, la Conformación Espacial de la Actividad Corsaria, 1585-1620 Totales por subregión de las entradas corsarias = 31 Guatemala, 8 Yucatán, 7 Panamá, 164 Total General /v O Torres p 339"																							
			1 Jan 1592				Newport’s Sweep	"capitán Cristóbal Newport, quien arribó a costas hondureñas en 1592"		Christopher Newport	Robert Keble / Hugh Merrick / John Paul / Robert Thread / James Bragge / Henry Kedgell / Cuthbert Grippe	"4 ships [300 tn, 200 men]"	Golden Dragon [150 tn] / Prudence [70 tn] / Margaret [50 tn] / Virgin [30 tn]	O Torres p 321 / Marley 1 pp 124-126 / Wright bb pp lxxxviii-lxxxix	"ES 364B pieza 48 f 8r [Cabeza de proceso, Trujillo a 15 de julio de 1592] / ES 364B pieza 48 f 9r [Testimonio de Nicolás Martín, Trujillo a 15 de julio de 1592]"	Wright bb doc no 89  / Hakluyt ???	re Honduras leg cf Wright bb doc no 89																							
