Sheet 1: Table 1
Start	Type	Subtype	Description	Source for multiplier
1894	Anthropological	Riot	Riots by police force & forestry workmen	
1905	Biological	Outbreak	Outbreak of yellow fever	
1914	Anthropological	Engagement	WWI	
1918	Technological	Fire	Fire	
1918	Biological	Outbreak	Outbreak of Spanish flu	
1921	Biological	Outbreak	Outbreak of yellow fever	
1931	Technological	Fire	Fire	
1931	Natural	Storm	Landfall of unnamed 1931 hurricane	
1932	Technological	Fire	Fire; $250000 USD lost	
1939	Anthropological	Engagement	WWII	
1950	Anthropological	Riot	Riots	
1953	Technological	Fire	Fire; $1 m USD damage	
1955	Natural	Storm	Close passage of Hurricane Janet	
1961	Natural	Storm	Landfall of Hurricane Hattie	
1974	Natural	Storm	Close passage of Hurricane Carmen	
1978	Natural	Storm	Landfall of Hurricane Greta	
1981	Anthropological	Riot	Riots	
1986	Biological	Outbreak	Outbreak of HIV / AIDS	
1998	Natural	Storm	Close passage of Hurricane Mitch	
2000	Natural	Storm	Landfall of Hurricane Keith	
2001	Natural	Storm	Landfall of Hurricane Iris	
2005	Natural	Storm	Close passage of Hurricane Gamma	
2008	Natural	Flooding	Flash flooding in Stann Creek caused by Hurricane Arthur	
2008	Natural	Storm	Landfall of Hurricane Arthur	
2009	Biological	Outbreak	Outbreak of swine flu	
2010	Natural	Storm	Landfall of Hurricane Richard	
2017	Anthropological	Wreck	"Detonation of grenade in San Pedro, AC"	
2019	Biological	Outbreak	Outbreak of COVID-19	
Start	Type	Subtype		


Sheet 1-1: Table 1
						
						


Sheet 1-1-1: Table 1
						
						


Sheet 1-1-1-1: Table 1
						
						
