Table 1
Symbol	Description	Begin	End	Periodicity	Country	Currency	Series Type	GFD Sector	Units	Scale	Sector	Industry	Equity Type	Exchange	Has Access
NY.GNP.ATLS.CD.BLZ	"Belize GNI, Atlas method (current US$)"	12-31-1962	12-31-2017	"Annual From Dec 1962 To Dec 2017, "	BELIZE	USD	National Account Aggregates	National Accounts	National Currency	Millions					1
NY.GSR.NFCY.CD.BLZ	Belize Net income from abroad (current US$)	12-31-1960	12-31-2017	"Annual From Dec 1960 To Dec 2017, "	BELIZE	USD	National Account Aggregates	National Accounts	National Currency	Thousands					1
NY.TAX.NIND.KN.BLZ	Belize Net taxes on products (constant LCU)	12-31-1970	12-31-2018	"Annual From Dec 1970 To Dec 2018, "	BELIZE	BZD	National Account Aggregates	National Accounts	National Currency	Thousands					1
FS.AST.CGOV.GD.ZS.BLZ	"Belize Claims on central government, etc. (% GDP)"	12-31-1976	12-31-2017	"Annual From Dec 1976 To Dec 2017, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
NY.GSR.NFCY.CN.BLZ	Belize Net income from abroad (current LCU)	12-31-1960	12-31-2017	"Annual From Dec 1960 To Dec 2017, "	BELIZE	BZD	National Account Aggregates	National Accounts	National Currency	Thousands					1
SP.POP.TOTL.FE.ZS.BLZ	"Belize Population, female (% of total)"	12-31-1960	12-31-2017	"Annual From Dec 1960 To Dec 2017, "	BELIZE	XXX	Population	Development	Percentage	Units					1
DT.INT.MLAT.CD.BLZ	"Belize PPG, multilateral (INT, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Thousands					1
DT.DIS.PRVT.CD.BLZ	"Belize PPG, private creditors (DIS, current US$)"	12-31-1970	12-31-2016	"Annual From Dec 1970 To Dec 2016, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Thousands					1
NY.GDP.MKTP.PP.CD.BLZ	"Belize GDP, PPP (current international $)"	12-31-1980	12-31-2017	"Annual From Dec 1980 To Dec 2017, "	BELIZE	USD	National Account Aggregates	National Accounts	National Currency	Millions					1
SP.POP.0014.TO.ZS.BLZ	Belize Population ages 0-14 (% of total)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	XXX	Population	Development	Percentage	Units					1
BX.KLT.DINV.WD.GD.ZS.BLZ	"Belize Foreign direct investment, net inflows (% of GDP)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	XXX	Balance of Payments	International Trade	Percentage	Units					1
SE.SEC.AGES.BLZ	Belize Secondary school starting age (years)	12-31-1970	12-31-2019	"Annual From Dec 1970 To Dec 2019, "	BELIZE	XXX	Education	Development	Years	Units					1
SP.POP.1564.TO.ZS.BLZ	Belize Population ages 15-64 (% of total)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	XXX	Population	Development	Percentage	Units					1
SP.POP.TOTL.BLZ	"Belize Population, total"	12-31-1960	12-31-2017	"Annual From Dec 1960 To Dec 2017, "	BELIZE	XXX	Population	Development	Units	Thousands					1
NV.IND.MANF.KD.BLZ	"Belize Manufacturing, value added (constant 2000 US$)"	12-31-1970	12-31-2016	"Annual From Dec 1970 To Dec 2016, "	BELIZE	USD	National Accounts - Value Added	National Accounts	National Currency	Millions					1
NV.AGR.TOTL.KD.BLZ	"Belize Agriculture, value added (constant 2000 US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	National Accounts - Value Added	National Accounts	National Currency	Millions					1
SP.POP.DPND.OL.BLZ	"Belize Age dependency ratio, old (% of working-age population)"	12-31-1960	12-31-2017	"Annual From Dec 1960 To Dec 2017, "	BELIZE	XXX	Population	Development	Percentage	Units					1
DT.AMT.MLAT.CD.BLZ	"Belize PPG, multilateral (AMT, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Thousands					1
SE.PRM.DURS.BLZ	"Belize Primary education, duration (years)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	XXX	Education	Development	Years	Units					1
NV.AGR.TOTL.KN.BLZ	"Belize Agriculture, value added (constant LCU)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	BZD	National Accounts - Value Added	National Accounts	National Currency	Millions					1
BX.KLT.DINV.CD.WD.BLZ	"Belize Foreign direct investment, net inflows (BoP, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Thousands					1
NV.IND.MANF.KN.BLZ	"Belize Manufacturing, value added (constant LCU)"	12-31-1970	12-31-2016	"Annual From Dec 1970 To Dec 2016, "	BELIZE	BZD	National Accounts - Value Added	National Accounts	National Currency	Millions					1
DT.INT.PCBK.CD.BLZ	"Belize PPG, commercial banks (INT, current US$)"	12-31-1970	12-31-2016	"Annual From Dec 1970 To Dec 2016, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Thousands					1
NV.SRV.TETC.KD.BLZ	"Belize Services, etc., value added (constant 2000 US$)"	12-31-1970	12-31-2015	"Annual From Dec 1970 To Dec 2015, "	BELIZE	USD	National Accounts - Value Added	National Accounts	National Currency	Millions					1
DT.AMT.PRVT.CD.BLZ	"Belize PPG, private creditors (AMT, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Debt - Government	Government and Debt	National Currency	Thousands					1
FM.AST.DOMS.CN.BLZ	Belize Net domestic credit (current LCU)	12-31-1976	12-31-2018	"Annual From Dec 1976 To Dec 2018, "	BELIZE	BZD	Financial Sector	Economic	National Currency	Millions					1
DT.DIS.PCBK.CD.BLZ	"Belize PPG, commercial banks (DIS, current US$)"	12-31-1970	12-31-2016	"Annual From Dec 1970 To Dec 2016, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Thousands					1
SP.POP.65UP.TO.ZS.BLZ	Belize Population ages 65 and above (% of total)	12-31-1960	12-31-2018	"Annual From Dec 1960 To Dec 2018, "	BELIZE	XXX	Population	Development	Percentage	Units					1
NV.IND.TOTL.KN.BLZ	"Belize Industry, value added (constant LCU)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	BZD	National Accounts - Value Added	National Accounts	National Currency	Millions					1
NV.SRV.TETC.KN.BLZ	"Belize Services, etc., value added (constant LCU)"	12-31-1970	12-31-2015	"Annual From Dec 1970 To Dec 2015, "	BELIZE	BZD	National Accounts - Value Added	National Accounts	National Currency	Millions					1
NV.SRV.TETC.KD.ZG.BLZ	"Belize Services, etc., value added (annual % growth)"	12-31-1971	12-31-2015	"Annual From Dec 1971 To Dec 2015, "	BELIZE	XXX	National Accounts - Value Added	National Accounts	Percent Per Annum	Units					1
NY.GDP.FCST.KD.BLZ	Belize Gross value added at factor cost (constant 2000 US$)	12-31-1970	12-31-2018	"Annual From Dec 1970 To Dec 2018, "	BELIZE	USD	National Account Aggregates	National Accounts	National Currency	Millions					1
FM.LBL.BMNY.IR.ZS.BLZ	Belize Broad money to total reserves ratio	12-31-1976	12-31-2018	"Annual From Dec 1976 To Dec 2018, "	BELIZE	XXX	Monetary Aggregates	Economic	Ratio	Units					1
FM.LBL.MQMY.CN.BLZ	Belize Money and quasi money (M2) (current LCU)	12-31-1976	12-31-2013	"Annual From Dec 1976 To Dec 2013, "	BELIZE	BZD	Monetary Aggregates	Economic	National Currency	Millions					1
DT.INT.PRVT.CD.BLZ	"Belize PPG, private creditors (INT, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Debt - Government	Government and Debt	National Currency	Thousands					1
NY.GDP.PCAP.PP.KD.BLZ	"Belize GDP per capita, PPP (constant 2005 international $)"	12-31-1980	12-31-2017	"Annual From Dec 1980 To Dec 2017, "	BELIZE	USD	National Account Aggregates	National Accounts	National Currency	Thousands					1
FM.AST.PRVT.ZG.M3.BLZ	Belize Claims on private sector (annual growth as % of broad money)	12-31-1977	12-31-2018	"Annual From Dec 1977 To Dec 2018, "	BELIZE	XXX	Financial Sector	Economic	Percent Per Annum	Units					1
FS.AST.DOMS.GD.ZS.BLZ	Belize Domestic credit provided by banking sector (% of GDP)	12-31-1976	12-31-2018	"Annual From Dec 1976 To Dec 2018, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
SE.SEC.DURS.BLZ	"Belize Secondary education, duration (years)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	XXX	Education	Development	Years	Units					1
BN.GSR.FCTY.CD.BLZ	"Belize Net income (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
BM.GSR.INSF.ZS.BLZ	"Belize Insurance and financial services (% of service imports, BoP)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	XXX	Balance of Payments	International Trade	Percentage	Units					1
BN.CAB.XOKA.GD.ZS.BLZ	Belize Current account balance (% of GDP)	12-31-1984	12-31-2018	"Annual From Dec 1984 To Dec 2018, "	BELIZE	XXX	Balance of Payments	International Trade	Percentage	Units					1
TDGXBLZM	Belize Export of Goods	12-31-1914	04-30-2018	"Annual From Dec 1914 To Oct 1983, Monthly From Nov 1983 To Apr 2018, "	BELIZE	USD	Exports and Imports	International Trade	National Currency	Millions					1
BX.GSR.TRAN.ZS.BLZ	"Belize Transport services (% of service exports, BoP)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	XXX	Balance of Payments	International Trade	Percentage	Units					1
NY.GNP.PCAP.PP.CD.BLZ	"Belize GNI per capita, PPP (current international $)"	12-31-1980	12-31-2017	"Annual From Dec 1980 To Dec 2017, "	BELIZE	USD	National Account Aggregates	National Accounts	National Currency	Thousands					1
FS.AST.PRVT.GD.ZS.BLZ	Belize Domestic credit to private sector (% of GDP)	12-31-1976	12-31-2018	"Annual From Dec 1976 To Dec 2018, "	BELIZE	XXX	Financial Sector	Economic	Percentage	Units					1
FM.AST.CGOV.ZG.M3.BLZ	Belize Claims on central government (annual growth as % of broad money)	12-31-1977	12-31-2018	"Annual From Dec 1977 To Dec 2018, "	BELIZE	XXX	Financial Sector	Economic	Percent Per Annum	Units					1
FM.LBL.MQMY.ZG.BLZ	Belize Money and quasi money growth (annual %)	12-31-1977	12-31-2013	"Annual From Dec 1977 To Dec 2013, "	BELIZE	XXX	Monetary Aggregates	Economic	Percent Per Annum	Units					1
FM.LBL.MQMY.IR.ZS.BLZ	Belize Money and quasi money (M2) to total reserves ratio	12-31-1976	12-31-2013	"Annual From Dec 1976 To Dec 2013, "	BELIZE	XXX	Monetary Aggregates	Economic	Ratio	Units					1
FM.LBL.MQMY.GD.ZS.BLZ	Belize Money and quasi money (M2) as % of GDP	12-31-1976	12-31-2013	"Annual From Dec 1976 To Dec 2013, "	BELIZE	XXX	Monetary Aggregates	Economic	Percentage	Units					1
FI.RES.TOTL.CD.BLZ	"Belize Total reserves (includes gold, current US$)"	12-31-1976	12-31-2017	"Annual From Dec 1976 To Dec 2017, "	BELIZE	USD	International Liquidity	International Trade	National Currency	Millions					1
FM.LBL.MONY.CN.BLZ	Belize Money (current LCU)	12-31-1976	12-31-2013	"Annual From Dec 1976 To Dec 2013, "	BELIZE	BZD	Monetary Aggregates	Economic	National Currency	Millions					1
SE.PRM.AGES.BLZ	Belize Primary school starting age (years)	12-31-1970	12-31-2019	"Annual From Dec 1970 To Dec 2019, "	BELIZE	XXX	Education	Development	Units	Units					1
FXRBLZM	Belize Total Foreign Exchange Reserves Excluding Gold	12-31-1976	12-31-2018	"Monthly From Dec 1976 To Dec 2018, "	BELIZE	USD	International Liquidity	International Trade	National Currency	Millions					1
FM.LBL.BMNY.ZG.BLZ	Belize Broad money growth (annual %)	12-31-1977	12-31-2018	"Annual From Dec 1977 To Dec 2018, "	BELIZE	XXX	Monetary Aggregates	Economic	Percentage	Units					1
NY.GDP.PCAP.PP.CD.BLZ	"Belize GDP per capita, PPP (current international $)"	12-31-1980	12-31-2017	"Annual From Dec 1980 To Dec 2017, "	BELIZE	USD	National Account Aggregates	National Accounts	National Currency	Thousands					1
NY.GNP.MKTP.PP.CD.BLZ	"Belize GNI, PPP (current international $)"	12-31-1980	12-31-2017	"Annual From Dec 1980 To Dec 2017, "	BELIZE	USD	National Account Aggregates	National Accounts	National Currency	Millions					1
NY.GDP.MKTP.PP.KD.BLZ	"Belize GDP, PPP (constant 2005 international $)"	12-31-1980	12-31-2017	"Annual From Dec 1980 To Dec 2017, "	BELIZE	USD	National Account Aggregates	National Accounts	National Currency	Millions					1
BN.KLT.DINV.CD.BLZ	"Belize Foreign direct investment, net (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
BX.GSR.CMCP.ZS.BLZ	"Belize Communications, computer, etc. (% of service exports, BoP)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	XXX	Balance of Payments	International Trade	Percentage	Units					1
EN.FSH.THRD.NO.BLZ	"Belize Fish species, threatened"	12-31-2010	12-31-2017	"Annual From Dec 2010 To Dec 2017, "	BELIZE	XXX	Environment	Development	Units	Units					1
IC.TAX.PAYM.BLZ	Belize Tax payments (number)	12-31-2005	12-31-2019	"Annual From Dec 2005 To Dec 2019, "	BELIZE	XXX	Private Sector	Development	Units	Units					1
TDGMBLZM	Belize Imports of Goods	12-31-1914	04-30-2018	"Annual From Dec 1914 To Apr 1983, Monthly From May 1983 To Apr 2018, "	BELIZE	USD	Exports and Imports	International Trade	National Currency	Millions					1
BM.TRF.PRVT.CD.BLZ	"Belize Private current transfers, payments (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency  	Millions					1
FI.RES.TOTL.MO.BLZ	Belize Total reserves in months of imports	12-31-1984	12-31-2018	"Annual From Dec 1984 To Dec 2018, "	BELIZE	XXX	International Liquidity	International Trade	Months	Units					1
BN.KLT.PTXL.CD.BLZ	"Belize Portfolio investment, excluding LCFAR (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Thousands					1
BN.TRF.KOGT.CD.BLZ	"Belize Net capital account (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
DT.INT.PBND.CD.BLZ	"Belize PPG, bonds (INT, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Millions					1
DT.INT.DPNG.CD.BLZ	"Belize Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)"	12-31-1970	12-31-2017	"Annual From Dec 1970 To Dec 2017, "	BELIZE	USD	Debt - External	Government and Debt	National Currency	Thousands					1
BN.KAC.EOMS.CD.BLZ	"Belize Net errors and omissions, adjusted (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Thousands					1
BX.GSR.TOTL.CD.BLZ	"Belize Exports of goods, services and income (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
BX.GSR.GNFS.CD.BLZ	"Belize Exports of goods and services (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
BN.GSR.MRCH.CD.BLZ	"Belize Net trade in goods (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
BN.CAB.XOKA.CD.BLZ	"Belize Current account balance (BoP, current US$)"	12-31-1984	12-31-2017	"Annual From Dec 1984 To Dec 2017, "	BELIZE	USD	Balance of Payments	International Trade	National Currency	Millions					1
