Introduction: Table 1
												
												
												
	0	Collection of collection sources										
		Import from collection sources in manuscript projects by Navidad	finished 4 Aug 2022	139 new unique records								
		Query in TNA Discovery for honduras or hondur* to 1799	finished 4 Aug 2022	no new records								
		Query in TNA Discovery for honduras or hondur* to 1899	finished 4 Aug 2022	vars new unique records								
		Query in FranceArchives for honduras or campeche to 1849	finished 4 Aug 2022	vars new unique records								
		Query in Archieven.nl for hondur* or campec* or campel* or campes* to 1799	finished 5 Aug 2022	no new records								
		Query in Openarch.nl - Transcriptions for hondur* or campec* or campel* or campes* to 1799	finished 5 Aug 2022	no new records								
		Query in Doorzoek koloniale archieven dekok.xyz for hondur* or campec* etc to 1799	finished 5 Aug 2022	no new records								
		Query in ProQuest Archive Finder for logwood etc to 1799	finished 5 Aug 2022	vars new unique records								
		Query in OAIster for logwood etc to 1799	could not query due to technical malfunctions on 5 Aug 2022									
		Query in ArchiveGrid for logwood etc to 1799										
												
		Note - could not categorise S 153 [Harv Digital Collection] as being compilation of pamphlets from vars Harvard repositories on 6 AUG 2022										
		Note - could not categorise S 407 [Metzgen personal property] as being private on 6 AUG 2022										


Collections: Table 1
	ver_1.4_ids_	collections_	country_	district_	url_	cat_0_	directory_0_	directory_1_	directory_2_	directory_3_	notes_					
	S 95 / S 97 / S 449	of the Secretaría de la Cultura y las Artes > Centro de Apoyo a la Investigación Histórica y Literaria de Yucatán ie Biblioteca Yucatanense ie Biblioteca Crescencio Carillo y Ancona y Hemeroteca José María Pino Suárez ie Instituto de Antropología e Historia de Yucatán ie Museo Arqueológico e Histórico de Yucatán in Merida Mexico	Mexico	Yucatan	-^-	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=54859	https://inba.gob.mx/recinto/658	^^^	^^^	"possibly tel 999 9231180 email caihly.sistemadecitas@gmail.com [via 6 Dec 2021 publication on Twitter by SEDECULTURA at https://twitter.com/SedecultaYuc/status/1467841262086762496?s=20&t=kUSMxtG1OqyGAxIr7tNgwg] /// CAIHY est Dec 1993 /v P Alcocer p 280 / Biblioteca Crescencio Carillo y Ancona est 12 Oct 1938 as Museo Arqueológico e Histórico de Yucatán /v P Alcocer pp 268-269 / el CAIHY reunió en un mismo lugar a la Hemeroteca José María Pino Suárez y a la Biblioteca Crescencia Carrillo y Ancona /v P Alcocer p 280 / el CAIHY presenta la Biblioteca Virtual de Yucatán en Dec 2007 /v P Alcocer p 283 / a mediados del año 2012 se traslado el acervo del CAIHY al edificio que perteneció al Diaro del Sureste y se inauguró la Biblioteca Yucatanense /v P Alcocer p 285 / la Biblioteca Yucatanense dejó de existir en el primer trimestre del 2019 nemobrada Centro de Apoyo a la Investigación Histórica y Literaria de Yucatán /v P Alcocer 286 /// possibly see bound volume entitled Historia de la bibliotecas en Yucatán by Surya Peniche de Sánchez MacGregor [México, Programa Nacional de Bibliotecas Públicas, 1992] /v P Alcocer p 269 / possibly see investigación por Campos García, Mena Novelo y Pérez Figueroa sobre biblioteca personal de José María Velázquez [2013] ie bound volume entitled La biblioteca regalista de un ""peligroso novador"" [México, Plaza y Valdés Universidad Autónoma de Yucatán, 2013], y acercamiento de Luis Santiago Pacheco al estudio de las colecciones personales durante el siglo XIX [2010] in bound volume by Mario Humberto Ruz y Adam T Sellen entitled Las vitrinas de la memoria los entresijos del olvido [Mérida, Universidad Nacional Autónoma de México, 2010] /v P Alcocer p 270 / possibly see journal entitled Boletín de Bibliografía Yucateca [1938-1943] /v P Alcocer p 274 / possibly see bound volume by Edgar A Santiago Pacheco, Flor I López Bates y Jorge Luis López Mendoza entitled La Biblioteca Crescencio Carrillo y Ancona los años heroicos [Mérida, ICY, 2008] /v P Alcocer p 270"					
	S 1	of the Secretaría de Relaciones Exteriores > Acervo Histórico Diplomático > Archivo Histórico Genaro Estrada in Mexico Mexico	Mexico	Ciudad de Mexico	https://portales.sre.gob.mx/acervo/index.php	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=47917	http://sic.gob.mx/ficha.php?table=archivo&table_id=204	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=54839	https://archivosiberoamericanos.org/directorio-archivos/	guías at https://portales.sre.gob.mx/acervo/catalogos-electronicos?id=213					
	S 93	of the Universidad Nacional Autónoma de México > Biblioteca Nacional de México in Mexico Mexico	Mexico	Ciudad de Mexico	https://bnm.iib.unam.mx	https://bnm.iib.unam.mx/index.php/biblioteca-nacional-de-mexico/servicios/recursos-digitales-y-catalogos	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=54776	^^^	^^^	^^^	^^^					
	S 163	of the Universidad Nacional Autónoma de México > Hemeroteca Nacional de México in Mexico Mexico	Mexico	Ciudad de Mexico	https://hnm.iib.unam.mx/index.php/hemeroteca-nacional-de-mexico	https://hnm.iib.unam.mx/index.php/hemeroteca-nacional-de-mexico/servicios/recursos-digitales-y-catalogos	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=54993	^^^	^^^	^^^	^^^					
	-^-	of the El Colegio de México > Biblioteca Daniel Cosío Villegas in Mexico Mexico	Mexico	Ciudad de Mexico	https://biblioteca.colmex.mx/es/	https://biblioteca.colmex.mx/es/pages/colecciones	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Universidad Nacional Autónoma de México > Archivo Histórico in Mexico Mexico	Mexico	Ciudad de Mexico	http://www.iisue.unam.mx	http://www.ahunam.unam.mx	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Universidad Autónoma de Yucatán > Biblioteca Central Universitaria in Merida Mexico	Mexico	Yucatan	https://www.bibliotecas.uady.mx/	https://www.bibliotecas.uady.mx/index.php	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Biblioteca Digital Mexicana ie BDMx in Mexico Mexico	Mexico	Ciudad de Mexico	http://bdmx.mx	http://bdmx.mx	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Secretaría de Cultura > Todo Cultura ie Sitios Web y Aplicaciones in Mexico Mexico	Mexico	Ciudad de Mexico	https://todo.cultura.gob.mx	https://todo.cultura.gob.mx	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Secretaría de la Cultura y las Artes > Biblioteca Pública Central Estatal ie Biblioteca Manuel Cepeda Perazain in Merida Mexico	Mexico	Yucatan	http://www.cultura.yucatan.gob.mx/recinto/ver/15	-^-	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Biblioteca Palafoxiana in Puebla Mexico	Mexico	Puebla	http://www.palafoxiana.com/	http://www.palafoxiana.com/	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Secretaría de Cultura > Biblioteca de México ie Biblioteca José Vasconcelos in Mexico Mexico	Mexico	Ciudad de Mexico	http://www.bibliotecademexico.gob.mx/	-^-	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Secretaría de Cultura > Instituto Nacional de Antropología e Historia > Biblioteca Nacional de Antropología e Historia ie Biblioteca Dr Eusebio Dávalos Hurtado in Mexico Mexico	Mexico	Ciudad de Mexico	https://www.inah.gob.mx/academia/red-de-bibliotecas-inah	https://www.bnah.inah.gob.mx/publico/index.php	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Secretaría de Cultura > Archivo Histórico de la Ciudad de México ie Archivo Carlos de Sigüenza y Góngora in Mexico Mexico	Mexico	Ciudad de Mexico	https://www.cultura.cdmx.gob.mx/recintos/archivo-historico	-^-	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Digitale Bibliotheek voor de Nederlandse Letteren ie DBNL in Leiden Netherlands	Netherlands	Noord-Holland	https://www.dbnl.org	https://www.dbnl.org	^^^	^^^	^^^	^^^	based in Leiden per vars univ catalogues					
	-^-	of the European Union > European Commission > Connecting Europe Facility > Europeana in Hague Netherlands	Netherlands	Zuid-Holland	https://www.europeana.eu/en	https://www.europeana.eu/en	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Koninklijke Bibliotheek > Online ie Nationale Bibliotheek > Online in Hague Netherlands	Netherlands	Zuid-Holland	https://www.kb.nl/zoeken/digitale-bronnen	https://www.kb.nl/zoeken/digitale-bronnen	^^^	^^^	^^^	^^^	inc Delpher					
	S 195	of the Koninklijke Bibliotheek ie Nationale Bibliotheek in Hague Netherlands	Netherlands	Zuid-Holland	https://www.kb.nl/en	https://www.kb.nl/en/research-find	^^^	^^^	^^^	^^^	^^^					
	S 219 / S 221	of the Nationaal Archief in Hague Netherlands	Netherlands	Zuid-Holland	https://www.nationaalarchief.nl/en	https://www.nationaalarchief.nl/en/research	https://www.archivesportaleurope.net/es/directory/-/dir/ai/code/NL-HaNA	^^^	^^^	^^^	^^^					
	S 353	of the Stadsarchief Amsterdam in Amsterdam Netherlands	Netherlands	Noord-Holland	https://archief.amsterdam	https://archief.amsterdam	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Archives Portal Europe Foundation > Archives Portal Europe in Hague Netherlands	Netherlands	Zuid-Holland	http://www.archivesportaleuropefoundation.eu	https://www.archivesportaleurope.net	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Archivo General de la Nación in Managua Nicaragua	Nicaragua	Managua	https://www.inc.gob.ni/bibliotecas-y-archivos/	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=47325	https://ilamdir.org/recurso/7747/archivo-general-de-la-nación	^^^	^^^	tel (505) 2222-2722. También por e-mail archivogeneraldenic@gmail.com. Para conocer más de la institución visite su sitio web www.inc.gob.ni /v Silva p 449					
	-^-	of the Universidad Centroamericana > Instituto de Historia de Nicaragua y Centroamérica > Biblioteca Álvaro Argüello Hurtado SJ in Managua Nicaragua	Nicaragua	Managua	http://ihnca.edu.ni	http://catalogo.ihnca.edu.ni/cgi-bin/koha/opac-main.pl	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Universidad Centroamericana > Instituto de Historia de Nicaragua y Centroamérica > Colecciones Especiales ie Centro de Documentación Histórica in Managua Nicaragua	Nicaragua	Managua	http://ihnca.edu.ni	-^-	https://ilamdir.org/recurso/287/archivo-del-instituto-de-historia-de-nicaragua	^^^	^^^	^^^	guide at http://www.ihnca.edu.ni/ce_inicio					
	S 91	of the Biblioteca Nacional de España in Madrid Spain	Spain	Comunidad de Madrid	https://www.bne.es/es	https://www.bne.es/es/catalogos	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=1725792	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=1698821	^^^	^^^	^^^					
	S 47 / S 49 / S 51 / S 53 / S 55 / S 57 / S 59 / S 61 / S 63 / S 65 / S 67 / S 423	of the Ministerio de Cultura y Deporte > Archivos > General de Indias in Seville Spain	Spain	Andalusia	https://www.culturaydeporte.gob.es/cultura/areas/archivos/mc/archivos/agi/portada.html	https://pares.culturaydeporte.gob.es/inicio.html	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=10	https://www.archivesportaleurope.net/es/directory/-/dir/ai/code/ES-41091-AGI10	^^^	^^^	vars guides at https://www.culturaydeporte.gob.es/cultura/archivos/recursos-profesionales/guias.html /// review at http://dissertationreviews.org/general-archive-of-the-indies-seville/					
	S 73 / S 75 / S 77 / S 79	of the Ministerio de Cultura y Deporte > Archivos > Archivo General de Simancas in Valladolid Spain	Spain	Castilla y León	https://www.culturaydeporte.gob.es/cultura/areas/archivos/mc/archivos/ags/portada.html	https://pares.culturaydeporte.gob.es/inicio.html	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=2	https://www.archivesportaleurope.net/es/directory/-/dir/ai/code/ES-47161-AGS2	^^^	^^^	^^^					
	S 83	of the Ministerio de Cultura y Deporte > Archivos > Archivo Histórico Nacional in Madrid Spain	Spain	Comunidad de Madrid	https://www.culturaydeporte.gob.es/cultura/areas/archivos/mc/archivos/ahn/portada.html	https://pares.culturaydeporte.gob.es/inicio.html	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=9	https://www.archivesportaleurope.net/es/directory/-/dir/ai/code/ES-28079-AHN9	^^^	^^^	^^^					
	-^-	of the Ministerio de Cultura y Deporte > Archivos > Bases de Datos in Madrid Spain	Spain	Comunidad de Madrid	https://www.culturaydeporte.gob.es/cultura/archivos/portada.html	https://www.culturaydeporte.gob.es/cultura/archivos/bases-de-datos.html	^^^	^^^	^^^	^^^	^^^					
	-^-	"of the Ministerio de Cultura y Deporte > Bibliotecas > Bases de Datos, Servicios y Bibliotecas Digitales in Madrid Spain"	Spain	Comunidad de Madrid	https://www.culturaydeporte.gob.es/cultura/bibliotecas/portada.html	https://www.culturaydeporte.gob.es/cultura/bibliotecas/portada.html	^^^	^^^	^^^	^^^	inc Servicios y catálogos de Bibliotecas Públicas at https://www.culturaydeporte.gob.es/cultura/bibliotecas/servicios-y-catalogos-de-bibliotecas-publicas.html / inc Patrimonio Bibliográfico at https://www.culturaydeporte.gob.es/cultura/bibliotecas/patrimonio-bibliografico.html / inc Bibliotecas digitales at https://www.culturaydeporte.gob.es/cultura/bibliotecas/bibliotecas-digitales.html					
	S 217	of the Ministerio de Defensa > Patrimonio Cultural de Defensa > Archivo del Museo Naval in Madrid Spain	Spain	Comunidad de Madrid	https://patrimoniocultural.defensa.gob.es/es/centros/archivo-museo-naval/portada	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=49308	^^^	^^^	^^^	^^^					
	-^-	of the Ministerio de Defensa > Patrimonio Cultural de Defensa > Archivo General de Marina ie Archivo Álvaro de Bazán in Ciudad Real Spain	Spain	Castilla-La Mancha	https://patrimoniocultural.defensa.gob.es/en/centros/archivo-marina-alvaro-bazan/portada	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=49348	^^^	^^^	^^^	^^^					
	S 331	of the Patrimonio Nacional > Palacio Real > Real Biblioteca in Madrid Spain	Spain	Comunidad de Madrid	https://www.patrimonionacional.es/en/coleccion/real-biblioteca	https://realbiblioteca.es	^^^	^^^	^^^	^^^	guía at https://realbiblioteca.es/coleccionesrb					
	S 325 / S 327 / S 329	of the Real Academia de la Historia > Biblioteca in Madrid Spain	Spain	Comunidad de Madrid	https://www.rah.es/biblioteca/	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=37148	^^^	^^^	^^^	^^^					
	-^-	of the Universidad de Alicante > Centro de Humanidades Digitales > Biblioteca Virtual Miguel de Cervantes in San Vicente del Raspeig Spain	Spain	Comunidad Valenciana	https://www.cervantesvirtual.com/centro/	https://www.cervantesvirtual.com	^^^	^^^	^^^	^^^	^^^					
	S 393	of the University of the West Indies > St Augustine > Alma Jordan Library in St Augustine Trinidad and Tobago	Trinidad and Tobago	Tunapuna–Piarco	https://libraries.sta.uwi.edu/ajl/	-^-	https://discovery.nationalarchives.gov.uk/details/a/A13530503	^^^	^^^	^^^	^^^					
