28 Aug 1864	Gales		Sailors	Glover’s			"1 brig, 3 barks, 1 drugger lost"										Times-Picayune XXVIII 189 New Orleans 1864 p ?		
15 Sep 1864	Flood			Belize R.			300 cattle destroyed = $30*300 loss										New York Herald 10296 NYC 1864 p ?		
1 Jun 1865	Outbreak		Immigrants	New R.	Yellow fever	c 68 deaths among Chinese of Fever	?									CP 3812 p 14	Sir J.A. Burdon Archives 3 p 313		
27 Apr 1866	Raid	Icaiche		Qualm Hill [Bravo R.]	"Icaiche War, Raid on Qualm Hill"	1 logger killed … 2 loggers shot down [Colonist]	"1,274.5L for Indian raid expenditure"	"72 residents imprisoned to 1 Jul 66 = $3,000 ransom + bribes"	"$42,510 damages"	seizure of cattle in San Pedro [OW] by Qualm Hill loggers						CP 3995 p 11	"Sir J.A. Burdon Archives 3 p 29
Colonist I 18 Belize City 5 May 1866 p 3"		
21 Dec 1866	Assault	2nd WIR	"Refugee Maya, Icaiche"	San Pedro [New]	Battle of San Pedro	"5 WIR soldiers killed + Mr. Rhys [Commissioner, assumed killed]"	16 WIR soldiers wounded									CP 3995 p 11	Sir J.A. Burdon Archives 3 p 30		
3 Feb 1867	Assault	Residents	Maya	San Pedro [New]	Burning of San Pedro		"2,747.75L for Indian raid expenditure + 177.50 + 5,000"	"1,566L + 672 + 102 for militia + 1,245 + 1,705 frontier police + 209L + 95 volunteers"	"8,048.50L + 1897 due to War Off, min. 26,235L + 18,464 + 13,426 + 13,718 total spent by GB"	"Exp down 2,678,981 ft Mah [2.25d p ft avg in Hon], 2,868 t Log [3L p t in Hon] due to Indian raids"	San Pedro burnt	arms to Santa Cruz … 300 quintals gunpowder for logging licence fm Mayas in 67 … embargo on Icaiche 67				CP 4090 p 18; C.85 p 19	"Sir J.A. Burdon Archives 3 p 32
Siglo Diez y Nueve xxx Mexico City 13 Oct 1867 p 1"		
3 Feb 1867	Raid	Maya	Residents	"Indian Church, Mt. Hope"	Raids on Indian Church [twice] & Mt. Hope	"2 imprisoned [IC, 18 Apr 68]"	IC burnt [second raid of 68]	"c 20 to 40 mules, 60 ordinary guns, 40 lbs [gun] powder taken fm IC [sec raid]"	Treasury reaches insolvent 23 Sep 67							CP 4090 p 18; C.85 p 19	Sir J.A. Burdon Archives 3 p 32		
13 Feb 1867	Raid	Residents	Maya	"San Jose, Santa Teresa, Naranhal, Chorro"	"Burning of San Jose, Santa Teresa, Naranjal & Chorro"		3 men wounded	4 Indian hamlets sacked & burnt								CP 4090 p 18; C.85 p 19	Sir J.A. Burdon Archives 3 p 32		
1 Oct 1867	Crisis	Maya	Refugees	Northern District	Indian abductions		78 abducted Oct 67 to Feb 68 … 49 returned by 17 Feb 68										Sir J.A. Burdon Archives 3 p 300		
15 Dec 1867	Outbreak		Residents	"Belize T., Punta Gorda, ?"	Cholera	min. 580 deaths + 7 in PG	809.25L expense for cholera									CP 4090 p 24; C.85 p 34	Sir J.A. Burdon Archives 3 p 299		
15 Aug 1869	Outbreak		"Residents, Immigrants"	Belize T. [likely]	Yellow fever	did not prove so virulent or fatal as in many of the WI Islands	c 30 cases									C.334 p 33; C.2149 p 12	?		
30 Nov 1869	Crisis	Maya	Refugees	Consejo	Abduction of 2 Yucatan refugees	1 refugee put to death	1 refugee returned									C.334 p 33	?		
17 Apr 1870	Raid	Maya	Residents	Corozal T.	Siege of Corozal		"5,000L Indian raids + 5,000 + 5,017 + $16,000 + 10,663 + 9,159 + 6,622 + 12,405 + 9,715"		"8,718 spent by GB + 8,715 + 9,365 + 8,833 [74] +7,790 + 7,626 + 7,665 + 7,212"	"Exp down 637,545 ft Mah"	"$177,031 loss"					C.523 p 38	Sir J.A. Burdon Archives 3 p 38		
31 Aug 1872	Raid	Maya	Residents	Water Bank	Raid on Water Bank	one Gonzalez killed										C.1335 p 23	Sir J.A. Burdon Archives 3 p 328		
1 Sep 1872	Assault	Maya	Residents	Orange Walk	Battle of Orange Walk	2 soldiers killed	houses and buildings fired on / burnt	15 wounded	Corozalito plundered							C.1335 p 23; C.1622 p 55; C.2149 p 7; C.2444 p 34	Sir J.A. Burdon Archives 3 p 41		
28 Jul 1873	Crisis	Omoa	Residents	Sapodilla Cayes		2 residents imprisoned by Comm. of Omoa											Sir J.A. Burdon Archives 3 p 332		
30 Sep 1873	Crisis			Belize T.	Long Depression to early 1880		"1,675L less in Rev [76] … due to stagnation in Mah trade … 1876 = worst yr [other than 70] in imports from US"	"[Mah] was, during 1876, of so little value as not to repay the expense of cutting … [Mah industry] afford yr by yr less employment"	"Exp exc re-Exp down 41,000L 75 vs 74
29,000L 76 vs 74
9,000L 77 vs 74"	"silver [market rate] at some 12.5 percent below nominal value [78] … for exportation, bills can only be purchased at a fabulous price [78]"						C.1825 p 6; C.1622 p 56; C.2149 p 10; C.2444 p 37	?		
15 Dec 1874	Outbreak		Refugees	Corozal	Malarious fever		?									C.1335 p 25	?		
1 Dec 1879	Crisis	Maya	Residents	Northern District			"several persons seized and removed [by raiders, likely bartered for Gen. Pech later on]"	"Gen. Santiago Pech, Comm. in Chief of raiders detained in N. Dist."									Sir J.A. Burdon Archives 3 p 344		
25 Aug 1880	Crisis	Residents	Ministers	Belize T.	Lt. Gov. Barlee affair											C.2978	?		
22 Jun 1890	Crisis				Central American Totoposte Wars 1890-1906		"3,786 refugees in 1891 census, 4,789 in 1901 Census"										?		
1 Jul 1891	Crisis		Residents	Hon	Financial crisis & depression of 1891-1894		gen. condition of silver market and its effect on exchange as well as on the local purchasing power of std. dollar is a matter of anxious concern to every one	market rate dollar = 0.2.2 vs nominal 0.2.6 [92] … 0.2.1 vs 0.2.9 [93]	"Imp down 
$112,000 1892 vs 91
$393,000 1893 vs 92"	"Exp down 
$168,000 1892 vs 91
"	"Rev down 
$56,000 1893 vs 91
$37,000 1892 vs 91"					C.6857-23; C.6857-44; C.7319-14; C.7944-14	?		
15 Nov 1894	Riot	Constables; Loggers		Belize T.	Constabulary Riots		discharge of 42 men	"$2,500 loss [loggers’ riot 16 Dec]"								C.7944-14	NYT XLIV 13512 NYC 1894 p 5		
1 Dec 1901	Crisis		Loggers	Hon	Short depression 1901-1902		"Rev down $20,000"	"Exp down $20,000 … UK Exp down $219,000"	"large firms ceased, or seriously curtailed"	labourers in larger numbers than usual sought work in the neighbouring Republics						Cd. 1388-14	?		
15 Jan 1905	Outbreak			Hon	Yellow fever	?	40 to 50 cases	hampered our trade considerably	"US Imp down $34,000"	"US Exp down $65,000"						"Cd. 3285-2, Cmd. 7533 p 224"	Sir R.W. Boyce Report to the Government … London 1905 p 5		
1 Mar 1907	Drought		Residents	Belize T.	Water crisis to 1908		retarded the progress of some new rubber plantations	drinking-water had to be fetched from Manatee [20 mi away]								Cd. 3729-36; Cd. 4964-5	?		
31 May 1910	Outbreak			Belize T.	Tuberculosis	min. 77 deaths	Public notices placed in streets and stores … good deal of simple literature on the subject distributed									Cd. 6007-6; Cd. 6007-33	?		
26 Oct 1915	Assault	Central Powers	Allied Powers		"WWI, Zimmerman Note affair, Financial crisis"	"2 perish in Lusitania 10 in War on 1915, 5 in 16, 8 in 17"	"Rev down $78,000 … work programme started at Stann Creek to provide safety valve for unemployment [14] = $11,505 [Gov Farm, likely] … $60,000 advance to ag co. "	"UK Imp down $198,000 [14] … $1,082,647 [16]
Imp down 
$205,000 in 14 vs 13
$1,037,000 in 15 vs 13
fall in 17"	"Exp down 
$208,000 in 14 vs 13
$891,000 in 15 vs 13"	"many of the principal employers … were unable to obtain [credit to hire] … [so] labour staffs and wages paid [were reduced] … 1,717 labourers at $12.64 wage vs 714 at $8.21"	alarming increase in prices of … staples … c 12 to 7 percent increase in 17 [implied]	"War Exp 
$14,257 in 14-5
$39,394 in 15
$85,887 in 16 
$104,142 in 17 
113,794 in 18 
90,098 in 19 [min] …
$500 by Corozal to recruit men …
£10,000 subscribed for Imperial Loan … min. $1,755 raised in 16"	"128 sent to War 15
410 in 16"	Zimm Note led to great efforts to improve numbers and equipment of Volunteer Force … large sums voted to them [inc in war exp?]		"Cd. 7622-59; Cd. 8973-6; Cd. 8434-2; Cmd. 1-17; Cmd. 508-10, Cmd. 4586 p 197"	vars		
17 Aug 1918	Fire			Belize T.	Great Fire of 1918	Gov. Bennett died	"US$ 400,000 loss"									Cmd. 508-10	vars		
17 Oct 1918	Outbreak			?	Spanish flu	"Whole families, esp. among Indian villages, were practically wiped out … deaths exceed births for first time in 50 yrs"	"$10,344 inc Exp in Medical Dept"									"Cmd. 508-10, Cmd. 7533 p 228"	vars		
22 Jul 1919	Riot	Servicemen		Belize T.	Ex-Servicemen’s Riots		looting by c 3339 = $ ? loss	2 injured	"$181,454 Exp"							Cmd. 1103-13	vars		
24 Aug 1921	Outbreak			"St. John’s College, Belize T."	Yellow fever		very rapidly stamped out … [w Rockefeller F. help]	"14 cases at SJC, 3 in town … to 20 cases [RF]"								"Cmd. 4586 p 11, Rockefeller Fdn Ann Rep 1922 p 106"	vars		
4 Sep 1929	Crisis			Hon	Great Depression		"Daily wages by Pub Works Set down [34]
unskilled $1 vs 50-75c 29 vs 33
unskilled Bz 1.5 vs 75c to $1
carpenters 2.50 vs 1.5-1.75
lorry drivers 2 vs 1.25
… private wages lower"	"Chicle price per 100 lbs $14.24 in 30, $9 in 33, $7.5 in 34 (vs $18-20 pre Depression)"	much unemployment esp among Bz Creoles and SC Caribs [34]	"Imp + Exp 
9,933,548 in 29
9,460,293 in 30
7,346,424 in 31
3,749,322 in 32"	"£224,139 grants, £53,950 loans fm Col Dev Fund 30-39 + £22,000 grants, £199,500 loans fm UK Gov 29-39 [inc £242,192 Hurr Relief Ln + £137,000 Rail] = 20% Exp on ln servicing 36-8 yr avg"	"dec in Rev due to fall in export prices
1,149 in 30
852 in 31
763 in 32
684 in 33
509 in 34
825 in 35
992 in 36
[1000s BH dollars]"				"Cmd. 4586; Cmd. 6607, Cmd. 6070"	New York Times ? NYC BRITISH HONDURAS HIT BY DEPRESSION 30 Dec 1934		
13 Sep 1931	Fire			Belize T.			?									?	NYT LXXX 26896 NYC 1931 p 7		
17 Apr 1932	Fire			Belize T.			"US$ 250,000 loss"									?	NYT LXXXI 27114 NYC 1932 p 3		
19 Oct 1939	Assault	Axis Powers	Allied Powers		WWII	"£26,590 in monetary gifts"	"HMS Sheffield, Devonshire brought bc Guat [Feb 48]"	"Exp down $805,000 in 42 … Exp to UK
34 pc 40
14 pc 41
2 pc 42
0.7 pc 43
0 pc 44"	"Imp UK
12 pc 40
9 pc 41
5 pc 42
5 pc 42"	"$35,577 + 27,848 in Inc Tax surcharge for war in 45"	c 20 Nazi spies seized inc. prominent Hon businessman [2 Jul 42]	"c 400 serving in UK [30 Sep 40] … 1,000 loggers to US [1 Jun 44] … BHFU of > 500 in Scotland [inc in UK?]"				"Cmd. 7167; Cmd. 7433, Cmd. 7715, Cmd. 7533 p 277"	"vars, AP GALE|HQFAWA429255736, GALE|HQCBRZ410385263, HQMRNL018759175
Scotsman 30970 Edinburgh 31 Aug 1942 p 4, 5
Scotsman 30695 Edinburgh 1 Sep 1941 p 4
Chicago Defender National Ed. XXXVII 52 Chicago 18 Apr 1942 p 7"		
1 Aug 1949	Crisis			Hon	"Depression, drought, Sterling devaluation, unemployment"		impact [of devaluation] fell with particular heaviness	"£62,500 provided fm UK funds to assist w effects on cost of living … plus UK market for 25,000 t sugar … plus £67,500 in 50"	development work came virtually to a standstill	"sharp falling off of Amer demand for Mah, chicle, and catastrophic drought, caused serious increase in unemployment"	"timber Exp
1,428 in 48
953 in 49 / 21,177 t
32,230 t in 50
[1000s cub ft]"	flight of more than $2 m to sterling area				"Col R 49, Cmd. 7958, Cmd. 8243"	AP GALE|HQGDJY968760287		
19 Feb 1950	Riot			?	Devaluation Riots											Cmd. 7958	vars		
5 Oct 1953	Fire			Belize T.	Painter’s Fire		US$ 1 m loss									Col R 53	NYT CIII 35180 NYC 1954 p 35		
