Sheet 1: Table 1
file	sources not collections					
version	1.2					
begun	7 Aug 2022 19:06					
reason for version upgrade	control character encoding and format for export to XML and JSON file formats					
to be done	get rules for well formed XML files					
	get rules for well formed JSON files					
action	re XML	https://www.w3.org/TR/2008/REC-xml-20081126/				
		encoded in	UTF 8 and UTF 16			
		characters which must be escaped	&			
			<			
			>			
			""""			
			'			
action	re XML	ended research into XML without verifying accuracy of collected data as may just control for JSON				
action	re JSON	https://en.wikipedia.org/wiki/JSON				
		encoded in	UTF 8			
		characters which must be escaped	{			
			}			
			:			
			","			
			[			
			]			
	re JSON	https://stackoverflow.com/questions/19176024/how-to-escape-special-characters-in-building-a-json-string				
action	re ver 1.1	import data				


Sheet 1-1: Table 1
						
						
						
						
						
						
						
						
			dasd			
						
						
						
						
						
						
	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 		
	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 		
						
		asdf	asdf	asdf		


Collections: Table 1
id	ver_1.4_id_0	ver_1.4_id_1	ver_1.4_id_2	ver_1.4_id_3	ver_1.4_id_4	ver_1.4_id_5	ver_1.4_id_6	ver_1.4_id_7	ver_1.4_id_8	ver_1.4_id_9	ver_1.4_id_10	ver_1.4_id_11	ver_1.4_id_12	ver_1.4_id_13	ver_1.4_id_14	ver_1.4_id_15	ver_1.4_id_16	collections_	IE	>	repository_main_display	repository_sub	repository_sub_sub	repository_sub_sub_sub		repository_main_type	town	country_	district_	url_	cat_0_	directory_0_	directory_1_	directory_2_	directory_3_	notes_					
																		of the Archivo Nacional de Costa Rica in San José Costa Rica	0	0	Archivo Nacional de Costa Rica					government main	San José	Costa Rica	San José	https://www.archivonacional.go.cr	https://www.archivonacional.go.cr/index.php/institucional/content-component-4/archivo-historico	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=52746	^^^	^^^	^^^	"tel (506) 22831400 e-mail: directora@dgan.go.cr y ancost@ice.co.crn sitio web www.archivonacional.go.cr /v Silva p 161 / La institución custodia actualmente 18000 metros lineales de documentos en los tres archivos a su cargo: Archivo Histórico, Archivo Notarial y Archivo Intermedio /v Silva p 163 / En 1936 se edita la *Revista del Archivo Nacional*, cuyo objetivo era difundir los fondos documentales en custodia, así como las investigaciones históricas /v Silva p 164"					
																		of the Archivo Nacional de Honduras ie Archivo Antonio Ramón Vallejo in Tegucigalpa Honduras	1	0	Archivo Nacional de Honduras					government main	Tegucigalpa	Honduras	Francisco Morazán	https://cdihh.ihah.hn/archivo-nacional-de-honduras/	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=48454	^^^	^^^	^^^	"tel (504) 2222-8338 / 2238-0027 / 99845837. También por e-mail archivonacionaldehonduras@yahoo.es. Para conocer más de la institución visite su sitio web http://www.cdihh.ihah.hn/site/, integrado con el Centro Documental de Investigaciones Históricas de Honduras – CDIHH, del Instituto Hondureño de Antropología e Historia - IHAH. /v Silva p 333 /// Guía available at https://cdihh.ihah.hn/fondos-del-archivo-nacional-de-honduras/"					
																		of the Association Internationale des Archivistes Francophones > Portail International Archivistique Francophone ie PIaF in Paris France	1	1	Association Internationale des Archivistes Francophones					company non-profit	Paris	France	Paris	https://www.piaf-archives.org/AIAF/association-internationale-des-archives-francophones	https://www.piaf-archives.org	-^-	-^-	-^-	-^-	-^-					
	S 437	S 439																of the Bangor University > Main Library ie Bangor University > Archives and Special Collections in Bangor UK	1	2	Bangor University					university	Bangor	UK	Wales	https://www.bangor.ac.uk/library/index.php.en	https://www.bangor.ac.uk/archives/	https://discovery.nationalarchives.gov.uk/details/a/A13531830	http://gateway.proquest.com.ezp-prod1.hul.harvard.edu/openurl?url_ver=Z39.88-2004&res_dat=xri:archives-us&rft_dat=xri:archives:repository:163	^^^	^^^	^^^					
	S 441																	of the Barclays Group > Barclays Group Archive in Manchester UK	0	1	Barclays Group					company for-profit	Manchester	UK	England	https://www.archive.barclays.com/	^^^	https://discovery.nationalarchives.gov.uk/details/a/A13529966	https://www.archivesportaleurope.net/es/directory/-/dir/ai/code/GB-2044	^^^	^^^	trouble connecting to Archives sub-page linked at https://home.barclays/who-we-are/our-history/ on 6 AUG 2022					
	S 89	S 443																of the Bedfordshire Archives ie Bedforshire Record Office in Bedford UK	1	0	Bedfordshire Archives					government sub	Bedford	UK	England	https://bedsarchives.bedford.gov.uk/Archives-Service.aspx	https://bedsarchives.bedford.gov.uk/Archives-Service.aspx	https://discovery.nationalarchives.gov.uk/details/a/A13531514	http://gateway.proquest.com.ezp-prod1.hul.harvard.edu/openurl?url_ver=Z39.88-2004&res_dat=xri:archives-us&rft_dat=xri:archives:repository:086	^^^	^^^	^^^					
																		of the Biblioteca Digital Mexicana ie BDMx in Mexico Mexico	1	0	Biblioteca Digital Mexicana					government main	Mexico	Mexico	Ciudad de Mexico	http://bdmx.mx	http://bdmx.mx	^^^	^^^	^^^	^^^	^^^					
	S 91																	of the Biblioteca Nacional de España in Madrid Spain	0	0	Biblioteca Nacional de España					government main	Madrid	Spain	Comunidad de Madrid	https://www.bne.es/es	https://www.bne.es/es/catalogos	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=1725792	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=1698821	^^^	^^^	^^^					
																		of the Biblioteca Nacional de Guatemala ie Biblioteca Luis Cardoza y Aragón in Guatemala Guatemala	1	0	Biblioteca Nacional de Guatemala					government main	Guatemala	Guatemala	Guatemala	https://mcd.gob.gt/biblioteca-nacional/	-^-	^^^	^^^	^^^	^^^	^^^					
																		of the Biblioteca Palafoxiana in Puebla Mexico	0	0	Biblioteca Palafoxiana					company non-profit	Puebla	Mexico	Puebla	http://www.palafoxiana.com/	http://www.palafoxiana.com/	^^^	^^^	^^^	^^^	^^^					
	S 99	S 101																of the Bibliothèque Nationale de France in Paris France	0	0	Bibliothèque Nationale de France					government main	Paris	France	Paris	https://www.bnf.fr/fr	https://archivesetmanuscrits.bnf.fr	https://www.archivesportaleurope.net/es/directory/-/dir/ai/code/FR-00000028785	https://francearchives.fr/fr/service/26288072	https://www.culture.gouv.fr/Espace-documentation/Repertoire-des-ressources-documentaires/Bibliotheques/Bibliotheque-nationale-de-France-BnF-Site-Francois-Mitterrand?step=288671	^^^	review at http://dissertationreviews.org/archives-nationales-bibliotheque-nationale-de-france-bnf/					
	S 111																	of the Bolton Library and Museum Services > History Centre in Bolton UK	0	1	Bolton Library and Museum Services					government sub	Bolton	UK	England	https://www.boltonlams.co.uk/history-centre-1	https://www.boltonlams.co.uk/homepage/28/history-centre-services-and-availability-of-archives	https://discovery.nationalarchives.gov.uk/details/a/A13532004	http://gateway.proquest.com.ezp-prod1.hul.harvard.edu/openurl?url_ver=Z39.88-2004&res_dat=xri:archives-us&rft_dat=xri:archives:repository:037	^^^	^^^	^^^					
	S 113																	of the Boston College > John J Burns Library in Boston USA	0	1	Boston College						Boston	USA	Massachusetts	https://library.bc.edu	https://bc-primo.hosted.exlibrisgroup.com/primo-explore/search?mode=advanced&vid=bclib_new&lang=en_US&sortby=rank&search_scope=lib_BURNS	https://discovery.nationalarchives.gov.uk/details/a/A13530322	http://gateway.proquest.com.ezp-prod1.hul.harvard.edu/openurl?url_ver=Z39.88-2004&res_dat=xri:archives-us&rft_dat=xri:archives:repository:MA199-90	^^^	^^^	guide at https://libguides.bc.edu/burns/collections					
																		of the Boston Public Library > Digital Commonwealth in Boston USA	0	1	Boston Public Library						Boston	USA	Boston	https://www.bpl.org/online-resources/	https://www.digitalcommonwealth.org	^^^	^^^	^^^	^^^	^^^					
																		of the Brepols > Brepolis ie Brepols Publishers > Brepolis in Turnhout Belgium	1	2	Brepols						Turnhout	Belgium	Vlaams Gewest	https://www.brepols.net	http://www.brepolis.net.ezp-prod1.hul.harvard.edu	-^-	-^-	-^-	-^-	-^-					
	S 115	S 117	S 119	S 121	S 123													of the British Library in London UK	0	0	British Library						London	UK	England	https://www.bl.uk	https://searcharchives.bl.uk/primo_library/libweb/action/search.do	https://discovery.nationalarchives.gov.uk/details/a/A13530819	^^^	^^^	^^^	^^^					
																		of the Brown University > John Hay Library > Rhode Island Archival and Manuscript Collections Online in Providence USA	0	2	Brown University						Providence	USA	Rhode Island	https://www.riamco.org/join	https://www.riamco.org	^^^	^^^	^^^	^^^	^^^					
																		of the Buckinghamshire Archives ie Centre for Buckinghamshire Studies in Aylesbury UK	1	0	Buckinghamshire Archives						Aylesbury	UK	England	https://www.buckinghamshire.gov.uk/culture-and-tourism/archives/	https://www.buckinghamshire.gov.uk/culture-and-tourism/archives/search-the-archives-catalogue/	https://discovery.nationalarchives.gov.uk/details/a/A13532739	http://gateway.proquest.com.ezp-prod1.hul.harvard.edu/openurl?url_ver=Z39.88-2004&res_dat=xri:archives-us&rft_dat=xri:archives:repository:073	^^^	^^^	^^^					
																		of the California State Library > Sutro Library in San Francisco USA	0	1	California State Library						Francisco	USA	California	https://www.library.ca.gov/sutro/	https://www.library.ca.gov/Sutro/Collection/	^^^	^^^	^^^	^^^	^^^					
	S 125	S 127	S 447															of the Cambridge University > Main University Library in Cambridge UK	0	1	Cambridge University						Cambridge	UK	England	https://www.lib.cam.ac.uk	https://www.lib.cam.ac.uk/search-and-find	https://discovery.nationalarchives.gov.uk/details/a/A13532005	https://discovery.nationalarchives.gov.uk/details/a/A13530597	https://discovery.nationalarchives.gov.uk/details/a/A13530316	^^^	^^^					
																		of the Cengage > Gale in Farmington Hills USA	0	1	Cengage						Hills	USA	Michigan	https://www.gale.com	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/menu?userGroupName=camb55135	^^^	^^^	^^^	^^^	^^^					
																		of the Center for Research Libraries in Chicago USA	0	0	Center for Research Libraries						Chicago	USA	Illinois	https://www.crl.edu/	https://www.crl.edu/collections	^^^	^^^	^^^	^^^	^^^					
																		of the Centro de Investigaciones Regionales de Mesoamérica in Antigua Guatemala	0	0	Centro de						Antigua	Guatemala	Sacatepequez	http://cirma.org.gt/glifos/index.php/Página_principal	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=51555	^^^	^^^	^^^	review at http://dissertationreviews.org/historical-archive-at-the-center-for-meso-american-research/					
	S 451																	of the Centro de Investigaciones y Estudios Superiores en Antropología Social > Unidad Peninsular > Biblioteca Peninsular ie Biblioteca Stella María González Cicero in Merida Mexico	1	2	Centro de Investigaciones y Estudios Superiores en Antropología Social						Merida	Mexico	Yucatan	https://peninsular.ciesas.edu.mx	http://aleph.ciesas.edu.mx/F	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=54813	^^^	^^^	^^^	^^^					
																		of the Chicago Collections Consortium > Explore Chicago Collections in Chicago USA	0	1	Chicago Collections Consortium						Chicago	USA	Illinois	https://chicagocollections.org	https://explore.chicagocollections.org	^^^	^^^	^^^	^^^	^^^					
																		of the Clarivate > ProQuest in Ann Arbor USA	0	1	Clarivate						Arbor	USA	Michigan	https://www.proquest.com	http://nrs.harvard.edu/urn-3:hul.eresource:ProQuestMain	^^^	^^^	^^^	^^^	^^^					
	S 129																	of the Colonial Williamsburg Foundation > John D Rockefeller Jr Library in Williamsburg USA	0	1	Colonial Williamsburg Foundation						Williamsburg	USA	Virginia	https://www.colonialwilliamsburg.org/learn/research-and-education/	https://research.colonialwilliamsburg.org	https://discovery.nationalarchives.gov.uk/details/a/A13531497	http://gateway.proquest.com.ezp-prod1.hul.harvard.edu/openurl?url_ver=Z39.88-2004&res_dat=xri:archives-us&rft_dat=xri:archives:repository:VA870-150	^^^	^^^	^^^					
	S 453																	of the Columbia University > Rare Book and Manuscript Library in New York USA	0	1	Columbia University						York	USA	New York	https://library.columbia.edu	https://library.columbia.edu/services.html	https://discovery.nationalarchives.gov.uk/details/a/A13530378	http://gateway.proquest.com.ezp-prod1.hul.harvard.edu/openurl?url_ver=Z39.88-2004&res_dat=xri:archives-us&rft_dat=xri:archives:repository:NY588-900	^^^	^^^	^^^					
	S 133																	of the Connecticut Historical Society > Library and Waterman Research Center in Hartford USA	0	1	Connecticut Historical Society						Hartford	USA	Connecticut	https://chs.org	https://research.chs.org/research/research-tools/	https://discovery.nationalarchives.gov.uk/details/a/A13531833	http://gateway.proquest.com.ezp-prod1.hul.harvard.edu/openurl?url_ver=Z39.88-2004&res_dat=xri:archives-us&rft_dat=xri:archives:repository:CT316-110	^^^	^^^	^^^					
																		of the Consejo Latinoamericano de Ciencias Sociales > Biblioteca Virtual in Buenos Aires Argentina	0	1	Consejo Latinoamericano de Ciencias Sociales						Aires	Argentina	Ciudad Autónoma de Buenos Aires	https://www.clacso.org	http://biblioteca.clacso.edu.ar	^^^	^^^	^^^	^^^	^^^					
																		of the Consortium of Academic and Research Libraries in Illinois > Digital Collections ie CARLI Digital Collections in Chicago USA	1	1	Consortium of Academic and Research Libraries in Illinois						Chicago	USA	Illinois	https://www.carli.illinois.edu/products-services/contentdm	https://collections.carli.illinois.edu	^^^	^^^	^^^	^^^	^^^					
																		of the Consortium of European Research Libraries > Resources in London UK	0	1	Consortium of European Research Libraries						London	UK	England	https://www.cerl.org/resources/main	https://www.cerl.org/resources/main	-^-	-^-	-^-	-^-	-^-					
	S 135																	of the Cornell University > Carl A Kroch Library ie Cornell University > Rare Books and Manuscripts in Ithaca USA	1	2	Cornell University						Ithaca	USA	New York	https://www.library.cornell.edu	https://rare.library.cornell.edu	https://discovery.nationalarchives.gov.uk/details/a/A13531390	http://gateway.proquest.com.ezp-prod1.hul.harvard.edu/openurl?url_ver=Z39.88-2004&res_dat=xri:archives-us&rft_dat=xri:archives:repository:NY439-120	^^^	^^^	^^^					
																		of the Council on Library & Information Resources > Hidden Collections ie Hidden Collections Registry in Alexandria USA	1	1	Council on Library and Information Resources						Alexandria	USA	Virginia	http://registry.clir.org/	http://registry.clir.org/	^^^	^^^	^^^	^^^	^^^					
	S 137																	of the Derbyshire Record Office in Matlock UK	0	0	Derbyshire Record Office						Matlock	UK	England	https://www.derbyshire.gov.uk/leisure/record-office/derbyshire-record-office.aspx	https://www.derbyshire.gov.uk/leisure/record-office/records/catalogue/catalogue.aspx	https://discovery.nationalarchives.gov.uk/details/a/A13530179	http://gateway.proquest.com.ezp-prod1.hul.harvard.edu/openurl?url_ver=Z39.88-2004&res_dat=xri:archives-us&rft_dat=xri:archives:repository:237	^^^	^^^	^^^					
																		of the Digital Public Library of America in Boston USA	0	0	Digital Public Library of America						Boston	USA	Boston	https://dp.la	https://dp.la	^^^	^^^	^^^	^^^	^^^					
																		of the Digitale Bibliotheek voor de Nederlandse Letteren ie DBNL in Leiden Netherlands	1	0	Digitale Bibliotheek voor de Nederlandse Letteren						Leiden	Netherlands	Noord-Holland	https://www.dbnl.org	https://www.dbnl.org	^^^	^^^	^^^	^^^	based in Leiden per vars univ catalogues					
	S 141	S 143	S 145	S 457														of the Duke University > David M Rubenstein Rare Book and Manuscript Library in Durham USA	0	1	Duke University						Durham	USA	North Carolina	https://library.duke.edu	https://library.duke.edu/rubenstein/	https://discovery.nationalarchives.gov.uk/details/a/A13531231	http://gateway.proquest.com.ezp-prod1.hul.harvard.edu/openurl?url_ver=Z39.88-2004&res_dat=xri:archives-us&rft_dat=xri:archives:repository:NC260-170	^^^	^^^	"Perkins Library listed in TNA Discovery, but links to Rubenstein Library, whereas no evidence of rare books nor manuscripts housed in Perkins Library at https://library.duke.edu"					
	S 147																	of the East Carolina University > JY Joyner Library ie Main Campus Library in Greenville USA	1	1	East Carolina University						Greenville	USA	North Carolina	https://library.ecu.edu	https://library.ecu.edu/specialcollections/	http://gateway.proquest.com.ezp-prod1.hul.harvard.edu/openurl?url_ver=Z39.88-2004&res_dat=xri:archives-us&rft_dat=xri:archives:repository:NC390-200	^^^	^^^	^^^	^^^					
																		of the El Colegio de México > Biblioteca Daniel Cosío Villegas in Mexico Mexico	0	1	El Colegio de México						Mexico	Mexico	Ciudad de Mexico	https://biblioteca.colmex.mx/es/	https://biblioteca.colmex.mx/es/pages/colecciones	^^^	^^^	^^^	^^^	^^^					
																		of the Empire State Library Network > Empire Archival Discovery Cooperative ie EmpireADC in New York USA	1	1	Empire State Library Network						York	USA	New York	https://www.esln.org/services/empire-adc/	https://www.empireadc.org	^^^	^^^	^^^	^^^	^^^					
																		of the Empire State Library Network > New York Heritage Digital Collections in New York USA	0	1	Empire State Library Network						York	USA	New York	https://www.esln.org/services/new-york-heritage/	https://nyheritage.org	^^^	^^^	^^^	^^^	^^^					
																		of the European Union > European Commission > Connecting Europe Facility > Europeana in Hague Netherlands	0	3	European Union						Hague	Netherlands	Zuid-Holland	https://www.europeana.eu/en	https://www.europeana.eu/en	^^^	^^^	^^^	^^^	^^^					
	S 149																	of the Gilder Lehrman Institute of American History ie Gilder Lehrman Collection ie Pierpont Morgan Library in New York USA	2	0	Gilder Lehrman Institute of American History						York	USA	New York	https://www.gilderlehrman.org	https://www.gilderlehrman.org/collection	http://gateway.proquest.com.ezp-prod1.hul.harvard.edu/openurl?url_ver=Z39.88-2004&res_dat=xri:archives-us&rft_dat=xri:archives:repository:NY589-820	http://gateway.proquest.com.ezp-prod1.hul.harvard.edu/openurl?url_ver=Z39.88-2004&res_dat=xri:archives-us&rft_dat=xri:archives:repository:NY593-460	^^^	^^^	^^^					
																		of the Gloucestershire Archives ie Gloucestershire Heritage Hub in Gloucester UK	1	0	Gloucestershire Archives						Gloucester	UK	England	https://www.gloucestershire.gov.uk/archives/	https://catalogue.gloucestershire.gov.uk	https://discovery.nationalarchives.gov.uk/details/a/A13532926	http://gateway.proquest.com.ezp-prod1.hul.harvard.edu/openurl?url_ver=Z39.88-2004&res_dat=xri:archives-us&rft_dat=xri:archives:repository:006	^^^	^^^	^^^					
