Hos 19	Nov 1652	Apr 1656	Sp	Ma	Pérez Entradas	13 May 1655		Cayo	Capt. Francisco Perez of Bacalar 10 Sp men 60 Ma men					c 110 reduced to Bacalar at Pacha			
Hos 20	Jan 1678	Dec 1678	Sp	Ma	Porras Entrada		Fall of Tipu	Tipu	"Sgt. Mjr. Antonio de Ayora Porras, priest Francisco de Bolivar, Sp soldiers"								Tipu capitulates voluntarily to Sp
Hos 21	Jan 1684	Dec 1684	Sp	Ma	Paliac Murders			Paliac	3 Franciscans party of Sp fm Bac	10 Ma / Paliac residents		1 Ma killed / 3 Franciscan friars killed		Paliac deserted and burnt by Ma residents			
Hos 1	Jan 1696	Mar 1701	Sp	 	 	1 Jan 1696		"St. George’s, Zacatan"	Ursúa					Sp troops sent to displace Eng loggers			
Hos 1	Jan 1696	Mar 1701	Sp	 	 	1 Mar 1701		Zacatan	Capt. Joseph de Aguilar w men fm Tipu					drove away the People		houses or huts burnt	
Hos 22	Apr 1697	Dec 1708	Sp	Ma	Fall of Tipu			Tipu	"Capt. Don Joseph de Aguilar [later, for relocation]"				"Sp, Eng raid Tipu for forced labour / Tipu later relocated [> 1708] by Sp to Lake Peten Itza"				
Hos 22	Apr 1697	Dec 1708	Sp	Ma	Fall of Tipu		Muzul Assault	Tipu		Muzul Ma		"17 Ma killed, inc Tipu principal inhabitants"	Muzul Ma apprehended by Cat. Aguilar for murders				
War 1	Jul 1701	Sep 1714	Sp	Fr	Sp Succession	1 Jul 1701											
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age of Pir	10 Jan 1718			Lowther				Greyhound men barbarously used / 5 mates tradesmen impressed		"burnt 8 w cargo in Greyhound, 1 sloop burnt, 1 taken, 1 plundered, 1 of 80 to 100 t taken, 2 brigs taken"		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age of Pir	2 Apr 1718			Blackbeard				impressed Harriot and his men		took sloop Adventure		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age of Pir	9 Apr 1718			Blackbeard						"took Caesar 400 t ship, 4 sloops, plundered all, returned 2 sloops"		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age of Pir	1 Aug 1722			Anstis				1 sloop co of Dursey / Dursey and 5 or 6 escaped		1 sloop taken / 2 or 3 other vessel destroyed		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age of Pir	15 Mar 1723	Low’s Massacre		Low Lowther			"45 to 53 or 58 Sp, 1 mate killed / 1 Sp killed later"	6 sailors imprisoned / released later by Pir		"3 to 5 sloops w cargo taken [1 pink too, possibly] / retaken by Lowe Lowther"		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age of Pir	1 May 1724									7 or 8 sloops seized		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age of Pir	1 Sep 1724			Spriggs						14 ships seized		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age of Pir	1 Sep 1724			Shipton Spriggs	HMS Diamond		"6 Pir killed, 5 or 6 more mortally wounded"	min 1 sloop co impressed		10 or 12 vessels taken / then liberated by Eng		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age of Pir	23 Dec 1724			Shipton Spriggs			"1 Pir killed, 1 [likely] mortally wounded"	some Bay prisoners at Carthagena < 3 Jun 20		1 ship John and Mary taken / retaken by impressed mates / 5 had been prev taken		
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age of Pir	1 Feb 1725			Spriggs				1 captain impressed		"taken 16 sail, burnt 1 [rest returned?]"		
War 2	Aug 1718	Feb 1720	Sp	 	Quadruple Alliance	2 Aug 1718											
War 3	Mar 1726	Feb 1728	Sp	 	 	1 Mar 1726											
Hos 3	Nov 1728	Aug 1732	Sp	 	Bacalar Offensives	1 Nov 1728									"taken 6 ships, sloops"		
Hos 3	Nov 1728	Aug 1732	Sp	 	Bacalar Offensives	1 Feb 1729									"6 ships taken inc William and Elizabeth, Kidder"		
Hos 3	Nov 1728	Aug 1732	Sp	 	Bacalar Offensives	1 Jun 1729			2 Sloops Havannah 2 Sloops Campeachy 16 PA					by 31 Jan 31 / evac fm < Jun 29 to 20 Oct 35			
Hos 3	Nov 1728	Aug 1732	Sp	 	Bacalar Offensives	1 Jul 1729	Summer Routing						c 30 white = great many whites and Neg		taken all flats New Hondo Old = c 140 / taken all vessels too	"burnt 12 to 16,000 t at New, Hondo = c 300,000 quintals at New Hondo Old / seized all tools / burnt all houses"	
Hos 3	Nov 1728	Aug 1732	Sp	 	Bacalar Offensives	1 Feb 1730				Capt. Burrows					taken sev vessels / 1 brig afterwards taken		
Hos 3	Nov 1728	Aug 1732	Sp	 	Bacalar Offensives	1 Jan 1731			GC 80 men	Capt. John Young NY					"Frances, and sev other ships and sloops taken = min 5"		
Hos 3	Nov 1728	Aug 1732	Sp	 	Bacalar Offensives	24 Mar 1731			GC Pedro Polis 60 men	Capt. Ed. Burt 30 men		2 killed	9 men imprisoned		John and Jane taken		
Hos 3	Nov 1728	Aug 1732	Sp	 	Bacalar Offensives	28 Jun 1731			Sloop 25 men	Roger Groves NY 30 to 40 men					1 fine ship taken / great many vessels taken since Jan 31 … but two ships of force have escaped		
Hos 3	Nov 1728	Aug 1732	Sp	 	Bacalar Offensives	1 Aug 1731			PA [Petty Augers]						4 vessels taken		
Hos 3	Nov 1728	Aug 1732	Sp	 	Bacalar Offensives	1 May 1732				Capt. Wickham etc.					8 taken		
Hos 3	Nov 1728	Aug 1732	Sp	 	Bacalar Offensives	1 Aug 1732				Capt. Knox					min 1 brig David taken		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Prelude	1 Sep 1734									1 sloop taken min		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Prelude	28 Sep 1734			3 PA / Priv 120 men 2 PA 2 Sloops	Capt. Dursey RI					"1 taken, then liberated / 1 prev taken, then liberated / 1 Flat prey taken, then liberated"		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Prelude	1 Nov 1734									1 lg loaded fly boat burnt		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Prelude	1 Oct 1735			2 PA	Col. Cranston RI					4 taken / 3 then liberated		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Prelude	1 Mar 1736						1 pilot beheaded	all crew imprisoned		1 sm sloop of Jam taken		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Prelude	26 Apr 1737									"taken a sloop or two [min] = 6 or 7 smaller vessels taken / 1 sloop deserted in fight, taken"	burnt abundance of wood landed at cayes	
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Prelude	18 Jan 1738			2 or 3 PA	Capt. Watlins					1 sloop taken / then released		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Prelude	1 Apr 1738			3 lg PA	1 Sloop							
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Prelude	1 Jul 1738		bw New & Old		Capt. Ed. Buckley Boston			25 imprisoned / later liberated		"all flats, 2 sloops loading a ship taken / later liberated"		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Prelude	12 Aug 1738			Sloop 18 men	Capt. Stephen Bastwick etc.		3 killed [source?]	Reeves and two of his Neg imprisoned		"2 sloops, 2 craft w 26 wood [ea or together?] taken"		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Prelude	1 Feb 1739				Capt. Gwynn Boston					1 vessel taken		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Prelude	1 Mar 1739		Turneffe		Capt. Collis RI etc.		"Captain Collis, 2 mates killed"	companies of 2 sloops carried away / captain used in barbarous manner		"1 vessel, 2 sloop taken [min]"		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Prelude	1 Apr 1739			Sloop 10 guns	Capt. Mark Anderson							
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Prelude	1 Sep 1739				Mr. White etc.			1 owner used barbarously [so taken?]		3 vessels taken		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Prelude	1 Oct 1739			2 Priv / Vessel 20 men	Capt. Pustle Capt. Gowan							
Ill 1	Jun 1737	0	 	 	Diphtheria ?	15 Jun 1737						"abundance of Baymen have died, as well as those of Fleet"					
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	1 Feb 1740	Holiday Cruising Hon for Sp since Oct 39			Capt. Holiday Jamaica 75 men	Capt. Woodbury Boston						
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	1 Apr 1740			2 Craft	Capt. Vincent Boston & Capt. Thatcher / sm Sloop of Baymen					2 sloops taken / later liberated		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	24 Aug 1740	Mos Sack Shasoon (near Bacalar)			100 Mos							
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	1 Feb 1741			2 PA 110 men	Capt. Burchell							
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	1 Jun 1741				Capt. Wise		2 Sp killed [mistakenly or not in defence]			1 vessel taken / later liberated		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	1 Mar 1744			Priv	Capt. Fiske		"1 captain killed, 1 pass dangerously wounded"	some of Captain Fiske co.		Fiske’s craft taken		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	1 Jan 1746		Turneffe				"captain, owners of sloop killed"			1 sloop Kouli Can taken		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear					Capt. Collis		"Captain Collis, 2 mates killed"	companies of 2 sloops carried away / captain used in barbarous manner		"1 vessel, 2 sloop taken [min]"		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear							loss of sev men in ship after chase					
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear										5 vessels taken		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear										1 vessel taken		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear							"1 vessel crew drowned [accidental, on being taken by Sp]"			3 vessels taken		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear										taken sev ships / taken sev sm trading vessels [Flats]		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear										1 brig taken		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear		Charge of Panama			Gov. Hudson							
Ill 2	Mar 1750	0	 	 	Malaria ?	7 Mar 1750											makes it impossible to cut Logwood / 30 to 40 vessels waiting
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	6 May 1750		New	Galley 123 men Havannah	Capt. Heysham / Capt. Kattur / Priv of Baymen		1 killed	"1 captain, 8 men, 3 women passenger / lib later"		"1 tender taken / 1 ship taken later, then lib"		
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	17 Sep 1750			2 Half Gallies	Capt. Riven							
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	30 Jun 1751		New	15 Craft 180 to 200 men Campeachy Guatemala				129 Eng [Bay inc?] imprisoned / min 19 released later / release or ransom of all previously agreed to		7 sloops taken / 18 to near 30 flats taken		
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	25 Dec 1751	Christmas Routing	Old / Water Caye	2 Gallies 1 Brig	Henry Stevenson / Capt. Troup etc.			1 brig co imprisoned / later released	evac on 9 Jan 52	1 brig taken		
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	1 May 1752							19 Neg carried off				
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	1 Jun 1752							carried off all Neg				
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	1 Jun 1752			1 MW 1 Chebeque 1 Sloop 2 PA	Capt. Mosely etc.					6 or 7 vessels taken [previously]		
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	1 Jun 1752		Rat / Bay	Galley or 2 GC	Capt. McNamara 50 Baymen 70 Shoremen / Capt. Mosely Gov. Pitt					2 craft taken w sum 230 t wood taken	forced to have boat manned and continually under arms = great expense	
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	1 Aug 1752			sev Craft	Capt. Man			1 vessel co imprisoned / later escaped except McDonald		1 vessel taken		
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	1 Aug 1752		Haulover / New	5 sm Barks 70 men / 10 PA 170 men	John Lance etc.					"1 snow w Prov taken / 1 vessel taken, then lib"		
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	2 Aug 1752						1 mate killed	"2 captains, 1 mate imprisoned"		1 sloop plundered / 5 craft w wood taken		
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	2 Aug 1752			6 PA 1 Flat of 14 swivel guns	Capt. Crowel Capt. Hall			min 1 impressed for 6 months		"3 vessels taken, then liberated"		
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	4 Dec 1752									2 craft taken / 1 plundered of Prov		
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	24 Feb 1753			GC	Capt. Clark							
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	28 Feb 1753		Caye Bokell	Brig of 30 swivel guns	Capt. Ed. Menzies			many Eng imprisoned for 6 months at Mahoo [previously taken] / Capt. imprisoned for 		1 brig taken		
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	1 May 1753		New						evac on 9 Jun 53 fm New	not one craft [flat] escaped destruction in New	entirely routed fm New [so houses burnt?]	
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	1 Jun 1753	Capture of Sp Brig	Old		Capt. Sergeant RI / Baymen							
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	12 Apr 1754	Sp Expedition to Bay	Key Mager	"Don Juan Nanos w 24 gun Ship 1 lg Xebek Gov. of Campeche Don Noverette w 20 Sail = sum 2,000 men"					some Neg evac or sent to Mos			
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	24 May 1754	May Battle		near 300 men	100 Baymen						sacked Wells house to considerable value	
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	18 Jun 1754	June Battle							evac on 18 Jun 54 to 12 Apr 55	number of vessels taken	carried off Prov	
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege	1 Feb 1755	Sp Concession										
Ill 3	Nov 1751	0	 	 	Measles ?	1 Nov 1751						left sev Vessels without Hands … two [women] left in the whole Bay					
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Prelude	24 May 1756	Gov. Knowles Demolishes Bay Fort								min 2 vessels taken min	"fort demolished, 18 cannon sunk [Knowles ordered?]"	
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Prelude	1 Jul 1757	Siege of New R						sev Baymen in New imprisoned		min 1 craft forced to unload half cargo to escape		
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Prelude	1 Sep 1757	September Destruction						carried off about 60 Neg and some whites		destroyed everything they came across [so flats too?]	"destroyed the wood, houses and everything they came across"	
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Prelude	10 Nov 1758	30 PA at Bacalar fm Campeachy Port Maho							evac c 10 Nov 58 to < 20 Jul 1759			
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Prelude	1 Sep 1759	Barbarities at Carpenter’s	Carpenter’s R					carried away many settlers ?				
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Prelude	21 Oct 1759	Capt. Owens’s Feat		near 200 men	Capt. Owens w 50 Britons			"31 Brit subjects, 30 Neg imprisoned / later lib by Owens"		3 loaded flats seized / later liberated by Owens		
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Prelude	26 Dec 1759	Christmas Assault	Haulover	4 Capt. sent by Gov. of Merida w great numb PA w over 150 men	few Baymen left behind						"pillage, plunder, destroy houses of few settlers left [on Old R]"	
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Prelude	1 Jan 1760	Capt. Coppinger’s Intel						a number of white and Neg imprisoned		sev loaded flats taken		
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Prelude	6 Apr 1761	Flota Sails for Bay	Cadiz	"8 Ships 2 Frigates 8 Chebecs = 4,000 men"								
War 5	Jan 1762	Feb 1763	Sp	Fr	Seven Years’	1 Jan 1762											
Hos 7	Dec 1763	Dec 1763	Sp	 	 	23 Dec 1763				Adm. Burnaby				evac Hondo on 4 Feb 64 / evac all except Old on 13 Feb 64 / restored 5 Mar 65			
Fin 1	Jun 1765	0	 	 	Tragedy of Commons	22 Jun 1765								sev settlers returning w slaves to Mos / to Pensacola			Log so scarce that vessels lie frequently 9 or 10 months for loading
Fin 1	Jun 1765	0	 	 	Tragedy of Commons	22 Jun 1765											Freshes have been so great / Hondo runs c 5 knots p hr / no business done 25 Oct to 29 Nov 65 / expect little Wood Dec 65 to Jan 66
Fin 1	Jun 1765	0	 	 	Tragedy of Commons	16 Apr 1766											wood scarce / c 70 vessels waiting
