Introduction: Loss of life or property in Belize from 1630 to present.
						


Clusters: Table 1
ALT ID	ID	NO	NAME	BEG	END	FT	FT	DESCRIPTION	PRESS	CF	VIA	NOTE	
War 5			Seven Years’	5 May 1762	10 Feb 1763	Sp	Fr	Great Britain declares war on Spain					
Crs 5			Estenoz Prohibition	23 Dec 1763	5 Mar 1765	Sp	 	Yucatan prohibits logging along northern rivers				"[G]overnor of Yucatan and the commandant of Baccalar, interrupted their [Baymen's] trade in general, by requiring them to produce a regular licence, either from their own sovereign, or rom the king of Spain. This interruption was followed by the expulsion of the settlers from those points of the coast which were considered as beyond the limits assigned in the recent treaty [of Paris 1763]. They were commanded to retire from Rio Hondo within the space of two months; they were confined to the south bank of Rio Nuevo; and both at Rio Nuevo and Rio Wallis, they were restricted from ascending to the distance of more than twenty leagues from the sea. By these aggressions, more than five hundred settlers were driven from their habitations, with the loss of their property, amounting to above £27,000 sterling. /v Coxe v 4 316 /Lord Auckland's Collections [MS. Remarks on the article of the treaty of 1763, relating to the settlements in the bay of Mexico, by a british settler] = BL Add MS xxx

See CO 5/119 Part 1 Link: http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_119_Part_1_012"	
Crs 1			Alien Logging	1 Jan 1765	30 Dec 1770	 	Du Fr	Alien loggers saturate Settlement				Possibly see Flanagan statement in Massachusetts Spy XV 769 p4 = 29 Dec 1785 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10284A66F6BC7768%40EANX-102F3C5BC9CE6E2F%402373381-102F3C5C6CD33EA4%403-102F3C5E5B23642E%40%255BDefence%253B%2BReaders%253B%2BDennis%2BFlanagan%253B%2BSchoolmaster%253B%2BEye%2BConought%253B%2BIreland%255D / clearer copy in State Gazette of South-Carolina XLIV 2366 p2 = 9 Jan 1786 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1076626283585A90%40EANX-107677E6CB449908%402373392-107677E70240C458%401-107677E7CF2B9738%40Charleston%252C%2BJanuary%2B9	
Crs 6			Logwood Exhaustion	1 Jun 1765	30 Nov 1766	 	 	Logwood becomes significantly scarce				"Possibly started in 1763 /v Finamore 35 /v Burdon 1 183 /BL Add MS 34903 [Dyer to Lordship 12 Feb 1790]

Possibly see, NEW-YORK, March 11 [1751]. By Capt. Jones, who arrived here last Week in 28 Days from the Bay of Hon, we have Advice, that there are now near 50 Eng Vessels in that Place getting Wood; some of whom, he believes will not be loaded before next Christmass. /New-York Gazette, or Weekly Post-Boy 426 p3 = 18 Mar 1751"	
Rev 1			Cook’s	1 Aug 1765	30 Sep 1765	 	 	"Mr. Cook’s slaves lead revolt / Revolters lay siege to New River / British Army, Fleet and Baymen engage"					
Crs 2			Zayas Asylum	1 Jan 1766	30 Dec 1771	Sp	 	Yucatan offers asylum to Settlement slaves			Bolland 75 158	"See Guat asylum 1800, ESTADO,49,N.74 / ESTADO,49,N.92 / ESTADO,49,N.107
See Yuc asylum 1802 ESTADO,35,N.46"	
Crs 23			Logwood Crash	1 Jan 1767	30 Dec 1772			Logwood prices crash			"Bowett 156
McJunkin 145
Joseph 74 35"		
Hos 8			Zayas Siege	1 Mar 1767	23 Aug 1773	Sp	 	Yucatan lay siege to Settlement / Yucatan launch at least 2 military or paramilitary campaigns against Settlement / Fleet and Baymen engage				Yucatan is assumed.	
Hos 12			Naismith Raid	25 Jul 1767	25 Jul 1767	 	Ai	Amerindian assault or raid Settlement					
Crs 22				1 Jan 1768	30 Dec 1771			Civil unrest / xxx					
Nat 1			Great Famine	1 Jun 1771	30 Apr 1772	 	 	Amerindians seek refuge in Settlement / Provisions become significantly scarce					
Rev 2			Davidson’s	28 May 1773	30 Sep 1773	Sp	 	"Mr. Davidson’s slaves, with Spanish allies, lead revolt / Royal Navy, Fleet and Baymen engage"	Rivington’s New York Gazetteer 16 p3 = 5 Aug 1773	"CO 5/120 ff 47-51, 192-4"	Bolland 75 153		
Hos 10			Arms Raids	1 Sep 1773	30 Nov 1773	 	Ai	Amerindian assault or raid Settlement					
War 6			American Revolution	19 Apr 1775	3 Sep 1783	Sp	Am Fr	"America, Spain declare war on Great Britain / American Royalists seek refuge in Settlement / Americans sack Settlement / Yucatan launch 1 military campaign against Settlement / Royal Navy, British Army, Baymen, Shoremen and Amerindian allies engage"					
Nat 2				1 Dec 1784	30 Nov 1785	 	 	Severe wet season / Epidemic among Baymen					
Hur 1				20 Aug 1785	20 Aug 1785			Unnamed hurricane strikes Hon					
Rev 3			Old River	1 Jun 1786	30 Jul 1786	 	 	Slaves lead revolt / xxx					
Crs 4			Despard Affair	1 Jun 1787	30 May 1791	Sp		Shoremen evacuated to Settlement / Civil unrest / Constitutional crisis / Market destabilised	"Independent Journal NYC NY 295 p2
Independent Journal NYC NY 311 p2
New-York Journal 2091 p2
Morning Chronicle 5680 LON = 1787"	"MEXICO,3109 [L. Gálvez a Valdés, Mérida a 8 jun 1790]
MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 16 dic 1790]"	"Calderon 368 no 18 img 984
Calderon 384 img 1020
Bolland 75 p69"	"DIARIO DE D. RAFAEL LLOBET, BACALAR A 3-12-790. Día 23.--Fuí a comer en casa de Mr. Francisco O'Brien, llegué antes que los convidados y entre otras cosas dijo: que la conducta de D. Juan Bautista Gual era lo que tenía al Coronel Despard en muy mal estado; le respondí, me alegrara tener yo una conducta irreprensible como la de Gual, y arguyó que D. Juan Bautista Gual nunca debió haberles cortado los plátanos ni menos el dicho coronel haber convenido en ello, pues todo lo que no determinaba prohibido la Convención era concedido; ... /via Calderon 384 img 1020 /MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 16 dic 1790]"	
Hur 2				2 Sep 1787	2 Sep 1787			Unnamed hurricane strikes Hon					
Ill 4			Measles	1 Feb 1788	30 Aug 1788	 	 	Epidemic among Baymen					
War 7			French Revolution	20 Apr 1792	27 Mar 1802	Sp	Fr	"Great Britain declares war on Spain / Yucatan launch 1 military campaign against Settlement / Royal Navy, Fleet and Baymen engage"				"See runaways to Yuc, and logging prohibition at Hondo, New ESTADO,35,N.46 / Piracy fm Hon ESTADO,35,N.47"	
Nat 3				1 Nov 1792	30 Nov 1792	 	 	Severe wet season / Severe flooding of Belize Town					
Hos 11				1 Nov 1793	30 Nov 1793	 	Ai	Amerindian assault or raid Settlement / Baymen engage					
Ill 5			Yellow fever	29 Sep 1797	30 Dec 1797	 	 	Epidemic among Irish Brigade					
Tcl 8				1 Apr 1802	8 May 1802			Fire in Belize Town					
War 8			Napoleonic	18 May 1803	20 Nov 1815	Sp	Fr	"UK declares war on France, Spain"				"See Yuc offensive plans ESTADO,35,N.89 / ESTADO,35,N.90"	
Hur 3				28 Aug 1805	28 Aug 1805			Unnamed hurricane strikes Hon					
Tcl 9				18 Jul 1806	18 Jul 1806			Fire in Belize Town					
War 11			Spanish-American Revolution	25 Sep 1808	29 Sep 1833	Sp	 	Civil unrest / xxx				"See, possibly, stoppage in provisions fm Bacalar ESTADO,40,N.61 / and piracy, navigation treaty with Guat ESTADO,96,Exp.6"	
War 9				18 Jun 1812	17 Feb 1815	 	Am	UK declares war on US					
Rev 4			New River	1 Jan 1813		 	 	Slaves lead revolt / xxx					
Rev 5			Will & Sharper’s	1 Apr 1820		 	 	Messrs. Will and Shaper lead revolt / xxx					
Ill 6			Poyais	1 May 1823	30 May 1823			Epidemic among victims of Poyais Scheme					
Hos 21			Jeykill Massacre	31 Mar 1824	31 Mar 1824		Bu	Pirates massacre crew of Mr. Jeykill’s schooner					
Crs 7			Mahogany Depression	1 Jan 1827	30 Dec 1834			Depression in mahogany prices	"Honduras Gazette and Commercial Advertiser I 1 p4 = 1 Jul 1826
Honduras Gazette and Commercial Advertiser I 28 p8 = 6 Jan 1827"			London Mah prices = 0.1.1(1/2) to 0.1.4 p ft Jul 26 / 0.0.8 to 0.0.9 p ft Jan 27 /xxx	
Ill 7			Yellow fever	1 Aug 1830	30 Aug 1830			Epidemic among HMS Blossom					
Ill 8			Cholera	1 Aug 1836	30 Sep 1836			Epidemic among former slaves from Havana					
War 15			Caste	30 Jul 1847		Sp	Ma	Maya wage war on Yucatan	"Fenix xxx
Siglo Diez y Nueve IV [Época] 208 p4 = 26 Dec 1848
Universal II 350 p3 = 31 Oct 1849 [CDMX]
Siglo Diez y Nueve VIII 1908 p1 = 17 Mar 1854"	"CP 2567 p 47
CP 2711 p 3"	"Bolland 75 252
Paetzold xxx"	"See Hon involvement in Ma slave trade ULTRAMAR,4642,Exp.2 / Sp aid with Ma attacks in Hon ULTRAMAR,4708,Exp.12"	
Crs 8			Battle of La Arada	2 Feb 1851				Refugees from Guatemala		"CP 2567 p 47
CP 1693 p 40"			
Nat 4				31 Oct 1852	31 Oct 1852			Severe wet season / Severe flooding of Belize Town					
Ill 9			Cholera	1 Jan 1854	30 Jan 1854			Epidemic among residents					
Tcl 1			Diseldorff Fire	13 Aug 1854	13 Aug 1854			Fire in Belize Town					
Tcl 2			Ambrister Fire	17 Jul 1856	17 Jul 1856			Fire in Belize Town					
Ill 10			Smallpox	1 May 1857	20 May 1857			Epidemic among residents					
Crs 9			Mahogany Collapse	1 Jun 1859	30 Jun 1859			Collapse of leading mahogany firms in Hon		"CP 2841 p 12
R 66 [4 Apr 1860]"	Burdon 3 228	"Possibly see Dominica Colonist VII New Series 347 p3 = 13 Feb 1847 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANACN&docref=image/v2%3A145F9FFAB4F60D2E%40EANACN-14C427722CE020F0%402395706-14C3E2A772DBAF10%402-14C3E2A772DBAF10%40 / Dominica Colonist VI New Series 326 p4 = 26 Sep 1846 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANACN&docref=image/v2%3A145F9FFAB4F60D2E%40EANACN-14C4276178069338%402395566-14C3E2A723F52788%403-14C3E2A723F52788%40 / Dominica Colonist VII New Series 371 p1 = 31 Jul 1847 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANACN&docref=image/v2%3A145F9FFAB4F60D2E%40EANACN-14C4278169708540%402395874-14C3E2A7DA954C40%400-14C3E2A7DA954C40%40 / Royal Gazette [Hamilton] XXIII 29 p3 = 16 Jul 1850 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANACN&docref=image/v2%3A145EB409234A954C%40EANACN-14995E4B87FB2AC8%402396955-149953F6B634FFB8%402-149953F6B634FFB8%40

Possibly see Hon letter 27 Nov 1849 in Times-Picayune [sn] p6 = 18 Dec 1849 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1223BCE5B718A166%40EANX-1224798E601E4E28%402396745-1224211A04A400E8%405-124F692CDD0B0521%40Important%2Bfrom%2BHonduras%2Band%2B%255BIllegible%255D"	
Ill 11			Yellow fever	1 Feb 1860	28 Feb 1860			Epidemic among residents					
Tcl 3			Mango Fire	10 Mar 1863	10 Mar 1863			Fire in Belize Town					
Crs 10			WIR Riots	13 Aug 1863	13 Aug 1863			WIR soldiers riot 					
Nat 5				15 Sep 1864	15 Sep 1864			Severe wet season / Severe flooding of Belize Town					
Ill 12			Yellow fever	1 Jun 1865	30 Jun 1865			Epidemic among Chinese immigrants					
Ill 13			Cholera	1 Dec 1867	30 Dec 1867			Epidemic among residents					
Ill 14			Yellow fever	1 Aug 1869	30 Aug 1869			Epidemic among residents					
Hos 22			Omoa Imprisonment	28 Jul 1873	28 Jul 1873	Sp		Sp Hon imprisons 2 residents of Sapodilla Cayes					
Crs 11			Long Depression	1 Sep 1873	30 Jul 1880			Depression in export trade		"C.1825 p 6
C.1622 p 56
C.2149 p 10
C.2444 p 37"			
Ill 15			Malaria	1 Dec 1874	30 Dec 1874			Epidemic among Caste refugees					
Crs 12			Totoposte Refugees	1 Jun 1890				Refugees from Totopose Wars in Sp CA					
Crs 13			Silver Crisis	1 Jul 1891	30 Dec 1894			Depression and instability in silver market		"C.6857-23
C.6857-44
C.7319-14
C.7944-14"			
Crs 14			Constabulary Riots	1 Nov 1894	30 Nov 1894			Constables and loggers riot					
Crs 15			Short Depression	1 Dec 1901	30 Dec 1902			Depression in export trade		Cd. 1388-14			
Ill 16			Yellow fever	1 Jan 1905	30 Jan 1905			Epidemic among residents					
Nat 6				1 Mar 1907	30 Mar 1908			Sever dry season / Severe drought in Belize Town					
Ill 17			TB	1 May 1910	30 May 1910			Epidemic among residents					
War 16			WWI	28 Jul 1914	11 Nov 1918					"Cd. 7622-59
Cd. 8973-6
Cd. 8434-2
Cmd. 1-17
Cmd. 508-10
Cmd. 4586 p 197"			
Tcl 4			Great Fire	17 Aug 1918	17 Aug 1918			Fire in Belize Town					
Ill 18			Spanish flu	1 Oct 1918				Epidemic among residents					
Crs 16			Ex-Servicemen’s Riots	22 Jul 1919	22 Jul 1919			Former servicemen of WWI riot					
Ill 19			Yellow fever	24 Aug 1921				Epidemic among SJC					
Crs 17			Great Depression	4 Sep 1924				Depression in export trade	New York Times ? NYC BRITISH HONDURAS HIT BY DEPRESSION 30 Dec 1934	"Cmd. 4586
Cmd. 6607
Cmd. 6070"			
Tcl 5				13 Sep 1931	13 Sep 1931			Fire in Belize Town					
Tcl 6				17 Apr 1932	17 Apr 1932			Fire in Belize Town					
War 17			WWII	1 Sep 1939	2 Sep 1945				"AP GALE|HQFAWA429255736,
GALE|HQCBRZ410385263,
HQMRNL018759175
Scotsman 30970 Edinburgh 31 Aug 1942 p 4, 5
Scotsman 30695 Edinburgh 1 Sep 1941 p 4
Chicago Defender National Ed. XXXVII 52 Chicago 18 Apr 1942 p 7"	"Cmd. 7167
Cmd. 7433
Cmd. 7715
Cmd. 7533 p 277"			
Crs 18			Sterling Crisis	18 Sep 1949				Devaluation of Sterling Pound	AP GALE|HQGDJY968760287	"Col R 49
Cmd. 7958
Cmd. 8243"			
Tcl 7			Artist’s Fire	5 Oct 1953	5 Oct 1953			Fire in Belize Town					
Ill 20			Gastroenteritis	1 Jan 1958	30 Dec 1958			Epidemic among residents					
Hos 23			Guatemalan Hostilities	21 Jan 1958		Sp		Guatemala xxx					
Hos 24			Chewing Gum / Watermelon War	6 Nov 1975	8 Jul 1977	Sp		Guatemala xxx	Document nyta000020011127d7b906tpn				
Crs 19			Salvadoran Wave	15 Oct 1979				Refugees from Salvadoran Civil War	Document NYTF000020050511df79017hz				
xxx			Sugar Crisis	1 Jan 1980				xxx	Document FTFT000020070505dgci03077				
Crs 20			Heads of Agreement Crisis	3 Apr 1981	3 Apr 1981			Riots					
Crs 21			Crime Wave	1 Jan 1983				Organised crime					
Ill 21			HIV / AIDS	1 Dec 1986				Epidemic among residents					
xxx			American orgs crisis	1 Jan 1983				xxx	AP GALE|CAHMGZ576566268				
xxx			Refugee crisis	1 Jan 1985				xxx	"AP GALE|JDGOIU443080636
Document asp0000020011125dhal00osa
Financial Times Survey of Belize 16 Oct 1985
Document lba0000020011204dj850126w"				


S Sources 1: Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID	PERIOD	PERIOD	SIZE	UNITS	ITEM	REPOSITORY	CITY	COUNTRY	CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I	VIA	NOTE	LINK	
S 1	1	1	MS	Add MS	1	2019	157097	mss	Additional Manuscripts	British Library	London	UK										BL Catalogue	"PERIOD = 1 set arbitrarily / couple Add MS dated BCE /BL Catalogue, Link: http://searcharchives.bl.uk/primo_library/libweb/action/search.do?vid=IAMS_VU2"		
S 2	2	1	MS	ADM d/d	1205	1998	363	series	"Records of the Admiralty, Naval Forces, Royal Marines, Coastguard, and related bodies"	National Archives	Kew	UK										TNA Kew Catalogue			
S 3	3	1	MS	"AGCA, a"	1544	1821	xxx			Archivo General de Centro América	Guatemala	Guatemala											"Microfilm copy by Ross Publishing LLC, New York, NY, USA Link: https://www.rosspub.com/guatemalaenglishbrochure.htm "		
S 4	4	1	MS	"AGN Mex, Historia, d"	1616	1880	597	vols	"V Colecciones y documentos, 257 Historia"	Archivo General de la Nación	Mexico	Mexico										AGN Mexico Guía	AGN Mexico Guía Link: https://archivos.gob.mx/GuiaGeneral/GuiaGeneral.html 		
S 5	5	1	MS	"AGN Mex, Reales Cédulas, d"	1520	1820	447	vols	"I Documentación de las instituciones coloniales, 100 Reales Cédulas"	Archivo General de la Nación	Mexico	Mexico										AGN Mexico Guía			
S 6	6	1	P	AHA 1898	xxx		1	vols	Annual report of the American Historical Association for the year 1898				Washington	USA	1899							Readex / US Congressional Serial Set		https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:SERIAL&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=113940A2F120EB68&svc_dat=Digital:ssetdoc&req_dat=B425E5B32E784515BC5AAA87BC16A340	
S 7	7	1	P	Aitzema	xxx		6	vols	Saken van staet en oorlogh in ende omtrent de Vereenigde Nederlanden				Hague	Netherlands	1669	1672						Goslinga			
S 12	12	1	S	Ann Reg	1758	2021	263	issues	The Annual Register				London	UK	1758	2021								"To 1799: https://access-newspaperarchive-com.ezp-prod1.hul.harvard.edu/browse/uk/middlesex/london/london-annual-register/
To 1830: http://nrs.harvard.edu/urn-3:HUL.FIG:000796411"	
S 13	13	1	MS	ANOM	xxx		xxx			Archives Nationales d'Outre-Mer	Aix-en-Provence	France													
S 15	15	1	P	APC Col	1613	1783	6	vols	Act of the Privy Council of England : colonial series				London	UK	1908	1912						Burdon 1		http://id.lib.harvard.edu/alma/99154274911603941/catalog	
S 16	16	1	P	Arthur	xxx		1	vols	"A candid examination of ""The defense of the settlers of Honduras"" : or, A fair inquiry into the truth and justice of their accusations against Colonel George Arthur, late Superintendent of that settlement"				London	UK	1824		"G. Arthur, J. Armstrong"						Printed for J. Butterworth and son	https://link.gale.com/apps/doc/U0107412823/MOME?u=camb55135&sid=MOME&xid=ace432cc	
S 17	17	1	P	Ashton	xxx		1	vols	"Ashton's memorial : An history of the strange adventures, and signal deliverances, of Mr. Philip Ashton, who, after he had made his escape from the pirates, liv'd alone on a desolate island for about sixteen months, &c. : With a short account of Mr. Nicholas Merritt, who was taken at the same time. : To which is added a sermon on Dan. 3. 17."				London	UK	1725									https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=0F2F82DC25AC64D8&svc_dat=Evans:eaidoc&req_dat=B425E5B32E784515BC5AAA87BC16A340	
S 		1	P	Ass y	1854	1869	6	vols	Votes of Assembly				xxx		xxx							Burdon 3 364		xxx	
S 		1	MS	Ass y	1863	1864	2	vols	Votes of Assembly	Archives and Records Service	Belmopan	Belize										Burdon 3	"y = 1863, 1864"		
S 18	18	1	P	Atkins	xxx		1	vols	"Voyage to Guinea, Brazil and the West Indies in HMS Swallow and Weymouth"				London	UK	1735									https://archive.org/details/voyagetoguineabr00atki	
S 24	24	1	P	Barlaeus	xxx		1	vols	"Rerum per octennium in Brasilia et alibi nuper gestarum sub praefectura J. Mauritii, Nassoviae, 1647"				Amsterdam	Netherlands	1647							Goslinga	"Barlaeus/Naber = Trans. and ed. S. P. l'Honoré Naber, Kaspar van Baerle. Nederlandsch Brazilië onder het bewind van Johan Maurits, grave van Nassau. 's-Gravenhage, 1923."	https://gallica.bnf.fr/ark:/12148/btv1b8556547p	
S 27	27	1	S	Bel G	1855	2021	xxx		Gazette				Belmopan	Belize	xxx								"Gazettes 1855–1860 in xxx /v Burdon 3 364
Gazettes 1861–1975 in CO 127
Gazettes 1976–Present in Archives and Records Service, or in Library Service
Published in Belize City 1861–1973
Gazette notices 1826 to c 1839 in Hon Alm / 1826 to c 1829 in Hon Gazette and Commercial Advertiser / 1838 to c 1841 in Belize Advertiser / 1840 to c 1848 Honduras Observer / 1854 to xxx in Packet Intelligencer
Possibly printed since 1835 as Govt Gazette /xxx"		
S 30	30	1	MS	Bib N Esp MSS/d	xxx		xxx		Manuscritos	Biblioteca Nacional de España	Madrid	Spain													
S 31	31	1	P	BL Thomason Tracts E. d	1640	1661	2008	vols	Thomason Tracts	British Library	London	UK										"G. K. Fortescue, Catalogue, London : 1908, Link: https://www.bl.uk/collection-guides/thomason-tracts "			
S 32	32	1	P	Blaeu	xxx		11	vols	"Atlas maior, sive, Cosmographia Blaviana : qua solum, salum, cœlum, accuratissime describuntur"				Amsterdam	Netherlands	1662	1672							"v2, 6, 10, 11 missing from Harvard"	"Harvard: http://id.lib.harvard.edu/alma/990040734920203941/catalog
Erfgoed Leiden en Omstreken: https://www.erfgoedleiden.nl/schatkamer/bladeren-door-blaeu "	
		1	P	Boyce	xxx		1	vols	Report to the Government ...				London	UK	1905		R. W. Boyce							xxx	
