Metadata: Table 1
Sheet	Column	Source	Notes
Storms	Name	US NOAA National Hurricane Centre. US NOAA National Centres for Environmental Information.	U = “unnamed” or “not named”
	Start		
	150 mi		
	50 mi		
	0 mi		
	Max wind		
	Min press		-1 = missing data
	Max cat w/in		
Storms	Parliament	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade.	Public Meeting counted as first Parliament. Legislative Council counted as one Parliament.
Storms	EM-DAT	Belgium Université catholique de Louvain Centre for Research on the Epidemiology of Disasters 	1 = yes
	EM-DAT Loss		Figures in current currency
	EM-DAT Deaths		
Storms	Loss	Belgium Université catholique de Louvain Centre for Research on the Epidemiology of Disasters. Belize NEMO. World Bank “Advancing Disaster Risk Finance in Belize” 2018 by Ishizawa & Gunasekera et al. US NOAA National Hurricane Centre.	Figures in current currency
	Deaths		
Trade + GDP	Imports	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade. British Honduras / Belize Government Gazette.	Figures in current currency
	Import units		
	Exports		Figures in current currency
	Export units		
	GDP	World Bank.	Figures in current currency
CPI	US	US Bureau of Labour Statistics.	1967 = 100
	UK	UK Office for National Statistics.	1974 = 100. CPI for 2020 excludes December.
	Belize	Belize Statistical Institute of Belize.	2011 = 100. CPI for 2020 excludes November and December.
FX	S$ to Lsd	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade.	S$ = Spanish dollar
	G$ to Lsd		G$ = US gold dollar
	USD to GBP	"EU European Central Bank. US Federal Reserve. UK Bank of England. via FXTOP sarl, France."	
	Lsd to BHD	"GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade; Sir J.A. Burdon, Archives v 3, p. 318"	BHD = British Honduras dollar
	USD to BHD		BHD = British Honduras dollar
Population	Censuses	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade. 	
	Estimates	"Author’s estimates from census data prior to 1960. World Bank beginning in 1960. Prior to 1841 = “The Growth and Development of Belize City” J.C. Everitt 2009; “British Honduras: The invention of a colonial territory” Odile Hoffmann 2014; The Diplomatic history of British Honduras, 1638-1901 by Robert Arthur Humphreys ; Belize SIB; Savanna-la-Mar Gazette (Jamaica) 15 Jul 1788 p. 3"	

Disasterssdsdf: Table 1
Start	Type	Deaths	Damage	unit	Multiplier	Damage	unit	year	Damage 2020	Description	Source for non-storm disasters	Source for multiplier	
1728	Anthropological	0	6	ships	600	3600	Lsd	1826	"898,180"	Raid on Belize River by the Spanish; “sharp Engagement”	Daily Journal issue 2224; 2504		
1729	Anthropological	0	140 / 14000 / 500000	ship / tonnes wood / Quintals logwood	600	84000	Lsd	1826	"20,957,527"	"Raid on New River & Hondo & Belize by Spanish; “taken all Vessels … burnt … about 12 to 16,000 Tons of Wood”; “they carried off about 30 White Men” from New River"	London Journal 532; Read’s Weekly Journal / British Gazetteer 375		
1730	Anthropological	0	0	ships	600	0	Lsd	1826	0	"Confrontation with Spanish, losses recovered"	Daily Journal 2996		
1731	Anthropological	0	3	ships	600	1800	Lsd	1826	"449,090"	Raid by Spanish; “several … ships and sloops … taken”	Grub Street Journal 70		
1731	Anthropological	2	1	ship	600	600	Lsd	1826	"149,697"	Attack at sea on John & Jane ship by Spanish; “several were killed”	Daily Journal 3345; London Evening Post 607		
1732	Anthropological	0	6	ships	600	3600	Lsd	1826	"898,180"	Raid by Spanish; “all the Bay Men were gone except eight or nine”; “remains … 30 Persons”	Universal Spectator / Weekly Journal 198; Read’s Weekly Journal / British Gazetteer 27 May 1732 375		
1732	Technological	0	2	ships	600	1200	Lsd	1826	"299,393"	Shipwreck	Daily Journal 3910		
1733	Technological	0	3	ships	600	1800	Lsd	1826	"449,090"	Shipwreck	Daily Journal 4011		
1739					600	0			0	Ship seizures during War of Jenkins’ Ear; 6 “small Brigantines” seized; loss est. 3000L 1742 currency per ship	"The profit and loss of Great-Britain and Spain : from the commencement of the present war, to this time, impartially stated … by Philalethes 1742 p. 7"	"7L 1739 currency per tonne, small ships being < 150 tonnes, est. by George Lyttleton 1739 in “Farther considerations on the present state of affairs, at home and abroad, as affected by the late convention, in a letter to the minister” p. 47"	
1747	Anthropological	0	3	ships	600	1800	Lsd	1826	"449,090"	Raid on Belize River by the Spanish; “taken several Ships”; population = 400	"“The Anglo-Guatemalan Dispute over British Honduras” by Donald Grunewald p. 23; The Diplomatic history of British Honduras, 1638-1901” by Robert Arthur Humphreys p. 2; General Evening Post 11 to 13 Aug 1747 2159; London Evening Post 4248"		
1754	Anthropological	0	0	Lsd		0		1754	0	Raid on & sacking of Belize River by the Spanish (Marqués de la Ensenada); settlement occupied by Spanish settlers; population = 100 (WSS) or 250 (DG) or 500 (LEP)	"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 84;“The Anglo-Guatemalan Dispute over British Honduras” by Donald Grunewald; London Evening Post 14 to 17 Dec 1754 4228; 28 to 31 Dec 1754 4234"	"5L per tonne logwood 1755 currency given in William Douglass 1755 “A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America” v 1 p. 89"	
1755	Anthropological	0	0	Lsd		0		1755	0	Resettlement by Baymen	Public Advertiser 6 Oct 1755 6543; Read’s Weekly Journal / British Gazetteer 2339; The Antigua Gazette 12 Apr 1955 p. 3		
1765	Anthropological	7	0	Lsd		0		1765	0	Revolt (?) by slaves; “Mr. Cook … three English seamen” killed; “several of the mutineers hanged”	Gazetteer & New Daily Advertiser 11431; 11518		
1770	Anthropological	3	0	Lsd		0		1770	0	"Dispute with Spanish, “several” baymen killed"	General Evening Post 1 to 4 Sep 1770 5757		
1771	Natural	80000	0	Lsd		0		1771	0	Locust outbreak leading to famine	London Evening Post 10 to 12 Dec 1771 issue 6854; General Evening Post 12 to 14 Sep 1771 issue 5916		
1772	Anthropological	1	0	Lsd		0		1772	0	Confrontation with Spanish by Glover’s Reef	London Evening Post issue 6915		
1773	Anthropological	3				0		1773	0	Attack on Belize River by “Indians”; “massacred numbers”	Middlesex Journal 30 Nov to 2 Dec 773 issue 730		
1773	Anthropological	2	0	Lsd		0		1773	0	Revolt by slaves	Morning Chronicle 1339		
1775	Anthropological	3	0	Lsd		0		1775	0	"Dispute with Spanish, “many” baymen killed"	London Evening Post issue 8258		
1779	Anthropological	2	0	Lsd		0		1779	0	"Attack on St. George’s Caye by the Spanish (Roberto de Rivas Betancourt); 95 to 100 imprisoned inCollege of St. Peter, Merida; they “deliver[ed] up our negroes, our money and our plate”"	"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 253; London Gazette 14 to 18 Dec 1779 issue 12040; Royal Gazette (Jamaica) 30 Jun 1781 p. 5"		
1779	Anthropological	4	0	Lsd		0		1779	0	Siege of Omoa by the English (Lt. Col. John Dalrymple & Capt. John Luttrell)	"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 253; London Gazette 14 to 18 Dec 1779 issue 12040"		
1780	Anthropological	0	0	Lsd		0		1780	0	Parlay at Black River by the Baymen on behalf of shoremen refuged in Roatan (Major Richard Hoare and 84 volunteers from the colony); may have turned hostile	"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 272"		
1784	Natural					0		1784	0	Hurricane of August	“Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97; London Chronicle xxx 1784 issue 371; Morning Chronicle / London Advertiser xxx 1785 xxx		
1785	Biological	9	0	Lsd		0		1785	0	Outbreak of “distemper”; “proved fatal to many” in New River	London Chronicle 5 to 8 Feb 1785 p. 7		
1785	Natural	7	1500	Lsd		1500	Lsd	1785	"592,549"	"Hurricane of August; Caused “immense damage”, not less than 1500L "	Times 21 Mar 1786 p. 3; “Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97		
1787	Anthropological					0		1787	0	Riots by new settlers from Mosquito Shore	Morning Chronicle 25 Jul 1787 issue 5680		
						0				Hurricane of late September; no. 168 on Chenoweth list	"Chenoweth “A Reassessment of Historical Atlantic Basin Tropical Cyclone Activity, 1700—1855” 2016 p. 218"		
1787	Natural	100	30000	Lsd		30000	Lsd	1787	"11,850,983"	"Hurricane of early September; “not less than 500 houses … blown down”; 30,000L damage; 11 ships destroyed; some recently arrived immigrants from Mosquito Shore given “four months provision” by Superintendent"	London Chronicle 4865; The World 325; “Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97; General Evening Post xxx 1788 issue xxx; Public Advertiser xxx 1788 issue xxx		
1789	Technological	5	1	ships	900	900	Lsd	1826	"224,545"	“Jane” runs ashore off Wales en route to Bristol; captain and crew die	"Times, 25 Nov 1789, p. 3"		
1792	Natural	9	2000000	feet of mahogany	8.4	336000	Lsd	1792	"125,745,162"	Flooding July to October in Belize town; 2 m ft. mahogany lost; “many ne***es perished”	Times 11 Feb 1973 p. 3		
1794	Anthropological	5	0	Lsd		0			0	“Indian” raid; one bayman shot; four raiders killed	Whitehall Evening Post 13 to 15 Mar 1794 issue 7135		
1798	Hostile	0	0	Lsd		0			0	Battle of St. George’s Caye	London Gazette No. 15100. p. 69		
1812	Natural									Hurricane of June	“Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97		
1813	Natural	0	50	pc houses	500	6250	Lsd	1856	"1,692,998"	Hurricane of January; no. 237 on Chenoweth list (there given as August); “did much mischief”; “broke down all the south side”; deaths mentioned but not from hurricane	Morning Post 11 Apr 1814 issue 13484;Hampshire Chronicle XL 2083; Chenoweth 2016 p. 224	"A millenium of microeconomic data, Bank of England. price = 1/2 of 1930 house price estimate; houses est. at 25"	
1823	Biological	155	0	Lsd		0			0	Outbreak; “many persons have died”	Hampshire Chronicle 9 Jan 1815 v XLII issue 2122; Times 18 Oct 1823 issue 12006		
1830	Biological	4	0	Lsd		0			0	Outbreak of yellow fever	"Memorial Inscriptions and Epitaphs : Belize, British Honduras by Usher, J.P."		
1831	Natural				900	0				Hurricane of unknown date; no. 129 in Chenoweth list	"Chenoweth “A Reassessment of Historical Atlantic Basin Tropical Cyclone Activity, 1700—1855” 2016 p. 186"		
1835	Technological	13	1	ships	900	900	Lsd	1826	"224,545"	Shipwreck HMS Firefly schooner	Belfast News-Letter 2 Jun 1835 10222		
1842	Technological	1	1	ships	900	900	Lsd	1826	"224,545"	Shipwreck HMS Spitfire	North Devon Journal XIX 958		
1854	Biological	230	0	Lsd		0	Lsd	1854	0	Outbreak of cholera	"Sir J.A. Burdon, Archives v 3, p. 174; Morning Chronicle 22 Mar 1854 27220"		
1854	Technological	0	95000	Lsd		95000	Lsd	1854	"26,490,431"	"Fire; 90,000 to 100,000L damage, "	"NYT “Fire in Honduras” 28 Sep 1854, p. 3;Morning Chronicle 18 Sep 1854 27374; "		
1856	Technological	0	100000	Lsd		100000	Lsd	1856	"27,087,960"	"Fire; 50 houses destroyed; $500,000 loss estimated (USD BHD?); 100,000L loss"	"NYT “Large Fire at Belize, Honduras” 18 Aug 1865 p. 4; Daily News 3199; Sir J.A. Burdon, Archives v 3, p. 190"		
1863	Technological	2	450	houses	1000	450000	Lsd	1856	"121,895,820"	Fire; 400 houses destroyed; 500 houses destroyed (JAB)	"The Growth and Development of Belize City by Everitt, J.C.; Daily News 5281; Sir J.A. Burdon, Archives v 3, p. 249"	"A millenium of microeconomic data, Bank of England. price = 1/2 of 1930 house price estimate; houses est. at 25"	
1866	Anthropological	0	0	Lsd		0	Lsd	1866	0	Capture of San Pedro on New River by Mr. Marcus Canul	"Sir J.A. Burdon, Archives v 3, p. 30"		
1866	Anthropological	5	0	Lsd		0	Lsd	1866	0	Confrontation with Mr. Canul to retake San Pedro on New River	"Sir J.A. Burdon, Archives v 3, p. 30"		
1866	Anthropological	2	45510	BHD		45510	BHD	1866	"2,725,077"	Raid on Qualm Hill on Rio Bravo by Mr. Marcus Canul	"Sir J.A. Burdon, Archives v 3, p. 29"		
1867	Anthropological	0	0	Lsd		0	Lsd	1867	0	Recapture of San Pedro by settlers	"Sir J.A. Burdon, Archives v 3, p. 32"		
1867	Anthropological	0	0	Lsd		0	Lsd	1867	0	Raid on Indian Hill & Mt. Hope	"Sir J.A. Burdon, Archives v 3, p. 32"		
1867	Anthropological	3	0	Lsd		0	Lsd	1867	0	Burning of San Jose by settlers; capture of Naranhal and Chorro by Corozal militia	"Sir J.A. Burdon, Archives v 3, p. 32"		
1867	Biological	580	0	Lsd		0	Lsd	1867	0	Outbreak of cholera	"Sir J.A. Burdon, Archives v 3, p. 299"		
1868	Anthropological	0	177031	BHD		177031	BHD	1868	"2,588,823"	Raid on Corozal by Mr. Marcus Canul; damage = compensation requested by Corozal; no deaths mentioned	"Sir J.A. Burdon, Archives v 3, p. 38"		
1872	Anthropological	1	0	Lsd		0	Lsd	1872	0	Raid on Water Bank by Mr. Marcus Canul	"Sir J.A. Burdon, Archives v 3, p. 328"		
1872	Anthropological	2	0	Lsd		0	Lsd	1872	0	Raid on Orange Walk by Mr. Marcus Canul	"Sir J.A. Burdon, Archives v 3, p. 41"		
1886	Biological	68	0	Lsd		0	Lsd	1886	0	Outbreak of yellow fever	"Sir J.A. Burdon, Archives v 3, p. 313; Report to the Government of British Honduras … by Sir R.W. Boyce p. 2"		
1892	Technological	9	1	ships	1200	1200	Lsd	1826	"299,393"	Shipwreck of schooner Ringdove	"NYT 23 June 1892, p. 10"		
1892	Technological	21	1	ships	1200	1200	Lsd	1826	"299,393"	Shipwreck of schooner Stranger during hurricane in Oct	Essex Standard v 62 issue 3228		
1894	Anthropological	0	0	Lsd					0	Riots by police force & forestry workmen	NYT “Police Revolt in Honduras” 12 Dec 1894 p. 5		
1905	Biological	8	0	Lsd					0	Outbreak of yellow fever	Report to the Government of British Honduras … by Sir R.W. Boyce p. 5		
1914	Anthropological	53	0	Lsd					0	WWI	Commonwealth War Graves Commission for 39 from BHTF and 12 from BWIR (whose biographies mentioned provenance); The Lusitania Resource for 2 perished in RMS Lusitania		
1918	Biological	1014	0	Lsd					0	Outbreak of Spanish flu	Report on recent epidemic of influenza in the town of Belize by Sgd. Thomas Gann 1919; Report on the influenza epidemic in the Districts by Thomas Gann 1919		
1918	Technological	1	0	Lsd					0	Fire	"Honduras Governor Killed, article in The Washington Post, 13 Sep 1918"		
1921	Biological	4	0	Lsd					0	Outbreak of yellow fever	"Public Health Reports, 26 Aug 1921, p 2084"		
1923	Technological	20	1	ships	1200	1200	Lsd	1826	"299,393"	Shipwreck during hurricane in April	Hull Daily Mail 11709		
1931	Technological	0	0	Lsd					0	Fire	NYT 14 Sep 1931 p. 7		
1931	Natural	2500							"255,256,579"	Landfall of unnamed 1931 hurricane			
1932	Technological	0	250000	USD		250000	USD		"9,440,146"	Fire; $250000 USD lost	"NYT “$250,000 Fire in Belize” 19 April 1932 p. 3"		
1939	Anthropological	10	0	Lsd		0	Lsd		0	WWII	"Commonwealth War Graves Commission for 4 from RAF, 6 from NCF, whose biographies mentioned provenance"		
1950	Anthropological	0	0	Lsd		0	Lsd		0	Riots	NYT “Princess Cancels Visit” 20 Feb 1950 p. 10		
1953	Technological	1	1000000	USD		1000000	USD		"19,375,281"	Fire; $1 m USD damage	NYT “Artist Arsonist gets 15 Years” 20 May 1954 p. 35		
1955	Natural	16							"BZD	96,514,925.37"	Close passage of Hurricane Janet			
1961	Natural	307							"BZD	1,038,389,740.73"	Landfall of Hurricane Hattie			
1970	Technological	4	1	Cessna	30000	30000	USD	1970	"399,732"	Plane crash	NYT “Four Killed in Crash of Chartered Plane” 27 May 1970 p. 93		
1974	Natural	1							0	Close passage of Hurricane Carmen			
1978	Natural	4							"BZD	198,257,537.05"	Landfall of Hurricane Greta			
1981	Anthropological	5	0	Lsd					0	Riots	NYT “A State of Emergency is Declared in Belize” 3 Apr 1981 p. 7; “Belize is Quiet After Rioting Over Independence Pact” 4 Apr 1981 p. 24		
1986	Biological	1753	0	Lsd					0	Outbreak of HIV / AIDS	Belize Ministry of Health; Belize National AIDS Commission		
1997	Technological	22	2	ships					0	Shipwreck	EM-DAT		
1998	Natural	9							"BZD	158,679.00"	Close passage of Hurricane Mitch			
2000	Natural	19							"BZD	841,311,627.80"	Landfall of Hurricane Keith			
2001	Natural	24							"BZD	644,295,433.70"	Landfall of Hurricane Iris			
2005	Natural	3							0	Close passage of Hurricane Gamma			
2008	Natural	5	0	Lsd					0	Flash flooding in Stann Creek caused by Hurricane Arthur	Channel 7 News 2 Jun 2008		
2008	Natural	5							"BZD	187,415,194.90"	Landfall of Hurricane Arthur			
2009	Biological	1	0	Lsd					0	Outbreak of swine flu	"Shahera Bodden, 29, is Belize’s 1st confirmed death from swine flu, article in Amandala, 17 Jan 2014, online"		
2010	Natural	1							"BZD	74,554,351.45"	Landfall of Hurricane Richard			
2017	Anthropological	0	0	Lsd					0	"Detonation of grenade in San Pedro, AC"	Ambergris Today 18 Sep 2017		
2017	Technological	1	14	houses					0	"Explosion in quarry in Santa Cruz, CY; 14 houses, 10 cars significantly damaged"	BBN 13 Dec 2017; Channel 7 News 13 Dec 2017		
2019	Technological	2	1	speedboat		10000	USD	2019	"20,235"	Explosion of water taxi; two girls died	San Pedro Sun 9 May 2019		
2019	Biological	277	0	Lsd						Outbreak of COVID-19	Belize Ministry of Health		
			14000		11	154000	Lsd	1729	"85,884,767"				
													
													
													
													
													
													
										315	Storms		
										46	Diseases		
										2092	Hostilities		
											Other		
											0.146031746031746		

Disaster Deaths: Table 1
Start	Type	Subtype	R Deaths	Population	Multiplier	Multiplier	Multiplier	Adder	E Deaths	Description	Source
1701	Anthropological	Raid		0	0	0	0		0		
1715	Natural	Famine		220	220	0.7	0.03		5		
1716	Anthropological	Raid		250	250	0	0		0		
1717	Anthropological	Raid		0	0	0	0		0		
1723	Anthropological	Raid		0	0	0	0		0		
1725	Anthropological	Engagement		380	380	0	0		0		
1725	Anthropological	Engagement		380	3	13	0.8		31		
1726	Anthropological	Engagement		395	395	0	0		0		
1728	Anthropological	Engagement		425	425	0	0		0		
1729	Anthropological	Raid		440	440	0	0		0		
1730	Anthropological	Engagement		455	455	0	0		0		
1731	Anthropological	Engagement	2	19	19				2		
1737	Anthropological	Engagement		440	440	0	0		0		
1737	Biological	Outbreak		440	440	0.4	0.03	7.8	13		
1739	Anthropological	Raid		518	518	0	0		0		
1747	Anthropological	Raid		829	829	0	0		0		
1751	Anthropological	Raid		984	984	0	0		0		
1754	Anthropological	Raid		0	0	0	0		0		
1755	Anthropological	Resettlement		"1,205"	"1,205"	0	0		0		
1765	Anthropological	Riot	4	"1,504"	"1,504"			4	8		
1770	Anthropological	Riot		"1,702"	"1,702"	0.1	0.1		17		
1771	Natural	Famine	80000	"1,741"	"1,741"				"80,000"		
1772	Anthropological	Engagement	1	"1,781"	"1,781"				1		
1773	Anthropological	Engagement		"1,821"	"1,821"	0.7	0.03		38		
1773	Anthropological	Riot	4	"1,821"	"1,821"				4		
1775	Anthropological	Engagement		"1,900"	"1,900"	0.7	0.03		40		
1779	Anthropological	Engagement	2	0	0				2		
1779	Anthropological	Engagement	4	0	0				4		
1780	Anthropological	Engagement		0	0	0	0		0		
1784	Natural	Storm		"2,078"	"2,078"	0	0		0		
1785	Biological	Outbreak		"2,147"	"2,147"	0.3	0.03		19		
1785	Natural	Storm	7	"2,147"	"2,147"				7		
1787	Anthropological	Riot		"3,348"	"3,348"	0	0		0		
1787	Natural	Storm	143	"3,348"	"3,348"				143		
1788	Biological	Outbreak	50	"3,063"	"3,063"			100	150		
1792	Natural	Flooding		"2,719"	"2,719"	0.7	0.03		57		
1794	Anthropological	Engagement	5	"2,944"	"2,944"				5		
1798	Hostile	Engagement		"3,395"	"3,395"	0	0		0		
1812	Natural	Storm		"3,924"	"3,924"	0	0		0		
1813	Natural	Storm		"3,941"	"3,941"	0	0		0		
1823	Biological	Outbreak	155	"4,107"	"4,107"				155		
1824		Engagement		"4,622"	15	1	1		15		
1830	Biological	Outbreak	4	"4,336"	"4,336"				4		
1831	Natural	Storm	1	"4,436"	"4,436"				1		
1852	Natural	Flooding	9	"13,550"	"13,550"			3	12		
1854	Technological	Fire		"14,517"	"14,517"	0	0		0		
1854	Biological	Outbreak	230	"14,517"	"14,517"				230		
1856	Technological	Fire		"16,773"	"16,773"	0	0		0		
1857	Biological	Outbreak		"18,545"	"18,545"	0.4	0.005		37		
1860	Biological	Outbreak		"23,863"	"23,863"	0.8	0.003		57		
1863	Technological	Fire	2	"25,450"	"25,450"				2		
1863	Anthropological	Riot	2	"25,450"	"25,450"				2		
1864	Natural	Flooding		"25,358"	"25,358"	0	0		0		
1864	Natural	Gales		"25,358"	"25,358"	0	0		0		
1866	Anthropological	Engagement	5	"25,173"	"25,173"				5		
1866	Anthropological	Raid	0	"25,173"	"25,173"				0		
1866	Anthropological	Raid	2	"25,173"	"25,173"				2		
1867	Biological	Outbreak	580	"25,080"	"25,080"				580		
1867	Anthropological	Raid	0	"25,080"	"25,080"				0		
1867	Anthropological	Raid	0	"25,080"	"25,080"				0		
1867	Anthropological	Raid	3	"25,080"	"25,080"				3		
1868	Anthropological	Raid	0	"24,988"	"24,988"				0		
1872	Anthropological	Raid	1	"24,984"	"24,984"				1		
1872	Anthropological	Raid	2	"24,984"	"24,984"				2		
1886	Biological	Outbreak	68	"29,462"	"29,462"				68		
1894	Anthropological	Riot	0	"33,273"	"33,273"				0		
1905	Biological	Outbreak	8	"38,671"	"38,671"				8		
1914	Anthropological	Engagement	53	"41,916"	"41,916"				53		
1918	Technological	Fire	1	"43,859"	"43,859"				1		
1918	Biological	Outbreak	1014	"43,859"	"43,859"				"1,014"		
1921	Biological	Outbreak	4	"45,317"	"45,317"				4		
1931	Technological	Fire	0	"51,347"	"51,347"				0		
1931	Natural	Storm	2500	"51,347"	"51,347"				"2,500"		
