Primary P: C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	VOLS	ITEM	CITY	COUNTRY	FIRST PUB	LAST PUB	VIA	NOTE	LINK	
		P	"Perez, Documentos"	xxx		1	Documentos sobre Belice o Balice	Mexico	Mexico	1958	1958		Edited by Gustavo A. Pérez Trejo		
		P	"Perez, Pagina"	xxx		1	"Boletín Bibliográfico de la Secretaría de Hacienda y Crédito Público, nos. 394—5, Una página histórica sobre Belice "	Mexico	Mexico	1968	1968	Gerhard 75	By Gustavo A. Pérez Trejo		
		P	Wassenaer	xxx		21	"Historisch verhael alder ghedenck-weerdichste geschiedenisse, die hier en daer in Europa, als in Duijtsch-lant, Vranckrijck, Enghelant, Spaengien, Hungarijen, Polen, Sevenberghen, Wallachien, Moldavien, Turckijen en Neder-lant, van den beginne des jaers 1621 ..."	Amsterdam	Netherlands	1622	1635	Goslinga			
		P	Blaeu	xxx		11	"Atlas maior, sive, Cosmographia Blaviana : qua solum, salum, cœlum, accuratissime describuntur"	Amsterdam	Netherlands	1662	1672		"v2, 6, 10, 11 missing from Harvard"	"Harvard: http://id.lib.harvard.edu/alma/990040734920203941/catalog
Erfgoed Leiden en Omstreken: https://www.erfgoedleiden.nl/schatkamer/bladeren-door-blaeu "	
		P	Aitzema	xxx		6	Saken van staet en oorlogh in ende omtrent de Vereenigde Nederlanden	Hague	Netherlands	1669	1672	Goslinga			
		P	Wright/van Dam	1621	1649	2	Nederlandsche zeevaarders op de eilanden in de Caraïbische zee en aan de kust van Columbia en Venezuela gedurende de jaren 1621-1648(9) Documenten hoofdzakelijk uit het Archivo general de Indias te Sevilla	Utrecht	Netherlands	1934	1935	Goslinga	Edited by Irene A. Wright / Translations by Cornelis F. A. van Dam	"Delpher v1: https://resolver.kb.nl/resolve?urn=MMKB05:000038083 = file:///Users/angelnavidad/Downloads/MMKB05_000038083_pdf.pdf
Delpher v2: https://resolver.kb.nl/resolve?urn=MMKB05:000038084 = file:///Users/angelnavidad/Downloads/MMKB05_000038084_pdf.pdf"	
		P	Exquemeling	1666	1674	1	De Americaensche zee-roovers	Amsterdam	Netherlands	1678	1678			"https://link.gale.com/apps/doc/CY0103030375/SABN?u=camb55135&sid=SABN&xid=b83ad9b2
English translation: https://www.gutenberg.org/dirs/2/6/6/9/26690/26690-h/26690-h.htm"	
		P	Laet a	1624	1636	1	"Historie ofte iaerlijck verhael van de verrichtinghen der geoctroyeerde West-Indische Compagnie, zedert haer begin, tot het eynde van 't jaer sesthien-hondert ses-en-dertich; begrepen in derthien boecken, ende met verscheyden koperen platen verciert"	Leiden	Netherlands	1644	1644	Goslinga	"Laet/Naber = version edited by S. P. l'Honoré Naber = Iaerlyck verhael van de verrichtinghen der Geoctroyeerde West-Indische compagnie [Hague, Mart. Nijhoff, 1931–37], 4 vols

Laet port = Portuguese translation by Drs. Jose Hygino Duarte Pereira and Pedro Souto Maior = Historia ou annaes dos feitos da Companhia privilegiada das Indias occidentaes desde o seu começo até ao fim do anno de 1636 [Rio de Janeiro, Officinas graphicas da Bibliotheca nacional, 1916-1925], 2 vols"	"http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/historie-ofte-iaerlĳck-verhael-van-de/docview/2090303526/se-2?accountid=11311

Portuguese translation: https://hdl.handle.net/2027/mdp.39015077856105

Laet/Naber, v 4: https://resolver.kb.nl/resolve?urn=MMKB21:043711000
"	
		P	Barlaeus	xxx		1	"Rerum per octennium in Brasilia et alibi nuper gestarum sub praefectura J. Mauritii, Nassoviae, 1647"	Amsterdam	Netherlands	1647	1647	Goslinga	"Barlaeus/Naber = Trans. and ed. S. P. l'Honoré Naber, Kaspar van Baerle. Nederlandsch Brazilië onder het bewind van Johan Maurits, grave van Nassau. 's-Gravenhage, 1923."	https://gallica.bnf.fr/ark:/12148/btv1b8556547p	
		P	Haefkens	xxx		1	"Centraal Amerika : uit een geschiedkundig, aardrijkskundig en statistiek oogpunt beschouwd"	Dordrecht	Netherlands	1832	1832	Barke 16 182	"Sp edition by Theodora J. M. van Lottum, Guatemala, Editorial Universitaria, 1969"	Dutch: https://www.google.com/books/edition/Centraal_Amerika/QEwCAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover	
		P	Kernkamp	xxx		1	"Bijdragen en mededelingen van het Historisch Genootschap, v 29, Zweedsche archivalia uitgegeven door G. W. Kernkamp"	Amsterdam	Netherlands	1908	1908	Goslinga		https://www.dbnl.org/tekst/_bij005190801_01/_bij005190801_01_0005.php	
		P	Laet a	xxx		1	"Nieuwe Wereldt ofte Beschrijvinghe van West-Indien, uit veelerhande Schriften ende Aen-teekeningen van verscheyden Natien"	Leiden	Netherlands	1625	1625			"https://link.gale.com/apps/doc/U0100111972/MOME?u=camb55135&sid=MOME&xid=0893590d
Latin translation: file:///Users/angelnavidad/Downloads/Novus_orbis,_seu_descriptio_In.pdf
Spanish translation: https://hdl.handle.net/2027/txu.059173017954270"	
		P	Naber/Wright	xxx		1	Piet Heyn en de Zilvervloot	Utrecht	Netherlands	1928	1928	Goslinga	Edited by S. P. l'Honoré Naber and Irene A. Wright		
		P	CDIE	xxx		113	Colección de documentos inéditos para la historia de España	Madrid	Spain	1842	1895		112 vols [1842–95] mentioned in some literature /eg Díaz-Trechuelo Spínola 1970 Link: http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/america-en-la-coleccion-de-documentos-ineditos/docview/1300364864/se-2?accountid=11311 	http://id.lib.harvard.edu/alma/990072058750203941/catalog	
		P	CDI	1251	1796	42	"Colección de documentos inéditos, relativos al descubrimiento, conquista y organización de las antiguas posesiones españolas de América y Oceanía, sacados de los archivos del reino, y muy especial del de las Indias"	Madrid	Spain	1864	1884			http://id.lib.harvard.edu/alma/99154275040603941/catalog	
		P	Spain CU	xxx		22	Cartografía y relaciones históricas de Ultramar	Madrid	Spain	1949	1999	Finamore 81	"By Sevicio Geográfico e Historico del Ejercito
Titles = Cartografía de Ultramar
See maps 1753, 1764, 1780 Link: http://www.stgeorgescayebelize.org/evolution-of-name.html "	xxx	
		P	Duro	xxx		9	Armada española desde la unión de los reinos de Castilla y de León	Madrid	Spain	1895	1903		Attributed to Cesáreo Fernández Duro		
		P	Herrera	1492	xxx	4	Historia general de los hechos de los castellanos en las islas i tierra firme del mar oceano 	Madrid	Spain	1601	1615		1730 edition in 8 vols at Gale/Sabin Americana	Gale/Sabin Americana v1: https://link.gale.com/apps/doc/CY0111567515/SABN?u=camb55135&sid=SABN&xid=3acb195c	
		P	Oviedo	xxx		4	"Historia general y natural de las Indias, islas y tierra-firme del mar océano"	Madrid	Spain	1851	1855		"First vol published 1535 in Seville / intended as 3 vols
First full publication 1851–1855 in Madrid by RAH / in 4 vols"	"v 1: http://www.cervantesvirtual.com/nd/ark:/59851/bmc668b5
v 2: http://www.cervantesvirtual.com/nd/ark:/59851/bmc2f7m2
v 3: http://www.cervantesvirtual.com/nd/ark:/59851/bmcsb4c5
v 4: http://www.cervantesvirtual.com/nd/ark:/59851/bmcc53h5"	
		P	Lopez	xxx		2	Geografía y descripción universal de las Indias	Madrid	Spain	1894	1894			"Google v 1: https://www.google.com/books/edition/Geograf%C3%ADa_y_descripción_universal_de_l/inYoAQAAIAAJ?hl=en 
Google v 2: https://www.google.com/books/edition/Geograf%C3%ADa_y_descripción_universal_de_l/SzxCAAAAIAAJ?hl=en"	
		P	Veitia Linage	xxx		2	Norte de la contratacion de las Indias Occidentales	Seville	Spain	1672	1672	Lang	By Joseph de Veitia Linage	https://link.gale.com/apps/doc/U0100219950/MOME?u=camb55135&sid=MOME&xid=40f105e8	
		P	Roteta	1655	1694	1	Forma de asegurar los puertos y poblaciones de todas las costas de las Indias	Madrid	Spain	1694	1694			https://www.wdl.org/en/item/4393/	
		P	Cogolludo	1506	1656	1	Historia de Yucathan	Madrid	Spain	1688	1688			"Gallica: https://gallica.bnf.fr/ark:/12148/bpt6k829446
Gale/Sabin: https://link.gale.com/apps/doc/CY0102936949/SABN?u=camb55135&sid=SABN&xid=fbdf1b13"	
		P	"Sanchez, Rel"	1641	1642	1	"Relacion del suceso que tuvo Francisco Diaz Pimienta, general de la real armada de las Indias, en la isla de Santa Catalina"	Madrid	Spain	1642	1642				
		P	Castillo	xxx		1	Historia verdadera de la conquista de la Nueva España	Madrid	Spain	1632	1632		"Abridged, translated version by D. Carrasco, The History of the Conquest of New Spain, Albuquerque 2008, Link: file:///Users/angelnavidad/Downloads/David%20Carrasco%20-%20The%20History%20of%20the%20Conquest%20of%20New%20Spain%20by%20Bernal%20Diaz%20del%20Castillo-University%20of%20New%20Mexico%20Press%20(2009).pdf"	http://bdh.bne.es/bnesearch/detalle/bdh0000012937 	
		P	Villagutierre Sotomayor	xxx		1	"Historia de la conquista de la provincia de El Itza, reduccion, y progressos de la de El Lacandon, y otras naciones de indios Barbaros, de la mediacion de el reyno de Guatimala, a las provincias de Yucatan, en la America septentrional"	Madrid	Spain	1701	1701				
		P	FSP	1373	1974	170	British and Foreign State Papers	London	UK	1841	1977	Burdon 1		http://id.lib.harvard.edu/alma/99154275019103941/catalog	
		P	CSPC	1574	1739	41	"Calendar of State Papers, Colonial, America and West Indies"	London	UK	1860	1994			https://www-british-history-ac-uk.ezp-prod1.hul.harvard.edu/search/series/cal-state-papers--colonial--america-west-indies	
		P	BTPJ	1704	1782	14	"Board of Trade and Plantations, Journal"	London	UK	1920	1938			https://www.british-history.ac.uk/search/series/jrnl-trade-plantations	
		P	APC Col	1613	1783	6	Act of the Privy Council of England : colonial series	London	UK	1908	1912	Burdon 1		http://id.lib.harvard.edu/alma/99154274911603941/catalog	
		P	Churchill	xxx		6	A collection of voyages and travels	London	UK	xxx	1732	Finamore 72	"Mosquito Shore voyage in 1699 in v 6, 282–298"	Gale v 6: https://link.gale.com/apps/doc/CY0105640354/SABN?u=camb55135&sid=SABN&xid=7b583057&pg=1	
		P	Burdon d	1587	xxx	3	Archives of British Honduras	London	UK	1931	1935			"Lib Service v1: file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%201,%20From%20the%20earliest%20date%20to%20A.%20D1800.pdf
Lib Service v2: file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%202,%201801-1840.pdf
Lib Service v3: file:///Users/angelnavidad/Downloads/Archives_of_British_Honduras_From_1841_1.pdf"	
		P	Coxe	1700	1788	3	"Memoirs of the kings of Spain of the House of Bourbon, from the accession of Philip V. to the death of Charles III. 1700 to 1788. Drawn from the original and unpublished documents"	London	UK	1813	1813		First ed in 3 vols / Second ed 1815 in 5 vols / Sp ed 1846–47 in 4 vols Link v 1: https://www.google.com/books/edition/_/j02dtXJSvHgC?hl=en&gbpv=1	http://nrs.harvard.edu/urn-3:HUL.FIG:004500016	
		P	Lon 62	xxx		3	"The American gazetteer : containing a distinct account of all the parts of the New world : their situation, climate, soil, produce, former and present condition : commodities, manufactures, and commerce : together with an accurate account of the cities, towns, ports, bays, rivers, lakes, mountains, passes, and fortifications ..."	London	UK	1762	1762	Gale / Sabin Americana	Printed for A. Millar [etc.]	"Gale/Sabin Americana v1: https://link.gale.com/apps/doc/CY0103933433/SABN?u=camb55135&sid=SABN&xid=1c2f0c88
Gale/Sabin Americana v2: https://link.gale.com/apps/doc/CY0103933762/SABN?u=camb55135&sid=SABN&xid=919c328b 
Gale/Sabin Americana v3: https://link.gale.com/apps/doc/CY0103934111/SABN?u=camb55135&sid=SABN&xid=0aef762d"	
		P	Johnson	1629	1724	2	A General History of the Robberies and Murders of the most notorious Pyrates	London	UK	1724	1724		Capt Charles Johnson alias Daniel Defoe?	"Gale/ECCO: https://link.gale.com/apps/doc/CW0103162468/ECCO?u=camb55135&sid=ECCO&xid=c44a58e0
Gutenberg: http://www.gutenberg.org/files/40580/40580-h/40580-h.htm "	
		P	Burke	xxx		2	An Account of the European Settlements in America	London	UK	1757	1757		Printed for R. and J. Dodsley ...	"HathiTrust v1: https://hdl.handle.net/2027/nnc2.ark:/13960/t51g2s09x
HathiTrust v2: https://hdl.handle.net/2027/nnc2.ark:/13960/t5q83cw18"	
		P	Catesby	xxx		2	"Natural History of Carolina, Florida and the Bahama Islands"	London	UK	1731	1743		Printed by Benjamin White	xxx	
		P	Edwards	xxx		2	"The History, Civil and Commercial, of the British Colonies in the West Indies"	London	UK	1793	1793		Printed for John Stockdale	"Gale/ECCO v1: https://link.gale.com/apps/doc/CW0103748193/ECCO?u=camb55135&sid=ECCO&xid=ed813523
Gale/ECCO v2: https://link.gale.com/apps/doc/CW0103748733/ECCO?u=camb55135&sid=ECCO&xid=d31d617d"	
		P	Sloane	xxx		2	"A voyage to the islands Madera, Barbados, Nieves, S. Christophers and Jamaica, : with the natural history of the Herbs and Trees, Four-Footed Beasts, Fishes, Birds, Insects, Reptiles, &c. of the last of those islands; to which is prefix'd an introduction, wherein is an account of the inhabitants, air, waters, diseases, trade, &c. of that Place, with some Relations concerning the Neighbouring Continent, and Islands of America. Illustrated with the figures of the things describ'd, which have not been heretofore engraved; In large Copper-Plates as big as the Life."	London	UK	1707				"v 1: https://link.gale.com/apps/doc/CW0101368735/ECCO?u=camb55135&sid=ECCO&xid=46a5e1e9&pg=1
v 2: https://link.gale.com/apps/doc/CW0101369488/ECCO?u=camb55135&sid=ECCO&xid=35d52638&pg=1"	
		P	Stephens	xxx		2	"Incidents of travel in Central America, Chiapas, and Yucatan"	London	UK	1841	1841			"Google v1: https://www.google.com/books/edition/Incidents_of_Travel_in_Central_America_C/4y8TAAAAYAAJ?hl=en
Google v2: https://www.google.com/books/edition/_/Pu0MAAAAIAAJ?hl=en&sa=X&ved=2ahUKEwiUoq-n-rvwAhVlUN8KHbXYASEQ8fIDegQIARAD"	
		P	Lon 24	1814	1824	1	"The defence, &c. &c."	London	UK	1824	1824	Gale / Slavery and Anti-Slavery	"= Defence of the settlers of Honduras, Printed by A. J. Valpy"	https://link.gale.com/apps/doc/DS0103730001/SAS?u=camb55135&sid=SAS&xid=1ede003f	
		P	Lon 90 Narrative	1790	1790	1	"A narrative of the negotiations occasioned by the dispute between England and Spain, in the year 1790"	London	UK	1790	1790	Gale / Sabin Americana		https://link.gale.com/apps/doc/CY0102254917/SABN?u=camb55135&sid=SABN&xid=5592a75c	
		P	Lon 79	1763	1779	1	"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore : in which all the accusations brought against the subjects of Great Britain settled in the bay of Honduras : and against the ancient British settlement in the free and independent dominions of the Mosquito shore : are candidly stated and refuted : and the importance of the Mosquito shore to Great Britain, delineated and ascertained ..."	London	UK	1779	1779	Gale / Sabin Americana	Printed for T. Cadell	https://link.gale.com/apps/doc/CY0100038323/SABN?u=camb55135&sid=SABN&xid=46610deb	
		P	Cook	1765	1765	1	"Remarks on a passage from the River Balise, in the Bay of Honduras, to Merida; the Capital of the Province of jucatan, In the Spanish West Indies"	London	UK	1769	1769			https://link.gale.com/apps/doc/CW0125214000/ECCO?u=camb55135&sid=ECCO&xid=5b3033ca&pg=1	
		P	Honestus	1739	1741	1	"The profit and loss of Great Britain in the present war with Spain : from July 1739, to July 1741 : in a letter to a friend"	London	UK	1741	1741		"Printed for J. Roberts, ..."	https://link.gale.com/apps/doc/U0100790139/MOME?u=camb55135&sid=MOME&xid=a90ee074	
		P	Lon 29	1725	1729	1	Observations on the conduct of Great-Britain : with regard to the negociations and other transactions abroad	London	UK	1729	1729	Gale / Sabin Americana	Printed and sold by J. Roberts	https://link.gale.com/apps/doc/U0100653813/MOME?u=camb55135&sid=MOME&xid=1322953b	
		P	Harlow	1642	1645	1	"Camden Miscellany, volume XIII, The voyages of Captain William Jackson, 1642-5  
"	London	UK	1924	1924	RHS Catalogue	"= Camden Third Series, volume XXXIV /RHS Catalogue Link: https://royalhistsoc.org/publications/camden-series/ "	file:///Users/angelnavidad/Downloads/harlow1924.pdf	
		P	Gage	1625	1637	1	"The English-American, his travail by sea and land"	London	UK	1648	1648	Oxford DNB		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/english-american-his-travail-sea-land-new-survey/docview/2248525331/se-2?accountid=11311	
		P	Armstrong	xxx		1	"A candid examination of ""The defense of the settlers of Honduras"" : or, A fair inquiry into the truth and justice of their accusations against Colonel George Arthur, late Superintendent of that settlement"	London	UK	1824	1824		Printed for J. Butterworth and son	https://link.gale.com/apps/doc/U0107412823/MOME?u=camb55135&sid=MOME&xid=ace432cc	
		P	Ashton	xxx		1	"Ashton's memorial : An history of the strange adventures, and signal deliverances, of Mr. Philip Ashton, who, after he had made his escape from the pirates, liv'd alone on a desolate island for about sixteen months, &c. : With a short account of Mr. Nicholas Merritt, who was taken at the same time. : To which is added a sermon on Dan. 3. 17."	London	UK	1725	1725			https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=0F2F82DC25AC64D8&svc_dat=Evans:eaidoc&req_dat=B425E5B32E784515BC5AAA87BC16A340	
		P	Atkins	xxx		1	"Voyage to Guinea, Brazil and the West Indies in HMS Swallow and Weymouth"	London	UK	1735	1735			https://archive.org/details/voyagetoguineabr00atki	
		P	Castell	xxx		1	"A short discoverie of the coasts and continent of America, from the equinoctiall northward, and the adjacent isles"	London	UK	1644	1644	Oxford DNB		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/short-discoverie-coasts-continent-america/docview/2240968812/se-2?accountid=11311	
		P	Cockburn	xxx		1	"A journey over land, from the Gulf of Honduras to the great South-Sea. Performed by John Cockburn, and five other Englishmen, viz. Thomas Rounce, Richard Banister, John Holland, Thomas Robinson, and John Ballman; Who were taken by a Spanish Guarda-Costa, in the John and Jane, Edward Burt Master, and set on Shoar at a Place called Forto-Cavalo, naked and wounded, as mentioned in several News-Papers of October, 1731. Containing, Variety of extraordinary Distresses and Adventures, and some New and Useful Discoveries of the Inland of those almost unknown Parts of America: As also, An exact Account of the Manners, Customs, and Behaviour of the several Indians inhabiting a Tract of Land of 2400 Miles; particularly of their Dispositions towards the Spaniards and English. To which is added, a curious piece, written in the reign of King James I. and never before printed, intitled, A brief discoverye of some things best worth noteinge in the travells of Nicholas Withington, a Factor in the East-Indiase"	London	UK	1735	1735		"London : printed for C. Rivington, at the Bible and Crown in St. Paul's Church yard, M.DCC.XXXV. [1735"	https://link.gale.com/apps/doc/CW0102436627/ECCO?u=camb55135&sid=ECCO&xid=807437e6&pg=1	
		P	Cockburn	xxx		1	"The unfortunate Englishmen, or, A faithful narrative of the distresses and adventures of John Cockburn, and five other English mariners ... who were taken by a Spanish guarda costa in the John and Ann, Edward Burt, master, and set on shore at a place call'd Porto-Cavallo ... "	London	UK	1740	1740			https://link.gale.com/apps/doc/CY0101299426/SABN?u=camb55135&sid=SABN&xid=cb833230	
		P	Crowe	xxx		1	"The gospel in Central America; containing a sketch of the country, physical and geographical, historical and political, moral and religious: a history of the Baptist mission in British Honduras, and of the introduction of the Bible into the Spanish American republic of Guatemala"	London	UK	1850	1850			https://www.google.com/books/edition/The_Gospel_in_Central_America/bbfvrEZZYa4C?hl=en&gbpv=1&printsec=frontcover	
		P	Dunn	xxx		1	"Guatimala, or the Republic of Central America, in 1827-8 : being sketches and memorandums made during a twelve-months' residence"	London	UK	1829	1829			https://www.google.com/books/edition/Guatimala_Or_the_Republic_of_Central_Ame/y3VHAAAAYAAJ?hl=en	
		P	ECCACAC	xxx		1	"Brief statement, supported by original documents, of the important grants conceded to the Eastern Coast of Central America Commercial and Agricultural Company by the State of Guatemala"	London	UK	1839	1839	Gale / Making of the Modern World		https://link.gale.com/apps/doc/U0105696622/MOME?u=camb55135&sid=MOME&xid=7e4b2aed	
		P	Henderson	xxx		1	"An account of the British settlement of Honduras : being a view of its commercial and agricultural resources, soil, climate, natural history, &c. : to which are added, sketches of the manners and customs of the Mosquito Indians, preceded by the journal of a voyage to the Mosquito shore ..."	London	UK	1809	1809			https://link.gale.com/apps/doc/CY0102004169/SABN?u=camb55135&sid=SABN&xid=76d2c636	
		P	Jefferys	xxx		1	"The West-India atlas, or, A compendious description of the West-Indies : illustrated with forty correct charts and maps, taken from actual surveys : together with an historical account of the several countries and islands which compose that part of the world, their discovery, situation, extent, boundaries, product, trade, inhabitants, strength, government, religion, &c."	London	UK	1775	1775			"Book: https://link.gale.com/apps/doc/CY0110763069/SABN?u=camb55135&sid=SABN&xid=f28b570d
Map of Hon: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~2799~310048:The-Bay-of-Honduras--By-Thos--Jeffr# 
Map of Hon: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~1924~120030:Bay-of-Honduras-?qvq=w4s:/when%2F1776;q:%3D%22Honduras%22;lc:RUMSEY~8~1&mi=0&trs=1
Map of Rat: https://www.davidrumsey.com/luna/servlet/workspace/handleMediaPlayer?qvq=w4s%253A%252Fwhen%252F1775%253Bq%253A%253D%2522Honduras%2522%253Blc%253ARUMSEY%257E8%257E1&trs=3&mi=2&lunaMediaId=RUMSEY~8~1~2809~310058"	
		P	Knight	xxx		1	"The state of the island of Jamaica. Chiefly in relation to its commerce, and the conduct of the Spaniards in the West-Indies. Address'd to a member of Parliament. By a person who resided several years at Jamaica"	London	UK	1726	1726		Printed for H. Whitridge	https://link.gale.com/apps/doc/U0100618230/MOME?u=camb55135&sid=MOME&xid=62daebbf	
		P	Lon 32	xxx		1	"The history and lives of all the most notorious pirates, and their crews : from Capt. Avery, who first settled at Madagascar, to Capt. John Gow, and James Williams, his lieutenant, &c. who were hanged at Execution Dock, June 11, 1725, for piracy and murther ... to which is prefixed, An abstract of the laws against piracy"	London	UK	1725	1725	Gale / Sabin Americana	"Printed for Edward Midwinter, at the Looking-Glass on London-Bridge"	https://link.gale.com/apps/doc/CB0129383093/ECCO?u=camb55135&sid=ECCO&xid=9f5c40df	
		P	Lon 43	xxx		1	"Certaine inducements to well minded people, who are heere straitned in their estates or otherwise or such as are willing out of noble and pub[l]ique principles, to tran[s]port themselves, or servants, or agents for them into the West-Indies, for the propagating the Gospell, and increase of trade."	London	UK	1643	1643	ProQuest / Early English Books Online		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/certaine-inducements-well-minded-people-who-are/docview/2248561152/se-2?accountid=11311	
		P	Ogilby	xxx		1	"America, being the latest and most accurate description of the Nevv VVorld"	London	UK	1671	1671		See 1657 Map of Hon: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~295183~90066270:Audience-de-Mexico?qvq=w4s:/when%2F1657;q:%3D%22Honduras%22;lc:RUMSEY~8~1&mi=0&trs=1	"Book: http://www.gutenberg.org/files/59745/59745-h/59745-h.htm
Map of Hon: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~292937~90066940:Yucatan-et-Guatimala-?qvq=w4s:/when%2F1671;q:%3D%22Honduras%22;lc:RUMSEY~8~1&mi=0&trs=2"	
