Calendar: Table 1
Date		Sp	Ot I	Ot II	War	Siege	Expulsion	Restriction	Trade	Sp	Ot I	Ot II
Mar Apr	1663	1663 Sp 138	1663 Ot I 138	1663 Ot II 138	Priv							
May Jun	1663	1663 Sp 139	1663 Ot I 139	1663 Ot II 139	Priv							
Jul Aug	1663	1663 Sp 140	1663 Ot I 140	1663 Ot II 140	Priv							
Sep Oct	1663	1663 Sp 141	1663 Ot I 141	1663 Ot II 141	Priv							
Nov Dec	1663	1663 Sp 142	1663 Ot I 142	1663 Ot II 142	Priv							
Jan Feb	1664	1664 Sp 143	1664 Ot I 143	1664 Ot II 143	Priv							
Mar Apr	1664	1664 Sp 144	1664 Ot I 144	1664 Ot II 144	Priv							
May Jun	1664	1664 Sp 145	1664 Ot I 145	1664 Ot II 145	Priv							
Jul Aug	1664	1664 Sp 146	1664 Ot I 146	1664 Ot II 146	Priv							
Sep Oct	1664	1664 Sp 147	1664 Ot I 147	1664 Ot II 147	Priv							
Nov Dec	1664	1664 Sp 148	1664 Ot I 148	1664 Ot II 148	Priv							
Jan Feb	1665	1665 Sp 149	1665 Ot I 149	1665 Ot II 149	Priv							
Mar Apr	1665	1665 Sp 150	1665 Ot I 150	1665 Ot II 150	Priv							
May Jun	1665	1665 Sp 151	1665 Ot I 151	1665 Ot II 151	Priv							
Jul Aug	1665	1665 Sp 152	1665 Ot I 152	1665 Ot II 152	Priv							
Sep Oct	1665	1665 Sp 153	1665 Ot I 153	1665 Ot II 153	Priv							
Nov Dec	1665	1665 Sp 154	1665 Ot I 154	1665 Ot II 154	Priv							
Jan Feb	1666	1666 Sp 155	1666 Ot I 155	1666 Ot II 155	Priv							
Mar Apr	1666	1666 Sp 156	1666 Ot I 156	1666 Ot II 156	Priv							
May Jun	1666	1666 Sp 157	1666 Ot I 157	1666 Ot II 157	Priv							
Jul Aug	1666	1666 Sp 158	1666 Ot I 158	1666 Ot II 158	Priv							
Sep Oct	1666	1666 Sp 159	1666 Ot I 159	1666 Ot II 159	Priv							
Nov Dec	1666	1666 Sp 160	1666 Ot I 160	1666 Ot II 160	Priv							
Jan Feb	1667	1667 Sp 161	1667 Ot I 161	1667 Ot II 161	Priv							
Mar Apr	1667	1667 Sp 162	1667 Ot I 162	1667 Ot II 162	Priv							
May Jun	1667	1667 Sp 163	1667 Ot I 163	1667 Ot II 163								
Jul Aug	1667	1667 Sp 164	1667 Ot I 164	1667 Ot II 164								
Sep Oct	1667	1667 Sp 165	1667 Ot I 165	1667 Ot II 165								
Nov Dec	1667	1667 Sp 166	1667 Ot I 166	1667 Ot II 166								
Jan Feb	1668	1668 Sp 167	1668 Ot I 167	1668 Ot II 167								
Mar Apr	1668	1668 Sp 168	1668 Ot I 168	1668 Ot II 168								
May Jun	1668	1668 Sp 169	1668 Ot I 169	1668 Ot II 169								
Jul Aug	1668	1668 Sp 170	1668 Ot I 170	1668 Ot II 170								
Sep Oct	1668	1668 Sp 171	1668 Ot I 171	1668 Ot II 171								
Nov Dec	1668	1668 Sp 172	1668 Ot I 172	1668 Ot II 172								
Jan Feb	1669	1669 Sp 173	1669 Ot I 173	1669 Ot II 173								
Mar Apr	1669	1669 Sp 174	1669 Ot I 174	1669 Ot II 174								
May Jun	1669	1669 Sp 175	1669 Ot I 175	1669 Ot II 175								
Jul Aug	1669	1669 Sp 176	1669 Ot I 176	1669 Ot II 176								
Sep Oct	1669	1669 Sp 177	1669 Ot I 177	1669 Ot II 177								
Nov Dec	1669	1669 Sp 178	1669 Ot I 178	1669 Ot II 178								
Jan Feb	1670	1670 Sp 179	1670 Ot I 179	1670 Ot II 179								
Mar Apr	1670	1670 Sp 180	1670 Ot I 180	1670 Ot II 180								
May Jun	1670	1670 Sp 181	1670 Ot I 181	1670 Ot II 181								
Jul Aug	1670	1670 Sp 182	1670 Ot I 182	1670 Ot II 182								
Sep Oct	1670	1670 Sp 183	1670 Ot I 183	1670 Ot II 183								
Nov Dec	1670	1670 Sp 184	1670 Ot I 184	1670 Ot II 184								
Jan Feb	1671	1671 Sp 185	1671 Ot I 185	1671 Ot II 185								
Mar Apr	1671	1671 Sp 186	1671 Ot I 186	1671 Ot II 186								
May Jun	1671	1671 Sp 187	1671 Ot I 187	1671 Ot II 187								
Jul Aug	1671	1671 Sp 188	1671 Ot I 188	1671 Ot II 188								
Sep Oct	1671	1671 Sp 189	1671 Ot I 189	1671 Ot II 189								
Nov Dec	1671	1671 Sp 190	1671 Ot I 190	1671 Ot II 190								
Jan Feb	1672	1672 Sp 191	1672 Ot I 191	1672 Ot II 191								
Mar Apr	1672	1672 Sp 192	1672 Ot I 192	1672 Ot II 192								
May Jun	1672	1672 Sp 193	1672 Ot I 193	1672 Ot II 193								
Jul Aug	1672	1672 Sp 194	1672 Ot I 194	1672 Ot II 194								
Sep Oct	1672	1672 Sp 195	1672 Ot I 195	1672 Ot II 195								
Nov Dec	1672	1672 Sp 196	1672 Ot I 196	1672 Ot II 196								
Jan Feb	1673	1673 Sp 197	1673 Ot I 197	1673 Ot II 197								
Mar Apr	1673	1673 Sp 198	1673 Ot I 198	1673 Ot II 198								
May Jun	1673	1673 Sp 199	1673 Ot I 199	1673 Ot II 199								
Jul Aug	1673	1673 Sp 200	1673 Ot I 200	1673 Ot II 200								
Sep Oct	1673	1673 Sp 201	1673 Ot I 201	1673 Ot II 201								
Nov Dec	1673	1673 Sp 202	1673 Ot I 202	1673 Ot II 202								
Jan Feb	1674	1674 Sp 203	1674 Ot I 203	1674 Ot II 203								
Mar Apr	1674	1674 Sp 204	1674 Ot I 204	1674 Ot II 204								
May Jun	1674	1674 Sp 205	1674 Ot I 205	1674 Ot II 205								
Jul Aug	1674	1674 Sp 206	1674 Ot I 206	1674 Ot II 206								
Sep Oct	1674	1674 Sp 207	1674 Ot I 207	1674 Ot II 207								
Nov Dec	1674	1674 Sp 208	1674 Ot I 208	1674 Ot II 208								
Jan Feb	1675	1675 Sp 209	1675 Ot I 209	1675 Ot II 209								
Mar Apr	1675	1675 Sp 210	1675 Ot I 210	1675 Ot II 210								
May Jun	1675	1675 Sp 211	1675 Ot I 211	1675 Ot II 211								
Jul Aug	1675	1675 Sp 212	1675 Ot I 212	1675 Ot II 212								
Sep Oct	1675	1675 Sp 213	1675 Ot I 213	1675 Ot II 213								
Nov Dec	1675	1675 Sp 214	1675 Ot I 214	1675 Ot II 214								
Jan Feb	1676	1676 Sp 215	1676 Ot I 215	1676 Ot II 215								
Mar Apr	1676	1676 Sp 216	1676 Ot I 216	1676 Ot II 216								
May Jun	1676	1676 Sp 217	1676 Ot I 217	1676 Ot II 217								
Jul Aug	1676	1676 Sp 218	1676 Ot I 218	1676 Ot II 218								
Sep Oct	1676	1676 Sp 219	1676 Ot I 219	1676 Ot II 219								
Nov Dec	1676	1676 Sp 220	1676 Ot I 220	1676 Ot II 220								
Jan Feb	1677	1677 Sp 221	1677 Ot I 221	1677 Ot II 221								
Mar Apr	1677	1677 Sp 222	1677 Ot I 222	1677 Ot II 222								
May Jun	1677	1677 Sp 223	1677 Ot I 223	1677 Ot II 223								
Jul Aug	1677	1677 Sp 224	1677 Ot I 224	1677 Ot II 224								
Sep Oct	1677	1677 Sp 225	1677 Ot I 225	1677 Ot II 225								
Nov Dec	1677	1677 Sp 226	1677 Ot I 226	1677 Ot II 226								
Jan Feb	1678	1678 Sp 227	1678 Ot I 227	1678 Ot II 227								
Mar Apr	1678	1678 Sp 228	1678 Ot I 228	1678 Ot II 228								
May Jun	1678	1678 Sp 229	1678 Ot I 229	1678 Ot II 229								
Jul Aug	1678	1678 Sp 230	1678 Ot I 230	1678 Ot II 230								
Sep Oct	1678	1678 Sp 231	1678 Ot I 231	1678 Ot II 231								
Nov Dec	1678	1678 Sp 232	1678 Ot I 232	1678 Ot II 232								
Jan Feb	1679	1679 Sp 233	1679 Ot I 233	1679 Ot II 233								
Mar Apr	1679	1679 Sp 234	1679 Ot I 234	1679 Ot II 234								
May Jun	1679	1679 Sp 235	1679 Ot I 235	1679 Ot II 235								
Jul Aug	1679	1679 Sp 236	1679 Ot I 236	1679 Ot II 236								
Sep Oct	1679	1679 Sp 237	1679 Ot I 237	1679 Ot II 237								
Nov Dec	1679	1679 Sp 238	1679 Ot I 238	1679 Ot II 238								
Jan Feb	1680	1680 Sp 239	1680 Ot I 239	1680 Ot II 239								
Mar Apr	1680	1680 Sp 240	1680 Ot I 240	1680 Ot II 240								
May Jun	1680	1680 Sp 241	1680 Ot I 241	1680 Ot II 241								
Jul Aug	1680	1680 Sp 242	1680 Ot I 242	1680 Ot II 242								
Sep Oct	1680	1680 Sp 243	1680 Ot I 243	1680 Ot II 243								
Nov Dec	1680	1680 Sp 244	1680 Ot I 244	1680 Ot II 244								
Jan Feb	1681	1681 Sp 245	1681 Ot I 245	1681 Ot II 245								
Mar Apr	1681	1681 Sp 246	1681 Ot I 246	1681 Ot II 246								
May Jun	1681	1681 Sp 247	1681 Ot I 247	1681 Ot II 247								
Jul Aug	1681	1681 Sp 248	1681 Ot I 248	1681 Ot II 248								
Sep Oct	1681	1681 Sp 249	1681 Ot I 249	1681 Ot II 249								
Nov Dec	1681	1681 Sp 250	1681 Ot I 250	1681 Ot II 250								
Jan Feb	1682	1682 Sp 251	1682 Ot I 251	1682 Ot II 251								
Mar Apr	1682	1682 Sp 252	1682 Ot I 252	1682 Ot II 252								
May Jun	1682	1682 Sp 253	1682 Ot I 253	1682 Ot II 253								
Jul Aug	1682	1682 Sp 254	1682 Ot I 254	1682 Ot II 254								
Sep Oct	1682	1682 Sp 255	1682 Ot I 255	1682 Ot II 255								
Nov Dec	1682	1682 Sp 256	1682 Ot I 256	1682 Ot II 256								
Jan Feb	1683	1683 Sp 257	1683 Ot I 257	1683 Ot II 257								
Mar Apr	1683	1683 Sp 258	1683 Ot I 258	1683 Ot II 258								
May Jun	1683	1683 Sp 259	1683 Ot I 259	1683 Ot II 259								
Jul Aug	1683	1683 Sp 260	1683 Ot I 260	1683 Ot II 260								
Sep Oct	1683	1683 Sp 261	1683 Ot I 261	1683 Ot II 261								
Nov Dec	1683	1683 Sp 262	1683 Ot I 262	1683 Ot II 262								
Jan Feb	1684	1684 Sp 263	1684 Ot I 263	1684 Ot II 263								
Mar Apr	1684	1684 Sp 264	1684 Ot I 264	1684 Ot II 264								
May Jun	1684	1684 Sp 265	1684 Ot I 265	1684 Ot II 265								
Jul Aug	1684	1684 Sp 266	1684 Ot I 266	1684 Ot II 266								
Sep Oct	1684	1684 Sp 267	1684 Ot I 267	1684 Ot II 267								
Nov Dec	1684	1684 Sp 268	1684 Ot I 268	1684 Ot II 268								
Jan Feb	1685	1685 Sp 269	1685 Ot I 269	1685 Ot II 269								
Mar Apr	1685	1685 Sp 270	1685 Ot I 270	1685 Ot II 270								
May Jun	1685	1685 Sp 271	1685 Ot I 271	1685 Ot II 271								
Jul Aug	1685	1685 Sp 272	1685 Ot I 272	1685 Ot II 272								
Sep Oct	1685	1685 Sp 273	1685 Ot I 273	1685 Ot II 273								
Nov Dec	1685	1685 Sp 274	1685 Ot I 274	1685 Ot II 274								
Jan Feb	1686	1686 Sp 275	1686 Ot I 275	1686 Ot II 275								
Mar Apr	1686	1686 Sp 276	1686 Ot I 276	1686 Ot II 276								
May Jun	1686	1686 Sp 277	1686 Ot I 277	1686 Ot II 277								
Jul Aug	1686	1686 Sp 278	1686 Ot I 278	1686 Ot II 278								
Sep Oct	1686	1686 Sp 279	1686 Ot I 279	1686 Ot II 279								
Nov Dec	1686	1686 Sp 280	1686 Ot I 280	1686 Ot II 280								
Jan Feb	1687	1687 Sp 281	1687 Ot I 281	1687 Ot II 281								
Mar Apr	1687	1687 Sp 282	1687 Ot I 282	1687 Ot II 282								
May Jun	1687	1687 Sp 283	1687 Ot I 283	1687 Ot II 283								
Jul Aug	1687	1687 Sp 284	1687 Ot I 284	1687 Ot II 284								
Sep Oct	1687	1687 Sp 285	1687 Ot I 285	1687 Ot II 285								
Nov Dec	1687	1687 Sp 286	1687 Ot I 286	1687 Ot II 286								
Jan Feb	1688	1688 Sp 287	1688 Ot I 287	1688 Ot II 287								
Mar Apr	1688	1688 Sp 288	1688 Ot I 288	1688 Ot II 288								
May Jun	1688	1688 Sp 289	1688 Ot I 289	1688 Ot II 289								
Jul Aug	1688	1688 Sp 290	1688 Ot I 290	1688 Ot II 290								
Sep Oct	1688	1688 Sp 291	1688 Ot I 291	1688 Ot II 291								
Nov Dec	1688	1688 Sp 292	1688 Ot I 292	1688 Ot II 292								
Jan Feb	1689	1689 Sp 293	1689 Ot I 293	1689 Ot II 293								
Mar Apr	1689	1689 Sp 294	1689 Ot I 294	1689 Ot II 294								
May Jun	1689	1689 Sp 295	1689 Ot I 295	1689 Ot II 295								
Jul Aug	1689	1689 Sp 296	1689 Ot I 296	1689 Ot II 296								
Sep Oct	1689	1689 Sp 297	1689 Ot I 297	1689 Ot II 297								
Nov Dec	1689	1689 Sp 298	1689 Ot I 298	1689 Ot II 298								
Jan Feb	1690	1690 Sp 299	1690 Ot I 299	1690 Ot II 299								
Mar Apr	1690	1690 Sp 300	1690 Ot I 300	1690 Ot II 300								
May Jun	1690	1690 Sp 301	1690 Ot I 301	1690 Ot II 301								
Jul Aug	1690	1690 Sp 302	1690 Ot I 302	1690 Ot II 302								
Sep Oct	1690	1690 Sp 303	1690 Ot I 303	1690 Ot II 303								
Nov Dec	1690	1690 Sp 304	1690 Ot I 304	1690 Ot II 304								
Jan Feb	1691	1691 Sp 305	1691 Ot I 305	1691 Ot II 305								
Mar Apr	1691	1691 Sp 306	1691 Ot I 306	1691 Ot II 306								
May Jun	1691	1691 Sp 307	1691 Ot I 307	1691 Ot II 307								
Jul Aug	1691	1691 Sp 308	1691 Ot I 308	1691 Ot II 308								
Sep Oct	1691	1691 Sp 309	1691 Ot I 309	1691 Ot II 309								
Nov Dec	1691	1691 Sp 310	1691 Ot I 310	1691 Ot II 310								
Jan Feb	1692	1692 Sp 311	1692 Ot I 311	1692 Ot II 311								
Mar Apr	1692	1692 Sp 312	1692 Ot I 312	1692 Ot II 312								
May Jun	1692	1692 Sp 313	1692 Ot I 313	1692 Ot II 313								
Jul Aug	1692	1692 Sp 314	1692 Ot I 314	1692 Ot II 314								
Sep Oct	1692	1692 Sp 315	1692 Ot I 315	1692 Ot II 315								
Nov Dec	1692	1692 Sp 316	1692 Ot I 316	1692 Ot II 316								
Jan Feb	1693	1693 Sp 317	1693 Ot I 317	1693 Ot II 317								
Mar Apr	1693	1693 Sp 318	1693 Ot I 318	1693 Ot II 318								
May Jun	1693	1693 Sp 319	1693 Ot I 319	1693 Ot II 319								
Jul Aug	1693	1693 Sp 320	1693 Ot I 320	1693 Ot II 320								
Sep Oct	1693	1693 Sp 321	1693 Ot I 321	1693 Ot II 321								
Nov Dec	1693	1693 Sp 322	1693 Ot I 322	1693 Ot II 322								
Jan Feb	1694	1694 Sp 323	1694 Ot I 323	1694 Ot II 323								
Mar Apr	1694	1694 Sp 324	1694 Ot I 324	1694 Ot II 324								
May Jun	1694	1694 Sp 325	1694 Ot I 325	1694 Ot II 325								
Jul Aug	1694	1694 Sp 326	1694 Ot I 326	1694 Ot II 326								
Sep Oct	1694	1694 Sp 327	1694 Ot I 327	1694 Ot II 327								
Nov Dec	1694	1694 Sp 328	1694 Ot I 328	1694 Ot II 328								
Jan Feb	1695	1695 Sp 329	1695 Ot I 329	1695 Ot II 329								
Mar Apr	1695	1695 Sp 330	1695 Ot I 330	1695 Ot II 330								
May Jun	1695	1695 Sp 331	1695 Ot I 331	1695 Ot II 331								
Jul Aug	1695	1695 Sp 332	1695 Ot I 332	1695 Ot II 332								
Sep Oct	1695	1695 Sp 333	1695 Ot I 333	1695 Ot II 333								
Nov Dec	1695	1695 Sp 334	1695 Ot I 334	1695 Ot II 334								
Jan Feb	1696	1696 Sp 335	1696 Ot I 335	1696 Ot II 335								
Mar Apr	1696	1696 Sp 336	1696 Ot I 336	1696 Ot II 336								
May Jun	1696	1696 Sp 337	1696 Ot I 337	1696 Ot II 337								
Jul Aug	1696	1696 Sp 338	1696 Ot I 338	1696 Ot II 338								
Sep Oct	1696	1696 Sp 339	1696 Ot I 339	1696 Ot II 339								
Nov Dec	1696	1696 Sp 340	1696 Ot I 340	1696 Ot II 340								
Jan Feb	1697	1697 Sp 341	1697 Ot I 341	1697 Ot II 341								
Mar Apr	1697	1697 Sp 342	1697 Ot I 342	1697 Ot II 342								
