B20		Biblioteca Cervantina	Mexico	xxx	xxx	1	"130,000"	xxx	i		
B21		Bilbioteca Nacional de México	Mexico	xxx	xxx	1	"1,560,000"	xxx	i		
B22		Hemeroteca Nacional de México	Mexico	xxx	xxx	1	xxx	xxx			
B23		Archivo Histórico de Mérida	Mexico	xxx	xxx	1	xxx	xxx			
B24		Archivo General del Estado de Yucatán	Mexico	xxx	xxx	1	xxx	xxx			
B25		Biblioteca Yucatanense	Mexico	xxx	xxx	1	xxx	xxx			


Collections: C1—30 / Online collections of archival material.
ID		COLLECTION	BEG	END	REPOSITORY	PUBLISHER	REC	DIGITISED	TYPE	NOTE	
C9		American Historical Periodicals	1607	1940	AAS	Gale	R	"7,000,000"	p		
C16		Archives Unbound	1500	2000	VAR	Gale	R	361	v		
C10		Associated Press Collections Online	1915	2009	AP	Gale	R	"1,910,000"	p		
C18		"British History Online, Version 5"	1000	1832	VAR	IHR	K	"1,300"	v		
C12		British Library Newspapers	1732	1950	BL	Gale	R	"6,350,000"	p		
C22		British Periodicals	1681	2007	xxx	ProQuest	R	490	t		
C11		Burney Collection	1604	1804	BL	Gale	R	"1,000,000"	p		
C6		Caribbean Blue Books	1824	1950	TNA	BOA	S	21	v		
C26		"Caribbean Newspapers, Series 1"	1718	1876	AAS	Readex	R	140	t		
C1		Colonial America	1606	1822	TNA	Adam Matthew	R	"1,450"	i		
C2		Confidential Print	1824	1961	TNA	Adam Matthew	R	371	i		
C14		Declassified Documents Online	1905	2002	TNA	Gale	R	"500,000"	p		
C29		Digital Library of the Caribbean	xxx	xxx	VAR	Smathers	R	"4,099,896"	p		
C25		"Early American Newspapers, Series 1"	1690	1876	AAS	Readex	R	"340,000"	i		
C28		"Early American Newspapers, Series 2—14"	1820	1922	VAR	Readex	R	xxx	xxx		
C21		Early English Books Online	1475	1700	VAR	ProQuest	R	"146,000"	i		
C20		Early European Books	1450	1700	VAR	ProQuest	R	"20,576,000"	p		
C19		Economist Intelligence Unit Country Reports Archive	1952	1995	EIU	ProQuest	R	662	i		
C3		Empire Online	1492	2007	VAR	Adam Matthew	R	970	i		
C4		Empire Studies	1734	1968	VAR	Adam Matthew	R	"1,132"	i		
C7		Factiva	1978	2021	VAR	Dow Jones	R	"33,000"	t		
C23		House of Commons Parliamentary Papers	1688	2021	xxx	ProQuest	R	"11,000,000"	p		
C24		House of Lords Parliamentary Papers	1800	1910	xxx	ProQuest	R	"2,100,000"	p		
C27		"Latin American Newspapers, Series 1—2"	1805	1922	CRL	Readex	R	300	t		
C5		Naval Office Shipping Lists	1678	1825	TNA	BOA	S	5	v		
C15		Sabin Americana	1500	1926	VAR	Gale	R	"13,000,000"	p		
C8		The British Newspaper Archive	1708	2009	BL	Findmypast	R	"41,900,432"	p		
C30		The London Gazette	1665	2021	TSO	TSO	R	"63,201"	i		
C13		The Times Digital Archive	1785	2014	News UK	Gale	R	"1,800,000"	p		
C17		"World Scholar, Latin America and the Caribbean"	xxx	xxx	VAR	Gale	R	"1,400,000"	p		


Press: C1—30 / Online collections of archival material.
ID	NO											
												


Print: C1—30 / Online collections of archival material.
ID	NO	ALT ID	AUTHORS	EDITORS	TRANSLATORS	V	CURRENT	FIRST	CITY	COUNTRY	TITLE	NOTE	LINK	
		Herrera	A. de Herrera y Tordesillas				1601	1601	Madrid	Spain	"Historia general de los hechos de los castellanos en las islas i tierra firme del mar oceano, vol 1:  Descripcion de Las Indias ocidentales"		http://bdh.bne.es/bnesearch/detalle/bdh0000192568	
		Laet lat	J. de Laet				1633	1625	Antwerp	Netherlands	Nous orbis seu descriptionis indiae occidentalis	Translated from 1625 Dutch edition	"file:///Users/angelnavidad/Downloads/Novus_orbis,_seu_descriptio_In.pdf"	
		Laet spa	J. de Laet		M. Vannini de Gerulewicz	1	1988	1625	Antwerp	Netherlands	"Mundo Nuevo, o, Descripción de las Indias Occidentales"	Translated from 1640 French edition	https://hdl.handle.net/2027/txu.059173017954270	
		Harlow	W. Jackson	V. T. Harlow			1923	1642	London	UK	Voyages of Capt. William Jackson	Transcribes BL Sloane MS 793 or 894	file:///Users/angelnavidad/Downloads/harlow1924.pdf	
		Lon 43	sn				1643	1643	London	UK	CERTAINE INDUCEMENTS To well minded PEOPLE		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/certaine-inducements-well-minded-people-who-are/docview/2248561152/se-2?accountid=11311	
		Castell	"W. Castell, B. Rudyerd, Parliament of England"				1644	1644	London	UK	A short discoverie of the coasts and continent of America		"Castell, William, et al. A short discoverie of the coasts and continent of America  from the equinoctiall northward and the adjacent isles. [s.n.], 1644. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102903240/SABN?u=camb55135&sid=SABN&xid=6db34e3d&pg=91. Accessed 19 Feb. 2021."	
		Laet por	J. de Laet		"J. H. Duarte Pereira, P. Souto Maior"	1-2	1916	1644	Leiden	Netherlands	Historia ou annaes dos feitos da Companhia privilegiada das Indias Occidentaes desde o seu começo até ao fim do anno de 1636		https://hdl.handle.net/2027/mdp.39015077856105	
		Gage	T. Gage				1648	1648	London	UK	"The English-American, his travail by sea and land"		"Gage, T., 1603?-1656. (1648). The english-american, his travail by sea and land, or, A new survey of the west-india's containing a journall of three thousand and three hundred miles within the main land of america ... : Also, a new and exact discovery of the spanish navigation to those parts ... : With a grammar, or some few rediments of the indian tongue called poconchi, or pocoman / by the true and painfull endeavours of thomas gage ... 1648 London, Printed by R. Cotes and are to be sold by Humphrey Blanden ... and Thomas Williams .. Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/english-american-his-travail-sea-land-new-survey/docview/2248525331/se-2?accountid=11311"	
		Blaeu	J. Blaeu			1-11	1662	1662	Amsterdam	Netherlands	Atlas Maior		https://www.erfgoedleiden.nl/schatkamer/bladeren-door-blaeu	
		Ogilby	J. Ogilby				1671	1671	London	UK	"America, being the latest and most accurate description of the Nevv VVorld"		"Ogilby, John. America, being the latest and most accurate description of the Nevv VVorld : containing the original of the inhabitants and the remarkable voyages thither, the conquest of the vast empires of Mexico and Peru and other large provinces and territories, with the several European plantations in those parts : also their cities, fortresses, towns, temples, mountains and rivers, their habits, customs, manners and religions, their plants, beasts, birds and serpents : with an appendix, containing, besides several other considerable additions, a brief survey of what hath been discover'd of the unknown south-land and the Arctick region. Printed by the author and are to be had at his house in White Fryers, 1671. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0110106505/SABN?u=camb55135&sid=SABN&xid=af6e3093&pg=1. Accessed 19 Feb. 2021."	
		Exquemeling	A. O. Exquemeling	G. A. Williams	sn		1914	1678	Amsterdam	Netherlands	The Pirates of Panama	Translated from or on 1684 Spanish or French edition	https://www.gutenberg.org/dirs/2/6/6/9/26690/26690-h/26690-h.htm	
		Cogolludo	"D. L. de Cogolludo, F. de Ayeta"				1688	1688	Madrid	Spain	Historia de Yucathan		"López de Cogolludo, Diego, and Francisco de Ayeta. Historia de Yucathan. Jvan Garcia Infanzen, 1688. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102936949/SABN?u=camb55135&sid=SABN&xid=fbdf1b13&pg=444. Accessed 18 Feb. 2021."	
		Roteta	S. de Roteta				1694	1694	Madrid	Spain	Method of Securing the Ports and Populations of All the Coasts of the Indies		https://www.wdl.org/en/item/4393/	
		Dampier 2	W. Dampier			2	1700	1699	London	UK	Voyages and descriptions vol 2		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/voyages-descriptions-three-parts-which-is-added/docview/2264207852/se-2?accountid=11311	
		Johnson	C. Johnson				1724	1724	London	UK	General History of the Pyrates	“The second Edition” = 1724	https://www.gutenberg.org/files/40580/40580-h/40580-h.htm	
		Lon 26	"A. B., J. Knight"				1726	1726	London	UK	The state of the island of Jamaica.		https://link.gale.com/apps/doc/U0100618230/MOME?u=camb55135&sid=MOME&xid=62daebbf&pg=15	
		Uring	N. Uring				1726	1726	London	UK	A history of the voyages and travels of Capt. Nathaniel Uring		https://link.gale.com/apps/doc/CW0100827679/ECCO?u=camb55135&sid=ECCO&xid=93c13f09	
		Lon 29	sn				1729	1729	London	UK	Observations on the conduct of Great-Britain		"Observations on the conduct of Great-Britain : with regard to the negociations and other transactions abroad. Printed and sold by J. Roberts, 1729. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0101707279/SABN?u=camb55135&sid=SABN&xid=19effaa4&pg=24. Accessed 17 Feb. 2021."	
		Lon 32	sn				1732	1732	London	UK	"The history and lives of all the most notorious pirates, and their crews"	4th ed = 1734	"The history and lives of all the most notorious pirates, and their crews : from Capt. Avery, who first settled at Madagascar, to Capt. John Gow, and James Williams, his lieutenant, &c. who were hanged at Execution Dock, June 11, 1725, for piracy and murther ... to which is prefixed, An abstract of the laws against piracy. 4th ed., Printed for Edw. Midwinter ..., 1732. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0105489709/SABN?u=camb55135&sid=SABN&xid=93626f95&pg=131. Accessed 18 Feb. 2021."	
		Atkins	J. Atkins				1735	1735	London	UK	"Voyage to Guinea, Brasil, and the West-Indies"		https://archive.org/details/voyagetoguineabr00atki	
		Cockburn	J. Cockburn				1740	1740	London	UK	"The unfortunate Englishmen, or, A faithful narrative of the distresses and adventures of John Cockburn, and five other English mariners"		"Cockburn, John. The unfortunate Englishmen, or, A faithful narrative of the distresses and adventures of John Cockburn, and five other English mariners ... who were taken by a Spanish guarda costa in the John and Ann, Edward Burt, master, and set on shore at a place call'd Porto-Cavallo ... : containing a journey over land from the Gulph of Honduras to the great South Sea ... as also an account of the manners, customs, and behaviour of the several Indians inhabiting a tract of land of 2400 miles ... Printed and sold by the booksellers of London and Westminster, 1740. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0101299426/SABN?u=camb55135&sid=SABN&xid=cb833230&pg=1. Accessed 17 Feb. 2021."	
		Lon 41	Honestus				1741	1741	London	UK	The profit and loss of Great Britain in the present war with Spain		"Honestus. The profit and loss of Great Britain in the present war with Spain : from July 1739, to July 1741 : in a letter to a friend. Printed for J. Roberts, ..., 1741. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102392227/SABN?u=camb55135&sid=SABN&xid=5588032e&pg=1. Accessed 17 Feb. 2021."	
		Lon 42	Philalethes				1742	1742	London	UK	The profit and loss of Great-Britain and Spain		"Philalethes. The profit and loss of Great-Britain and Spain : from the commencement of the present war, to this time, impartially stated : by laying before the publick, as perfect and regular a list, as can be hand, of all the ships taken from either nation, since the beginning of the war, to this time : with proper remarks upon the list of British ships, in a pamphlet, intitled, Hireling artifice detected : in a letter to the author. Printed for T. Cooper, ..., 1742. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102392266/SABN?u=camb55135&sid=SABN&xid=1cb00ab5&pg=1. Accessed 17 Feb. 2021."	
		MacSparran	J. MacSparran				1753	1753	Dublin	Ireland	America dissected		"MacSparran, James. America dissected : being a full and true account of all the American colonies : shewing, the intemperance of the climates : excessive heat and cold ... badness of money : danger from enemies : but, above all, the danger to the souls of the poor people that remove thither, from the multifarious wicked and pestilent heresies that prevail in those parts : in several letters, from a rev. divine of the Church of England, missionary to America ... Printed and sold by S. Powell, 1753. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0100561686/SABN?u=camb55135&sid=SABN&xid=3bc0a340&pg=1. Accessed 19 Feb. 2021."	
		Lon 62	sn			2	1762	1762	London	UK	The American gazetteer		"The American gazetteer : containing a distinct account of all the parts of the New world : their situation, climate, soil, produce, former and present condition : commodities, manufactures, and commerce : together with an accurate account of the cities, towns, ports, bays, rivers, lakes, mountains, passes, and fortifications ... Vol. 2, Printed for A. Millar [etc.], 1762. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0103933762/SABN?u=camb55135&sid=SABN&xid=919c328b&pg=109. Accessed 17 Feb. 2021."	
		Jefferys	T. Jefferys				1775	1775	London	UK	"The West-India atlas, or, A compendious description of the West-Indies"		"Jefferys, Thomas. The West-India atlas, or, A compendious description of the West-Indies : illustrated with forty correct charts and maps, taken from actual surveys : together with an historical account of the several countries and islands which compose that part of the world, their discovery, situation, extent, boundaries, product, trade, inhabitants, strength, government, religion, &c. Printed for Robert Sayer and John Bennett, 1775. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0110763069/SABN?u=camb55135&sid=SABN&xid=f28b570d&pg=16. Accessed 17 Feb. 2021."	
		Lon 79	sn				1779	1779	London	UK	"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore"		"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore : in which all the accusations brought against the subjects of Great Britain settled in the bay of Honduras : and against the ancient British settlement in the free and independent dominions of the Mosquito shore : are candidly stated and refuted : and the importance of the Mosquito shore to Great Britain, delineated and ascertained ... Printed for T. Cadell, 1779. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0100038323/SABN?u=camb55135&sid=SABN&xid=46610deb&pg=1. Accessed 17 Feb. 2021."	
		White 1 Hon	R. White				1789	1789	London	UK	The case of His Majesty's subjects settled on the coast of Yucatan in the bay of Honduras under the special and sole protection of the crown of Spain 		"White, Robert, et al. The case of His Majesty's subjects settled on the coast of Yucatan in the bay of Honduras under the special and sole protection of the crown of Spain : who were, in the month of September 1779, robbed and despoiled of their property, and captivated in their persons by the King of Spain's forces and subjects, in violation of the seventeenth article of the treaty of Paris, concluded in February 1763, and in breach of other prior articles and treaties, then in force between His Majesty and the said King of Spain. Printed for T. Cadell, 1789. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102760133/SABN?u=camb55135&sid=SABN&xid=50d0d710&pg=1. Accessed 17 Feb. 2021."	
		White 1 Mos	R. White				1789	1789	London	UK	The case of His Majesty's subjects having property in and lately established upon the Mosquito Shore in America 		"White, Robert. The case of His Majesty's subjects having property in and lately established upon the Mosquito Shore in America : most humbly submitted to the King's Most Excellent Majesty in Council, the Lords and Commons in Parliament, and the nation of Great-Britain at large, 1789. Printed for T. Cadell in the Strand, 1789. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102270362/SABN?u=camb55135&sid=SABN&xid=b8095f09&pg=1. Accessed 17 Feb. 2021."	
		Lon 90 Letters	"Verus, J. B. Burges"				1790	1790	London	UK	Letters lately published in The diary on the subject of the present dispute with Spain		"Verus., and James Bland Burges. Letters lately published in The diary on the subject of the present dispute with Spain. Printed for G. Kearsley ..., 1790. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102153815/SABN?u=camb55135&sid=SABN&xid=252b8bd7&pg=69. Accessed 17 Feb. 2021."	
		Lon 90 Narrative	sn				1790	1790	London	UK	A narrative of the negotiations occasioned by the dispute between England and Spain		"A narrative of the negotiations occasioned by the dispute between England and Spain, in the year 1790. [s.n.], [1791?]. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102254917/SABN?u=camb55135&sid=SABN&xid=5592a75c&pg=1. Accessed 17 Feb. 2021."	
		White 2 Hon	R. White				1793	1793	London	UK	"The case of the agents to the settlers on the coast of Yucatan, and the late settlers on the Mosquito-Shore "		"White, Robert. The case of the agents to the settlers on the coast of Yucatan, and the late settlers on the Mosquito-Shore : stating the whole of his conduct, in soliciting compensation for the losses, sustained by each of those classes of His Majesty's injured and distressed subjects. Printed for T. Cadell, 1793. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0101574822/SABN?u=camb55135&sid=SABN&xid=a6dcd8a3&pg=1. Accessed 17 Feb. 2021."	
		White 2 Mos	R. White				1793	1793	London	UK	The case of the agent to the settlers on the coast of Yucatan and the late settlers on the Mosquito-Shore 		"White, Robert. The case of the agent to the settlers on the coast of Yucatan and the late settlers on the Mosquito-Shore : stating the whole of his conduct in soliciting compensation for the losses sustained by each of those classes of His Majesty's injured and distressed subjects. Printed for T. Cadell, 1793. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0105619504/SABN?u=camb55135&sid=SABN&xid=8970463d&pg=1. Accessed 17 Feb. 2021."	
		Henderson	G. Henderson				1809	1809	London	UK	An account of the British settlement of Honduras 		"Henderson, George. An account of the British settlement of Honduras : being a view of its commercial and agricultural resources, soil, climate, natural history, &c. : to which are added, sketches of the manners and customs of the Mosquito Indians, preceded by the journal of a voyage to the Mosquito shore ... C. and R. Baldwin, 1809. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB2a9. Accessed 17 Feb. 2021."	
		Edwards 4	B. Edwards			4	1818	1818	London	UK	"The history, civil and commercial, of the British West Indies"	5th ed = ?	"Edwards, Bryan. The history, civil and commercial, of the British West Indies. 5th ed., vol. 4, G. and W.B. Whittaker; [etc., etc.], 1818-19. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0103354739/SABN?u=camb55135&sid=SABN&xid=f999489c&pg=261. Accessed 17 Feb. 2021."	
		Edwards 5	B. Edwards			5	1818	1818	London	UK	"The history, civil and commercial, of the British West Indies"	5th ed = ?	"Edwards, Bryan. The history, civil and commercial, of the British West Indies. 5th ed., vol. 5, G. and W.B. Whittaker; [etc., etc.], 1818-19. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0106428381/SABN?u=camb55135&sid=SABN&xid=e80cf12a&pg=1. Accessed 17 Feb. 2021."	
		Armstrong	"J. Armstrong, G. Arthur"				1824	1824	London	UK	"A candid examination of ""The defense of the settlers of Honduras"" "		https://link.gale.com/apps/doc/U0107412823/MOME?u=camb55135&sid=MOME&xid=ace432cc&pg=1	
		Lon 24	sn				1824	1824	London	UK	"The defence, &c. &c."		https://link.gale.com/apps/doc/DS0103730001/SAS?u=camb55135&sid=SAS&xid=1ede003f&pg=40	
		Winthrop 1	J. Winthrop	J. K. Hosmer		1	1908	1825	New York	USA	"Winthrop's Journal ""History of New England"" 1630-1649"	Transcribes part of Winthrop Papers of Massachusetts Historical Society	https://www.google.com/books/edition/Winthrop_s_Journal_History_of_New_Englan/Y9PIGzZI66oC?hl=en&gbpv=0	
		Winthrop 2	J. Winthrop	J. K. Hosmer		2	1908	1825	New York	USA	"Winthrop's Journal ""History of New England"" 1630-1649"		https://www.google.com/books/edition/Winthrop_s_Journal_History_of_New_Englan/0D2lSuKkDmYC?hl=en&gbpv=1&printsec=frontcover	
		Southey	T. Southey			2	1827	1827	London	UK	Chronological history of the West Indies		"Southey, Thomas. Chronological history of the West Indies. Vol. 2, Longman, Rees, Orme, Brown, and Green, 1827. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0104192403/SABN?u=camb55135&sid=SABN&xid=9a3daa27&pg=257. Accessed 17 Feb. 2021."	
		Martin 1	R. M. Martin			1	1836	1836	London	UK	History of the West Indies		"Martin, Robert Montgomery. History of the West Indies: Comprising Jamaica, Honduras, Trinidad, Tobago, Grenada, The Bahamas, and The Virgin Isles. Vol. 1, Whittaker & Co., 1836. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0112507654/SABN?u=camb55135&sid=SABN&xid=06da52f8&pg=72. Accessed 17 Feb. 2021."	
		Martin 2	R. M. Martin				1837	1837	London	UK	Colonial policy of the British Empire		"Martin, Robert Montgomery. Colonial policy of the British Empire. Pt. 1, Government. W.H. Allen & Co., 1837. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0106089023/SABN?u=camb55135&sid=SABN&xid=1305c6c0&pg=90. Accessed 17 Feb. 2021."	
