Introduction: Loss of life or property in Belize from 1630 to present.
						


Clusters: Table 1
ALT ID	ID	NO	NAME	BEG	END	FT	FT	DESCRIPTION	PRESS	CF	VIA	NOTE	
Crs 16			Ex-Servicemen’s Riots	22 Jul 1919	22 Jul 1919			Former servicemen of WWI riot					
Crs 17			Great Depression	4 Sep 1924				Depression in export trade	New York Times ? NYC BRITISH HONDURAS HIT BY DEPRESSION 30 Dec 1934	"Cmd. 4586
Cmd. 6607
Cmd. 6070"			
Crs 18			Sterling Crisis	18 Sep 1949				Devaluation of Sterling Pound	AP GALE|HQGDJY968760287	"Col R 49
Cmd. 7958
Cmd. 8243"			
Crs 19			Salvadoran Wave	15 Oct 1979				Refugees from Salvadoran Civil War	Document NYTF000020050511df79017hz				
Crs 20			Heads of Agreement Crisis	3 Apr 1981	3 Apr 1981			Riots					
Crs 21			Crime Wave	1 Jan 1983				Organised crime					
Hos 13			Providence Reprisals	1 Apr 1636	30 Aug 1677	 	Ai Bu Du	"Buccaneers or privateers, at times with non-English and Amerindian allies, raid Spanish and Amerindian settlements along Bay of Hon coast"					
Hos 19			Tortuga Slavery	1 Jan 1638			Ai Bu	Buccaneers or privateers impress or enslave Amerindians				"Upper End possibly = 1665 /v Bialuschewski 20 p239 /GUATEMALA,22,R.1,N.11"	
Hos 1			Soberanis y Centeno Offensives	1 Jan 1694	30 Dec 1710	Sp	Ai	"Guatemala launch 2 military campaigns against Settlement / Yucatan launch 4 paramilitary campaigns against Settlement / Baymen, possibly with Amerindian allies, raid Spanish and Amerindian settlements in Guatemala or Yucatan"					
Hos 20			Mosquito Slavery	1 Jan 1702			Ai	"Miskito and possibly other Amerindians, at times with Baymen’s aid, enslave Amerindians"		"Lon 24
Arthur
HCP 522"		"HCP 522 = https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/docview/t70.d75.1828-011315/usgLogRstClick!!?accountid=11311

See, eg, 30 Jun 1829 Mags to Sup. List of slaves of Indian origin on 22 Jan 1822. Exact number not clear from lists, total slightly increased from 1822 to 1828, to about 100 slaves valued at 19,800 pounds [Sterl? Jam?]. /v Burdon 2 309 /IP

See George Arthur Papers RCMS 270 Link: http://www.frontierlife.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/MS-RCMS-00270-00009 / Link: http://www.frontierlife.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/MS-RCMS-00270-00010"	
Hos 2			Golden Age of Piracy	10 Jan 1718	28 Feb 1725		Bu	Buccaneers surprise Fleet					
Hos 16			Jamaica Slavery	1 Jan 1722	1 Jul 1838	 	Af Du Fr Po	"Jamaicans and others, with Baymen’s aid, enslave Africans"					
Hos 14			Cortaire y Terreros Siege	1 Aug 1722	21 Feb 1733	Sp	 	"Yucatan lay siege on Settlement / Yucatan launch 8 military campaigns against Settlement /  Royal Navy, Fleet and Baymen engage"					
Hos 3			Salcedo Siege	10 Mar 1734	30 Jun 1741	Sp	 	"Yucatan lay siege on Settlement / Yucatan launch 1 military campaign against Settlement / Royal Navy, Fleet, and Baymen, at times with Amerindian allies, engage"	Read’s Weekly Journal or British Gazetteer 375 p3			"Extract of a Letter from Campeche, dated 24 Nov 1731. As to the State of the Bay of Honduras, I shall give it you as briefly as possible. The ancient City of Bacalar, situate in that Part of the Province of Yucatan, which lies on the Bay of Honduras, was twice sack'd, and at last totally ruined by the English many Years ago; on which the Logwood-Cutters of that nation, who had settled on the River of Valis, possessed themselves of the new River and that of Hondo; which last is distant form the Ruins of Bacalar about five Leagues. Here they built a great many Houses and Hutts, and employ'd Multitudes of Negroes in cutting Logwood, which was transported to Jamaica and Europe by Numbers of Vessels trading form thence to the Bay. But our present [Sp] Governor, who is a Field-Marshal, and an old Officer, having resolv'd to rebuild and fortify Bacalar, after it had lain in Ruins for a long time, thereby to hinder the English from cutting Wood in those Parts, went thither in Person, and accomplished his Design; And thereafer with the Forces he carried with him from Campeche, and other he drew together from the Lake of Bacalar, he attacked the New Settlements of the English on these two last mentioned Rivers, burnt their Habitations, seiz'd all their Instruments for cutting Wood, and other Craft for carrying on their Trade, and the Year following served their Settlement on the River of Valis n the same Manner: So that in the Space of two Years, it is computed, he has taken about 140 Vessels of one sort or other, burnt upwards of 300,000 Quintals of Logwood, ready cut and piled upon the Shore, and made a great many of the English and their Negroes Prisoners. Upon this such as had escaped into the Woods came to this Resolution: They wrote to the Governor in June last, acquainting his Excellency, that they were wiling to abandon these Places and begg'd of him that he would allow them Time to transport themselves tot he Colonies of Great Britain; which he agreed to, and gave them to the last Day of January next for that Purpose: And this Agreement they have so far fulfilled, that at present by th east Accounts there scarce now remains in all those Parts 30 Persons, and these under such Hardships, that they wish for nothing more, than an Opportunity to be gone. This is the present Condition of the Bay of Honduras, which in all probability must continue, our Governor being resolved to protect the Trade, and defend the Possessions, which his Catholick Majesty has been pleased to commit to his Care and Government. /RWJBG 375"	
Hos 4			Bazán y Molina Siege	1 Mar 1744	30 Jun 1761	Sp	 	"Yucatan lay siege to Settlement / Cuba, Guatemala and Yucatan launch xxx military campaigns against Settlement / Fleet and Baymen, possibly with Amerindian allies, engage"					
Hos 8			Zayas Siege	1 Mar 1767	23 Aug 1773	Sp	 	Yucatan lay siege to Settlement / Yucatan launch at least 2 military or paramilitary campaigns against Settlement / Fleet and Baymen engage				Yucatan is assumed.	
Hos 12			Naismith Raid	25 Jul 1767	25 Jul 1767	 	Ai	Amerindian assault or raid Settlement					
Hos 10			Arms Raids	1 Sep 1773	30 Nov 1773	 	Ai	Amerindian assault or raid Settlement					
Hos 11				1 Nov 1793	30 Nov 1793	 	Ai	Amerindian assault or raid Settlement / Baymen engage					
Hos 21			Jeykill Massacre	31 Mar 1824	31 Mar 1824		Bu	Pirates massacre crew of Mr. Jeykill’s schooner					
Hos 22			Omoa Imprisonment	28 Jul 1873	28 Jul 1873	Sp		Sp Hon imprisons 2 residents of Sapodilla Cayes					
Hos 23			Guatemalan Hostilities	21 Jan 1958		Sp		Guatemala xxx					
Hos 24			Chewing Gum / Watermelon War	6 Nov 1975	8 Jul 1977	Sp		Guatemala xxx	Document nyta000020011127d7b906tpn				
Hur 1				20 Aug 1785	20 Aug 1785			Unnamed hurricane strikes Hon					
Hur 2				2 Sep 1787	2 Sep 1787			Unnamed hurricane strikes Hon					
Hur 3				28 Aug 1805	28 Aug 1805			Unnamed hurricane strikes Hon					
Ill 1			Diphtheria	1 Jun 1737	30 Dec 1737	 	 	Epidemic among Baymen and Fleet					
Ill 2			Malaria	7 Mar 1750	30 Sep 1750	 	 	Epidemic among Baymen					
Ill 3			Measles	1 Nov 1751	30 May 1752	 	 	Epidemic among Baymen and Fleet					
Ill 4			Measles	1 Feb 1788	30 Aug 1788	 	 	Epidemic among Baymen					
Ill 5			Yellow fever	29 Sep 1797	30 Dec 1797	 	 	Epidemic among Irish Brigade					
Ill 6			Poyais	1 May 1823	30 May 1823			Epidemic among victims of Poyais Scheme					
Ill 7			Yellow fever	1 Aug 1830	30 Aug 1830			Epidemic among HMS Blossom					
Ill 8			Cholera	1 Aug 1836	30 Sep 1836			Epidemic among former slaves from Havana					
Ill 9			Cholera	1 Jan 1854	30 Jan 1854			Epidemic among residents					
Ill 10			Smallpox	1 May 1857	20 May 1857			Epidemic among residents					
Ill 11			Yellow fever	1 Feb 1860	28 Feb 1860			Epidemic among residents					
Ill 12			Yellow fever	1 Jun 1865	30 Jun 1865			Epidemic among Chinese immigrants					
Ill 13			Cholera	1 Dec 1867	30 Dec 1867			Epidemic among residents					
Ill 14			Yellow fever	1 Aug 1869	30 Aug 1869			Epidemic among residents					
Ill 15			Malaria	1 Dec 1874	30 Dec 1874			Epidemic among Caste refugees					
Ill 16			Yellow fever	1 Jan 1905	30 Jan 1905			Epidemic among residents					
Ill 17			TB	1 May 1910	30 May 1910			Epidemic among residents					
Ill 18			Spanish flu	1 Oct 1918				Epidemic among residents					
Ill 19			Yellow fever	24 Aug 1921				Epidemic among SJC					
Ill 20			Gastroenteritis	1 Jan 1958	30 Dec 1958			Epidemic among residents					
Ill 21			HIV / AIDS	1 Dec 1986				Epidemic among residents					
Nat 1			Great Famine	1 Jun 1771	30 Apr 1772	 	 	Amerindians seek refuge in Settlement / Provisions become significantly scarce					
Nat 2				1 Dec 1784	30 Nov 1785	 	 	Severe wet season / Epidemic among Baymen					
Nat 3				1 Nov 1792	30 Nov 1792	 	 	Severe wet season / Severe flooding of Belize Town					
Nat 4				31 Oct 1852	31 Oct 1852			Severe wet season / Severe flooding of Belize Town					
Nat 5				15 Sep 1864	15 Sep 1864			Severe wet season / Severe flooding of Belize Town					
Nat 6				1 Mar 1907	30 Mar 1908			Sever dry season / Severe drought in Belize Town					
Rev 1			Cook’s	1 Aug 1765	30 Sep 1765	 	 	"Mr. Cook’s slaves lead revolt / Revolters lay siege to New River / British Army, Fleet and Baymen engage"					
Rev 2			Davidson’s	28 May 1773	30 Sep 1773	Sp	 	"Mr. Davidson’s slaves, with Spanish allies, lead revolt / Royal Navy, Fleet and Baymen engage"	Rivington’s New York Gazetteer 16 p3 = 5 Aug 1773	"CO 5/120 ff 47-51, 192-4"	Bolland 75 153		
Rev 3			Old River	1 Jun 1786	30 Jul 1786	 	 	Slaves lead revolt / xxx					
Rev 4			New River	1 Jan 1813		 	 	Slaves lead revolt / xxx					
Rev 5			Will & Sharper’s	1 Apr 1820		 	 	Messrs. Will and Shaper lead revolt / xxx					
Tcl 8				1 Apr 1802	8 May 1802			Fire in Belize Town					
Tcl 9				18 Jul 1806	18 Jul 1806			Fire in Belize Town					
Tcl 1			Diseldorff Fire	13 Aug 1854	13 Aug 1854			Fire in Belize Town					
Tcl 2			Ambrister Fire	17 Jul 1856	17 Jul 1856			Fire in Belize Town					
Tcl 3			Mango Fire	10 Mar 1863	10 Mar 1863			Fire in Belize Town					
Tcl 4			Great Fire	17 Aug 1918	17 Aug 1918			Fire in Belize Town					
Tcl 5				13 Sep 1931	13 Sep 1931			Fire in Belize Town					
Tcl 6				17 Apr 1932	17 Apr 1932			Fire in Belize Town					
Tcl 7			Artist’s Fire	5 Oct 1953	5 Oct 1953			Fire in Belize Town					
War 13				1 Jan 1625	30 Dec 1630	Sp		England declares war on Spain					
War 10			Cromwell’s	15 Dec 1654	23 May 1667	Sp	Bu Fr	England declares war on Spain					
War 14			Portuguese Restoration	1 Jan 1662	13 Feb 1668	Sp		England declares war on Spain					
War 1			Spanish Succession	1 Jul 1701	11 Sep 1714	Sp	Fr	England declares war on Spain				"Alvaro Rivaguda [Gov of Yuc 1703–1706], mandó por aquel tiempo [War of Sp Succession] á practicar un reconocimiento de toda la costa [de Belice], y se descubrió el verdadero lugar en que estaban guarecidos los bandidos [piratas ingléses], y aunque insistió [a Corona española] en que se les atacase y destruyese una pequeña fortificacion que habian construido, se le informó que aquello no era posible porque eran desconocidos aquellos lugares y estaban llenos de arrecifes y cayos que hacian peligrosa la entrada al rio [Walis]. /v Peniche 220 citing ""Ojeada histórica sobre el establecimiento británico de Belice,"" Fénix, xxx"	
War 2			Quadruple Alliance	2 Aug 1718	17 Feb 1720	Sp	 	Great Britain declares war on Spain					
War 3				1 Mar 1726	9 Nov 1729	Sp	 	Great Britain declares war on Spain					
War 4			Jenkins' Ear	22 Oct 1739	18 Oct 1748	Sp	 	Great Britain declares war on Spain			Sorsby 15	"Directive to ""commit all Sorts of Hostilities against the Spaniards"" in WI issued 19 Jul 1739 /via Sorsby 15 /SP 94/248 f 88
King Philip V [of Sp] orders operations ""to dislodge and exterminate these Indians [the Mosquitos] and the English and other foreigners who sustain them"" on 30 Aug 1739 /via Sorsby 15 /GUATEMALA,391 [Corona a Ribera a 30 ago 1739]"	
War 5			Seven Years’	5 May 1762	10 Feb 1763	Sp	Fr	Great Britain declares war on Spain					
War 6			American Revolution	19 Apr 1775	3 Sep 1783	Sp	Am Fr	"America, Spain declare war on Great Britain / American Royalists seek refuge in Settlement / Americans sack Settlement / Yucatan launch 1 military campaign against Settlement / Royal Navy, British Army, Baymen, Shoremen and Amerindian allies engage"					
War 7			French Revolution	20 Apr 1792	27 Mar 1802	Sp	Fr	"Great Britain declares war on Spain / Yucatan launch 1 military campaign against Settlement / Royal Navy, Fleet and Baymen engage"				"See runaways to Yuc, and logging prohibition at Hondo, New ESTADO,35,N.46 / Piracy fm Hon ESTADO,35,N.47"	
War 8			Napoleonic	18 May 1803	20 Nov 1815	Sp	Fr	"UK declares war on France, Spain"				"See Yuc offensive plans ESTADO,35,N.89 / ESTADO,35,N.90"	
War 11			Spanish-American Revolution	25 Sep 1808	29 Sep 1833	Sp	 	Civil unrest / xxx				"See, possibly, stoppage in provisions fm Bacalar ESTADO,40,N.61 / and piracy, navigation treaty with Guat ESTADO,96,Exp.6"	
War 9				18 Jun 1812	17 Feb 1815	 	Am	UK declares war on US					
War 15			Caste	30 Jul 1847		Sp	Ma	Maya wage war on Yucatan	"Fenix xxx
Siglo Diez y Nueve IV [Época] 208 p4 = 26 Dec 1848
Universal II 350 p3 = 31 Oct 1849 [CDMX]
Siglo Diez y Nueve VIII 1908 p1 = 17 Mar 1854"	"CP 2567 p 47
CP 2711 p 3"	"Bolland 75 252
Paetzold xxx"	"See Hon involvement in Ma slave trade ULTRAMAR,4642,Exp.2 / Sp aid with Ma attacks in Hon ULTRAMAR,4708,Exp.12"	
War 16			WWI	28 Jul 1914	11 Nov 1918					"Cd. 7622-59
Cd. 8973-6
Cd. 8434-2
Cmd. 1-17
Cmd. 508-10
Cmd. 4586 p 197"			
War 17			WWII	1 Sep 1939	2 Sep 1945				"AP GALE|HQFAWA429255736,
GALE|HQCBRZ410385263,
HQMRNL018759175
Scotsman 30970 Edinburgh 31 Aug 1942 p 4, 5
Scotsman 30695 Edinburgh 1 Sep 1941 p 4
Chicago Defender National Ed. XXXVII 52 Chicago 18 Apr 1942 p 7"	"Cmd. 7167
Cmd. 7433
Cmd. 7715
Cmd. 7533 p 277"			
xxx			Sugar Crisis	1 Jan 1980				xxx	Document FTFT000020070505dgci03077				
xxx			American orgs crisis	1 Jan 1983				xxx	AP GALE|CAHMGZ576566268				
xxx			Refugee crisis	1 Jan 1985				xxx	"AP GALE|JDGOIU443080636
Document asp0000020011125dhal00osa
Financial Times Survey of Belize 16 Oct 1985
Document lba0000020011204dj850126w"				


Sheet 1-1-1-1-1-1-1-1-1: Table 1
						
						
