Redwoods: R 1—8 / New World redwoods.
ID	NO	ORIGINAL	SUFFIX	DATE	HABITAT /Original	CF	STATUS	KEW	SUFFIX	DATE	CF	RANGE < 1950 DESCENDING /GBIF	NATIVE /RBG KEW	NATIVE ISLANDS? /RBG KEW	NATIVE ISLANDS? /MCJUNKIN	PRECURSOR	CHROMOPHORE	MUNSELL HUES	
		Caesalpinia crista	L.	1753	Zeylona	Species Plantarum 1 p380	Unp					"Asia, Mexico, USA, Belize, Panama, PR "	SE Asia			Brazilin	Brazilein	R – RP	
		Haematoxylum campechianum	L.	1753	Campeche Americes	Species Plantarum 1 p384	Acc					"Mexico, Jamaica, PR, Bahamas, USA, USVI, Cuba, AA, Belize, DR, Asia, Africa"	"SE Mexico, N NE Cen Am"	?	No	Haematoxylin	Haematein	P – PB	
		Caesalpinia sappan	L.	1753	Indiis	Species Plantarum 1 p381	Syn	Biancaea sappan	L.	1875	Hortus Botanicus Panormitanus 1(1) p3	"Asia, Cuba, Africa, USVI"	SE Asia			Brazilin	Brazilein	R – RP	
		Caesalpinia brasiliensis	L.	1753	"Jamaicae, Carolinae collibus"	Species Plantarum 1 p380	Acc						Hispaniola	Yes		Brazilin	Brazilein	R – RP	
		Caesalpinia vesicaria	L.	1753	America calidiore	Species Plantarum 1 p381	Syn	Tara vesicaria	L.	2016	Weberbauerella 1(8) p5	"Mexico, Cuba, Bahamas, Haiti, Jamaica, Nicaragua"	"SE Mexico, NE Cen Am, N NW WI"	Yes		Brazilin	Brazilein	R – RP	
		Caesalpinia echinata	Lam.	1785	"Brésil, dans les bois et parmi les rochers"	Encyclopédie Méthodique 1(2) p461	Syn	Paubrasilia echinata	Lam.	2016	Phytokeys 71 p39	"Brazil, TT"	NE SE Brazil			Brazilin	Brazilein	R – RP	
		Haematoxylum brasiletto	H. Karst.	1859	regiones calidas et aridas montanas ad pedes Andium Columbiae septentrionalis	Florae Columbiae 2 p27	Acc					"Mexico, Nicaragua, Venezuela, Curaçao, Belize, Guatemala"	"Mexico, Cen Am, NE Sth Am"	?	Yes	Brazilin	Brazilein	R – RP	
		Caesalpinia violacea	Standl.	1935		Carnegie Inst. Wash. 461 p61	Syn	Coulteria cubensis	Greenm.	2017	Phytotaxa 291(1) p35	"Mexico, Belize, Cuba, Jamaica"	"SE Mexico, N NE Cen Am, NW WI"	Yes		Brazilin	Brazilein	R – RP	


P estimates: P 1—50 / Pre-censal estimates of population or of proxies for population.
ID	NO	TYPE	LOWER START	PERIOD	PUB	TALLY	PLACE	PLACES	FOR	CF	VIA	NOTE	
P 11	11	O	1 Sep 1675	Sep—17 Dec 1675	14 Dec 1675	17	Yucatan		New England merchant craft trading	740 CSPC 9		"Dec. 14. 740. Observations on the present state of Jamacia by M. Cranfield, being answers to 21 queries, drawn out of his Majesty's Instructions of 7th March 1675. ... (14.) ... between September and 17 December [1675], 17 New England vessels touched at Port Royal, bound to the Bay of Campeachy for logwood."	
P 12	12	P	1 Aug 1682	Aug 1682	29 Aug 1682	200 to 300	Yucatan	"Campeachy, Honduras"	Loggers	668 CSPC 11		"Aug. 29. Jamaica. 668. Sir Thomas Lynch to Lord of Trade and Plantations. ... I have forbidden our cutting logwood in the Bay of Campeachy and Honduras, ... It is now become a greater drug than fustic, and is almost all carried to Hamburgh, New England, Holland, &c., which injures us and the customs and trade of the nation. I have, therefore, sent to order the men up, and to tell them that I permit no more vessels to go that I can hinder. We have lost abnndance of men, and suppose two or three hundred of them to be now in Yucatan and Nueva Españna."	
P 13	13	P	1 Jun 1702	Jun 1702	15 Jun 1702	500	Yucatan		Loggers	"MEXICO,1078,L.42 ff 172v—174v, 178v–181r"	"Barke 12 110 n374
Barke 16 170 n582"	Sum = 400 Eng + 100 Neg slaves.	
P 14	14	P	1 Aug 1715	Aug 1715	19 Sep 1715	> 200 /5	W Yucatan	Campeche	Loggers gone	Boston News-Letter 596 p2		"Rhode-Island, Septemb. 16. ... Just at the going out of the Post for Boston, arrived here Capt. John Pampillion Commander of the Ship Samuel from Campeche bound to Holland, who informs that there is near Two Hundred Men gone from that Place a Pyrating, and the few that remain are at the point of Starving, Provisions being very scarce and extraordinary dear, and that several Negroes dyed there for want of Provisions, and that all Persons that can get away, carry what they have with them, and desert the Place, there was but one Ship in the Bay when he came away."	
P 15	15	P	1 Mar 1716	Mar 1716	7 May 1716	150	W Yucatan	"Campeche, Treas"	Men Whites and Blacks held by Spanish	Boston News-Letter 629 p2		"Piscataqua, May 4. Capt. John Cowrt[-] arrived here last Night in a Snow from Campeche, six weeks Passage, who informs that nine weeks ago [= 2 Mar 1716] the Spaniards from Tabiscus. had intirely cut off the Western Legoons and Island of Treas, and captivated 150 Men Whites and Blacks, burnt all the Logwood, destroy'd the Craft, took a Pink and Sloop which they carryed away, burnt the Hulks and a Snow; they took Mr. Alexander Todd but he made his escape and is now in the Bay; They took also a Vessel of Marooners that belonged to the Bay and carryed to Campeche Town ..."	
P 16	16	P	1 Dec 1716	Dec 1716	8 Apr 1717	200 to 300	W Yucatan	Campeche	Loggers not imprisoned 	Boston News-Letter 677 p2		"New York, March 25th. ... Capt Nailor in 32 days from Jamaica touched at the Havana where he was informed that on the last Day of November [1716] five sail of Spanish Vessels, went to the Bay of Campeche ... [they] sent the Flagg of Truce among the English Shipping, which were one or two and Twenty, and finding they could not Muster above 80 Men together (the rest being in the Lagoons) The Spaniards being 600 Men, they also surrendered, ... Between two and three hundred Men that were in the Lagoons have not surrender'd themselves, but are raving about in Perryaugers."	
P 17	17	P	10 Dec 1716	10 Dec 1716	10 Dec 1716	> 130	W Yucatan	Triste	Loggers or sailors	484 X CSPC 29		"484. x. Masters of vessels in the Bay of Campeachy to John Cample. Antea Triste Harbour sed nu[n]c del Carmen, Dec. 10, 1716. ... the Spaniards stop't up both Creeks, so that our men could by no means come to our assistance, and so that in 18 sail there were but 80 sailers left, most part of the Bay men who were then at Triste with 7 of the masters of vessels vizt. Thomas Porter, Bay man, who drew all the rest away ran from our aid with above 50 men in canoes, one of the abovesaid 7 masters, after assignation of the capitulations (Nos. vii., viii.), burned his sloop etc."	
P 18	18	P	10 Dec 1716	10 Dec 1716	15 Jul 1726	400 /2	W Yucatan	Trist	Loggers	Lon 26 p15-16		"Our People then took Possession of it [Lagune of Trist] again, but have often been disturbed by the Spaniards, who made Prizes of their Shipping whenever they could overcome them, particularly in the Year 1718, and in 1724, when they took upwards of 20 Sail each time, and drove the People on Shore from their Settlements. /Lon 26 p15

THIS Trade [logwood] employ'd above one hundred Sail of Ships, and near two thousand Seamen, including those that were settle Ashore; so that on a moderate Computation, they could not export less than 12000 Tons of Logwood yearly, ... /Lon 26 p16"	
P 19	19	P	1 Jan 1719	1719	15 Jul 1758	300	Honduras	Río Viejo o Wallis	Immigrant loggers previously expelled from Campeche	"Biblioteca Real, Miscelanea Ayala, Mss. no. 2874, ff 186-205"	Calderon 440	"una Expedición salió [en 1719] de Jamayca, arrivaron a aquella Costa [Campeche], donde desembarcaron con 300 hombres; pero haviendo sido rechazados hostilmente, perdida toda la esperanza de recuperar su posesión, proyectaron pasar el Golfo de Honduras y introducirse en el Río Viejo o Wallis, y encontrar en sus Riberas y en sus lagos el precioso tesoro de su Palo; así lo executaron sin resistencia de los Españoles, ... /via Calderon 440 img 1140 /Biblioteca Real, Miscelanea Ayala, Mss. no. 2874, ff 186-205"	
P 20	20	P	1 Jul 1722	Jul—Nov 1722	15 Jul 1735	500	Belize River	Barcaderas	Loggers	Atkins 227		"Assume Atkins received information on Honduras while at Jam, since did not anchor at Hon /Atkins 255-265, but did at Jam 23 Aug 1722 to 1 Jn 1723 NS /Atkins 264-265

Date or period = August 23 [1722]. A. [Anchored, or arrived at] Port-Royal in Jamaica, where we [in xxx] found the Swallow had arrived, a Week before. ... Jan. 1 [1723 NS]. W. [Weighed, or went from] Port-Royal, and anchored at the Kays. /Atkins 264

They [Logwood-Cutters at Bay of Honduras] are about 500 (Merchants and Slaves,) and have taken up their Residence at a Place called Barcaderas, about 40 Miles up a narrow River full of Alligators; /Atkins 227"	
P 21	21	P	1 Aug 1722	Aug 1722	15 Aug 1722	380	Belize River		Loggers	"MEXICO,1081,L.50 ff 306r—308r"	Barke p121 n414	Sum = 300 Eng + 80 Neg	
P 22	22	P	1 Apr 1724	Apr 1724	26 Apr 1724	> 152 /6	Belize River	Río Valis	Sailors /4	AGI MEX 1017	Calderon 100 no 47	"Declaración del primero [de los seis prisioneros hechos en el Cayo de la Aguada en 26 abril 1724], cuyo nombre no se sabe, porque huyó: ""...que hay un paquebote por cuenta del Rey, armado en Jamaica con 100 hombres y con 10 cañones; y una fragata con 40 hombres y 3 cañones, y está cerrado de popa a proa con la artillería entre puentes; una balandra de 4 cañones con 12 hombres de la Bermuda y 3 balandras más, las cuales declara que no sabe si tienen artillería; y un bergantín que no tiene artillería; y un inglés que se nos huyó, declara que está a bordo del paquebote, y dicho paquebote, los 100 hombres que tiene todos son marineros y en su declaración no sabe si es pagado del Rey o del comercio, y tiene dicho Paquebote 6 pedreros, y dentre del río hay 200 hombres armados poco más o menos, y que del primer rancho hay 13 millas distante del varadero, y al rancho que se le sigue que es a mano derecha hay de dicho rancho primero 29 millas, y seguidas se pueden transportar de un rancho a otro, por tierra, habiendo llegado al que hay del primero al segundo de 29 millas, y dicho paquebote tenía en el río uno s30 hombres y no sabe si habrán varado; y están uno de otro un tiro de escopeta, y que habrá en las rancherías 70 negros poco más o menos, y que sus amos los tienen armados porque somos sentidos por el inglés que se nos huyó, y que no sabe más de lo que ha declarado..."" /via Calderon 100 no 47 /MEXICO,1017 -- a 26 abr 1724"	
P 23	23	P	1 Apr 1724	Apr 1724	26 Apr 1724	200	Belize River	Río Valis	Loggers	AGI MEX 1017	Calderon 100 no 47	"Declaración del primero [de los seis prisioneros hechos en el Cayo de la Aguada en 26 abril 1724], cuyo nombre no se sabe, porque huyó: ""...que hay un paquebote por cuenta del Rey, armado en Jamaica con 100 hombres y con 10 cañones; y una fragata con 40 hombres y 3 cañones, y está cerrado de popa a proa con la artillería entre puentes; una balandra de 4 cañones con 12 hombres de la Bermuda y 3 balandras más, las cuales declara que no sabe si tienen artillería; y un bergantín que no tiene artillería; y un inglés que se nos huyó, declara que está a bordo del paquebote, y dicho paquebote, los 100 hombres que tiene todos son marineros y en su declaración no sabe si es pagado del Rey o del comercio, y tiene dicho Paquebote 6 pedreros, y dentre del río hay 200 hombres armados poco más o menos, y que del primer rancho hay 13 millas distante del varadero, y al rancho que se le sigue que es a mano derecha hay de dicho rancho primero 29 millas, y seguidas se pueden transportar de un rancho a otro, por tierra, habiendo llegado al que hay del primero al segundo de 29 millas, y dicho paquebote tenía en el río unos 30 hombres y no sabe si habrán varado; y están uno de otro un tiro de escopeta, y que habrá en las rancherías 70 negros poco más o menos, y que sus amos los tienen armados porque somos sentidos por el inglés que se nos huyó, y que no sabe más de lo que ha declarado..."" /via Calderon 100 no 47 /MEXICO,1017 -- a 26 abr 1724"	
P 24	24	P	1 Apr 1724	Apr 1724	26 Apr 1724	70	Belize River	Río Valis	Slaves	AGI MEX 1017	Calderon 100 no 47	"Declaración del primero [de los seis prisioneros hechos en el Cayo de la Aguada en 26 abril 1724], cuyo nombre no se sabe, porque huyó: ""...que hay un paquebote por cuenta del Rey, armado en Jamaica con 100 hombres y con 10 cañones; y una fragata con 40 hombres y 3 cañones, y está cerrado de popa a proa con la artillería entre puentes; una balandra de 4 cañones con 12 hombres de la Bermuda y 3 balandras más, las cuales declara que no sabe si tienen artillería; y un bergantín que no tiene artillería; y un inglés que se nos huyó, declara que está a bordo del paquebote, y dicho paquebote, los 100 hombres que tiene todos son marineros y en su declaración no sabe si es pagado del Rey o del comercio, y tiene dicho Paquebote 6 pedreros, y dentre del río hay 200 hombres armados poco más o menos, y que del primer rancho hay 13 millas distante del varadero, y al rancho que se le sigue que es a mano derecha hay de dicho rancho primero 29 millas, y seguidas se pueden transportar de un rancho a otro, por tierra, habiendo llegado al que hay del primero al segundo de 29 millas, y dicho paquebote tenía en el río uno s30 hombres y no sabe si habrán varado; y están uno de otro un tiro de escopeta, y que habrá en las rancherías 70 negros poco más o menos, y que sus amos los tienen armados porque somos sentidos por el inglés que se nos huyó, y que no sabe más de lo que ha declarado..."" /via Calderon 100 no 47 /MEXICO,1017 -- a 26 abr 1724"	
P 25	25	P	1 Oct 1724	Oct 1724	10 Apr 1725	<< 800	Belize River	Río de Valis	Loggers	AGI MEX 1017	Calderon 103 no 56	"DECRETO DEL MARQUES DE CASAFUERTE EN MÉJICO A 10-4-725. ""...que no he recibido noticio alguna de que en los citados parajes [Río de Valis] se hallen situados 800 ingleses, como expresa la Real Cédula [en Madrid a 11 dic 1724 /MEXICO,1017], por cuyo motivo, dudo que sea cierto, porque si esto fuese, me lo hubiera avisado con lapuntualidad que acostumbra el Governador, ... que no he sabido que los ingleses tengan en los contornos de Valis población formal, sino las rancherías que más de 50 años a esta parte han procurado sostener, para venir a robar el palo de tinta, aumentándose o disminuyéndose el número, según los descalabros que han experimentado, y conveniencia que les ha tenido el comercio de dicho palo, e informará con toda individualidad, qué gente ha podido saber se halla actualmente en aquel paraje, lo que dista de Campeche por tierra y por mar, ..."" /via Calderon 103 no 56 /MEXICO,1017 -- a 10 abril 1725"	
P 26	26	O	1 Mar 1726	Mar 1726	23 Mar 1726	42	Belize River	Valis	Craft logging or trading	AGI MEX 1017	Calderon 127 no 20	"DECLARACION DE RICARDO RANDEL, CAPITAN QUE DIJO SER DE LA GOLETA JORGE, EN EL SAN JUAN, FRENTE A COZUMEL A 23-3-726. ""...Preguntado qué número de embarcaciones se hallan en Valis, dijo que como 42 entre fragatas, bergantines, balandras y goletas, y que de éstas estaban prontas 14 ó 16 para hacerse a la vela, ya cargadas para Jamaica, Boston y Carolina, y que por isntantes están entrando y saliendo embarcaciones. Preguntado qué embarcaciones de fuerza se hallan en aquellos parajes y son del Rey, qué artillería y qué gente tienen, y qué efecto: dijo que se hallan allí anclado un navío del Rey de Inglaterra, que sirve de guardacostas de Jamaica, de 44 cañones montados de 12 y 9, con 250 hombres y 2 balandras de a 6 cañones, que sólo sirven para defender aquellos parajes de piratas levantados. /via Calderon 127 no 20 /MEXICO,1017 -- a 23 mar 1726"	
P 27	27	P	1 Mar 1726	Mar 1726	23 Mar 1726	600	Belize River	Valis	English and Neg	AGI MEX 1017	Calderon 128 no 20	"DECLARACION DE RICARDO RANDEL, CAPITAN QUE DIJO SER DE LA GOLETA JORGE, EN EL SAN JUAN, FRENTE A COZUMEL A 23-3-726. ... ""Preguntado qué número de gente se halla en dicho Valis, a qué efecto, y qué defensa tienen, dijo que habrá como 600 hombres entre ingleses y negros, sin los 250 del navío del Rey, y que éstos están al corte del palo de tinta, y que por lo que mira, están a su defensa, así los ingleses como los negros, están prevenidos de un fusil, un par de pistolas y un chafaronte cada uno. ..."" /Calderon 128 no 20 /MEXICO,1017 -- a 23 mar 1726"	
P 28	28	O	1 Apr 1729	1 Apr 1729	15 Apr 1729	32 /3	NW—NE Honduras		Works burnt	AGI MEX 3017 /1	Sev 1944	"Sum = 23 Ranchos Poblados, 9 Ranchos despoblados."	
P 29	29	O	1 Apr 1729	1 Apr 1729	15 Apr 1729	62 /2	NW—NE Honduras		Craft seized	AGI MEX 3017 /1	Sev 1944	"Sum = 29 Bongos, 6 Piraguas, 3 Botes, 2 Lanchones, 7 Valandras, 8 Doris."	
P 30	30	P	1 Jun 1735	Jun 1735	21 Aug 1735	200	Honduras	Honduras	Loggers	"JBTP 7 [August 1735 -- Thursday, August 21st.]"		"Mr. Cunningham, Governor of Jamaica, attending, acquainted the Board that there are now no English at Campeachy, those formerly there being all carried away by the Spaniards, but that there are about 200 English settled at the Honduras. /JBTP 7"	
P 31	31	P	23 Feb 1743	23 Feb 1743	15 Feb 1743	400	Belize River		White Baymen	CO 137/57	Burdon I p70	"1742-3, February 23rd. Mr. Gerrard's Paper relating to Rattan. ... Such Settlments [of Mosquito Shore and Rattan] would not provide homes for the 400 white Baymen of Bellese /via Burdon 1 p70 /CO 137/57"	
P 32	32	P	1 Jun 1745	Jun 1745	15 Jun 1745	170	Honduras		Inhabitants	CO 137/48 /1	Bolland 73	"1745, June 8th. Letter from the Inhabitants of the Bay of Honduras to Major Caulfield. ... We see in the Order of Council that We the Inhabitants of this Place shou'd be Assisted, and being now driven to the Highest distress that can be and reduced to a small quantity of People, not exceeding above Fifty white Men, and about a hundred and twenty Negroes /via Burdon 1 p72 /CO 137/48"	
P 33	33	P	1 Aug 1754	Aug 1754	15 Aug 1754	500	Honduras		Whites and slaves	CO 137/60	Burdon I p80	"William Pitt, Black River, Mosquito Shore, to Gov Knowles. ... Numbers of the Enemies Vessells have been Cruising about the Bay and have taken a number of Vessels, they have cut a path from Poten and march'd a number of men from Thence to the Houses of some of the Settlers in the Bay, where it was though impossible they ever could come, upon which the Bay Men assembled, engaged them and killed some, but being overpower'd by Number was Obliged to retreat in Order to assamble a greater number, which when they had done they march'd again to attack them but the Spaniards had quitted the place, they are all safe arrived here to about the number of 500 Whites and Slaves ... /Burdon 1 p80 /CO 137/60 [1 Aug 1754]"	
P 34	34	P	1 Sep 1754	Sep 1754	28 Dec 1754	> 500	Honduras	Bay of Honduras	Baymen	London Evening Post 4234 p1		"PLANTATION NEWS. ... Kingston in Jamaica, Oct. 2. A Vessel arrived Yesterday from the Musqueto Shore brings certain Advice, that the Baymen had deserted the Bay of Honduras, and, to the Number of 500, were actually arrived on the Musqueto Shore; that there remain in the Bay only ten or eleven very old Negroes, who rather chose to take their Chance than be removed to the Shore."	
P 		P	1 Jan 1755	Jan 1755	31 Jul 1784	906	Honduras	Bay of Honduras	Baymen	"SANTA_FE,L.758B [Doc. 46 ... a 31 jul 1784]"	Barke 16 149	"Hombres blancos 232, Hombres mestizos y mulatos libres 13, Hombres esclavos 473, Hombres total 718, Mujeres y niños blancos 43, Mujeres y niños mestizos y mulatos libres 7, Mujeres y niños esclavos 138, Mujeres y niños total 188, TOTAL 906 /v Barke 16 149 /SANTA_FE,758B"	
P 35	35	P	1 Sep 1755	Sep 1755	15 Oct 1755	300	New	Río Nuevo	White and Neg loggers	"MEXICO,3099 — a 15 oct 1755"	Calderon 166 no 48	"EXTRACTO DE UNA CARTA DE MELCHOR DE NAVARRETE A JULIAN DE ARRIAGA, EN MERIDA A 15-10-755. ""Dice que 2 desertores ingleses, que hizo transportar allí, y habían ido en una fragata de Jamaica que estaba cargando de palo de tinte en el río de Valis, han declarado que en el Río Nuevo estaban establecidos 100 hombres blancos y 200 negros, que no hacen más que cortar palo. Que en la boca del río tienen 6 cañones de a 6 tendidos en tierra, para con ellos y más que esperan, hacer un fuerte para defender su entrada, y que en el desembarcadero tienen apiladas 3.000 balas la mayor parte de a 6. Que en la boca de Valis hay un fuerte de estacada que tiene montados 24 cañones de a 6, y 12 pedreros con tragantes con 40 soldados pagados con ración mensualmente de los almacenes del Rey, y 50 esquelines que son casi 11 pesos españoles, con uniforme del Regimiento de los Colorados, y que están dentro del Fuerte en rancherías de paja, donde está también alojado el ingeniero Johns, su Comandante. Que continúan el fuerte y tienen 12 cañones de a 6 tendidos para guarnecerle con otros que esperan por instantes, teniendo ocupados en esto a 60 indios mosquitos, y que las embarcaciones que allí vieron, fueron un manual o fragata de guerra con 150 hombres de guarnición y tripulación, la fragata que los condujo que fué de 22 cañones montados, y 28 hombres y un bergantín y una balandra comerciantes, con solas sus tripulaciones, y que esperaban otras embarcaciones de comercio de Inglaterra la Vieja y de la Nueva para cargar de palo, y refuerzo de gente, artillería, armas y municiones..."" /via Calderon 166 no 48 /MEXICO,3099 -- a 15 oct 1755"	
