ID	NO	LOSSY	INVASN	SIEGE	SER 0	SER 1	START	STOP	NAME	DESC	PLACE	SP	NON—SP 0	NON—SP 1	PRESS	CF	VIA	NOTE	LOSS 0	LOSS 1	LOSS 2	LOSS 3	LOSS 4	LOSS 5	END	
E 20	20	1	0	xxx	Hos	xnp	10 Feb 1639	10 Feb 1639	Sacking of Guanaxa	Diego el Mulato raids and burns native hamlet on Guanaxa	Guanaxa	"Gov Francisco de Ávila Lugo, Capt Francisco Mejía del Tobar, Alonso Gaitán"	Diego el Mulato 2 Ships	xnp	xnp	"GUATEMALA,16,R.2,N.13 f 55r"	"Cardona 115, 49-50"	xnp	xnp	xnp	xnp	xnp	Sacked and burnt Guanaxa	xnp	###	
E 22	22	1	1	xxx	Hos	xnp	1 May 1639	30 Sep 1639	Providence Design	"Governor of Providence Island, with buccaneer or privateer allies, and native allies, seizes but fails to sack Truxillo"	"Prov, Truxillo"	"Gov Francisco de Ávila Lugo, Francisco Mejía del Tobar, Hernando Sarco, Roque de Vargas 6 cavalry 13 vecinos of Tru"	"Gov Nathaniel Butler, William Jackson 2 Ships 200 men xxx Mos allies"	xnp	xnp	"GUATEMALA,16,R.2,N.13 f 87v-88r / Sloane MS 758 [28 Mar, 31 May, 6, 20, 21, 30 Jun 1639] / Harlow 23-25"	"Cardona 115, 59 / Kupperman 278-279 fn 30-31 / Goslinga 554 no 76 = Burns 210 / Harlow vi / Offen P 28-29 / Newton 257 / Genkins 108"	"Native allies from Roatan or Guanaxa, possibly under duress /v Cardona 69 /GUATEMALA,16,R.2,N.13 f 214-5, though see Offen P 28-29 on non-coerced alliance with Pech of Guanaxa -- On October 15, 1639, Butler received a letter ""from ye Inhabitant Indians of the Iland of Guanaho [Guanaxa]; desiringe to be brought off from thence from the cruelties of the Spaniarde …” / See Butler, *Diary* [sl, sn, sd] [9 Jun, 15 Oct, 4 Nov 1639] /v Offen P 29 /// Native allies from Cape Gracias a Dios not under duress /v Kupperman 278-279 /// Almost certainly did not camp in Hon /v Kupperman 278-279 /// Seizure on 6 Jun 1639 /v DNB [Butler [Boteler], Nathaniel] /// Escaped from buccaneers = Andrés García, of Seville, impressed by William Jackson on Dec 1638 near Cartagena /// Imprisoned buccaneer = Richard Buyssi, Eng buccaneer since 1628 /// Cristobal Rodriguez, Diego de Rivera, and two other vecinos of Truxillo desert Sp in favour of Gov. Butler  /// 27 Aug 1639 -- Capt. Jackson sells money, plate, indigo, sugar in Boston, under commission of Prov Co /Winthrop 1 309-310 / 4 Jan 1641 -- Capt. Jackson attends the [Prov] Co with indigo /316 CSPC 1 /v Jackson vi / 9 Mar 1641 -- indigo rec'd fm Capt. Jackson /318 CSPC 1 / 29 Mar 1641 -- last year [1640] Capt. Jackon brought home retribution /319 CSPC 1"	xnp	1 buccaneer held	vecinos of Tru evac < 15 Jun 38 t ?	3 Sp craft seized	xnp	xnp	###	
E 24	24	1	0	xxx	Hos	xnp	1 Sep 1639	15 Sep 1639	Sacking of Roatan	"Buccaneers or privateers, with native allies, raid native hamlet on Roatan, and after a failed attempt to capture the residents, burn the hamlet"	"Roatan, Utila"	"Gov Francisco de Ávila Lugo, Francisco Mejía del Tobar, Hernando Sarco, Roque de Vargas, Capt Luis Ochoa de la Torre, Capt Cosme González, Sarg Diego Romero, Cristóbal Rodríguez, Ruiz de Ayala, Pedro Murillo"	Alonso Gaitan 2 Ships xxx natives of Guanaxa	xnp	xnp	"GUATEMALA,16,R.2,N.13 f 110r-v"	"Cardona 115, 72"	xxx	xnp	1 Sp Cristóbal Rodríguez held / later liberated	xnp	2 Sp ship seized / then 1 returned without cargo	100 cargas of cassava / Roatan burnt / plantales y fructos burnt	xnp	###	
E 26	26	1	0	xxx	Hos	xnp	15 Dec 1639	3 Jan 1640	xnp	Buccaneers or privateers roam off Sp Hon	"Guanaxa, Amatique"	Gov Francisco de Ávila Lugo	4 Ships	xnp	xnp	"GUATEMALA,16,R.2,N.13 img 258-259"	Cardona 80	"Possibly see 1640 Guat. Pres Álvaro de Quiñónez y Osorio, Antonio Justiniano Chavarri 400 militiamen march towards Bay of Amatique to engage Du pirates, but on reaching Mixco [Guat] Pres orders march aborted /v Guat DNB 531, 763 /// Possibly see 1639 Puerto Caballos, Golfo Dulce, Truxillo attacked by Pir / 1640 Amatique, Truxillo attacked by Pir /v Lujan 2 472, 826"	xnp	xnp	xnp	xnp	xnp	xnp	###	
E 28	28	1	0	xxx	Hos	xnp	1 Mar 1640	30 Mar 1640	Sacking of Omoa	"Buccaneers or privateers raid unknown number of towns or hamlets near Omoa, Golfo Dulce, and after camping Utila, raided Omoa again, and finally engaged with natives at Utila"	"Omoa, Golfo Dulce, Utila"	xnp	8 Craft	xnp	xnp	"GUATEMALA,16,R.2,N.13 f 140r-v"	"Cardona 117, 83-85"	"Possibly see 1640 Guat. Pres Álvaro de Quiñónez y Osorio, Antonio Justiniano Chavarri 400 militiamen march towards Bay of Amatique to engage Du pirates, but on reaching Mixco [Guat] Pres orders march aborted /v Guat DNB 531, 763 /// Possibly see 1639 Puerto Caballos attacked by Pir / 1640 Truxillo attacked by Du Pir / 1640 Amatique, Truxillo, Granada attacked by Pir /v Lujan 2 826"	xnp	xnp	xnp	xnp	xnp	xnp	###	
E 30	30	1	0	xxx	Hos	xnp	1 Jan 1641	31 Dec 1641	xnp	Dutch buccaneers or privateers raid at least two Maya hamlets and capture two Sp during Fuensalida misión	"Old, Sittee"	"Lucas de San Miguel, Martín Tejero"	Diego Canche	xnp	xnp	Cogolludo 653—656	Jones 224 fn 23	"Soite, Cehake location /v Jones xv—xvii, 224 /// Possibly see 1642 Ingleses se posesionan de las islas Roatán y Guanaxa /v Lujan 2 108"	xnp	2 Sp held for many days	xnp	xnp	"Soite, Cehake towns [hamlets?] raided"	xnp	###	
E 32	32	1	0	xxx	Hos	xnp	1 Jan 1641	31 Dec 1641	Sacking of Truxillo	"Diego el Mulato sacks and burns Truxillo, after which they venture inwards and kidnap women"	"Truxillo, Olancho"	"Gov Melchor Alonso Tamayo, Francisco Mejía del Tobar 11 men"	Diego el Mulato “Diego Diaz Lucifer”	xnp	xnp	"GUATEMALA,44A,N.39"	"Cardona 117, 85-87 / Lujan 2 472, 826"	xxx	xnp	xnp	xnp	xnp	xnp	xnp	###	
E 34	34	1	0	xxx	Hos	xnp	1 Mar 1642	30 Apr 1642	xnp	"Diego el Mulato attempts to raid town or hamlet by Rio Ulua, but retreats, and sacks Puerto Caballos"	"Ulua, Puerto Caballos"	Gov Melchor Alonso Tamayo	Diego el Mulato “Diaz Lucifer”	xnp	xnp	"GUATEMALA,39,R.20,N.131 / GUATEMALA,39,R.20,N.132"	"Cardona 117, 87-88 / Lujan 2 108, 826"	"Diego el Mulato gone by Jun 42 /xxx /// Possibly see 1642 Santo Tomás attacked by Pir /v Lujan 2 826 /// Possibly see 1642 Ingleses se posesionan de las islas Roatán y Guanaxa /v Lujan 2 108 /// Possibly see [1690s? Guat] A estas dos islas de Ruatán, y Guanaxa, acometió el enemigo inglés como decíamos por el año de 1642, ... acometió á sus puertos de improviso, y tomando tierra, también sin resistencia, ni impedimento alguno, apetecida la de Ruatán más que la otra, tomó la población sin displicencia, ni desagrado de los indios; porque cogiéndolos desprevenidos á la defenza de la tierra, hicieron (como dicen) de la necesidad virtud mostrando grato el semblanta á la soldadesca, y cabo inglés, ó lo más cierto; porque los indios vecinos de aquella isla infieles, y desleales al Rey, y aún á la religión, teniendo mucho antes de la ocasión que referimos, trato, y amistad con semejante nación, desde que infestó nuestros países la grande osadía, y contumacia de Guillermo Parchero, quisieron por su infamia, y su simulación darles grata acojida á los ingleses, que hicieron pié no pocos días en las Isla de Ruatán, pasando de ocho años de estar sitiados, y bien fortificados en ella, con muchas utilidades, y conveniencias de que gozaban, y las mayores que se proponían en adelante; /Fuentes 2 331"	xnp	xnp	xnp	xnp	xnp	xnp	###	
E 36	36	1	0	xxx	Hos	xnp	22 Nov 1642	22 Nov 1642	Sacking of Bacalar	Diego el Mulato raids at least two Maya hamlets and Bacalar	"Monkey, Sittee, Old, Bacalar"	xnp	Diego Lucifer de los Reyes el Mulato 70 men	xnp	xnp	"MEXICO,360,R.5,N.33 / MEXICO,369 ff 466–469, 529r—531v / Cogolludo 656—659"	Molina 2 138 / Jones 226—227 fn 28—32 / Barke B 112 fn 382	Campin location /v Jones 225	xnp	kidnapped numb of [Maya] women fm Soite / impressed Ma men fm Soite / later kidnapped 3 Sp 2 Ma from Bacalar / released 13 Feb 1643	Bacalar residents forced into hiding by Lake Bacalar min to early 1643	Pir took 3 or 4 Sp boats	"Campin raided / stole all gold and silver fm Sp church = sum 12,000 to 16,000 pesos"	xnp	###	
E 38	38	1	0	xxx	Hos	xnp	20 Jul 1643	15 Sep 1643	Honduras Leg of Jackson Expedition	"William Jackson raids and holds Truxillo, after which his crew fall ill and retreat, sacking Sto Tomás de Castilla, after which Jackson retook Truxillo"	"Lon, Barbados, St. Kitts, Isla de Margarita, Caracas, Puerto Cabello, Maracaibo, Hispaniola, Spanish T, Grand Cayman Island, Truxillo, Sto. Tomás de Castilla, Mos Islands, Cartagena, Cuba, Bay of Campeachy, Florida Straits, Bermuda"	"Gov Melchor Alonso de Tamayo, Francisco Díaz 41 Sp men 9 pardos y negros"	"Capt William Jackson, Capt William Rous, Capt Samuel Axe, Capt Cromwell 3 Ships 3 Pinnaces 1200 men fm Barbados and St Kitts"	xnp	xnp	"GUATEMALA,44A,N.40 ff 4r-53v / xxx CSPC xxx [1–25 Feb 1640] / Harlow xxx / Lon 1643 xxx"	"Cardona 118, 90 / Harlow xii-xix / Offen P 23 / Lujan 2 108, 472"	"Capt. Jackson’s crew included men from Diego Diaz Lucifer’s crew /// Capt. Jackson ships = Charles, Valetine, Dolphin, arrive at Barbados 27 Sep 1642 /// Expedition leg to Sp Hon pushed for “by ye specious persuasions of one Capt. Cromwell,” a NE pirate /v Jackson xvii / Possibly Capt Thomas Cromwell of Boston"	xnp	xnp	xnp	xnp	xnp	xnp	###	
E 40	40	1	0	xxx	Hos	xnp	1 Jan 1645	30 Dec 1645	Sacking of Truxillo	xxx	Truxillo	xnp	16 Ships 1500 men	xnp	xnp	xnp	"Lujan 2 108, 472"	"See AHEC Link: https://www.afehc-historia-centroamericana.org/index_action_crono/ /// Possibly see, 5 Sep 1650 Comayagua Gov to HCM. E allado señor Los puertos della [de Honduras] desistidos e yndefensos de todo lo necess.o de armas y gente Por las ynvasiones que el enemigo cosario a echo los años pasados en ellos [puertos] Y en sus costas [de Hond.] Y en particular en la ciudad y puerto de truxillo que es el más ynportante esta desanparado Por averse ydo dueño del el dho enemigo sin que se le aya podido ynpedir = /GUATEMALA,39,R.23,N.135 f 1r /// Possibly see 1646 Caribbean coast of CA attacked by Pir /v Lujan 2 827"	xnp	xnp	xnp	xnp	xnp	xnp	###	
E 42	42	1	0	xxx	Hos	xnp	1 Jun 1648	30 Jun 1648	Sacking of Bacalar	Buccaneers or privateers under Abraham sack Bacalar	Bacalar	Capt Bartolomé Palomino 11 Sp 15 Ma men	xnp	xnp	xnp	Cogolludo 714—717	"Molina 2 176, 211—212"	"NON-SP 0 possibly = Abraham Blauvelt 1 Barque 50 men [possibly] /// Possibly disposes of prizes at Rhode Island / See journal article or repository mss Massachusetts Historical Society Collection, 4th series, VI, 272 [Williams to Winthrop Jr 25 Oct 1649, 9 Nov 1649] /v Newton 274 /// Based in New Amsterdam fm 1644 / See O'Callaghan, *History of New Netherlands* [sl, np, sd], vol 1 p 296 / See O’Callaghan, *New York Documents* [sl, np, sd], vol 1 pp 397-399 /v Newport 274 /// Possibly see 1648 Truxillo attacked by Pir /v Lujan 2 827"	xnp	women carried off to Islote de los Cayos / liberated after 2 months	Bacalar residents move further inland to Pacha near Villadolid	xnp	xnp	xnp	###	
E 44	44	1	0	xxx	Hos	xnp	29 May 1652	29 May 1652	Sacking of Bacalar	Buccaneers or privateers under Abraham sack Bacalar	Bacalar	Capt Bartolomé Palomino	xnp	xnp	xnp	Cogolludo 749—752	Barke B 114 fn 390	NON-SP 0 possibly = Abraham Blauvelt 1 Barque 50 men [possibly] /// Pirate or buccaneer responsible given as Tomás by Reichert /v Reichert 27 /v Conover 50–51	Capt. Bartolomé Palomino killed / 1 Ma killed	xnp	xnp	xnp	xnp	xnp	###	
E 46	46	1	0	xxx	Hos	xnp	1 Nov 1652	30 Nov 1652	xnp	Buccaneers or privateers raid at least two Maya hamlets	New	xnp	xnp	xnp	xnp	"MEXICO,158 [Probanza o méritos y servicios Capitán Francisco Pérez a 11 nov 1661]"	Jones 231 fn 38—40	"Uatibal, Chanlacan location /v Jones xv—xvii, 283—5 /// Possibly see 28 May 1652 Minzapa [Gulf of Mex]. c 30 Fr Eng pirates raid /v Marley P 1 438"	xnp	some Maya fm Uatibal and Chanlacan kidnapped [likely sold as slaves]	Ma moved inland w Sp help	xnp	"Uatibal, Chanlacan sacked [likely, esp food]"	xnp	###	
E 48	48	1	0	xxx	Met	Storm	1 Jun 1654	30 Nov 1654	xnp	One or more hurricanes or tropical storms pass near or land on Hon	Turneffe	xnp	xnp	xnp	xnp	Schmitt [Supp 1]	xnp	"Oct 1654 Yuc. Gran tempestad, heavy rains /v Campos 139"	xnp	xnp	xnp	xnp	xnp	xnp	###	
